Time,v(clk),v(data),v(out)
1.00000000000000e-08,3.30000000000000e-01,0.00000000000000e+00,3.42292207795684e-05
1.00100000000000e-08,3.30000000000000e-01,3.29999999999992e-02,3.34177053993058e-05
1.00300000000000e-08,3.30000000000000e-01,9.89999999999976e-02,3.26643286265270e-05
1.00700000000000e-08,3.30000000000000e-01,2.30999999999994e-01,3.12048395840203e-05
1.01000000000000e-08,3.30000000000000e-01,3.29999999999998e-01,2.99752336067223e-05
1.01080000000000e-08,3.30000000000000e-01,3.30000000000000e-01,2.94109168634468e-05
1.01240000000000e-08,3.30000000000000e-01,3.30000000000000e-01,2.84832031659035e-05
1.01560000000000e-08,3.30000000000000e-01,3.30000000000000e-01,2.65110905763102e-05
1.02200000000000e-08,3.30000000000000e-01,3.30000000000000e-01,2.37110127458452e-05
1.03480000000000e-08,3.30000000000000e-01,3.30000000000000e-01,2.04571468101055e-05
1.06040000000000e-08,3.30000000000000e-01,3.30000000000000e-01,1.99568542512425e-05
1.11160000000000e-08,3.30000000000000e-01,3.30000000000000e-01,1.85289220273038e-05
1.21400000000000e-08,3.30000000000000e-01,3.30000000000000e-01,1.69273409627397e-05
1.41880000000000e-08,3.30000000000000e-01,3.30000000000000e-01,1.41806750252977e-05
1.51000000000000e-08,3.30000000000000e-01,3.30000000000000e-01,1.46524524749095e-05
1.51100000000000e-08,2.96999999999995e-01,3.30000000000000e-01,-1.23539594465774e-06
1.51300000000000e-08,2.30999999999997e-01,3.30000000000000e-01,-3.26139899560485e-05
1.51700000000000e-08,9.90000000000001e-02,3.30000000000000e-01,-9.95901244596684e-05
1.52000000000000e-08,0.00000000000000e+00,3.30000000000000e-01,-1.42922873130662e-04
1.52080000000000e-08,0.00000000000000e+00,3.30000000000000e-01,-1.33035325788438e-04
1.52240000000000e-08,0.00000000000000e+00,3.30000000000000e-01,-1.14695623911663e-04
1.52560000000000e-08,0.00000000000000e+00,3.30000000000000e-01,-7.71619364571922e-05
1.53200000000000e-08,0.00000000000000e+00,3.30000000000000e-01,-1.68151104694356e-05
1.54480000000000e-08,0.00000000000000e+00,3.30000000000000e-01,5.32728044050426e-05
1.57040000000000e-08,0.00000000000000e+00,3.30000000000000e-01,8.44167617677274e-05
1.62160000000000e-08,0.00000000000000e+00,3.30000000000000e-01,4.00680707473323e-05
1.72400000000000e-08,0.00000000000000e+00,3.30000000000000e-01,-3.40110746548852e-05
1.92880000000000e-08,0.00000000000000e+00,3.30000000000000e-01,-1.08357773266265e-05
2.30880000000000e-08,0.00000000000000e+00,3.30000000000000e-01,-2.71180762741277e-05
2.50000000000000e-08,0.00000000000000e+00,3.30000000000000e-01,-3.83012325937300e-06
2.50100000000000e-08,3.29999999999937e-02,3.30000000000000e-01,1.92700961432583e-05
2.50300000000000e-08,9.90000000000031e-02,3.30000000000000e-01,5.80664221496545e-05
2.50700000000000e-08,2.31000000000000e-01,3.30000000000000e-01,1.08945360817535e-04
2.51000000000000e-08,3.30000000000000e-01,3.30000000000000e-01,1.20834240643772e-04
2.51080000000000e-08,3.30000000000000e-01,3.30000000000000e-01,1.08518024450714e-04
2.51240000000000e-08,3.30000000000000e-01,3.30000000000000e-01,8.26481757081228e-05
2.51560000000000e-08,3.30000000000000e-01,3.30000000000000e-01,2.39588412428333e-05
2.52200000000000e-08,3.30000000000000e-01,3.30000000000000e-01,-1.17684408775590e-04
2.53480000000000e-08,3.30000000000000e-01,3.30000000000000e-01,-5.05598958939587e-04
2.56040000000000e-08,3.30000000000000e-01,3.30000000000000e-01,-1.29424392459735e-03
2.61160000000000e-08,3.30000000000000e-01,3.30000000000000e-01,-2.24904784537924e-03
2.71400000000000e-08,3.30000000000000e-01,3.30000000000000e-01,1.42947719252496e-02
2.91880000000000e-08,3.30000000000000e-01,3.30000000000000e-01,1.94744074258864e-01
3.01000000000000e-08,3.30000000000000e-01,3.30000000000000e-01,2.89755911740664e-01
3.01100000000000e-08,3.30000000000000e-01,2.97000000000017e-01,2.90412959814210e-01
3.01300000000000e-08,3.30000000000000e-01,2.31000000000008e-01,2.91714981140462e-01
3.01700000000000e-08,3.30000000000000e-01,9.90000000000111e-02,2.94221923893746e-01
3.02000000000000e-08,3.30000000000000e-01,7.93809462606987e-15,2.95993983467711e-01
3.02080000000000e-08,3.30000000000000e-01,0.00000000000000e+00,2.96450671771832e-01
3.02240000000000e-08,3.30000000000000e-01,0.00000000000000e+00,2.97374529285109e-01
3.02560000000000e-08,3.30000000000000e-01,0.00000000000000e+00,2.99103756976266e-01
3.03200000000000e-08,3.30000000000000e-01,0.00000000000000e+00,3.02289923682414e-01
3.04480000000000e-08,3.30000000000000e-01,0.00000000000000e+00,3.07732389683793e-01
3.07040000000000e-08,3.30000000000000e-01,0.00000000000000e+00,3.15639146372300e-01
3.12160000000000e-08,3.30000000000000e-01,0.00000000000000e+00,3.24128093209087e-01
3.22400000000000e-08,3.30000000000000e-01,0.00000000000000e+00,3.29047314771841e-01
3.42880000000000e-08,3.30000000000000e-01,0.00000000000000e+00,3.29714948320212e-01
3.51000000000000e-08,3.29999999999984e-01,0.00000000000000e+00,3.29701086567732e-01
3.51100000000000e-08,2.96999999999990e-01,0.00000000000000e+00,3.29683051593855e-01
3.51300000000000e-08,2.30999999999981e-01,0.00000000000000e+00,3.29649478248959e-01
3.51700000000000e-08,9.89999999999837e-02,0.00000000000000e+00,3.29599971539263e-01
3.52000000000000e-08,0.00000000000000e+00,0.00000000000000e+00,3.29634261215057e-01
3.52080000000000e-08,0.00000000000000e+00,0.00000000000000e+00,3.29667848835256e-01
3.52240000000000e-08,0.00000000000000e+00,0.00000000000000e+00,3.29729116546381e-01
3.52560000000000e-08,0.00000000000000e+00,0.00000000000000e+00,3.29833159309141e-01
3.53200000000000e-08,0.00000000000000e+00,0.00000000000000e+00,3.29984998884778e-01
3.54480000000000e-08,0.00000000000000e+00,0.00000000000000e+00,3.30145379599570e-01
3.57040000000000e-08,0.00000000000000e+00,0.00000000000000e+00,3.30120130700646e-01
3.62160000000000e-08,0.00000000000000e+00,0.00000000000000e+00,3.29113519825258e-01
3.72400000000000e-08,0.00000000000000e+00,0.00000000000000e+00,3.23827461634040e-01
3.91000000000000e-08,0.00000000000000e+00,0.00000000000000e+00,3.16554544148542e-01
3.93048000000000e-08,0.00000000000000e+00,0.00000000000000e+00,3.16779947838170e-01
3.97144000000000e-08,0.00000000000000e+00,0.00000000000000e+00,3.17654268119747e-01
4.05336000000000e-08,0.00000000000000e+00,0.00000000000000e+00,3.20660497083736e-01
