N_W,N_L,P_W,P_L,Corner,Temperature,Power
0.1u,0.1u,0.3u,0.1u,TT,70,1.9613307846872332e-08
0.1u,0.1u,0.1u,0.1u,FF,70,2.7180550276694323e-08
0.1u,0.1u,0.1u,0.1u,FF,27,1.2790177333342488e-08
0.1u,0.1u,0.1u,0.1u,FF,0,7.728148108672781e-09
0.1u,0.1u,0.1u,0.1u,TT,27,1.0687960229193748e-08
0.1u,0.1u,0.1u,0.1u,TT,0,5.383283941826994e-09
0.1u,0.1u,0.1u,0.1u,TT,70,1.9536311538784512e-08
0.1u,0.1u,0.2u,0.1u,FF,70,2.708294641482609e-08
0.1u,0.1u,0.2u,0.1u,FF,27,1.4811335139986508e-08
0.1u,0.1u,0.2u,0.1u,FF,0,1.0007463011797616e-08
0.1u,0.1u,0.2u,0.1u,TT,27,9.03921792266893e-09
0.1u,0.1u,0.2u,0.1u,TT,0,4.442641505262415e-09
0.1u,0.1u,0.2u,0.1u,TT,70,1.831112468360001e-08
0.1u,0.1u,0.3u,0.1u,FF,70,2.6861243375215842e-08
0.1u,0.1u,0.3u,0.1u,FF,27,1.6118532646258842e-08
0.1u,0.1u,0.3u,0.1u,FF,0,7.837838346789189e-09
0.1u,0.1u,0.3u,0.1u,TT,27,1.1752240127635309e-08
0.1u,0.1u,0.3u,0.1u,TT,0,2.788972779617534e-09
0.1u,0.1u,0.3u,0.1u,TT,70,1.9613307846872332e-08
0.1u,0.1u,0.1u,0.1u,FF,70,2.7180550276694323e-08
0.1u,0.1u,0.1u,0.1u,FF,27,1.2790177333342488e-08
0.1u,0.1u,0.1u,0.1u,FF,0,7.728148108672781e-09
0.1u,0.1u,0.1u,0.1u,TT,27,1.0687960229193748e-08
0.1u,0.1u,0.1u,0.1u,TT,0,5.383283941826994e-09
0.1u,0.1u,0.1u,0.1u,TT,70,1.9536311538784512e-08
0.1u,0.1u,0.2u,0.1u,FF,70,2.708294641482609e-08
0.1u,0.1u,0.2u,0.1u,FF,27,1.4811335139986508e-08
0.1u,0.1u,0.2u,0.1u,FF,0,1.0007463011797616e-08
0.1u,0.1u,0.2u,0.1u,TT,27,9.03921792266893e-09
0.1u,0.1u,0.2u,0.1u,TT,0,4.442641505262415e-09
0.1u,0.1u,0.2u,0.1u,TT,70,1.831112468360001e-08
0.1u,0.1u,0.3u,0.1u,FF,70,2.6861243375215842e-08
0.1u,0.1u,0.3u,0.1u,FF,27,1.6118532646258842e-08
0.1u,0.1u,0.3u,0.1u,FF,0,7.837838346789189e-09
0.1u,0.1u,0.3u,0.1u,TT,27,1.1752240127635309e-08
0.1u,0.1u,0.3u,0.1u,TT,0,2.788972779617534e-09
0.1u,0.1u,0.3u,0.1u,TT,70,1.9613307846872332e-08
0.1u,0.1u,0.1u,0.1u,FF,70,2.7180550276694323e-08
0.1u,0.1u,0.1u,0.1u,FF,27,1.2790177333342488e-08
0.1u,0.1u,0.1u,0.1u,FF,0,7.728148108672781e-09
0.1u,0.1u,0.1u,0.1u,TT,27,1.0687960229193748e-08
0.1u,0.1u,0.1u,0.1u,TT,0,5.383283941826994e-09
0.1u,0.1u,0.1u,0.1u,TT,70,1.9536311538784512e-08
0.1u,0.1u,0.2u,0.1u,FF,70,2.708294641482609e-08
0.1u,0.1u,0.2u,0.1u,FF,27,1.4811335139986508e-08
0.1u,0.1u,0.2u,0.1u,FF,0,1.0007463011797616e-08
0.1u,0.1u,0.2u,0.1u,TT,27,9.03921792266893e-09
0.1u,0.1u,0.2u,0.1u,TT,0,4.442641505262415e-09
0.1u,0.1u,0.2u,0.1u,TT,70,1.831112468360001e-08
0.1u,0.1u,0.3u,0.1u,FF,70,2.6861243375215842e-08
0.1u,0.1u,0.3u,0.1u,FF,27,1.6118532646258842e-08
0.1u,0.1u,0.3u,0.1u,FF,0,7.837838346789189e-09
0.1u,0.1u,0.3u,0.1u,TT,27,1.1752240127635309e-08
0.1u,0.1u,0.3u,0.1u,TT,0,2.788972779617534e-09
0.1u,0.1u,0.3u,0.1u,TT,70,1.9613307846872326e-08
