N_W,N_L,P_W,P_L,Corner,Temperature,Power,VDD,tr,tf,tPLH,tPHL
0.1u,0.1u,0.175u,0.1u,FF,0,,0.6,3.1133649224493526e-10,4.904936283978234e-10,3.4806721788208887e-10,4.79932580285602e-10
0.1u,0.1u,0.175u,0.1u,TT,0,,0.6,5.614987341115382e-10,6.02189956837764e-10,4.5414557507711967e-10,7.48242874726536e-10
0.1u,0.1u,0.175u,0.1u,FF,27,,0.6,3.1858941591706176e-10,5.703755665026975e-10,3.8253407902826777e-10,5.039201184705445e-10
0.1u,0.1u,0.175u,0.1u,TT,27,,0.6,6.11635896815116e-10,8.01388725170409e-10,5.116214932976813e-10,8.73779774404773e-10
0.1u,0.1u,0.175u,0.1u,TT,70,,0.6,6.20866754206401e-10,9.716615415539872e-10,6.451018090914553e-10,9.286094755543984e-10
0.1u,0.1u,0.175u,0.1u,FF,70,,0.6,5.049818697502526e-10,6.18144965076205e-10,4.289540403709951e-10,6.285452650699503e-10
0.1u,0.1u,0.550u,0.1u,FF,0,,0.6,3.0843772689580477e-10,4.943458181920165e-10,3.910339920066536e-10,5.029591946816272e-10
0.1u,0.1u,0.550u,0.1u,TT,0,,0.6,5.65556489497174e-10,5.440848106910464e-10,4.769876588558603e-10,7.874805416162252e-10
0.1u,0.1u,0.550u,0.1u,FF,27,,0.6,2.835108341954884e-10,5.726279845983353e-10,4.1748348309228597e-10,5.47824565887421e-10
0.1u,0.1u,0.550u,0.1u,TT,27,,0.6,6.160521758003254e-10,7.869499286198417e-10,5.67511842174811e-10,9.030521142043883e-10
0.1u,0.1u,0.550u,0.1u,TT,70,,0.6,6.076279360236165e-10,1.0080904778307543e-09,7.526999510338101e-10,9.80263795114884e-10
0.1u,0.1u,0.550u,0.1u,FF,70,,0.6,4.5784063651842446e-10,6.04403194346392e-10,4.4905749262468863e-10,7.006986012703516e-10
0.1u,0.1u,0.275u,0.1u,FF,0,,0.6,3.0992354930448544e-10,4.647572285016593e-10,3.4861407943747756e-10,4.828216678055709e-10
0.1u,0.1u,0.275u,0.1u,TT,0,,0.6,5.276480510441344e-10,6.056511063016061e-10,4.506322325665511e-10,7.050032045612788e-10
0.1u,0.1u,0.275u,0.1u,FF,27,,0.6,3.1450785931656416e-10,5.43575201292987e-10,3.845116682045848e-10,5.076359396840247e-10
0.1u,0.1u,0.275u,0.1u,TT,27,,0.6,5.94561101726376e-10,7.48016872510831e-10,4.916578352985512e-10,8.61441642645282e-10
0.1u,0.1u,0.275u,0.1u,TT,70,,0.6,6.19293337074965e-10,9.271305680554071e-10,6.445845120968921e-10,9.34281843514042e-10
0.1u,0.1u,0.275u,0.1u,FF,70,,0.6,4.468128646674158e-10,6.184307363304104e-10,4.289084283402936e-10,6.17196443217726e-10
0.1u,0.1u,0.100u,0.1u,FF,0,,0.6,3.2393548523911524e-10,5.219104627718987e-10,3.6516318603920565e-10,4.85718481952778e-10
0.1u,0.1u,0.100u,0.1u,TT,0,,0.6,6.154685111406816e-10,8.03813799851169e-10,4.836467965323591e-10,8.5781085895559e-10
0.1u,0.1u,0.100u,0.1u,FF,27,,0.6,3.914455651917664e-10,5.67398531558142e-10,3.9948056189311927e-10,5.288654460839767e-10
0.1u,0.1u,0.100u,0.1u,TT,27,,0.6,6.298310586798043e-10,9.148969161949064e-10,5.396653320209997e-10,8.862561608924801e-10
0.1u,0.1u,0.100u,0.1u,TT,70,,0.6,6.361759983005704e-10,1.1116969720825911e-09,6.857987049533137e-10,9.376149968619923e-10
0.1u,0.1u,0.100u,0.1u,FF,70,,0.6,5.90390983333564e-10,5.83583263507499e-10,4.4634119003421964e-10,7.80006338528926e-10
0.1u,0.1u,0.3u,0.1u,FF,0,,0.6,3.098838347979202e-10,4.6309569796726776e-10,3.505805382648867e-10,4.839994856235651e-10
0.1u,0.1u,0.3u,0.1u,TT,0,,0.6,5.263209825860356e-10,6.04838245536341e-10,4.520741644960616e-10,7.066805322546834e-10
0.1u,0.1u,0.3u,0.1u,FF,27,,0.6,3.1395113449335325e-10,5.43724735584758e-10,3.8713696379338745e-10,5.096953964015739e-10
0.1u,0.1u,0.3u,0.1u,TT,27,,0.6,5.94273038551443e-10,7.445714203418239e-10,4.929492678297701e-10,8.618790514121562e-10
0.1u,0.1u,0.3u,0.1u,TT,70,,0.6,6.19345349766858e-10,9.256803700750951e-10,6.51873780191963e-10,9.36881943981184e-10
0.1u,0.1u,0.3u,0.1u,FF,70,,0.6,4.3971605460696814e-10,6.18209463055657e-10,4.305047372392129e-10,6.221162042440631e-10
0.1u,0.1u,0.500u,0.1u,FF,0,,0.6,3.107305588699913e-10,4.823960723308676e-10,3.8129487152607256e-10,4.981199074290863e-10
0.1u,0.1u,0.500u,0.1u,TT,0,,0.6,5.50823198563921e-10,5.774623893132576e-10,4.687397206635281e-10,7.66801915547578e-10
0.1u,0.1u,0.500u,0.1u,FF,27,,0.6,2.961373338527278e-10,6.033546082749091e-10,4.112957877745496e-10,5.372908864376809e-10
0.1u,0.1u,0.500u,0.1u,TT,27,,0.6,6.12246885825677e-10,7.746935759974159e-10,5.384061268031665e-10,8.948221594950583e-10
