VDD,Corner,Temperature,Power
0.575,TT,0,1.898110385646637e-08
0.575,FF,0,3.7247132690179073e-08
0.575,TT,27,1.5517037051669865e-08
0.575,TT,70,1.5512580532134036e-08
0.575,FF,27,7.992412295761047e-09
0.575,FF,70,1.3519376865630629e-08
0.7,TT,0,3.4173491608291555e-08
0.7,FF,0,6.854528960772582e-08
0.7,TT,27,1.0787003970115854e-08
0.7,TT,70,8.580419215388869e-09
0.7,FF,27,5.345121381893713e-09
0.7,FF,70,6.181830732511531e-08
0.6,TT,0,1.2581880154446784e-08
0.6,FF,0,2.981415545169396e-08
0.6,TT,27,2.6161287100195786e-08
0.6,TT,70,2.459482184068523e-08
0.6,FF,27,4.237433412927261e-09
0.6,FF,70,1.1842168165715872e-08
0.5,TT,0,6.1744639050543095e-09
0.5,FF,0,1.203465846854445e-09
0.5,TT,27,2.364587538426864e-09
0.5,TT,70,7.460853333432193e-09
0.5,FF,27,1.1652356645023185e-08
0.5,FF,70,2.9709299575768443e-08
0.65,TT,0,2.0335516222910685e-08
0.65,FF,0,8.53723441097077e-10
0.65,TT,27,1.0753426436889166e-08
0.65,TT,70,4.547985906820968e-08
0.65,FF,27,2.8358820409160448e-08
0.65,FF,70,1.7938550173787392e-08
0.55,TT,0,7.408391581095807e-09
0.55,FF,0,1.4858883305724202e-08
0.55,TT,27,5.2058082448746025e-09
0.55,TT,70,9.660620942438392e-09
0.55,FF,27,5.2224528423192524e-09
0.55,FF,70,4.3932212390889175e-08
0.8,TT,0,5.6144949292970735e-08
0.8,FF,0,8.123744950646039e-08
0.8,TT,27,2.488623581411772e-08
0.8,TT,70,2.6049127330418525e-08
0.8,FF,27,5.228532148879832e-09
0.8,FF,70,9.235962013005112e-08
0.775,TT,0,2.248785707955584e-09
0.775,FF,0,8.560784009802472e-08
0.775,TT,27,3.365010971540896e-08
0.775,TT,70,1.6481702268386965e-08
0.775,FF,27,1.0194209704687948e-08
0.775,FF,70,1.197417652130559e-07
0.475,TT,0,5.024437917724652e-09
0.475,FF,0,1.2034448413430129e-08
0.475,TT,27,5.010489471899545e-10
0.475,TT,70,1.7842306352020898e-08
0.475,FF,27,3.8093452676319905e-09
0.475,FF,70,1.2564059909145617e-08
0.45,TT,0,8.334786407679753e-09
0.45,FF,0,3.0404468775363872e-09
0.45,TT,27,9.213373548681268e-09
0.45,TT,70,1.2303436942388784e-08
0.45,FF,27,6.58150509026136e-10
0.45,FF,70,1.0661978847566781e-08
0.525,TT,0,2.759993102624518e-09
0.525,FF,0,2.740036229751417e-08
0.525,TT,27,1.2044587150995201e-09
0.525,TT,70,7.259402098974809e-09
0.525,FF,27,2.7629243177467825e-08
0.525,FF,70,3.0762878912575354e-08
0.4,TT,0,1.1751923051327623e-09
0.4,FF,0,6.327600450343498e-09
0.4,TT,27,2.501070697597536e-09
0.4,TT,70,8.678253051409951e-09
0.4,FF,27,9.337504059158869e-09
0.4,FF,70,1.5239442403048035e-08
0.625,TT,0,1.8516436857924737e-08
0.625,FF,0,1.4121599641186264e-08
0.625,TT,27,5.964705944000379e-09
0.625,TT,70,3.4518646330658124e-08
0.625,FF,27,4.1326385265388415e-08
0.625,FF,70,1.4467066817216444e-08
0.725,TT,0,2.2030255074676967e-08
0.725,FF,0,2.793480003877648e-08
0.725,TT,27,3.8530638086308285e-09
0.725,TT,70,5.947992913298353e-08
0.725,FF,27,8.114091608401632e-08
0.725,FF,70,5.5523052373671864e-08
0.675,TT,0,1.7053869505229034e-08
0.675,FF,0,5.3170327220640443e-08
0.675,TT,27,1.2691375421342302e-08
0.675,TT,70,1.111915312345564e-08
0.675,FF,27,1.6525184823925954e-08
0.675,FF,70,9.053584717169237e-08
0.75,TT,0,8.751109497164668e-09
0.75,FF,0,2.6467617683302974e-08
0.75,TT,27,4.41376456233666e-08
0.75,TT,70,4.0714337131236963e-08
0.75,FF,27,9.512171911352908e-09
0.750,FF,70,4.8542197798743386e-08
