VDD,Corner,Temperature,Power
0.6,FF,0,6.065340384471162e-09
0.6,FF,70,1.8499190980388842e-08
0.6,TT,27,5.906556511417544e-09
0.6,TT,0,3.532033534794073e-09
0.6,TT,70,1.1578609532161452e-08
0.6,FF,27,9.61523864196742e-09
0.8,FF,0,1.5154093075848394e-08
0.8,FF,70,4.00887174403452e-08
0.8,TT,27,1.3768199034086573e-08
0.8,TT,0,8.874571482645948e-09
0.8,TT,70,2.5204464154607082e-08
0.8,FF,27,2.3449925517446813e-08
0.45,FF,0,2.7423462864270078e-09
0.45,FF,70,9.628517939792693e-09
0.45,TT,27,3.022506494824124e-09
0.45,TT,0,1.611903287034166e-09
0.45,TT,70,6.2901830175168606e-09
0.45,FF,27,4.748212816350788e-09
0.55,FF,0,4.7299283378774956e-09
0.55,FF,70,1.4933361383833554e-08
0.55,TT,27,4.757264974053402e-09
0.55,TT,0,2.66552915737372e-09
0.55,TT,70,9.203160119211637e-09
0.55,FF,27,7.638199921572197e-09
0.7,FF,0,9.822828832790974e-09
0.7,FF,70,2.7532461123302106e-08
0.7,TT,27,9.263375448893406e-09
0.7,TT,0,5.8808817548450965e-09
0.7,TT,70,1.710735583283765e-08
0.7,FF,27,1.4978366857902535e-08
0.65,FF,0,7.260032721211967e-09
0.65,FF,70,2.2724479712815368e-08
0.65,TT,27,7.445971518661132e-09
0.65,TT,0,4.440457090379045e-09
0.65,TT,70,1.398072024718348e-08
0.65,FF,27,1.196562197670334e-08
0.75,FF,0,1.1921942159415841e-08
0.75,FF,70,3.3670818550019507e-08
0.75,TT,27,1.1274026218411324e-08
0.75,TT,0,7.055473347468788e-09
0.75,TT,70,2.0737196323884523e-08
0.75,FF,27,1.8990676374142285e-08
0.5,FF,0,3.539339843871752e-09
0.5,FF,70,1.2065606783223481e-08
0.5,TT,27,3.752943621704546e-09
0.5,TT,0,2.044607579000748e-09
0.5,TT,70,7.759033233116918e-09
0.50,FF,27,6.052538279818009e-09
