VDD,Corner,Temperature,Power
0.6,TT,70,1.8311124683600012e-08
0.6,TT,27,9.03921792266893e-09
0.6,FF,0,1.0007463011797616e-08
0.6,TT,0,4.442641505262415e-09
0.6,FF,70,2.708294641482609e-08
0.6,FF,27,1.4811335139986508e-08
0.8,TT,70,4.149240915726623e-08
0.8,TT,27,2.3476093308745e-08
0.8,FF,0,2.4777565887248453e-08
0.8,TT,0,1.3027249443098136e-08
0.8,FF,70,6.715999871637542e-08
0.8,FF,27,4.6299100062461846e-08
0.45,TT,70,8.665208356908878e-09
0.45,TT,27,4.368992312836989e-09
0.45,FF,0,5.313226277271762e-09
0.45,TT,0,2.692467457244083e-09
0.45,FF,70,1.5001739329661584e-08
0.45,FF,27,8.303845383236836e-09
0.55,TT,70,1.513142935986644e-08
0.55,TT,27,7.914476631020868e-09
0.55,FF,0,5.689806817872085e-09
0.55,TT,0,4.517853846865422e-09
0.55,FF,70,2.2428381391677134e-08
0.55,FF,27,1.0471693481542516e-08
0.7,TT,70,2.6043777079303013e-08
0.7,TT,27,1.4361156971152153e-08
0.7,FF,0,2.269159578973783e-08
0.7,TT,0,1.0906231097101982e-08
0.7,FF,70,4.403686603850936e-08
0.7,FF,27,2.9299343144862632e-08
0.65,TT,70,2.1887922631200924e-08
0.65,TT,27,1.0541786642128792e-08
0.65,FF,0,1.6040140002426116e-08
0.65,TT,0,6.0837453081138915e-09
0.65,FF,70,3.558255108759627e-08
0.65,FF,27,2.1328038165700264e-08
0.75,TT,70,3.254887817881436e-08
0.75,TT,27,1.98513123321176e-08
0.75,FF,0,1.6538619096668258e-08
0.75,TT,0,1.1939941567087345e-08
0.75,FF,70,5.3055325054423933e-08
0.75,FF,27,3.827346214403855e-08
0.5,TT,70,1.1983952068010042e-08
0.5,TT,27,6.706106869239292e-09
0.5,FF,0,4.8291049139152675e-09
0.5,TT,0,4.332962243844932e-09
0.5,FF,70,1.8646467841608065e-08
0.5,FF,27,9.378145078523109e-09
0.6,TT,70,1.8311124683600012e-08
0.6,TT,27,9.03921792266893e-09
0.6,FF,0,1.0007463011797616e-08
0.6,TT,0,4.442641505262415e-09
0.6,FF,70,2.708294641482609e-08
0.6,FF,27,1.4811335139986508e-08
0.8,TT,70,4.149240915726623e-08
0.8,TT,27,2.3476093308745e-08
0.8,FF,0,2.4777565887248453e-08
0.8,TT,0,1.3027249443098136e-08
0.8,FF,70,6.715999871637542e-08
0.8,FF,27,4.6299100062461846e-08
0.55,TT,70,1.513142935986644e-08
0.55,TT,27,7.914476631020868e-09
0.55,FF,0,5.689806817872085e-09
0.55,TT,0,4.517853846865422e-09
0.55,FF,70,2.2428381391677134e-08
0.55,FF,27,1.0471693481542516e-08
0.7,TT,70,2.6043777079303013e-08
0.7,TT,27,1.4361156971152153e-08
0.7,FF,0,2.269159578973783e-08
0.7,TT,0,1.0906231097101982e-08
0.7,FF,70,4.403686603850936e-08
0.7,FF,27,2.9299343144862632e-08
0.65,TT,70,2.1887922631200924e-08
0.65,TT,27,1.0541786642128792e-08
0.65,FF,0,1.6040140002426116e-08
0.65,TT,0,6.0837453081138915e-09
0.65,FF,70,3.558255108759627e-08
0.65,FF,27,2.1328038165700264e-08
0.75,TT,70,3.254887817881436e-08
0.75,TT,27,1.98513123321176e-08
0.75,FF,0,1.6538619096668258e-08
0.75,TT,0,1.1939941567087345e-08
0.75,FF,70,5.3055325054423933e-08
0.75,FF,27,3.827346214403855e-08
0.5,TT,70,1.1983952068010042e-08
0.5,TT,27,6.706106869239292e-09
0.5,FF,0,4.8291049139152675e-09
0.5,TT,0,4.332962243844932e-09
0.5,FF,70,1.8646467841608065e-08
0.50,FF,27,9.378145078523107e-09
