Time,id(m:nand_2:mn1:1),id(m:nand_3:mn1:1)
5.13554432000000e-07,1.20394218836955e-11,1.58066517873027e-11
5.43554432000000e-07,1.20326330463134e-11,1.58134157734874e-11
5.73554432000000e-07,1.20258443863368e-11,1.58201797251019e-11
6.03554432000000e-07,1.20346168973811e-11,1.58269436421461e-11
6.33554432000000e-07,1.20433899285349e-11,1.58337075246211e-11
6.63554432000000e-07,1.20421784478034e-11,1.58404713725252e-11
6.93554432000000e-07,1.20409669837816e-11,1.58472351858607e-11
7.23554432000000e-07,1.20397555364688e-11,1.57705406178302e-11
7.53554432000000e-07,1.20385441058655e-11,1.56938442661407e-11
7.83554432000001e-07,1.20373326919723e-11,1.57383342156908e-11
8.13554432000001e-07,1.20361212947867e-11,1.57828235803417e-11
8.43554432000001e-07,1.20349099143099e-11,1.57488487854556e-11
8.73554432000001e-07,1.20336985505422e-11,1.57148739915136e-11
9.03554432000001e-07,1.20324872034828e-11,1.56808991985171e-11
9.33554432000001e-07,1.20312758731316e-11,1.57251469513677e-11
9.63554432000001e-07,1.20393145272154e-11,1.57693945375770e-11
9.93554432000001e-07,1.20473537910798e-11,1.58136419571357e-11
1.02355443200000e-06,1.20521898890448e-11,1.57720686968179e-11
1.05355443200000e-06,1.20570259195412e-11,1.57304950514579e-11
1.08355443200000e-06,1.20618618825713e-11,1.56889210210616e-11
1.11355443200000e-06,1.20666977781340e-11,1.57194960219893e-11
1.14355443200000e-06,1.20715336062310e-11,1.57500709086039e-11
1.17355443200000e-06,1.20763693668629e-11,1.57806456809009e-11
1.20355443200000e-06,1.20812050600305e-11,1.58112203388791e-11
1.23355443200000e-06,1.20860406857340e-11,1.57454745689834e-11
1.26355443200000e-06,1.20584983414829e-11,1.57560627287029e-11
1.29355443200000e-06,1.20309544732087e-11,1.57666508327380e-11
1.32355443200000e-06,1.20521562379233e-11,1.57772388810901e-11
1.35355443200000e-06,1.20733577982153e-11,1.57878268737595e-11
1.38355443200000e-06,1.20945591540855e-11,1.57984148107457e-11
1.41355443200000e-06,1.20406827877156e-11,1.58090026920489e-11
1.44355443200000e-06,1.19868080166826e-11,1.58195905176687e-11
1.47355443200000e-06,1.20281372278482e-11,1.57589442959545e-11
1.50355443200000e-06,1.20694673165799e-11,1.56982966864313e-11
1.53355443200000e-06,1.21107982828827e-11,1.57192343933899e-11
1.56355443200000e-06,1.20459934569748e-11,1.57401715633517e-11
1.59355443200000e-06,1.19811894292170e-11,1.57611081963262e-11
1.62355443200000e-06,1.19968226288230e-11,1.57820442923222e-11
1.65355443200000e-06,1.20124555899176e-11,1.57601766001145e-11
1.68355443200000e-06,1.20280883125052e-11,1.57383073132867e-11
1.71355443200000e-06,1.20437207965861e-11,1.57801249811319e-11
1.74355443200000e-06,1.20593530421641e-11,1.58219423350860e-11
1.77355443200000e-06,1.20749850492410e-11,1.57751833072008e-11
1.80355443200000e-06,1.20136893659778e-11,1.57284250202780e-11
1.83355443200000e-06,1.19523913007085e-11,1.56816674743181e-11
1.86355443200000e-06,1.20088835982952e-11,1.57128000381978e-11
1.89355443200000e-06,1.20653765936987e-11,1.57439320528599e-11
1.92355443200000e-06,1.20251853184699e-11,1.57750635183092e-11
1.95355443200000e-06,1.19849945921512e-11,1.58061944345483e-11
1.98355443200000e-06,1.19448044147462e-11,1.57357210936706e-11
2.00000000000000e-06,1.19227729711606e-11,1.54793812880951e-11
