Time,id(m:nand_2:mn1:1),id(m:nand_3:mn1:1)
5.13554432000000e-07,1.38729316400303e-10,2.09430691592463e-10
5.43554432000000e-07,1.38863798391750e-10,2.09293607912930e-10
5.73554432000000e-07,1.38749022068517e-10,2.09156528418314e-10
6.03554432000000e-07,1.38634253500202e-10,2.09019453109132e-10
6.33554432000000e-07,1.38749593561677e-10,2.09323148826915e-10
6.63554432000000e-07,1.38864941966470e-10,2.09295363970486e-10
6.93554432000000e-07,1.38751676870880e-10,2.09267578621223e-10
7.23554432000000e-07,1.38638419889687e-10,2.09239792779112e-10
7.53554432000000e-07,1.38751332311937e-10,2.09212006444163e-10
7.83554432000001e-07,1.38864252868482e-10,2.09184219616371e-10
8.13554432000001e-07,1.38751632313373e-10,2.09156432295741e-10
8.43554432000001e-07,1.38639019870936e-10,2.09128644482267e-10
8.73554432000001e-07,1.38751535207646e-10,2.09100856175943e-10
9.03554432000001e-07,1.38864058655010e-10,2.09073067376789e-10
9.33554432000001e-07,1.38751588023337e-10,2.09045278084780e-10
9.63554432000001e-07,1.38639125499432e-10,2.09017488299937e-10
9.93554432000001e-07,1.38751566935068e-10,2.09222779897114e-10
1.02355443200000e-06,1.38864016477724e-10,2.09428036916556e-10
1.05355443200000e-06,1.38751577316370e-10,2.09299457946702e-10
1.08355443200000e-06,1.38639146261489e-10,2.09170870235770e-10
1.11355443200000e-06,1.38751573027320e-10,2.09042273783906e-10
1.14355443200000e-06,1.38864007899472e-10,2.09183613093460e-10
1.17355443200000e-06,1.38751575418297e-10,2.09324945877460e-10
1.20355443200000e-06,1.38639151043270e-10,2.09466272135376e-10
1.23355443200000e-06,1.38751574560166e-10,2.09351878609624e-10
1.26355443200000e-06,1.38864006183207e-10,2.09237487493597e-10
1.29355443200000e-06,1.38751575345004e-10,2.09123098787592e-10
1.32355443200000e-06,1.38639152612838e-10,2.09008712491935e-10
1.35355443200000e-06,1.38751575186041e-10,2.09218522257773e-10
1.38355443200000e-06,1.38864005865305e-10,2.09428333618423e-10
1.41355443200000e-06,1.38751575688758e-10,2.09299535189639e-10
1.44355443200000e-06,1.38639153618175e-10,2.09170738178154e-10
1.47355443200000e-06,1.38751575686381e-10,2.09041942584463e-10
1.50355443200000e-06,1.38864005860579e-10,2.08913148409071e-10
1.53355443200000e-06,1.38751576078558e-10,2.09178639550279e-10
1.56355443200000e-06,1.38639154402448e-10,2.09183933837946e-10
1.59355443200000e-06,1.38751576085733e-10,2.09189228152558e-10
1.62355443200000e-06,1.38864005874961e-10,2.09194522494099e-10
1.65355443200000e-06,1.38751576491012e-10,2.09199816862570e-10
1.68355443200000e-06,1.38639155212925e-10,2.09205111257951e-10
1.71355443200000e-06,1.38751576513527e-10,2.09210405680233e-10
1.74355443200000e-06,1.38864005920014e-10,2.09215700129408e-10
1.77355443200000e-06,1.38751576917123e-10,2.09220994605476e-10
1.80355443200000e-06,1.38639156020033e-10,2.09226289108411e-10
1.83355443200000e-06,1.38751576934843e-10,2.09231583638211e-10
1.86355443200000e-06,1.38864005955488e-10,2.09236878194878e-10
1.89355443200000e-06,1.38751577343841e-10,2.09412347758531e-10
1.92355443200000e-06,1.38639156837942e-10,2.09587708554054e-10
1.95355443200000e-06,1.38751577351110e-10,2.09448282155356e-10
1.98355443200000e-06,1.38864005970055e-10,2.09308823357664e-10
2.00000000000000e-06,1.38390529008911e-10,2.09232360303016e-10
