Time,id(m:nand_2:mn1:1),id(m:nand_3:mn1:1)
5.13554432000000e-07,3.33771420460541e-12,6.00585954629043e-12
5.43554432000000e-07,3.33055668630710e-12,5.99447118505344e-12
5.73554432000000e-07,3.32339932652091e-12,5.98308214447485e-12
6.03554432000000e-07,3.31624212524443e-12,5.97169242452957e-12
6.33554432000000e-07,3.30908508247686e-12,5.98053977468984e-12
6.63554432000000e-07,3.31781964244236e-12,5.98938670716273e-12
6.93554432000000e-07,3.32655427886050e-12,5.99823322196060e-12
7.23554432000000e-07,3.33528899172963e-12,6.00707931909647e-12
7.53554432000000e-07,3.34402378104875e-12,5.98335218701052e-12
7.83554432000001e-07,3.35275864681634e-12,5.98185736527864e-12
8.13554432000001e-07,3.36149358903066e-12,5.98036253788438e-12
8.43554432000001e-07,3.34966663744226e-12,5.97886770482764e-12
8.73554432000001e-07,3.33783936808300e-12,5.97737286610848e-12
9.03554432000001e-07,3.32601178095068e-12,5.97587802172686e-12
9.33554432000001e-07,3.33872771123372e-12,5.97438317168270e-12
9.63554432000001e-07,3.35144365202231e-12,5.97288831597627e-12
9.93554432000001e-07,3.36415960331058e-12,5.97139345460695e-12
1.02355443200000e-06,3.37687556509261e-12,5.96989858757557e-12
1.05355443200000e-06,3.36737084428130e-12,5.99477709966517e-12
1.08355443200000e-06,3.35786572774540e-12,5.99692591318537e-12
1.11355443200000e-06,3.36818477671249e-12,5.99907469302825e-12
1.14355443200000e-06,3.37850394017592e-12,6.00122343919402e-12
1.17355443200000e-06,3.36742306212775e-12,6.00337215168280e-12
1.20355443200000e-06,3.35634249523029e-12,6.00552083049512e-12
1.23355443200000e-06,3.34526223948100e-12,6.00766947563102e-12
1.26355443200000e-06,3.33418229487763e-12,6.00981808709166e-12
1.29355443200000e-06,3.32310266141740e-12,5.99123160860351e-12
1.32355443200000e-06,3.34144580056253e-12,5.97264421670021e-12
1.35355443200000e-06,3.35978873430249e-12,5.98140548610848e-12
1.38355443200000e-06,3.35918443912172e-12,5.99016653382744e-12
1.41355443200000e-06,3.35858012883478e-12,5.99892735985887e-12
1.44355443200000e-06,3.35797580344155e-12,6.00768796420524e-12
1.47355443200000e-06,3.35737146294160e-12,5.99088682564789e-12
1.50355443200000e-06,3.35676710733454e-12,5.97408481871492e-12
1.53355443200000e-06,3.35616273662013e-12,5.98159005086129e-12
1.56355443200000e-06,3.36192696367138e-12,5.98909507518686e-12
1.59355443200000e-06,3.36769086269917e-12,5.99659989169478e-12
1.62355443200000e-06,3.36865223174120e-12,6.00410450038851e-12
1.65355443200000e-06,3.35362470083024e-12,5.98704488847126e-12
1.68355443200000e-06,3.33859703401329e-12,5.96998447873320e-12
1.71355443200000e-06,3.32356923129861e-12,5.98396307519545e-12
1.74355443200000e-06,3.34575766202545e-12,5.99794161729975e-12
1.77355443200000e-06,3.36794548072140e-12,6.01192010503877e-12
1.80355443200000e-06,3.36604281883530e-12,6.02589853840395e-12
1.83355443200000e-06,3.36414010031723e-12,6.00804467038612e-12
1.86355443200000e-06,3.36223732516583e-12,5.99019004706229e-12
1.89355443200000e-06,3.36033449337996e-12,6.00420497650799e-12
1.92355443200000e-06,3.35843160495832e-12,6.01821986301906e-12
1.95355443200000e-06,3.35652865989931e-12,6.00473771148909e-12
1.98355443200000e-06,3.36887326001290e-12,5.99125583037257e-12
2.00000000000000e-06,3.34686980818573e-12,5.98386537203383e-12
