Time,v(clk),v(data),v(out)
1.00000000000000e-08,4.50000000000000e-01,0.00000000000000e+00,1.41706380034478e-05
1.00100000000000e-08,4.50000000000000e-01,4.49999999999989e-02,9.77675402414474e-06
1.00300000000000e-08,4.50000000000000e-01,1.34999999999997e-01,2.96015523310045e-06
1.00700000000000e-08,4.50000000000000e-01,3.14999999999992e-01,-3.00554652176571e-06
1.01000000000000e-08,4.50000000000000e-01,4.49999999999997e-01,-6.98189336176963e-06
1.01080000000000e-08,4.50000000000000e-01,4.50000000000000e-01,-8.47650188239707e-06
1.01240000000000e-08,4.50000000000000e-01,4.50000000000000e-01,-9.50012197795114e-06
1.01560000000000e-08,4.50000000000000e-01,4.50000000000000e-01,-6.79566536829906e-06
1.02200000000000e-08,4.50000000000000e-01,4.50000000000000e-01,-1.39093400297607e-07
1.03480000000000e-08,4.50000000000000e-01,4.50000000000000e-01,4.48734888634089e-06
1.06040000000000e-08,4.50000000000000e-01,4.50000000000000e-01,1.35304960007313e-06
1.11160000000000e-08,4.50000000000000e-01,4.50000000000000e-01,1.51899172322507e-06
1.21392328323359e-08,4.50000000000000e-01,4.50000000000000e-01,2.45278580296611e-06
1.41856984970077e-08,4.50000000000000e-01,4.50000000000000e-01,1.18263696175652e-06
1.51000000000000e-08,4.50000000000000e-01,4.50000000000000e-01,2.22125956374046e-06
1.51100000000000e-08,4.04999999999994e-01,4.50000000000000e-01,-7.71636080797861e-05
1.51300000000000e-08,3.14999999999996e-01,4.50000000000000e-01,-2.07537471923015e-04
1.51700000000000e-08,1.35000000000000e-01,4.50000000000000e-01,-3.41191946324704e-04
1.52000000000000e-08,0.00000000000000e+00,4.50000000000000e-01,-1.90328584222348e-04
1.52080000000000e-08,0.00000000000000e+00,4.50000000000000e-01,-2.06595097681783e-05
1.52240000000000e-08,0.00000000000000e+00,4.50000000000000e-01,2.41222923634203e-04
1.52560000000000e-08,0.00000000000000e+00,4.50000000000000e-01,4.46290654143630e-04
1.53200000000000e-08,0.00000000000000e+00,4.50000000000000e-01,3.99608283236833e-04
1.54480000000000e-08,0.00000000000000e+00,4.50000000000000e-01,4.02764462999333e-05
1.57040000000000e-08,0.00000000000000e+00,4.50000000000000e-01,-2.17156905125727e-04
1.62160000000000e-08,0.00000000000000e+00,4.50000000000000e-01,8.90333631976374e-05
1.72400000000000e-08,0.00000000000000e+00,4.50000000000000e-01,-1.29340731352763e-04
1.86647753691222e-08,0.00000000000000e+00,4.50000000000000e-01,1.33408451906783e-04
2.15143261073664e-08,0.00000000000000e+00,4.50000000000000e-01,-1.04354139871866e-04
2.48871099804259e-08,0.00000000000000e+00,4.50000000000000e-01,8.62265530098905e-05
2.50000000000000e-08,0.00000000000000e+00,4.50000000000000e-01,6.93645021839773e-05
2.50100000000000e-08,4.49999999999915e-02,4.50000000000000e-01,2.08443674055439e-04
2.50300000000000e-08,1.35000000000004e-01,4.50000000000000e-01,4.48239337551677e-04
2.50700000000000e-08,3.15000000000000e-01,4.50000000000000e-01,6.96610114028218e-04
2.51000000000000e-08,4.50000000000000e-01,4.50000000000000e-01,7.02293787181153e-04
2.51080000000000e-08,4.50000000000000e-01,4.50000000000000e-01,6.14606583497587e-04
2.51240000000000e-08,4.50000000000000e-01,4.50000000000000e-01,4.44189623515140e-04
2.51560000000000e-08,4.50000000000000e-01,4.50000000000000e-01,-5.66235100606799e-06
2.52200000000000e-08,4.50000000000000e-01,4.50000000000000e-01,-1.43873131041412e-03
2.53480000000000e-08,4.50000000000000e-01,4.50000000000000e-01,-3.89543502715609e-03
2.56040000000000e-08,4.50000000000000e-01,4.50000000000000e-01,-2.81577590522914e-03
2.61160000000000e-08,4.50000000000000e-01,4.50000000000000e-01,2.60560491211945e-01
2.71400000000000e-08,4.50000000000000e-01,4.50000000000000e-01,4.64706741223736e-01
2.85528430207468e-08,4.50000000000000e-01,4.50000000000000e-01,4.39322302365349e-01
3.01000000000000e-08,4.50000000000000e-01,4.50000000000000e-01,4.61286810018633e-01
3.01100000000000e-08,4.50000000000000e-01,4.05000000000023e-01,4.58111686561096e-01
3.01300000000000e-08,4.50000000000000e-01,3.15000000000011e-01,4.53525778294879e-01
3.01700000000000e-08,4.50000000000000e-01,1.35000000000015e-01,4.50258353413257e-01
3.02000000000000e-08,4.50000000000000e-01,1.08801856413265e-14,4.49902057677860e-01
3.02080000000000e-08,4.50000000000000e-01,0.00000000000000e+00,4.49867360920172e-01
3.02240000000000e-08,4.50000000000000e-01,0.00000000000000e+00,4.49810156867466e-01
3.02560000000000e-08,4.50000000000000e-01,0.00000000000000e+00,4.49766729989999e-01
3.03200000000000e-08,4.50000000000000e-01,0.00000000000000e+00,4.49813153543906e-01
3.04480000000000e-08,4.50000000000000e-01,0.00000000000000e+00,4.49885780826084e-01
3.07040000000000e-08,4.50000000000000e-01,0.00000000000000e+00,4.49964573150485e-01
3.12160000000000e-08,4.50000000000000e-01,0.00000000000000e+00,4.49991993305864e-01
3.20500774375812e-08,4.50000000000000e-01,0.00000000000000e+00,4.49965955411433e-01
3.35307728743433e-08,4.50000000000000e-01,0.00000000000000e+00,4.49993194576658e-01
3.51000000000000e-08,4.49999999999978e-01,0.00000000000000e+00,4.49971842733837e-01
3.51100000000000e-08,4.04999999999986e-01,0.00000000000000e+00,4.49879511728601e-01
3.51300000000000e-08,3.14999999999974e-01,0.00000000000000e+00,4.49764026633907e-01
3.51700000000000e-08,1.34999999999978e-01,0.00000000000000e+00,4.49847734648610e-01
3.52000000000000e-08,0.00000000000000e+00,0.00000000000000e+00,4.50905159305929e-01
3.52080000000000e-08,0.00000000000000e+00,0.00000000000000e+00,4.51342972386451e-01
3.52240000000000e-08,0.00000000000000e+00,0.00000000000000e+00,4.51996976006100e-01
3.52560000000000e-08,0.00000000000000e+00,0.00000000000000e+00,4.52600970712342e-01
3.53200000000000e-08,0.00000000000000e+00,0.00000000000000e+00,4.52723563569827e-01
3.54480000000000e-08,0.00000000000000e+00,0.00000000000000e+00,4.47439083187707e-01
3.57040000000000e-08,0.00000000000000e+00,0.00000000000000e+00,4.38024778420967e-01
3.62160000000000e-08,0.00000000000000e+00,0.00000000000000e+00,4.47709655200519e-01
3.69922190307437e-08,0.00000000000000e+00,0.00000000000000e+00,4.50956499488804e-01
