Time,i(vdd)
6.00922497987130e-06,2.52538715006326e-07
6.04922497987130e-06,-2.91430716930867e-07
6.08922497987129e-06,2.51215680219990e-07
6.12922497987129e-06,-2.90111706441027e-07
6.16922497987129e-06,2.49900730787172e-07
6.20922497987129e-06,-2.88800754832590e-07
6.24922497987129e-06,2.48593814297522e-07
6.28922497987129e-06,-2.87497810668575e-07
6.32922497987129e-06,2.47294880145283e-07
6.36922497987129e-06,-2.86202822761595e-07
6.40922497987129e-06,2.46003882123080e-07
6.44922497987129e-06,-2.84915744711098e-07
6.48922497987129e-06,2.44720762826121e-07
6.52922497987129e-06,-2.83636511635499e-07
6.56922497987129e-06,2.43445462601218e-07
6.60922497987129e-06,-2.82365080853247e-07
6.64922497987129e-06,2.42177939862747e-07
6.68922497987129e-06,-2.81101402703837e-07
6.72922497987129e-06,2.40918145726236e-07
6.76922497987129e-06,-2.79845427013499e-07
6.80922497987129e-06,2.39666029045271e-07
6.84922497987129e-06,-2.78597104496596e-07
6.88922497987129e-06,2.38421540075120e-07
6.92922497987129e-06,-2.77356385340261e-07
6.96922497987129e-06,2.37184630487082e-07
7.00922497987129e-06,-2.76123221008318e-07
7.04922497987129e-06,2.35955251938112e-07
7.08922497987129e-06,-2.74897563339399e-07
7.12922497987128e-06,2.34733355336042e-07
7.16922497987128e-06,-2.73679363103523e-07
7.20922497987128e-06,2.33518892018010e-07
7.24922497987128e-06,-2.72468573262273e-07
7.28922497987128e-06,2.32311815807692e-07
7.32922497987128e-06,-2.71265145156258e-07
7.36922497987128e-06,2.31112077752432e-07
7.40922497987128e-06,-2.70069032442407e-07
7.44922497987128e-06,2.29919631008925e-07
7.48922497987128e-06,-2.68880188167177e-07
7.52922497987128e-06,2.28734429635803e-07
7.56922497987128e-06,-2.67698565737715e-07
7.60922497987128e-06,2.27556427789211e-07
7.64922497987128e-06,-2.66524118991586e-07
7.68922497987128e-06,2.26385577779675e-07
7.72922497987128e-06,-2.65356801613641e-07
7.76922497987128e-06,2.25221834332705e-07
7.80922497987128e-06,-2.64196568940224e-07
7.84922497987128e-06,2.24065152894867e-07
7.88922497987128e-06,-2.63043374878470e-07
7.92922497987128e-06,2.22915487956119e-07
7.96922497987128e-06,-2.61897174501246e-07
8.00000000000000e-06,2.21601726881180e-07
