Time,i(vdd)
6.01922235801595e-06,5.87271054687252e-07
6.05922235801595e-06,-7.06250967113568e-07
6.09922235801595e-06,5.83014671675865e-07
6.13922235801595e-06,-7.02036927846294e-07
6.17922235801595e-06,5.78828677661407e-07
6.21922235801595e-06,-6.97864213772940e-07
6.25922235801595e-06,5.74683924701524e-07
6.29922235801595e-06,-6.93732672365000e-07
6.33922235801595e-06,5.70580226163003e-07
6.37922235801595e-06,-6.89642090649742e-07
6.41922235801594e-06,5.66493299636265e-07
6.45922235801594e-06,-6.85595007417363e-07
6.49922235801594e-06,5.62473452355965e-07
6.53922235801594e-06,-6.81587629948858e-07
6.57922235801594e-06,5.58493229388138e-07
6.61922235801594e-06,-6.77619809767090e-07
6.65922235801594e-06,5.54552450386622e-07
6.69922235801594e-06,-6.73691341684631e-07
6.73922235801594e-06,5.50626739768035e-07
6.77922235801594e-06,-6.69804950872214e-07
6.81922235801594e-06,5.46766448024402e-07
6.85922235801594e-06,-6.65956678518978e-07
6.89922235801594e-06,5.42944199296625e-07
6.93922235801594e-06,-6.62146387402917e-07
6.97922235801594e-06,5.39159827005459e-07
7.01922235801594e-06,-6.58373887740681e-07
7.05922235801594e-06,5.35390014608705e-07
7.09922235801594e-06,-6.54641690185881e-07
7.13922235801594e-06,5.31683047559106e-07
7.17922235801594e-06,-6.50946106695101e-07
7.21922235801594e-06,5.28012622276098e-07
7.25922235801594e-06,-6.47287005722066e-07
7.29922235801594e-06,5.24378580646369e-07
7.33922235801594e-06,-6.43664206656423e-07
7.37922235801594e-06,5.20757917305349e-07
7.41922235801594e-06,-6.40080260121928e-07
7.45922235801593e-06,5.17198201538855e-07
7.49922235801593e-06,-6.36531454758899e-07
7.53922235801593e-06,5.13673566619195e-07
7.57922235801593e-06,-6.33017668055618e-07
7.61922235801593e-06,5.10183873723810e-07
7.65922235801593e-06,-6.29538743549491e-07
7.69922235801593e-06,5.06728929741389e-07
7.73922235801593e-06,-6.26094475493194e-07
7.77922235801593e-06,5.03281198093853e-07
7.81922235801593e-06,-6.22688294977017e-07
7.85922235801593e-06,4.99897328825066e-07
7.89922235801593e-06,-6.19315471349806e-07
7.93922235801593e-06,4.96546765615673e-07
7.97922235801593e-06,-6.15975915518696e-07
8.00000000000000e-06,4.91709627243445e-07
