Time,v(clk),v(data),v(out)
1.00000000000000e-08,8.00000000000000e-01,0.00000000000000e+00,-1.64889819468873e-05
1.00100000000000e-08,8.00000000000000e-01,7.99999999999981e-02,-6.53290823701691e-06
1.00300000000000e-08,8.00000000000000e-01,2.39999999999994e-01,1.35727078977299e-06
1.00700000000000e-08,8.00000000000000e-01,5.59999999999987e-01,-3.93580269271443e-07
1.01000000000000e-08,8.00000000000000e-01,7.99999999999994e-01,2.08311933205807e-06
1.01080000000000e-08,8.00000000000000e-01,8.00000000000000e-01,3.30348013770354e-06
1.01240000000000e-08,8.00000000000000e-01,8.00000000000000e-01,5.05652829660419e-06
1.01560000000000e-08,8.00000000000000e-01,8.00000000000000e-01,2.75140563815723e-06
1.02200000000000e-08,8.00000000000000e-01,8.00000000000000e-01,5.45244204096240e-06
1.03480000000000e-08,8.00000000000000e-01,8.00000000000000e-01,3.43910954624799e-06
1.06040000000000e-08,8.00000000000000e-01,8.00000000000000e-01,5.70982118879709e-06
1.11160000000000e-08,8.00000000000000e-01,8.00000000000000e-01,3.22992048278938e-06
1.21400000000000e-08,8.00000000000000e-01,8.00000000000000e-01,5.35993726063534e-06
1.41880000000000e-08,8.00000000000000e-01,8.00000000000000e-01,2.80691893154951e-06
1.51000000000000e-08,8.00000000000000e-01,8.00000000000000e-01,4.97312855594814e-06
1.51100000000000e-08,7.19999999999989e-01,8.00000000000000e-01,-8.14641950032391e-05
1.51300000000000e-08,5.59999999999993e-01,8.00000000000000e-01,-1.69590295294064e-04
1.51700000000000e-08,2.40000000000000e-01,8.00000000000000e-01,1.15878776704381e-04
1.52000000000000e-08,0.00000000000000e+00,8.00000000000000e-01,4.70999137961628e-04
1.52080000000000e-08,0.00000000000000e+00,8.00000000000000e-01,5.18098631204833e-04
1.52240000000000e-08,0.00000000000000e+00,8.00000000000000e-01,3.82691918479963e-04
1.52560000000000e-08,0.00000000000000e+00,8.00000000000000e-01,-3.43662923451088e-04
1.53200000000000e-08,0.00000000000000e+00,8.00000000000000e-01,-3.62301350033241e-04
1.54480000000000e-08,0.00000000000000e+00,8.00000000000000e-01,-8.01397340216004e-05
1.56236585299230e-08,0.00000000000000e+00,8.00000000000000e-01,-1.98857972902658e-06
1.58697961874635e-08,0.00000000000000e+00,8.00000000000000e-01,2.91087416213719e-04
1.63437998434196e-08,0.00000000000000e+00,8.00000000000000e-01,-3.41449513734356e-04
1.68423244331660e-08,0.00000000000000e+00,8.00000000000000e-01,3.65806674444073e-04
1.78393736126587e-08,0.00000000000000e+00,8.00000000000000e-01,-3.60142449318588e-04
1.93253045557188e-08,0.00000000000000e+00,8.00000000000000e-01,3.63847890058124e-04
2.16964450824302e-08,0.00000000000000e+00,8.00000000000000e-01,-3.56763215106883e-04
2.50000000000000e-08,0.00000000000000e+00,8.00000000000000e-01,3.59779034750781e-04
2.50100000000000e-08,7.99999999999848e-02,8.00000000000000e-01,3.91623069761843e-04
2.50300000000000e-08,2.40000000000007e-01,8.00000000000000e-01,3.71458317899587e-04
2.50700000000000e-08,5.60000000000000e-01,8.00000000000000e-01,-1.64154335490711e-04
2.51000000000000e-08,8.00000000000000e-01,8.00000000000000e-01,-3.03050356351273e-03
2.51080000000000e-08,8.00000000000000e-01,8.00000000000000e-01,-4.24314865106823e-03
2.51240000000000e-08,8.00000000000000e-01,8.00000000000000e-01,-6.15306962351927e-03
2.51560000000000e-08,8.00000000000000e-01,8.00000000000000e-01,-2.57838474540426e-03
2.52200000000000e-08,8.00000000000000e-01,8.00000000000000e-01,1.62009510893448e-01
2.53480000000000e-08,8.00000000000000e-01,8.00000000000000e-01,7.36804960111971e-01
2.56040000000000e-08,8.00000000000000e-01,8.00000000000000e-01,8.17016110474577e-01
2.58675001210350e-08,8.00000000000000e-01,8.00000000000000e-01,7.83815713307450e-01
2.63428254622500e-08,8.00000000000000e-01,8.00000000000000e-01,8.14468490222083e-01
2.70015917534019e-08,8.00000000000000e-01,8.00000000000000e-01,7.85553205565228e-01
2.83191243357058e-08,8.00000000000000e-01,8.00000000000000e-01,8.13594999882348e-01
3.01000000000000e-08,8.00000000000000e-01,8.00000000000000e-01,7.86127081840863e-01
3.01100000000000e-08,8.00000000000000e-01,7.20000000000042e-01,7.94127586889447e-01
3.01300000000000e-08,8.00000000000000e-01,5.60000000000019e-01,8.00895898617736e-01
3.01700000000000e-08,8.00000000000000e-01,2.40000000000027e-01,7.99524243230509e-01
