N_W,N_L,P_W,P_L,Corner,Temperature,Power
0.1u,0.1u,0.175u,0.1u,TT,0,9.545727454264046e-09
0.1u,0.1u,0.175u,0.1u,FF,0,3.673513154798344e-09
0.1u,0.1u,0.175u,0.1u,TT,27,1.0011060889755025e-08
0.1u,0.1u,0.175u,0.1u,TT,70,2.4656847346039056e-08
0.1u,0.1u,0.175u,0.1u,FF,27,1.0166534203763956e-08
0.1u,0.1u,0.175u,0.1u,FF,70,3.742261534985376e-08
0.1u,0.1u,0.550u,0.1u,TT,0,8.533553377807997e-09
0.1u,0.1u,0.550u,0.1u,FF,0,7.16219660234292e-11
0.1u,0.1u,0.550u,0.1u,TT,27,8.744897487454736e-09
0.1u,0.1u,0.550u,0.1u,TT,70,3.5393969580747453e-08
0.1u,0.1u,0.550u,0.1u,FF,27,4.6510895849931264e-08
0.1u,0.1u,0.550u,0.1u,FF,70,6.404190446501224e-08
0.1u,0.1u,0.275u,0.1u,TT,0,9.467078047369043e-09
0.1u,0.1u,0.275u,0.1u,FF,0,3.070716410944341e-08
0.1u,0.1u,0.275u,0.1u,TT,27,2.3483795503506746e-08
0.1u,0.1u,0.275u,0.1u,TT,70,2.316806994377393e-08
0.1u,0.1u,0.275u,0.1u,FF,27,2.754870313380616e-09
0.1u,0.1u,0.275u,0.1u,FF,70,3.257271137222798e-08
0.1u,0.1u,0.100u,0.1u,TT,0,1.4423341906072529e-08
0.1u,0.1u,0.100u,0.1u,FF,0,9.964115952253963e-09
0.1u,0.1u,0.100u,0.1u,TT,27,9.963916035228208e-09
0.1u,0.1u,0.100u,0.1u,TT,70,2.3790148311794807e-08
0.1u,0.1u,0.100u,0.1u,FF,27,2.6469832430883924e-08
0.1u,0.1u,0.100u,0.1u,FF,70,4.1561526796952164e-08
0.1u,0.1u,0.3u,0.1u,TT,0,1.1580395500150445e-08
0.1u,0.1u,0.3u,0.1u,FF,0,2.9080296482264063e-08
0.1u,0.1u,0.3u,0.1u,TT,27,1.5566854085764043e-09
0.1u,0.1u,0.3u,0.1u,TT,70,2.4744992146022122e-08
0.1u,0.1u,0.3u,0.1u,FF,27,3.2372797923710718e-09
0.1u,0.1u,0.3u,0.1u,FF,70,6.430851744664397e-08
0.1u,0.1u,0.500u,0.1u,TT,0,1.1403801060450248e-08
0.1u,0.1u,0.500u,0.1u,FF,0,3.4262982811684797e-09
0.1u,0.1u,0.500u,0.1u,TT,27,4.933997120748128e-09
0.1u,0.1u,0.500u,0.1u,TT,70,3.14010971695863e-08
0.1u,0.1u,0.500u,0.1u,FF,27,4.342954248219694e-08
0.1u,0.1u,0.500u,0.1u,FF,70,6.525952710377969e-08
0.1u,0.1u,0.125u,0.1u,TT,0,9.381383017368329e-09
0.1u,0.1u,0.125u,0.1u,FF,0,1.1668588623478256e-08
0.1u,0.1u,0.125u,0.1u,TT,27,1.2245708331909624e-08
0.1u,0.1u,0.125u,0.1u,TT,70,2.3347444757911e-08
