VDD,Corner,Temperature,Power
0.575,FF,70,1.6706251026371052e-08
0.575,FF,27,1.354616566857992e-09
0.575,TT,27,7.243558574073245e-09
0.575,TT,0,8.873980248370389e-10
0.575,TT,70,1.8234268302256344e-08
0.575,FF,0,8.770686574095713e-09
0.7,FF,70,5.1428756665928964e-08
0.7,FF,27,4.36978187740824e-08
0.7,TT,27,3.776883203962929e-09
0.7,TT,0,1.831086468534209e-09
0.7,TT,70,1.6904496164048573e-08
0.7,FF,0,4.312627068647276e-08
0.6,FF,70,1.848831575372179e-08
0.6,FF,27,3.164788398252727e-09
0.6,TT,27,2.887009491852248e-09
0.6,TT,0,6.407811950125308e-09
0.6,TT,70,1.7030243215377472e-08
0.6,FF,0,2.4707566151832847e-10
0.5,FF,70,2.2550234443769533e-08
0.5,FF,27,1.1237463672736578e-08
0.5,TT,27,8.215221803351032e-09
0.5,TT,0,1.073779852474056e-08
0.5,TT,70,1.4371027001478932e-08
0.5,FF,0,3.183161421771785e-09
0.65,FF,70,3.1719413516941154e-08
0.65,FF,27,2.261614664417771e-08
0.65,TT,27,1.6891275919924475e-09
0.65,TT,0,8.76116640984864e-09
0.65,TT,70,1.4829374968153236e-08
0.65,FF,0,2.4592921431328386e-08
0.55,FF,70,1.810552820041697e-08
0.55,FF,27,4.948400340499729e-10
0.55,TT,27,1.0383164624223674e-08
0.55,TT,0,5.586784658230589e-09
0.55,TT,70,1.9363387591707856e-08
0.55,FF,0,1.043587876008865e-08
0.8,FF,70,8.930757148543291e-08
0.8,FF,27,6.702903842891909e-08
0.8,TT,27,3.2675577358894313e-08
0.8,TT,0,3.53029314435242e-08
0.8,TT,70,3.8489633139796086e-08
0.8,FF,0,5.281884827244161e-08
0.775,FF,70,8.004851084347984e-08
0.775,FF,27,6.277242750377614e-08
0.775,TT,27,2.4006931157044162e-08
0.775,TT,0,2.7485064608407505e-08
0.775,TT,70,3.1447547798208005e-08
0.775,FF,0,5.2988356138249454e-08
0.475,FF,70,1.817271786102096e-08
0.475,FF,27,1.5437297945537913e-08
0.475,TT,27,6.4392343728617535e-09
0.475,TT,0,5.450691742195733e-09
0.475,TT,70,1.2739754320707682e-08
0.475,FF,0,1.1625453803616234e-08
0.45,FF,70,1.8163100996173563e-08
0.45,FF,27,1.4490282201650864e-08
0.45,TT,27,5.5667530153897525e-09
0.45,TT,0,3.217246101529341e-09
0.45,TT,70,1.1207036177937482e-08
0.45,FF,0,1.5357678770193683e-08
0.525,FF,70,2.091864229782018e-08
0.525,FF,27,4.19659616921106e-09
0.525,TT,27,2.268348372339131e-09
0.525,TT,0,9.798223530159306e-09
0.525,TT,70,1.6733531042217517e-08
0.525,FF,0,5.587771486653063e-09
0.4,FF,70,1.3597803291927322e-08
0.4,FF,27,6.853778982732385e-09
0.4,TT,27,4.424064735665186e-09
0.4,TT,0,2.3696803641070903e-09
0.4,TT,70,8.774369435173364e-09
0.4,FF,0,3.946673616763723e-09
0.625,FF,70,2.34678944890443e-08
0.625,FF,27,1.1460061432863716e-08
0.625,TT,27,6.44655286317202e-10
0.625,TT,0,9.290945748388618e-09
0.625,TT,70,1.5958505023745694e-08
0.625,FF,0,1.1708632530504908e-08
0.725,FF,70,6.202987138173529e-08
0.725,FF,27,5.1235970670077865e-08
0.725,TT,27,9.460951039598617e-09
0.725,TT,0,9.544559855825702e-09
0.725,TT,70,2.0643689653194082e-08
0.725,FF,0,4.826172995658445e-08
0.675,FF,70,4.0929435260665944e-08
0.675,FF,27,3.3413386994282134e-08
0.675,TT,27,4.007495806422115e-10
0.675,TT,0,4.5753861705433575e-09
0.675,TT,70,1.5073887380502122e-08
0.675,FF,0,3.5416331794614823e-08
0.75,FF,70,7.178091007157193e-08
0.75,FF,27,5.744340575083227e-08
0.75,TT,27,1.6141894190861424e-08
0.75,TT,0,1.899057426141546e-08
0.75,TT,70,2.5350699444543385e-08
0.750,FF,00,5.140053654924059e-08
