Time,v(clk),v(data),v(out)
1.00000000000000e-08,3.30000000000000e-01,0.00000000000000e+00,-8.18018738781272e-06
1.00100000000000e-08,3.30000000000000e-01,3.29999999999992e-02,-7.09050561292085e-06
1.00300000000000e-08,3.30000000000000e-01,9.89999999999976e-02,-6.07986306819588e-06
1.00700000000000e-08,3.30000000000000e-01,2.30999999999994e-01,-5.88188756886487e-06
1.01000000000000e-08,3.30000000000000e-01,3.29999999999998e-01,-4.15879767359795e-06
1.01080000000000e-08,3.30000000000000e-01,3.30000000000000e-01,-3.88817402497202e-06
1.01240000000000e-08,3.30000000000000e-01,3.30000000000000e-01,-3.02595165000558e-06
1.01560000000000e-08,3.30000000000000e-01,3.30000000000000e-01,-1.38943148409593e-06
1.02200000000000e-08,3.30000000000000e-01,3.30000000000000e-01,6.51329605392409e-07
1.03480000000000e-08,3.30000000000000e-01,3.30000000000000e-01,4.10699678650428e-06
1.06040000000000e-08,3.30000000000000e-01,3.30000000000000e-01,5.06531107429854e-06
1.11160000000000e-08,3.30000000000000e-01,3.30000000000000e-01,4.86992234687098e-06
1.21400000000000e-08,3.30000000000000e-01,3.30000000000000e-01,3.76145396667991e-06
1.41880000000000e-08,3.30000000000000e-01,3.30000000000000e-01,3.40235875111172e-06
1.51000000000000e-08,3.30000000000000e-01,3.30000000000000e-01,3.02071871762129e-06
1.51100000000000e-08,2.96999999999995e-01,3.30000000000000e-01,-1.36845781355081e-05
1.51300000000000e-08,2.30999999999997e-01,3.30000000000000e-01,-4.56010212750123e-05
1.51700000000000e-08,9.90000000000001e-02,3.30000000000000e-01,-1.08479889730574e-04
1.52000000000000e-08,0.00000000000000e+00,3.30000000000000e-01,-1.51412654642000e-04
1.52080000000000e-08,0.00000000000000e+00,3.30000000000000e-01,-1.40120285097196e-04
1.52240000000000e-08,0.00000000000000e+00,3.30000000000000e-01,-1.19230214662796e-04
1.52560000000000e-08,0.00000000000000e+00,3.30000000000000e-01,-7.80191172337560e-05
1.53200000000000e-08,0.00000000000000e+00,3.30000000000000e-01,-2.09026722863565e-05
1.54480000000000e-08,0.00000000000000e+00,3.30000000000000e-01,3.18716313065411e-05
1.57040000000000e-08,0.00000000000000e+00,3.30000000000000e-01,4.53733991968505e-05
1.62160000000000e-08,0.00000000000000e+00,3.30000000000000e-01,1.98070399615568e-05
1.72400000000000e-08,0.00000000000000e+00,3.30000000000000e-01,-2.44068772548272e-06
1.92880000000000e-08,0.00000000000000e+00,3.30000000000000e-01,-1.62476339535624e-05
2.30880000000000e-08,0.00000000000000e+00,3.30000000000000e-01,7.14034798058281e-07
2.50000000000000e-08,0.00000000000000e+00,3.30000000000000e-01,-5.59111229517361e-05
2.50100000000000e-08,3.29999999999937e-02,3.30000000000000e-01,-3.25104166584503e-05
2.50300000000000e-08,9.90000000000031e-02,3.30000000000000e-01,6.93154364199422e-06
2.50700000000000e-08,2.31000000000000e-01,3.30000000000000e-01,5.31776015875590e-05
2.51000000000000e-08,3.30000000000000e-01,3.30000000000000e-01,4.85234841576428e-05
2.51080000000000e-08,3.30000000000000e-01,3.30000000000000e-01,2.89297680078106e-05
2.51240000000000e-08,3.30000000000000e-01,3.30000000000000e-01,-1.38170590437900e-05
2.51560000000000e-08,3.30000000000000e-01,3.30000000000000e-01,-1.11454045710637e-04
2.52200000000000e-08,3.30000000000000e-01,3.30000000000000e-01,-3.36494635831868e-04
2.53480000000000e-08,3.30000000000000e-01,3.30000000000000e-01,-7.65746243565258e-04
2.56040000000000e-08,3.30000000000000e-01,3.30000000000000e-01,-1.40664107861431e-03
2.61160000000000e-08,3.30000000000000e-01,3.30000000000000e-01,-2.53048106998245e-03
2.71400000000000e-08,3.30000000000000e-01,3.30000000000000e-01,2.51544277877407e-02
2.91880000000000e-08,3.30000000000000e-01,3.30000000000000e-01,1.74351595933267e-01
3.29880000000000e-08,3.30000000000000e-01,3.30000000000000e-01,3.29491517185389e-01
3.51000000000000e-08,3.29999999999984e-01,3.30000000000000e-01,3.28696691211691e-01
3.51100000000000e-08,2.96999999999990e-01,3.30000000000000e-01,3.28738157812022e-01
3.51300000000000e-08,2.30999999999981e-01,3.30000000000000e-01,3.28812562608258e-01
3.51700000000000e-08,9.89999999999837e-02,3.30000000000000e-01,3.28920377592231e-01
3.52000000000000e-08,0.00000000000000e+00,3.30000000000000e-01,3.29012637116794e-01
3.52080000000000e-08,0.00000000000000e+00,3.30000000000000e-01,3.29057066144194e-01
3.52240000000000e-08,0.00000000000000e+00,3.30000000000000e-01,3.29141560179071e-01
3.52560000000000e-08,0.00000000000000e+00,3.30000000000000e-01,3.29293577731598e-01
3.53200000000000e-08,0.00000000000000e+00,3.30000000000000e-01,3.29522383594016e-01
3.54480000000000e-08,0.00000000000000e+00,3.30000000000000e-01,3.29827453399294e-01
3.57040000000000e-08,0.00000000000000e+00,3.30000000000000e-01,3.30043812275795e-01
3.62160000000000e-08,0.00000000000000e+00,3.30000000000000e-01,3.29781898084193e-01
3.72400000000000e-08,0.00000000000000e+00,3.30000000000000e-01,3.27757036537877e-01
3.92880000000000e-08,0.00000000000000e+00,3.30000000000000e-01,3.20731662243219e-01
4.30880000000000e-08,0.00000000000000e+00,3.30000000000000e-01,3.16672853660466e-01
4.50000000000000e-08,0.00000000000000e+00,3.30000000000000e-01,3.20707202376982e-01
4.50100000000000e-08,3.29999999999937e-02,3.30000000000000e-01,3.20747413834963e-01
4.50300000000000e-08,9.90000000000031e-02,3.30000000000000e-01,3.20820549806970e-01
4.50700000000000e-08,2.31000000000000e-01,3.30000000000000e-01,3.20931623735792e-01
4.51000000000000e-08,3.30000000000000e-01,3.30000000000000e-01,3.20994981911089e-01
4.51080000000000e-08,3.30000000000000e-01,3.03600000000014e-01,3.21001714550480e-01
4.51240000000000e-08,3.30000000000000e-01,2.50799999999998e-01,3.21014417443196e-01
4.51560000000000e-08,3.30000000000000e-01,1.45200000000009e-01,3.21032036165943e-01
4.52000000000000e-08,3.30000000000000e-01,1.88737914186277e-14,3.21037332566223e-01
4.52064000000000e-08,3.30000000000000e-01,0.00000000000000e+00,3.21037070554595e-01
4.52192000000000e-08,3.30000000000000e-01,0.00000000000000e+00,3.21036228176192e-01
4.52448000000000e-08,3.30000000000000e-01,0.00000000000000e+00,3.21029924156345e-01
4.52960000000000e-08,3.30000000000000e-01,0.00000000000000e+00,3.20997146109281e-01
4.53984000000000e-08,3.30000000000000e-01,0.00000000000000e+00,3.21005419174024e-01
4.56032000000000e-08,3.30000000000000e-01,0.00000000000000e+00,3.21341755981341e-01
4.60128000000000e-08,3.30000000000000e-01,0.00000000000000e+00,3.22415808759552e-01
4.68320000000000e-08,3.30000000000000e-01,0.00000000000000e+00,3.26123257989233e-01
4.84704000000000e-08,3.30000000000000e-01,0.00000000000000e+00,3.30619568001408e-01
5.17472000000001e-08,3.30000000000000e-01,0.00000000000000e+00,3.29654524241021e-01
5.51000000000000e-08,3.30000000000000e-01,0.00000000000000e+00,3.30153252143946e-01
5.51100000000000e-08,2.97000000000012e-01,0.00000000000000e+00,3.30136517650797e-01
5.51300000000000e-08,2.31000000000002e-01,0.00000000000000e+00,3.30097671491908e-01
5.51700000000000e-08,9.90000000000056e-02,0.00000000000000e+00,3.30017563221270e-01
5.52000000000000e-08,0.00000000000000e+00,0.00000000000000e+00,3.29994985557545e-01
5.52080000000000e-08,0.00000000000000e+00,0.00000000000000e+00,3.30011722125509e-01
5.52240000000000e-08,0.00000000000000e+00,0.00000000000000e+00,3.30041890383089e-01
5.52560000000000e-08,0.00000000000000e+00,0.00000000000000e+00,3.30099943020957e-01
5.53200000000000e-08,0.00000000000000e+00,0.00000000000000e+00,3.30193298644501e-01
5.54480000000000e-08,0.00000000000000e+00,0.00000000000000e+00,3.30348391244316e-01
5.57040000000000e-08,0.00000000000000e+00,0.00000000000000e+00,3.30545681957236e-01
5.62160000000000e-08,0.00000000000000e+00,0.00000000000000e+00,3.30755584923851e-01
5.72400000000000e-08,0.00000000000000e+00,0.00000000000000e+00,3.30918141303119e-01
5.92880000000000e-08,0.00000000000000e+00,0.00000000000000e+00,3.30768037853550e-01
6.30880000000000e-08,0.00000000000000e+00,0.00000000000000e+00,3.26693794786394e-01
6.50000000000000e-08,0.00000000000000e+00,0.00000000000000e+00,3.24770655273812e-01
6.50100000000000e-08,3.29999999999937e-02,0.00000000000000e+00,3.24784111786384e-01
6.50300000000000e-08,9.89999999999812e-02,0.00000000000000e+00,3.24805314179731e-01
6.50700000000000e-08,2.30999999999956e-01,0.00000000000000e+00,3.24834527959481e-01
6.51000000000000e-08,3.29999999999981e-01,0.00000000000000e+00,3.24834874715972e-01
6.51080000000000e-08,3.30000000000000e-01,0.00000000000000e+00,3.24823443848427e-01
6.51240000000000e-08,3.30000000000000e-01,0.00000000000000e+00,3.24802344666064e-01
6.51560000000000e-08,3.30000000000000e-01,0.00000000000000e+00,3.24767443234095e-01
6.52200000000000e-08,3.30000000000000e-01,0.00000000000000e+00,3.24726899989299e-01
6.53480000000000e-08,3.30000000000000e-01,0.00000000000000e+00,3.24707777934130e-01
6.56040000000000e-08,3.30000000000000e-01,0.00000000000000e+00,3.24830048537038e-01
6.61159999999999e-08,3.30000000000000e-01,0.00000000000000e+00,3.25478008502555e-01
6.71399999999999e-08,3.30000000000000e-01,0.00000000000000e+00,3.27816167404626e-01
6.91879999999998e-08,3.30000000000000e-01,0.00000000000000e+00,3.24600897642164e-01
7.29879999999998e-08,3.30000000000000e-01,0.00000000000000e+00,3.13943962667505e-02
7.51000000000000e-08,3.30000000000000e-01,0.00000000000000e+00,-1.24656922937128e-02
7.51100000000000e-08,2.97000000000034e-01,0.00000000000000e+00,-1.15497918177140e-02
7.51300000000000e-08,2.31000000000046e-01,0.00000000000000e+00,-9.88446572361850e-03
7.51700000000000e-08,9.90000000000711e-02,0.00000000000000e+00,-7.20125076174067e-03
7.52000000000000e-08,4.61852778244065e-14,0.00000000000000e+00,-5.81876487987743e-03
7.52080000000000e-08,0.00000000000000e+00,0.00000000000000e+00,-5.48885664895419e-03
7.52240000000000e-08,0.00000000000000e+00,0.00000000000000e+00,-4.86262916430012e-03
7.52560000000000e-08,0.00000000000000e+00,0.00000000000000e+00,-3.77788802250972e-03
7.53200000000000e-08,0.00000000000000e+00,0.00000000000000e+00,-2.30973563970373e-03
7.54480000000000e-08,0.00000000000000e+00,0.00000000000000e+00,-7.99458998959668e-04
7.57040000000000e-08,0.00000000000000e+00,0.00000000000000e+00,3.18692848419282e-06
7.62159999999999e-08,0.00000000000000e+00,0.00000000000000e+00,8.40009794325636e-06
7.72399999999999e-08,0.00000000000000e+00,0.00000000000000e+00,-2.13194789490155e-05
7.92879999999998e-08,0.00000000000000e+00,0.00000000000000e+00,-1.16241201322426e-04
8.30879999999998e-08,0.00000000000000e+00,0.00000000000000e+00,4.10868140813256e-05
8.50000000000000e-08,0.00000000000000e+00,0.00000000000000e+00,-2.38274657175319e-05
8.50100000000000e-08,3.29999999999937e-02,0.00000000000000e+00,7.22067373393198e-08
8.50300000000000e-08,9.89999999999812e-02,0.00000000000000e+00,4.36660917868328e-05
8.50700000000000e-08,2.30999999999956e-01,0.00000000000000e+00,9.73213549833301e-05
8.51000000000000e-08,3.29999999999981e-01,0.00000000000000e+00,1.05225106967685e-04
8.51080000000000e-08,3.30000000000000e-01,0.00000000000000e+00,9.11942795893614e-05
8.51240000000000e-08,3.30000000000000e-01,0.00000000000000e+00,6.40533330944493e-05
8.51560000000000e-08,3.30000000000000e-01,0.00000000000000e+00,1.73077844455964e-05
8.52200000000000e-08,3.30000000000000e-01,0.00000000000000e+00,-4.25183960914392e-05
8.53480000000000e-08,3.30000000000000e-01,0.00000000000000e+00,-8.34217359329346e-05
8.56040000000000e-08,3.30000000000000e-01,0.00000000000000e+00,-6.95992979796878e-05
8.61159999999999e-08,3.30000000000000e-01,0.00000000000000e+00,-3.64228436731473e-05
8.71399999999999e-08,3.30000000000000e-01,0.00000000000000e+00,2.78206067406673e-05
8.91879999999998e-08,3.30000000000000e-01,0.00000000000000e+00,1.98188608885588e-05
9.00000000000000e-08,3.30000000000000e-01,0.00000000000000e+00,-7.63216516383100e-06
9.00100000000000e-08,3.30000000000000e-01,3.29999999999937e-02,-6.47633668452233e-06
9.00300000000000e-08,3.30000000000000e-01,9.89999999999812e-02,-4.75601797341949e-06
9.00700000000000e-08,3.30000000000000e-01,2.30999999999956e-01,-2.22561890031968e-06
9.01000000000000e-08,3.30000000000000e-01,3.29999999999981e-01,-9.47986130438866e-07
9.01080000000000e-08,3.30000000000000e-01,3.30000000000000e-01,-6.89719685652984e-07
