Time,id(m:nand_2:mn1:1),id(m:nand_3:mn1:1)
5.13554432000000e-07,3.27685899791162e-11,4.73218543788384e-11
5.43554432000000e-07,3.27685900806218e-11,4.73743797607566e-11
5.73554432000000e-07,3.27685901821263e-11,4.74269038846397e-11
6.03554432000000e-07,3.27685902836317e-11,4.74068372832626e-11
6.33554432000000e-07,3.27685903851358e-11,4.73867701547317e-11
6.63554432000000e-07,3.27685904866426e-11,4.73667024990441e-11
6.93554432000000e-07,3.27685905881469e-11,4.73466343161970e-11
7.23554432000000e-07,3.27685906896523e-11,4.73265656061900e-11
7.53554432000000e-07,3.27685907911569e-11,4.73745631088150e-11
7.83554432000001e-07,3.27685908926624e-11,4.74225584613319e-11
8.13554432000001e-07,3.27685909941665e-11,4.73976198017283e-11
8.43554432000001e-07,3.27685910956722e-11,4.73726805943003e-11
8.73554432000001e-07,3.27685911971775e-11,4.73477408390550e-11
9.03554432000001e-07,3.27685912986827e-11,4.73903424647611e-11
9.33554432000001e-07,3.27685914001874e-11,4.74329420485409e-11
9.63554432000001e-07,3.27685915016927e-11,4.74073681780269e-11
9.93554432000001e-07,3.27685916031973e-11,4.73817938811809e-11
1.02355443200000e-06,3.27685917047028e-11,4.73562191580115e-11
1.05355443200000e-06,3.27685918062083e-11,4.73306440085321e-11
1.08355443200000e-06,3.27685919077125e-11,4.73799689630641e-11
1.11355443200000e-06,3.27685920092184e-11,4.74292919946513e-11
1.14355443200000e-06,3.27685921107225e-11,4.74047783404823e-11
1.17355443200000e-06,3.27685922122291e-11,4.73802641609324e-11
1.20355443200000e-06,3.27685923137335e-11,4.73557494560095e-11
1.23355443200000e-06,3.27685924152381e-11,4.73312342257184e-11
1.26355443200000e-06,3.27685925167434e-11,4.73812839007899e-11
1.29355443200000e-06,3.27685926182488e-11,4.74313314436560e-11
1.32355443200000e-06,3.27685927197544e-11,4.74054127166145e-11
1.35355443200000e-06,3.27685928212588e-11,4.73794934412436e-11
1.38355443200000e-06,3.27685929227643e-11,4.73535736175560e-11
1.41355443200000e-06,3.27685930242686e-11,4.73276532455581e-11
1.44355443200000e-06,3.27685931257737e-11,4.73799234153306e-11
1.47355443200000e-06,3.27685932272792e-11,4.74321913179080e-11
1.50355443200000e-06,3.27685933287836e-11,4.74055129013770e-11
1.53355443200000e-06,3.27685934302893e-11,4.73788338891830e-11
1.56355443200000e-06,3.27685935317937e-11,4.73521542813360e-11
1.59355443200000e-06,3.27685936332991e-11,4.73254740778444e-11
1.62355443200000e-06,3.27685937348046e-11,4.73795480301351e-11
1.65355443200000e-06,3.27685938363102e-11,4.74336195390297e-11
1.68355443200000e-06,3.27685939378145e-11,4.74059110683916e-11
1.71355443200000e-06,3.27685940393198e-11,4.73782019594440e-11
1.74355443200000e-06,3.27685941408247e-11,4.73504922121958e-11
1.77355443200000e-06,3.27685942423309e-11,4.73227818266602e-11
1.80355443200000e-06,3.27685943438353e-11,4.73788737949282e-11
1.83355443200000e-06,3.27685944453407e-11,4.74349631400760e-11
1.86355443200000e-06,3.27685945468454e-11,4.74062575303568e-11
1.89355443200000e-06,3.27685946483509e-11,4.73775512340161e-11
1.92355443200000e-06,3.27685947498559e-11,4.73488442510690e-11
1.95355443200000e-06,3.27685948513607e-11,4.73201365815268e-11
1.98355443200000e-06,3.27685949528659e-11,4.73782719487085e-11
2.00000000000000e-06,3.27685950085100e-11,4.74101397234161e-11
