Time,v(clk),v(data),v(out)
1.00000000000000e-08,3.37000000000000e-01,0.00000000000000e+00,3.32519521819737e-05
1.00100000000000e-08,3.37000000000000e-01,3.36999999999992e-02,3.36315134354739e-05
1.00300000000000e-08,3.37000000000000e-01,1.01099999999998e-01,3.38769992736625e-05
1.00700000000000e-08,3.37000000000000e-01,2.35899999999994e-01,3.41772697200447e-05
1.01000000000000e-08,3.37000000000000e-01,3.36999999999997e-01,3.45440745848566e-05
1.01080000000000e-08,3.37000000000000e-01,3.37000000000000e-01,3.44560427796015e-05
1.01240000000000e-08,3.37000000000000e-01,3.37000000000000e-01,3.45191049694812e-05
1.01560000000000e-08,3.37000000000000e-01,3.37000000000000e-01,3.46280174655308e-05
1.02200000000000e-08,3.37000000000000e-01,3.37000000000000e-01,3.43370555455462e-05
1.03480000000000e-08,3.37000000000000e-01,3.37000000000000e-01,3.37684887324694e-05
1.06040000000000e-08,3.37000000000000e-01,3.37000000000000e-01,3.38994874742784e-05
1.11160000000000e-08,3.37000000000000e-01,3.37000000000000e-01,3.38515086826183e-05
1.21400000000000e-08,3.37000000000000e-01,3.37000000000000e-01,2.87913803095046e-05
1.41880000000000e-08,3.37000000000000e-01,3.37000000000000e-01,1.84220711614350e-05
1.51000000000000e-08,3.37000000000000e-01,3.37000000000000e-01,1.68841090889878e-05
1.51100000000000e-08,3.03299999999995e-01,3.37000000000000e-01,1.23640800681751e-06
1.51300000000000e-08,2.35899999999997e-01,3.37000000000000e-01,-3.09682999332130e-05
1.51700000000000e-08,1.01100000000000e-01,3.37000000000000e-01,-9.89108226566969e-05
1.52000000000000e-08,0.00000000000000e+00,3.37000000000000e-01,-1.51303960520387e-04
1.52080000000000e-08,0.00000000000000e+00,3.37000000000000e-01,-1.44838521801825e-04
1.52240000000000e-08,0.00000000000000e+00,3.37000000000000e-01,-1.32035189646440e-04
1.52560000000000e-08,0.00000000000000e+00,3.37000000000000e-01,-1.06909282119427e-04
1.53200000000000e-08,0.00000000000000e+00,3.37000000000000e-01,-6.09910926695663e-05
1.54480000000000e-08,0.00000000000000e+00,3.37000000000000e-01,7.91673038911568e-06
1.57040000000000e-08,0.00000000000000e+00,3.37000000000000e-01,7.30524707588318e-05
1.62160000000000e-08,0.00000000000000e+00,3.37000000000000e-01,7.98476438376005e-05
1.72400000000000e-08,0.00000000000000e+00,3.37000000000000e-01,1.81469398837959e-05
1.92880000000000e-08,0.00000000000000e+00,3.37000000000000e-01,-3.28308128215759e-05
2.30880000000000e-08,0.00000000000000e+00,3.37000000000000e-01,7.54059810796626e-06
2.50000000000000e-08,0.00000000000000e+00,3.37000000000000e-01,-3.97636037788550e-05
2.50100000000000e-08,3.36999999999936e-02,3.37000000000000e-01,-1.67015696632654e-05
2.50300000000000e-08,1.01100000000003e-01,3.37000000000000e-01,2.53597877326178e-05
2.50700000000000e-08,2.35900000000000e-01,3.37000000000000e-01,9.08324342259979e-05
2.51000000000000e-08,3.37000000000000e-01,3.37000000000000e-01,1.20098323702147e-04
2.51080000000000e-08,3.37000000000000e-01,3.37000000000000e-01,1.13552371473459e-04
2.51240000000000e-08,3.37000000000000e-01,3.37000000000000e-01,1.00325068049380e-04
2.51560000000000e-08,3.37000000000000e-01,3.37000000000000e-01,7.33029956939552e-05
2.52200000000000e-08,3.37000000000000e-01,3.37000000000000e-01,1.72119619702010e-05
2.53480000000000e-08,3.37000000000000e-01,3.37000000000000e-01,-9.99657388765750e-05
