Time,v(clk),v(data),v(out)
1.60810985733971e-09,0.00000000000000e+00,0.00000000000000e+00,1.26046230331890e-04
3.03426487396580e-09,0.00000000000000e+00,0.00000000000000e+00,-6.81107965731075e-05
5.00000000000000e-09,0.00000000000000e+00,0.00000000000000e+00,1.24307131924541e-04
5.01000000000000e-09,5.99999999999986e-02,0.00000000000000e+00,8.01571296753234e-04
5.03000000000000e-09,1.80000000000001e-01,0.00000000000000e+00,1.96380964370560e-03
5.07000000000000e-09,4.20000000000000e-01,0.00000000000000e+00,3.12065694976019e-03
5.10000000000000e-09,6.00000000000000e-01,0.00000000000000e+00,1.91263998910046e-03
5.10800000000000e-09,6.00000000000000e-01,0.00000000000000e+00,1.03743158625953e-03
5.12400000000000e-09,6.00000000000000e-01,0.00000000000000e+00,-4.35614675272034e-04
5.15600000000000e-09,6.00000000000000e-01,0.00000000000000e+00,-1.94128533595916e-03
5.22000000000000e-09,6.00000000000000e-01,0.00000000000000e+00,-2.25826449383565e-03
5.34800000000000e-09,6.00000000000000e-01,0.00000000000000e+00,-1.21370086290130e-03
5.60400000000000e-09,6.00000000000000e-01,0.00000000000000e+00,-2.39047899709258e-04
6.11600000000000e-09,6.00000000000000e-01,0.00000000000000e+00,4.38364628467414e-04
7.14000000000000e-09,6.00000000000000e-01,0.00000000000000e+00,1.41807020761761e-04
8.39791817255507e-09,6.00000000000000e-01,0.00000000000000e+00,-8.70124693559508e-05
1.00000000000000e-08,6.00000000000000e-01,0.00000000000000e+00,1.67846360575754e-04
1.00100000000000e-08,6.00000000000000e-01,5.99999999999986e-02,1.86256998029183e-04
1.00300000000000e-08,6.00000000000000e-01,1.79999999999996e-01,2.12240922118564e-04
1.00700000000000e-08,6.00000000000000e-01,4.19999999999990e-01,1.86791654644802e-04
1.01000000000000e-08,6.00000000000000e-01,5.99999999999995e-01,7.68477572866549e-05
1.01080000000000e-08,6.00000000000000e-01,6.00000000000000e-01,3.54310437703231e-05
1.01240000000000e-08,6.00000000000000e-01,6.00000000000000e-01,-2.05632816695639e-05
1.01560000000000e-08,6.00000000000000e-01,6.00000000000000e-01,-5.64050957653217e-05
1.02200000000000e-08,6.00000000000000e-01,6.00000000000000e-01,-2.81908996992430e-05
1.03480000000000e-08,6.00000000000000e-01,6.00000000000000e-01,6.76643577852548e-05
1.06040000000000e-08,6.00000000000000e-01,6.00000000000000e-01,7.53074852189867e-05
1.10326911758372e-08,6.00000000000000e-01,6.00000000000000e-01,2.06031599397430e-05
1.18900735275117e-08,6.00000000000000e-01,6.00000000000000e-01,4.70662977493756e-05
1.36048382308605e-08,6.00000000000000e-01,6.00000000000000e-01,3.12458091962804e-05
1.51000000000000e-08,6.00000000000000e-01,6.00000000000000e-01,3.88946795748749e-05
1.51100000000000e-08,5.39999999999992e-01,6.00000000000000e-01,-3.64554970281511e-04
1.51300000000000e-08,4.19999999999994e-01,6.00000000000000e-01,-1.27801657312443e-03
1.51700000000000e-08,1.80000000000000e-01,6.00000000000000e-01,-2.71710428327561e-03
1.52000000000000e-08,0.00000000000000e+00,6.00000000000000e-01,-2.52605516715582e-03
1.52080000000000e-08,0.00000000000000e+00,6.00000000000000e-01,-1.74452869585999e-03
1.52240000000000e-08,0.00000000000000e+00,6.00000000000000e-01,-3.62056762433921e-04
1.52560000000000e-08,0.00000000000000e+00,6.00000000000000e-01,1.41495433747174e-03
1.53200000000000e-08,0.00000000000000e+00,6.00000000000000e-01,2.60598118157787e-03
1.54480000000000e-08,0.00000000000000e+00,6.00000000000000e-01,1.92048185447835e-03
1.57040000000000e-08,0.00000000000000e+00,6.00000000000000e-01,-4.59295325629078e-04
1.62160000000000e-08,0.00000000000000e+00,6.00000000000000e-01,-7.47497336748809e-04
1.72397962564137e-08,0.00000000000000e+00,6.00000000000000e-01,4.70706677723622e-04
1.82925663919708e-08,0.00000000000000e+00,6.00000000000000e-01,-4.82239928138638e-04
2.01194511077994e-08,0.00000000000000e+00,6.00000000000000e-01,7.15130577923360e-04
2.25414875325559e-08,0.00000000000000e+00,6.00000000000000e-01,-6.92131930513276e-04
2.50000000000000e-08,0.00000000000000e+00,6.00000000000000e-01,7.27671556813251e-04
2.50100000000000e-08,5.99999999999886e-02,6.00000000000000e-01,1.44396483647678e-03
2.50300000000000e-08,1.80000000000006e-01,6.00000000000000e-01,2.72962730562602e-03
2.50700000000000e-08,4.20000000000000e-01,6.00000000000000e-01,4.51400667524168e-03
2.51000000000000e-08,6.00000000000000e-01,6.00000000000000e-01,4.44145886145558e-03
2.51080000000000e-08,6.00000000000000e-01,6.00000000000000e-01,3.79861553331609e-03
2.51240000000000e-08,6.00000000000000e-01,6.00000000000000e-01,2.44996859595518e-03
2.51560000000000e-08,6.00000000000000e-01,6.00000000000000e-01,-5.08993343727296e-04
2.52200000000000e-08,6.00000000000000e-01,6.00000000000000e-01,-6.51491377221831e-03
2.53480000000000e-08,6.00000000000000e-01,6.00000000000000e-01,-1.43681093495659e-02
2.56040000000000e-08,6.00000000000000e-01,6.00000000000000e-01,-1.13297996552991e-04
2.61027695513442e-08,6.00000000000000e-01,6.00000000000000e-01,3.56314950731084e-01
2.69425141533039e-08,6.00000000000000e-01,6.00000000000000e-01,6.15789545699374e-01
2.78091189760023e-08,6.00000000000000e-01,6.00000000000000e-01,5.84587582421227e-01
2.94749607603329e-08,6.00000000000000e-01,6.00000000000000e-01,6.14479248014298e-01
3.12580194525713e-08,6.00000000000000e-01,6.00000000000000e-01,5.86853445208787e-01
3.44943399470199e-08,6.00000000000000e-01,6.00000000000000e-01,6.12396265309698e-01
3.51000000000000e-08,5.99999999999970e-01,6.00000000000000e-01,5.91015463837579e-01
3.51100000000000e-08,5.39999999999982e-01,6.00000000000000e-01,5.92042188054208e-01
3.51300000000000e-08,4.19999999999965e-01,6.00000000000000e-01,5.93674111897659e-01
3.51700000000000e-08,1.79999999999970e-01,6.00000000000000e-01,5.96093294800137e-01
3.52000000000000e-08,0.00000000000000e+00,6.00000000000000e-01,5.98510706107551e-01
3.52080000000000e-08,0.00000000000000e+00,6.00000000000000e-01,5.99437914965390e-01
3.52240000000000e-08,0.00000000000000e+00,6.00000000000000e-01,6.01215883685713e-01
3.52560000000000e-08,0.00000000000000e+00,6.00000000000000e-01,6.03637263527224e-01
3.53200000000000e-08,0.00000000000000e+00,6.00000000000000e-01,6.05744225037310e-01
3.54480000000000e-08,0.00000000000000e+00,6.00000000000000e-01,6.05754652492571e-01
3.57040000000000e-08,0.00000000000000e+00,6.00000000000000e-01,5.99294733675477e-01
3.62160000000000e-08,0.00000000000000e+00,6.00000000000000e-01,5.89623970103844e-01
3.72400000000000e-08,0.00000000000000e+00,6.00000000000000e-01,6.00081908511243e-01
3.85786205007628e-08,0.00000000000000e+00,6.00000000000000e-01,5.99341680771648e-01
4.03753350077360e-08,0.00000000000000e+00,6.00000000000000e-01,6.00238935873785e-01
4.39687640216826e-08,0.00000000000000e+00,6.00000000000000e-01,5.99486498396215e-01
4.50000000000000e-08,0.00000000000000e+00,6.00000000000000e-01,6.00200118240250e-01
4.50100000000000e-08,5.99999999999886e-02,6.00000000000000e-01,6.00539791676934e-01
4.50300000000000e-08,1.80000000000006e-01,6.00000000000000e-01,6.01097595961930e-01
4.50700000000000e-08,4.20000000000000e-01,6.00000000000000e-01,6.01792753335466e-01
4.51000000000000e-08,6.00000000000000e-01,6.00000000000000e-01,6.01690778077611e-01
4.51080000000000e-08,6.00000000000000e-01,5.52000000000025e-01,6.01316669651854e-01
4.51240000000000e-08,6.00000000000000e-01,4.55999999999996e-01,6.00614533218573e-01
4.51560000000000e-08,6.00000000000000e-01,2.64000000000016e-01,5.99401442551621e-01
4.52000000000000e-08,6.00000000000000e-01,3.44169137633799e-14,5.98194175851183e-01
4.52064000000000e-08,6.00000000000000e-01,0.00000000000000e+00,5.98071389876056e-01
4.52192000000000e-08,6.00000000000000e-01,0.00000000000000e+00,5.97791417136867e-01
4.52448000000000e-08,6.00000000000000e-01,0.00000000000000e+00,5.97190190629049e-01
4.52960000000000e-08,6.00000000000000e-01,0.00000000000000e+00,5.95966830119024e-01
4.53984000000000e-08,6.00000000000000e-01,0.00000000000000e+00,5.93840779363768e-01
4.56032000000000e-08,6.00000000000000e-01,0.00000000000000e+00,5.92746571936927e-01
4.60128000000000e-08,6.00000000000000e-01,0.00000000000000e+00,5.97029667477526e-01
4.66704720905174e-08,6.00000000000000e-01,0.00000000000000e+00,6.00297811928286e-01
4.76010660843731e-08,6.00000000000000e-01,0.00000000000000e+00,5.99633291481807e-01
4.89458635050666e-08,6.00000000000000e-01,0.00000000000000e+00,6.00323902835274e-01
5.15768676256440e-08,6.00000000000000e-01,0.00000000000000e+00,5.99702718361194e-01
5.51000000000000e-08,6.00000000000000e-01,0.00000000000000e+00,6.00277808510422e-01
5.51100000000000e-08,5.40000000000021e-01,0.00000000000000e+00,5.99868036457348e-01
5.51300000000000e-08,4.20000000000004e-01,0.00000000000000e+00,5.99141396176434e-01
5.51700000000000e-08,1.80000000000010e-01,0.00000000000000e+00,5.98597503099997e-01
5.52000000000000e-08,0.00000000000000e+00,0.00000000000000e+00,5.99811108564122e-01
5.52080000000000e-08,0.00000000000000e+00,0.00000000000000e+00,6.00694553266027e-01
5.52240000000000e-08,0.00000000000000e+00,0.00000000000000e+00,6.02240866314414e-01
5.52560000000000e-08,0.00000000000000e+00,0.00000000000000e+00,6.04294889428791e-01
5.53200000000000e-08,0.00000000000000e+00,0.00000000000000e+00,6.06133285215262e-01
5.54480000000000e-08,0.00000000000000e+00,0.00000000000000e+00,6.07151089909138e-01
5.57040000000000e-08,0.00000000000000e+00,0.00000000000000e+00,6.07585392769301e-01
5.62160000000000e-08,0.00000000000000e+00,0.00000000000000e+00,6.00691472324305e-01
5.70409396245189e-08,0.00000000000000e+00,0.00000000000000e+00,5.99574701309839e-01
5.79019701010872e-08,0.00000000000000e+00,0.00000000000000e+00,5.99873117362575e-01
5.96240310542238e-08,0.00000000000000e+00,0.00000000000000e+00,5.99854730251869e-01
6.14173610816024e-08,0.00000000000000e+00,0.00000000000000e+00,5.99880674680488e-01
6.50000000000000e-08,0.00000000000000e+00,0.00000000000000e+00,5.99906171553994e-01
6.50100000000000e-08,5.99999999999886e-02,0.00000000000000e+00,6.00278080418867e-01
6.50300000000000e-08,1.79999999999966e-01,0.00000000000000e+00,6.00904460970491e-01
6.50700000000000e-08,4.19999999999920e-01,0.00000000000000e+00,6.01580844893309e-01
6.51000000000000e-08,5.99999999999966e-01,0.00000000000000e+00,6.01158061348767e-01
6.51080000000000e-08,6.00000000000000e-01,0.00000000000000e+00,6.00739218603290e-01
6.51240000000000e-08,6.00000000000000e-01,0.00000000000000e+00,5.99962035045101e-01
6.51560000000000e-08,6.00000000000000e-01,0.00000000000000e+00,5.98890252670184e-01
6.52200000000000e-08,6.00000000000000e-01,0.00000000000000e+00,5.97694221614082e-01
6.53480000000000e-08,6.00000000000000e-01,0.00000000000000e+00,5.97520915012615e-01
6.56040000000000e-08,6.00000000000000e-01,0.00000000000000e+00,6.05410032442119e-01
6.60958254955164e-08,6.00000000000000e-01,0.00000000000000e+00,6.14132099535711e-01
6.62187818693955e-08,6.00000000000000e-01,0.00000000000000e+00,4.68563014099347e-01
6.64646946171537e-08,6.00000000000000e-01,0.00000000000000e+00,1.52427064950093e-01
6.69565201126701e-08,6.00000000000000e-01,0.00000000000000e+00,-3.05198238356535e-02
6.75446319898135e-08,6.00000000000000e-01,0.00000000000000e+00,1.60239531746250e-02
6.87208557441003e-08,6.00000000000000e-01,0.00000000000000e+00,-1.10568717137063e-02
6.99514345205234e-08,6.00000000000000e-01,0.00000000000000e+00,8.31306093012793e-03
7.24125920733695e-08,6.00000000000000e-01,0.00000000000000e+00,-6.99958430737002e-03
7.51000000000000e-08,6.00000000000000e-01,0.00000000000000e+00,6.23182136436437e-03
7.51100000000000e-08,5.40000000000061e-01,0.00000000000000e+00,5.08914824890962e-03
7.51300000000000e-08,4.20000000000084e-01,0.00000000000000e+00,3.00821601240464e-03
7.51700000000000e-08,1.80000000000129e-01,0.00000000000000e+00,1.57401960239931e-04
7.52000000000000e-08,8.40438829641244e-14,0.00000000000000e+00,-3.58568250353852e-04
7.52080000000000e-08,0.00000000000000e+00,0.00000000000000e+00,2.45105587943786e-04
7.52240000000000e-08,0.00000000000000e+00,0.00000000000000e+00,1.28763030413014e-03
7.52560000000000e-08,0.00000000000000e+00,0.00000000000000e+00,2.56665065929278e-03
7.53200000000000e-08,0.00000000000000e+00,0.00000000000000e+00,3.12276413208382e-03
7.54480000000000e-08,0.00000000000000e+00,0.00000000000000e+00,1.54068042941138e-03
7.57040000000000e-08,0.00000000000000e+00,0.00000000000000e+00,-1.62646683305104e-03
7.62159999999999e-08,0.00000000000000e+00,0.00000000000000e+00,-6.69961600034512e-04
7.69074418154767e-08,0.00000000000000e+00,0.00000000000000e+00,6.44902205087609e-04
7.82281041230656e-08,0.00000000000000e+00,0.00000000000000e+00,-5.08707714657747e-04
7.97133410541698e-08,0.00000000000000e+00,0.00000000000000e+00,5.00875762348540e-04
8.26838149163781e-08,0.00000000000000e+00,0.00000000000000e+00,-4.11208685023373e-04
8.50000000000000e-08,0.00000000000000e+00,0.00000000000000e+00,4.31410986100906e-04
8.50100000000000e-08,5.99999999999886e-02,0.00000000000000e+00,1.07163624462701e-03
8.50300000000000e-08,1.79999999999966e-01,0.00000000000000e+00,2.17265866235762e-03
8.50700000000000e-08,4.19999999999920e-01,0.00000000000000e+00,3.19665948178743e-03
8.51000000000000e-08,5.99999999999966e-01,0.00000000000000e+00,1.89858015047498e-03
8.51080000000000e-08,6.00000000000000e-01,0.00000000000000e+00,1.03440332136319e-03
8.51240000000000e-08,6.00000000000000e-01,0.00000000000000e+00,-3.98181134636647e-04
8.51560000000000e-08,6.00000000000000e-01,0.00000000000000e+00,-1.85894003907232e-03
8.52200000000000e-08,6.00000000000000e-01,0.00000000000000e+00,-2.19539412575838e-03
8.53480000000000e-08,6.00000000000000e-01,0.00000000000000e+00,-1.21985541800861e-03
8.56040000000000e-08,6.00000000000000e-01,0.00000000000000e+00,-2.52505023314607e-04
8.61159999999999e-08,6.00000000000000e-01,0.00000000000000e+00,4.46879650834307e-04
8.71399999999999e-08,6.00000000000000e-01,0.00000000000000e+00,1.33674028586276e-04
8.84001432957607e-08,6.00000000000000e-01,0.00000000000000e+00,-8.03433020580696e-05
9.00000000000000e-08,6.00000000000000e-01,0.00000000000000e+00,1.62889211388980e-04
9.00100000000000e-08,6.00000000000000e-01,5.99999999999886e-02,1.81958584230424e-04
9.00300000000000e-08,6.00000000000000e-01,1.79999999999966e-01,2.08830346914587e-04
9.00700000000000e-08,6.00000000000000e-01,4.19999999999920e-01,1.79328814399235e-04
9.01000000000000e-08,6.00000000000000e-01,5.99999999999966e-01,7.46148359646731e-05
9.01080000000000e-08,6.00000000000000e-01,6.00000000000000e-01,3.44748656668503e-05
9.01240000000000e-08,6.00000000000000e-01,6.00000000000000e-01,-2.05455871102045e-05
9.01560000000000e-08,6.00000000000000e-01,6.00000000000000e-01,-5.69137232881850e-05
9.02200000000000e-08,6.00000000000000e-01,6.00000000000000e-01,-3.03943718487631e-05
9.03480000000000e-08,6.00000000000000e-01,6.00000000000000e-01,6.46954894873292e-05
9.06040000000000e-08,6.00000000000000e-01,6.00000000000000e-01,7.48998584610208e-05
9.10447486450881e-08,6.00000000000000e-01,6.00000000000000e-01,2.07342715588810e-05
9.19262459352643e-08,6.00000000000000e-01,6.00000000000000e-01,4.74664688217899e-05
9.36892405156167e-08,6.00000000000000e-01,6.00000000000000e-01,3.08281132603370e-05
9.51000000000000e-08,6.00000000000000e-01,6.00000000000000e-01,3.90832353438092e-05
9.51100000000000e-08,5.40000000000061e-01,6.00000000000000e-01,-3.64659800630343e-04
9.51300000000000e-08,4.20000000000084e-01,6.00000000000000e-01,-1.27805752750418e-03
9.51700000000000e-08,1.80000000000129e-01,6.00000000000000e-01,-2.71712873458888e-03
9.52000000000000e-08,8.40438829641244e-14,6.00000000000000e-01,-2.52600146960859e-03
9.52080000000000e-08,0.00000000000000e+00,6.00000000000000e-01,-1.74437443860577e-03
9.52240000000000e-08,0.00000000000000e+00,6.00000000000000e-01,-3.61870925447275e-04
9.52560000000000e-08,0.00000000000000e+00,6.00000000000000e-01,1.41517913680092e-03
9.53200000000000e-08,0.00000000000000e+00,6.00000000000000e-01,2.60634142300728e-03
9.54480000000000e-08,0.00000000000000e+00,6.00000000000000e-01,1.92104850320234e-03
9.57040000000000e-08,0.00000000000000e+00,6.00000000000000e-01,-4.58931690449978e-04
9.62159999999999e-08,0.00000000000000e+00,6.00000000000000e-01,-7.47619415692478e-04
