Time,v(clk),v(data),v(out),v(reset)
1.67772160000000e-09,0.00000000000000e+00,0.00000000000000e+00,4.04970639765467e-08,6.00000000000000e-01
3.35544320000000e-09,0.00000000000000e+00,0.00000000000000e+00,9.21970798756569e-07,6.00000000000000e-01
5.00000000000000e-09,0.00000000000000e+00,0.00000000000000e+00,1.77040348440377e-07,6.00000000000000e-01
5.01000000000000e-09,5.99999999999986e-02,0.00000000000000e+00,2.21553006979056e-04,5.40000000000002e-01
5.03000000000000e-09,1.80000000000001e-01,0.00000000000000e+00,1.19333667859892e-04,4.19999999999999e-01
5.07000000000000e-09,4.20000000000000e-01,0.00000000000000e+00,-2.83515826531200e-03,1.80000000000000e-01
5.10000000000000e-09,6.00000000000000e-01,0.00000000000000e+00,-6.20905540706161e-03,0.00000000000000e+00
5.10800000000000e-09,6.00000000000000e-01,0.00000000000000e+00,-5.92577967618159e-03,0.00000000000000e+00
5.12400000000000e-09,6.00000000000000e-01,0.00000000000000e+00,-5.12767604468324e-03,0.00000000000000e+00
5.15600000000000e-09,6.00000000000000e-01,0.00000000000000e+00,-3.18298335651243e-03,0.00000000000000e+00
5.22000000000000e-09,6.00000000000000e-01,0.00000000000000e+00,-1.19568984624159e-03,0.00000000000000e+00
5.34800000000000e-09,6.00000000000000e-01,0.00000000000000e+00,-1.46993422629544e-03,0.00000000000000e+00
5.60400000000000e-09,6.00000000000000e-01,0.00000000000000e+00,-8.20225206205387e-04,0.00000000000000e+00
6.11600000000000e-09,6.00000000000000e-01,0.00000000000000e+00,1.73855537858771e-03,0.00000000000000e+00
7.01614587942495e-09,6.00000000000000e-01,0.00000000000000e+00,-5.77179888207290e-04,0.00000000000000e+00
8.23086688900352e-09,6.00000000000000e-01,0.00000000000000e+00,5.23016122864239e-04,0.00000000000000e+00
1.00000000000000e-08,6.00000000000000e-01,0.00000000000000e+00,-3.49569275963047e-04,0.00000000000000e+00
1.00100000000000e-08,6.00000000000000e-01,5.99999999999986e-02,-2.84461975783079e-04,0.00000000000000e+00
1.00300000000000e-08,6.00000000000000e-01,1.79999999999996e-01,-1.97271798028156e-04,0.00000000000000e+00
1.00700000000000e-08,6.00000000000000e-01,4.19999999999990e-01,-1.09536378377115e-04,0.00000000000000e+00
1.01000000000000e-08,6.00000000000000e-01,5.99999999999995e-01,-1.37124775789935e-04,0.00000000000000e+00
1.01080000000000e-08,6.00000000000000e-01,6.00000000000000e-01,-1.49202418455119e-04,0.00000000000000e+00
1.01240000000000e-08,6.00000000000000e-01,6.00000000000000e-01,-1.58063467592215e-04,0.00000000000000e+00
1.01560000000000e-08,6.00000000000000e-01,6.00000000000000e-01,-1.29912037933333e-04,0.00000000000000e+00
1.02200000000000e-08,6.00000000000000e-01,6.00000000000000e-01,-4.65718558728540e-05,0.00000000000000e+00
1.03480000000000e-08,6.00000000000000e-01,6.00000000000000e-01,3.57051332447178e-05,0.00000000000000e+00
1.06040000000000e-08,6.00000000000000e-01,6.00000000000000e-01,2.52331419016705e-05,0.00000000000000e+00
1.11160000000000e-08,6.00000000000000e-01,6.00000000000000e-01,1.27126173439622e-05,0.00000000000000e+00
1.21400000000000e-08,6.00000000000000e-01,6.00000000000000e-01,1.76188343866610e-05,0.00000000000000e+00
1.41880000000000e-08,6.00000000000000e-01,6.00000000000000e-01,7.16175897222306e-06,0.00000000000000e+00
1.51000000000000e-08,6.00000000000000e-01,6.00000000000000e-01,1.08457200152685e-05,0.00000000000000e+00
1.51100000000000e-08,5.39999999999992e-01,6.00000000000000e-01,9.89185296279768e-04,6.00000000000085e-02
1.51300000000000e-08,4.19999999999994e-01,6.00000000000000e-01,2.40342318345571e-03,1.80000000000006e-01
1.51700000000000e-08,1.80000000000000e-01,6.00000000000000e-01,2.59132228095307e-03,4.20000000000000e-01
1.52000000000000e-08,0.00000000000000e+00,6.00000000000000e-01,7.77477284602410e-04,6.00000000000000e-01
1.52080000000000e-08,0.00000000000000e+00,6.00000000000000e-01,5.95985986866110e-04,6.00000000000000e-01
1.52240000000000e-08,0.00000000000000e+00,6.00000000000000e-01,3.36150317632289e-04,6.00000000000000e-01
1.52560000000000e-08,0.00000000000000e+00,6.00000000000000e-01,9.26229986217830e-05,6.00000000000000e-01
1.53200000000000e-08,0.00000000000000e+00,6.00000000000000e-01,1.20173243039839e-04,6.00000000000000e-01
1.54480000000000e-08,0.00000000000000e+00,6.00000000000000e-01,3.76400657238679e-04,6.00000000000000e-01
1.57040000000000e-08,0.00000000000000e+00,6.00000000000000e-01,2.87791626765420e-04,6.00000000000000e-01
1.61451607495728e-08,0.00000000000000e+00,6.00000000000000e-01,-3.70920578587904e-04,6.00000000000000e-01
1.70274822487184e-08,0.00000000000000e+00,6.00000000000000e-01,-4.60633146907759e-05,6.00000000000000e-01
1.81998685689191e-08,0.00000000000000e+00,6.00000000000000e-01,-2.16968472335906e-04,6.00000000000000e-01
1.97659148316616e-08,0.00000000000000e+00,6.00000000000000e-01,3.54625139752169e-04,6.00000000000000e-01
2.22281312137307e-08,0.00000000000000e+00,6.00000000000000e-01,-3.09965143647474e-04,6.00000000000000e-01
2.47353471561335e-08,0.00000000000000e+00,6.00000000000000e-01,2.64261364931474e-04,6.00000000000000e-01
2.50000000000000e-08,0.00000000000000e+00,6.00000000000000e-01,1.18320504028033e-05,6.00000000000000e-01
2.50100000000000e-08,5.99999999999886e-02,6.00000000000000e-01,7.88744869763588e-04,6.00000000000000e-01
2.50300000000000e-08,1.80000000000006e-01,6.00000000000000e-01,2.13202498058802e-03,6.00000000000000e-01
2.50700000000000e-08,4.20000000000000e-01,6.00000000000000e-01,3.66535108581731e-03,6.00000000000000e-01
2.51000000000000e-08,6.00000000000000e-01,6.00000000000000e-01,2.53549253046613e-03,6.00000000000000e-01
2.51080000000000e-08,6.00000000000000e-01,6.00000000000000e-01,1.59588310233139e-03,6.00000000000000e-01
2.51240000000000e-08,6.00000000000000e-01,6.00000000000000e-01,-4.68994359724001e-04,6.00000000000000e-01
2.51560000000000e-08,6.00000000000000e-01,6.00000000000000e-01,-4.95235233934785e-03,6.00000000000000e-01
2.52200000000000e-08,6.00000000000000e-01,6.00000000000000e-01,-1.19952023025269e-02,6.00000000000000e-01
2.53480000000000e-08,6.00000000000000e-01,6.00000000000000e-01,-1.79116534861055e-02,6.00000000000000e-01
2.56040000000000e-08,6.00000000000000e-01,6.00000000000000e-01,1.82245724463119e-02,6.00000000000000e-01
2.61160000000000e-08,6.00000000000000e-01,6.00000000000000e-01,3.62852737688287e-01,6.00000000000000e-01
2.71400000000000e-08,6.00000000000000e-01,6.00000000000000e-01,6.17472856320768e-01,6.00000000000000e-01
2.81121805966217e-08,6.00000000000000e-01,6.00000000000000e-01,5.85826722656643e-01,6.00000000000000e-01
3.00541265910645e-08,6.00000000000000e-01,6.00000000000000e-01,6.12487836621525e-01,6.00000000000000e-01
3.01000000000000e-08,6.00000000000000e-01,6.00000000000000e-01,6.06044899636276e-01,6.00000000000000e-01
3.01100000000000e-08,6.00000000000000e-01,5.40000000000031e-01,6.05152589979467e-01,6.00000000000000e-01
3.01300000000000e-08,6.00000000000000e-01,4.20000000000014e-01,6.03581110286005e-01,6.00000000000000e-01
3.01700000000000e-08,6.00000000000000e-01,1.80000000000020e-01,6.01551579838081e-01,6.00000000000000e-01
3.02000000000000e-08,6.00000000000000e-01,1.44328993201270e-14,6.00877472710806e-01,6.00000000000000e-01
3.02080000000000e-08,6.00000000000000e-01,0.00000000000000e+00,6.00790701528582e-01,6.00000000000000e-01
3.02240000000000e-08,6.00000000000000e-01,0.00000000000000e+00,6.00614062659694e-01,6.00000000000000e-01
3.02560000000000e-08,6.00000000000000e-01,0.00000000000000e+00,6.00357344683049e-01,6.00000000000000e-01
3.03200000000000e-08,6.00000000000000e-01,0.00000000000000e+00,6.00023333409672e-01,6.00000000000000e-01
