Time,v(clk),v(data),v(out)
1.61011462020556e-09,0.00000000000000e+00,0.00000000000000e+00,1.18317093752415e-04
3.04310680774055e-09,0.00000000000000e+00,0.00000000000000e+00,-1.04620873416466e-04
5.00000000000000e-09,0.00000000000000e+00,0.00000000000000e+00,1.02183519123273e-04
5.01000000000000e-09,5.99999999999986e-02,0.00000000000000e+00,7.83397886341103e-04
5.03000000000000e-09,1.80000000000001e-01,0.00000000000000e+00,1.96604507573471e-03
5.07000000000000e-09,4.20000000000000e-01,0.00000000000000e+00,3.07201126885628e-03
5.10000000000000e-09,6.00000000000000e-01,0.00000000000000e+00,1.23093975828316e-03
5.10800000000000e-09,6.00000000000000e-01,0.00000000000000e+00,2.66271746614088e-04
5.12400000000000e-09,6.00000000000000e-01,0.00000000000000e+00,-1.24068284821016e-03
5.15600000000000e-09,6.00000000000000e-01,0.00000000000000e+00,-2.44654475282589e-03
5.22000000000000e-09,6.00000000000000e-01,0.00000000000000e+00,-2.22210138111895e-03
5.34800000000000e-09,6.00000000000000e-01,0.00000000000000e+00,-1.16543192567782e-03
5.60400000000000e-09,6.00000000000000e-01,0.00000000000000e+00,-6.58319755589748e-04
6.11600000000000e-09,6.00000000000000e-01,0.00000000000000e+00,8.27490824999694e-04
7.14000000000000e-09,6.00000000000000e-01,0.00000000000000e+00,-7.46090350097102e-05
8.24605298151490e-09,6.00000000000000e-01,0.00000000000000e+00,-3.64066943241825e-05
1.00000000000000e-08,6.00000000000000e-01,0.00000000000000e+00,8.81859379378395e-05
1.00100000000000e-08,6.00000000000000e-01,5.99999999999986e-02,1.02773434565800e-04
1.00300000000000e-08,6.00000000000000e-01,1.79999999999996e-01,1.17511802757167e-04
1.00700000000000e-08,6.00000000000000e-01,4.19999999999990e-01,7.72317053268079e-05
1.01000000000000e-08,6.00000000000000e-01,5.99999999999995e-01,-4.85160214423463e-05
1.01080000000000e-08,6.00000000000000e-01,6.00000000000000e-01,-8.86577448937775e-05
1.01240000000000e-08,6.00000000000000e-01,6.00000000000000e-01,-1.35271653791874e-04
1.01560000000000e-08,6.00000000000000e-01,6.00000000000000e-01,-1.52071873253168e-04
1.02200000000000e-08,6.00000000000000e-01,6.00000000000000e-01,-7.93528538031718e-05
1.03480000000000e-08,6.00000000000000e-01,6.00000000000000e-01,2.95627908068752e-05
1.06040000000000e-08,6.00000000000000e-01,6.00000000000000e-01,3.45507024636232e-05
1.10253260166748e-08,6.00000000000000e-01,6.00000000000000e-01,-3.71604801656378e-06
1.18679780500245e-08,6.00000000000000e-01,6.00000000000000e-01,1.40032049536672e-05
1.35532821167239e-08,6.00000000000000e-01,6.00000000000000e-01,1.85315368149593e-06
1.51000000000000e-08,6.00000000000000e-01,6.00000000000000e-01,1.05922452068828e-05
1.51100000000000e-08,5.39999999999992e-01,6.00000000000000e-01,-3.95612870316767e-04
1.51300000000000e-08,4.19999999999994e-01,6.00000000000000e-01,-1.24268096523579e-03
1.51700000000000e-08,1.80000000000000e-01,6.00000000000000e-01,-2.89517611508305e-03
1.52000000000000e-08,0.00000000000000e+00,6.00000000000000e-01,-3.13413162928486e-03
1.52080000000000e-08,0.00000000000000e+00,6.00000000000000e-01,-2.47419146962774e-03
1.52240000000000e-08,0.00000000000000e+00,6.00000000000000e-01,-1.28701409402274e-03
1.52560000000000e-08,0.00000000000000e+00,6.00000000000000e-01,3.73259150110355e-04
1.53200000000000e-08,0.00000000000000e+00,6.00000000000000e-01,1.67011982887350e-03
1.54480000000000e-08,0.00000000000000e+00,6.00000000000000e-01,1.61203423619172e-03
1.57040000000000e-08,0.00000000000000e+00,6.00000000000000e-01,4.29329571590753e-04
1.62160000000000e-08,0.00000000000000e+00,6.00000000000000e-01,-3.89685925063599e-04
1.72400000000000e-08,0.00000000000000e+00,6.00000000000000e-01,-1.30897654472988e-04
1.85554552373242e-08,0.00000000000000e+00,6.00000000000000e-01,-1.06090186957118e-04
2.03565490237468e-08,0.00000000000000e+00,6.00000000000000e-01,2.95400138640703e-04
2.31286828434366e-08,0.00000000000000e+00,6.00000000000000e-01,-2.79099853256465e-04
2.50000000000000e-08,0.00000000000000e+00,6.00000000000000e-01,2.32698941921742e-04
2.50100000000000e-08,5.99999999999886e-02,6.00000000000000e-01,1.00507187308828e-03
2.50300000000000e-08,1.80000000000006e-01,6.00000000000000e-01,2.36590169407325e-03
2.50700000000000e-08,4.20000000000000e-01,6.00000000000000e-01,4.00259625868496e-03
2.51000000000000e-08,6.00000000000000e-01,6.00000000000000e-01,3.23917222753753e-03
2.51080000000000e-08,6.00000000000000e-01,6.00000000000000e-01,2.44706388666306e-03
2.51240000000000e-08,6.00000000000000e-01,6.00000000000000e-01,7.39734640282000e-04
2.51560000000000e-08,6.00000000000000e-01,6.00000000000000e-01,-3.06025887153850e-03
2.52200000000000e-08,6.00000000000000e-01,6.00000000000000e-01,-9.82535583840215e-03
2.53480000000000e-08,6.00000000000000e-01,6.00000000000000e-01,-1.67668483523919e-02
2.56040000000000e-08,6.00000000000000e-01,6.00000000000000e-01,-2.87495705726167e-03
2.61160000000000e-08,6.00000000000000e-01,6.00000000000000e-01,2.77530180335311e-01
2.71400000000000e-08,6.00000000000000e-01,6.00000000000000e-01,6.02884136048897e-01
2.82251170886219e-08,6.00000000000000e-01,6.00000000000000e-01,5.91320562389314e-01
3.00035569217836e-08,6.00000000000000e-01,6.00000000000000e-01,6.09650721411736e-01
3.25132827173144e-08,6.00000000000000e-01,6.00000000000000e-01,5.90930071396447e-01
3.51000000000000e-08,5.99999999999970e-01,6.00000000000000e-01,6.08916294347681e-01
3.51100000000000e-08,5.39999999999982e-01,6.00000000000000e-01,6.07327681009410e-01
3.51300000000000e-08,4.19999999999965e-01,6.00000000000000e-01,6.04411732856946e-01
3.51700000000000e-08,1.79999999999970e-01,6.00000000000000e-01,6.00326056624761e-01
3.52000000000000e-08,0.00000000000000e+00,6.00000000000000e-01,5.99576404032950e-01
3.52080000000000e-08,0.00000000000000e+00,6.00000000000000e-01,5.99897120253893e-01
3.52240000000000e-08,0.00000000000000e+00,6.00000000000000e-01,6.00550415521199e-01
