Time,i(vdd)
3.35544320000000e-09,5.71050917324633e-06
6.71088640000000e-09,-5.71310896304525e-06
1.06708864000000e-08,5.71049945674632e-06
1.46308864000000e-08,-5.71310796489933e-06
1.85908864000000e-08,5.71049948264175e-06
2.25508864000000e-08,-5.71310999461393e-06
2.65108864000000e-08,5.71050180329042e-06
3.04708864000000e-08,-5.71310889093624e-06
3.44308864000000e-08,5.71049819084976e-06
3.83908864000000e-08,-5.71311498772954e-06
4.23508864000000e-08,5.71049675774861e-06
4.63108864000000e-08,-5.71311546076791e-06
5.02708864000000e-08,5.71049498464354e-06
5.42308864000000e-08,-5.71311946816605e-06
5.81908864000000e-08,5.71049556163071e-06
6.21508864000000e-08,-5.71311937827645e-06
6.61108864000000e-08,5.71049373473451e-06
7.00708864000000e-08,-5.71312374226156e-06
7.40308864000000e-08,5.71048873656055e-06
7.79908864000000e-08,-5.71311028386514e-06
8.19508864000000e-08,5.71050626873302e-06
8.59108864000001e-08,-5.71310505476987e-06
8.98708864000001e-08,5.71047356740583e-06
9.38308864000001e-08,-5.71309974557888e-06
9.77908864000001e-08,5.71048487174899e-06
1.01750886400000e-07,-5.71310269003195e-06
1.05710886400000e-07,5.71047510749348e-06
1.09670886400000e-07,-5.71310403477879e-06
1.13630886400000e-07,5.71047850582461e-06
1.17590886400000e-07,-5.71311326004153e-06
1.21550886400000e-07,5.71047265245702e-06
1.25510886400000e-07,-5.71311023897221e-06
1.29470886400000e-07,5.71047975994351e-06
1.33430886400000e-07,-5.71311501808588e-06
1.37390886400000e-07,5.71048261427896e-06
1.41350886400000e-07,-5.71310333306561e-06
1.45310886400000e-07,5.71048776046551e-06
1.49270886400000e-07,-5.71309476919351e-06
1.53230886400000e-07,5.71045827945826e-06
1.57190886400000e-07,-5.71312685500519e-06
1.61150886400000e-07,5.71044958602366e-06
1.65110886400000e-07,-5.71313856474534e-06
1.69070886400000e-07,5.71050396600380e-06
1.73030886400000e-07,-5.71315196135934e-06
1.76990886400000e-07,5.71050859373327e-06
1.80950886400000e-07,-5.71314432603121e-06
1.84910886400000e-07,5.71050059212655e-06
1.88870886400000e-07,-5.71315129647592e-06
1.92830886400000e-07,5.71051243387150e-06
1.96790886400000e-07,-5.71313804853117e-06
2.00000000000000e-07,5.71050114829542e-06
