Time,v(clk),v(data),v(out),v(reset)
1.67772160000000e-09,0.00000000000000e+00,0.00000000000000e+00,1.99753572653200e-05,6.00000000000000e-01
3.35544320000000e-09,0.00000000000000e+00,0.00000000000000e+00,1.88577796262704e-05,6.00000000000000e-01
5.00000000000000e-09,0.00000000000000e+00,0.00000000000000e+00,1.98354481934365e-05,6.00000000000000e-01
5.01000000000000e-09,5.99999999999986e-02,0.00000000000000e+00,1.55237949721401e-04,5.40000000000002e-01
5.03000000000000e-09,1.80000000000001e-01,0.00000000000000e+00,-3.21561537962950e-04,4.19999999999999e-01
5.07000000000000e-09,4.20000000000000e-01,0.00000000000000e+00,-3.37189893777931e-03,1.80000000000000e-01
5.10000000000000e-09,6.00000000000000e-01,0.00000000000000e+00,-5.64974768905219e-03,0.00000000000000e+00
5.10800000000000e-09,6.00000000000000e-01,0.00000000000000e+00,-5.03967723095466e-03,0.00000000000000e+00
5.12400000000000e-09,6.00000000000000e-01,0.00000000000000e+00,-3.94783230995002e-03,0.00000000000000e+00
5.15600000000000e-09,6.00000000000000e-01,0.00000000000000e+00,-2.46482476536684e-03,0.00000000000000e+00
5.22000000000000e-09,6.00000000000000e-01,0.00000000000000e+00,-8.42608702347369e-04,0.00000000000000e+00
5.34800000000000e-09,6.00000000000000e-01,0.00000000000000e+00,8.81073223974183e-05,0.00000000000000e+00
5.60400000000000e-09,6.00000000000000e-01,0.00000000000000e+00,-8.29823913434266e-04,0.00000000000000e+00
6.11600000000000e-09,6.00000000000000e-01,0.00000000000000e+00,-1.50891442594969e-03,0.00000000000000e+00
7.03115053209988e-09,6.00000000000000e-01,0.00000000000000e+00,3.22363411139510e-04,0.00000000000000e+00
8.86145159629964e-09,6.00000000000000e-01,0.00000000000000e+00,4.17078817617603e-04,0.00000000000000e+00
1.00000000000000e-08,6.00000000000000e-01,0.00000000000000e+00,5.21064409266872e-05,0.00000000000000e+00
1.00100000000000e-08,6.00000000000000e-01,5.99999999999986e-02,7.90633360861076e-05,0.00000000000000e+00
1.00300000000000e-08,6.00000000000000e-01,1.79999999999996e-01,1.12213592584426e-04,0.00000000000000e+00
1.00700000000000e-08,6.00000000000000e-01,4.19999999999990e-01,1.12894008099371e-04,0.00000000000000e+00
1.01000000000000e-08,6.00000000000000e-01,5.99999999999995e-01,6.74300330204686e-05,0.00000000000000e+00
1.01080000000000e-08,6.00000000000000e-01,6.00000000000000e-01,4.72052734093870e-05,0.00000000000000e+00
1.01240000000000e-08,6.00000000000000e-01,6.00000000000000e-01,1.75378398167975e-05,0.00000000000000e+00
1.01560000000000e-08,6.00000000000000e-01,6.00000000000000e-01,1.66720415938071e-06,0.00000000000000e+00
1.02200000000000e-08,6.00000000000000e-01,6.00000000000000e-01,3.60364091850779e-05,0.00000000000000e+00
1.03480000000000e-08,6.00000000000000e-01,6.00000000000000e-01,1.19322293016533e-04,0.00000000000000e+00
1.06040000000000e-08,6.00000000000000e-01,6.00000000000000e-01,1.33026637289133e-04,0.00000000000000e+00
1.11160000000000e-08,6.00000000000000e-01,6.00000000000000e-01,1.00586035382808e-04,0.00000000000000e+00
1.21400000000000e-08,6.00000000000000e-01,6.00000000000000e-01,9.02309942918053e-05,0.00000000000000e+00
1.41880000000000e-08,6.00000000000000e-01,6.00000000000000e-01,6.00265394578095e-05,0.00000000000000e+00
1.51000000000000e-08,6.00000000000000e-01,6.00000000000000e-01,6.06279510960289e-05,0.00000000000000e+00
1.51100000000000e-08,5.39999999999992e-01,6.00000000000000e-01,1.13583401860522e-03,6.00000000000085e-02
1.51300000000000e-08,4.19999999999994e-01,6.00000000000000e-01,2.63347169525903e-03,1.80000000000006e-01
1.51700000000000e-08,1.80000000000000e-01,6.00000000000000e-01,3.42694125826222e-03,4.20000000000000e-01
1.52000000000000e-08,0.00000000000000e+00,6.00000000000000e-01,2.38296307512523e-03,6.00000000000000e-01
1.52080000000000e-08,0.00000000000000e+00,6.00000000000000e-01,2.22925840247727e-03,6.00000000000000e-01
1.52240000000000e-08,0.00000000000000e+00,6.00000000000000e-01,2.00695325497544e-03,6.00000000000000e-01
1.52560000000000e-08,0.00000000000000e+00,6.00000000000000e-01,1.87941343599514e-03,6.00000000000000e-01
1.53200000000000e-08,0.00000000000000e+00,6.00000000000000e-01,2.05494680333172e-03,6.00000000000000e-01
1.54480000000000e-08,0.00000000000000e+00,6.00000000000000e-01,2.19008975227297e-03,6.00000000000000e-01
1.57040000000000e-08,0.00000000000000e+00,6.00000000000000e-01,2.25007125877752e-05,6.00000000000000e-01
1.62160000000000e-08,0.00000000000000e+00,6.00000000000000e-01,-1.09087963053225e-03,6.00000000000000e-01
1.68898548115026e-08,0.00000000000000e+00,6.00000000000000e-01,8.85970019456783e-04,6.00000000000000e-01
1.81462627275271e-08,0.00000000000000e+00,6.00000000000000e-01,-1.15388260628617e-03,6.00000000000000e-01
1.93083470660281e-08,0.00000000000000e+00,6.00000000000000e-01,1.18134397770276e-03,6.00000000000000e-01
2.16325157430301e-08,0.00000000000000e+00,6.00000000000000e-01,-9.49635422617157e-04,6.00000000000000e-01
2.38433302147199e-08,0.00000000000000e+00,6.00000000000000e-01,7.95384004832363e-04,6.00000000000000e-01
2.50000000000000e-08,0.00000000000000e+00,6.00000000000000e-01,-4.35322217246542e-04,6.00000000000000e-01
2.50100000000000e-08,5.99999999999886e-02,6.00000000000000e-01,3.67855104401807e-04,6.00000000000000e-01
2.50300000000000e-08,1.80000000000006e-01,6.00000000000000e-01,1.86547244414038e-03,6.00000000000000e-01
2.50700000000000e-08,4.20000000000000e-01,6.00000000000000e-01,4.36396549522361e-03,6.00000000000000e-01
2.51000000000000e-08,6.00000000000000e-01,6.00000000000000e-01,4.93234005053390e-03,6.00000000000000e-01
2.51080000000000e-08,6.00000000000000e-01,6.00000000000000e-01,4.54823008844525e-03,6.00000000000000e-01
2.51240000000000e-08,6.00000000000000e-01,6.00000000000000e-01,3.79536087709234e-03,6.00000000000000e-01
2.51560000000000e-08,6.00000000000000e-01,6.00000000000000e-01,2.37442208672278e-03,6.00000000000000e-01
2.52200000000000e-08,6.00000000000000e-01,6.00000000000000e-01,-5.56409266815452e-04,6.00000000000000e-01
2.53480000000000e-08,6.00000000000000e-01,6.00000000000000e-01,-6.44519554379876e-03,6.00000000000000e-01
2.56040000000000e-08,6.00000000000000e-01,6.00000000000000e-01,-1.32827063682983e-02,6.00000000000000e-01
2.61160000000000e-08,6.00000000000000e-01,6.00000000000000e-01,3.74304134681882e-02,6.00000000000000e-01
2.71400000000000e-08,6.00000000000000e-01,6.00000000000000e-01,5.32854115709919e-01,6.00000000000000e-01
2.87099426479645e-08,6.00000000000000e-01,6.00000000000000e-01,6.15767675588975e-01,6.00000000000000e-01
3.01000000000000e-08,6.00000000000000e-01,6.00000000000000e-01,5.85804408600039e-01,6.00000000000000e-01
3.01100000000000e-08,6.00000000000000e-01,5.40000000000031e-01,5.88029859682250e-01,6.00000000000000e-01
3.01300000000000e-08,6.00000000000000e-01,4.20000000000014e-01,5.91762710912759e-01,6.00000000000000e-01
3.01700000000000e-08,6.00000000000000e-01,1.80000000000020e-01,5.96249369721497e-01,6.00000000000000e-01
3.02000000000000e-08,6.00000000000000e-01,1.44328993201270e-14,5.98055350419145e-01,6.00000000000000e-01
3.02080000000000e-08,6.00000000000000e-01,0.00000000000000e+00,5.98375144117420e-01,6.00000000000000e-01
3.02240000000000e-08,6.00000000000000e-01,0.00000000000000e+00,5.98908071397029e-01,6.00000000000000e-01
3.02560000000000e-08,6.00000000000000e-01,0.00000000000000e+00,5.99533271284901e-01,6.00000000000000e-01
3.03200000000000e-08,6.00000000000000e-01,0.00000000000000e+00,6.00021329855056e-01,6.00000000000000e-01
3.04480000000000e-08,6.00000000000000e-01,0.00000000000000e+00,6.00029621409296e-01,6.00000000000000e-01
3.07040000000000e-08,6.00000000000000e-01,0.00000000000000e+00,5.99813690526005e-01,6.00000000000000e-01
3.12160000000000e-08,6.00000000000000e-01,0.00000000000000e+00,6.00055905647935e-01,6.00000000000000e-01
3.20001099174842e-08,6.00000000000000e-01,0.00000000000000e+00,6.00023210845149e-01,6.00000000000000e-01
3.31982496880591e-08,6.00000000000000e-01,0.00000000000000e+00,5.99951205145508e-01,6.00000000000000e-01
3.48108652531224e-08,6.00000000000000e-01,0.00000000000000e+00,6.00045373563544e-01,6.00000000000000e-01
3.51000000000000e-08,5.99999999999970e-01,0.00000000000000e+00,5.99951949407092e-01,6.00000000000000e-01
3.51100000000000e-08,5.39999999999982e-01,0.00000000000000e+00,5.99668150074021e-01,6.00000000000000e-01
3.51300000000000e-08,4.19999999999965e-01,0.00000000000000e+00,5.99117573923839e-01,6.00000000000000e-01
3.51700000000000e-08,1.79999999999970e-01,0.00000000000000e+00,5.98961384050966e-01,6.00000000000000e-01
3.52000000000000e-08,0.00000000000000e+00,0.00000000000000e+00,6.00621828577502e-01,6.00000000000000e-01
3.52080000000000e-08,0.00000000000000e+00,0.00000000000000e+00,6.01566151606032e-01,6.00000000000000e-01
3.52240000000000e-08,0.00000000000000e+00,0.00000000000000e+00,6.03122566802247e-01,6.00000000000000e-01
3.52560000000000e-08,0.00000000000000e+00,0.00000000000000e+00,6.04998478661927e-01,6.00000000000000e-01
3.53200000000000e-08,0.00000000000000e+00,0.00000000000000e+00,6.06481763655992e-01,6.00000000000000e-01
3.54480000000000e-08,0.00000000000000e+00,0.00000000000000e+00,6.06738825062553e-01,6.00000000000000e-01
3.57040000000000e-08,0.00000000000000e+00,0.00000000000000e+00,5.99595977684195e-01,6.00000000000000e-01
3.62160000000000e-08,0.00000000000000e+00,0.00000000000000e+00,5.90199024634096e-01,6.00000000000000e-01
3.70556574944527e-08,0.00000000000000e+00,0.00000000000000e+00,6.01700334520714e-01,6.00000000000000e-01
3.81579738627134e-08,0.00000000000000e+00,0.00000000000000e+00,5.97994458287813e-01,6.00000000000000e-01
3.98759541398021e-08,0.00000000000000e+00,0.00000000000000e+00,6.01146678543894e-01,6.00000000000000e-01
4.18725757211895e-08,0.00000000000000e+00,0.00000000000000e+00,5.98769350914939e-01,6.00000000000000e-01
4.50000000000000e-08,0.00000000000000e+00,0.00000000000000e+00,6.00890981626939e-01,6.00000000000000e-01
4.50100000000000e-08,5.99999999999886e-02,0.00000000000000e+00,6.00424233443044e-01,5.40000000000011e-01
4.50300000000000e-08,1.80000000000006e-01,0.00000000000000e+00,5.99428842427117e-01,4.19999999999994e-01
4.50700000000000e-08,4.20000000000000e-01,0.00000000000000e+00,5.99707319096566e-01,1.80000000000000e-01
4.51000000000000e-08,6.00000000000000e-01,0.00000000000000e+00,6.05759723868366e-01,0.00000000000000e+00
4.51080000000000e-08,6.00000000000000e-01,0.00000000000000e+00,6.08597077863918e-01,0.00000000000000e+00
4.51240000000000e-08,6.00000000000000e-01,0.00000000000000e+00,6.13821352511181e-01,0.00000000000000e+00
4.51560000000000e-08,6.00000000000000e-01,0.00000000000000e+00,6.22108926575625e-01,0.00000000000000e+00
4.52200000000000e-08,6.00000000000000e-01,0.00000000000000e+00,6.33942165506992e-01,0.00000000000000e+00
4.53480000000000e-08,6.00000000000000e-01,0.00000000000000e+00,6.54253034570924e-01,0.00000000000000e+00
4.56040000000000e-08,6.00000000000000e-01,0.00000000000000e+00,5.98497614154208e-01,0.00000000000000e+00
4.61160000000000e-08,6.00000000000000e-01,0.00000000000000e+00,1.57716330625764e-01,0.00000000000000e+00
4.69068461794221e-08,6.00000000000000e-01,0.00000000000000e+00,-3.29674166404809e-02,0.00000000000000e+00
4.78999118799769e-08,6.00000000000000e-01,0.00000000000000e+00,1.86277179651915e-02,0.00000000000000e+00
