Time,i(vdd)
3.35544320000000e-09,-6.01378674282596e-06
6.71088640000000e-09,6.00387798948361e-06
1.06708864000000e-08,-6.01350021602193e-06
1.46308864000000e-08,6.00397262091433e-06
1.85908864000000e-08,-6.01353902083417e-06
2.25508864000000e-08,6.00392974117570e-06
2.65108864000000e-08,-6.01352737079141e-06
3.04708864000000e-08,6.00392790444087e-06
3.44308864000000e-08,-6.01351937238820e-06
3.83908864000000e-08,6.00392444151537e-06
4.23508864000000e-08,-6.01349697310533e-06
4.63108864000000e-08,6.00392867064643e-06
5.02708864000000e-08,-6.01349441803261e-06
5.42308864000000e-08,6.00393375048859e-06
5.81908864000000e-08,-6.01348945967336e-06
6.21508864000000e-08,6.00387613694864e-06
6.61108864000000e-08,-6.01349383988583e-06
7.00708864000000e-08,6.00388329604072e-06
7.40308864000000e-08,-6.01349559444597e-06
7.79908864000000e-08,6.00388501204140e-06
8.19508864000000e-08,-6.01349592444093e-06
8.59108864000001e-08,6.00389855435923e-06
8.98708864000001e-08,-6.01351522625410e-06
9.38308864000001e-08,6.00387495760214e-06
9.77908864000001e-08,-6.01348809519763e-06
1.01750886400000e-07,6.00390145770345e-06
1.05710886400000e-07,-6.01350651932540e-06
1.09670886400000e-07,6.00387897838752e-06
1.13630886400000e-07,-6.01348076172831e-06
1.17590886400000e-07,6.00390462633785e-06
1.21550886400000e-07,-6.01349828779432e-06
1.25510886400000e-07,6.00388276306771e-06
1.29470886400000e-07,-6.01347281309866e-06
1.33430886400000e-07,6.00390722618962e-06
1.37390886400000e-07,-6.01348968546082e-06
1.41350886400000e-07,6.00388634946110e-06
1.45310886400000e-07,-6.01346498803394e-06
1.49270886400000e-07,6.00386977455903e-06
1.53230886400000e-07,-6.01348786105935e-06
1.57190886400000e-07,6.00385104937612e-06
1.61150886400000e-07,-6.01346899043328e-06
1.65110886400000e-07,6.00387299691884e-06
1.69070886400000e-07,-6.01349209738152e-06
1.73030886400000e-07,6.00385075106575e-06
1.76990886400000e-07,-6.01346967449124e-06
1.80950886400000e-07,6.00387264183811e-06
1.84910886400000e-07,-6.01348961431106e-06
1.88870886400000e-07,6.00384934498646e-06
1.92830886400000e-07,-6.01346938684242e-06
1.96790886400000e-07,6.00386866770688e-06
2.00000000000000e-07,-6.01351603573801e-06
