Time,v(clk),v(data),v(out)
1.43693440000000e-09,0.00000000000000e+00,0.00000000000000e+00,-3.04737815486691e-05
2.77911168000000e-09,0.00000000000000e+00,0.00000000000000e+00,3.26438233312389e-05
5.00000000000000e-09,0.00000000000000e+00,0.00000000000000e+00,-1.76183923902371e-05
5.01000000000000e-09,5.99999999999986e-02,0.00000000000000e+00,7.02429567691246e-04
5.03000000000000e-09,1.80000000000001e-01,0.00000000000000e+00,1.95649565016115e-03
5.07000000000000e-09,4.20000000000000e-01,0.00000000000000e+00,3.40896771303632e-03
5.10000000000000e-09,6.00000000000000e-01,0.00000000000000e+00,2.54601767712016e-03
5.10800000000000e-09,6.00000000000000e-01,0.00000000000000e+00,1.75503909654567e-03
5.12400000000000e-09,6.00000000000000e-01,0.00000000000000e+00,2.70463842037216e-04
5.15600000000000e-09,6.00000000000000e-01,0.00000000000000e+00,-1.55614770998649e-03
5.22000000000000e-09,6.00000000000000e-01,0.00000000000000e+00,-2.33515292490437e-03
5.34800000000000e-09,6.00000000000000e-01,0.00000000000000e+00,-1.31364361448252e-03
5.60400000000000e-09,6.00000000000000e-01,0.00000000000000e+00,-3.71672342512556e-04
6.09970567917577e-09,6.00000000000000e-01,0.00000000000000e+00,1.62224965451707e-04
7.09111703752730e-09,6.00000000000000e-01,0.00000000000000e+00,3.49309684392164e-04
8.53686666116525e-09,6.00000000000000e-01,0.00000000000000e+00,-2.54549977413150e-04
1.00000000000000e-08,6.00000000000000e-01,0.00000000000000e+00,2.05006140843386e-04
1.00100000000000e-08,6.00000000000000e-01,5.99999999999986e-02,2.22352809602380e-04
1.00300000000000e-08,6.00000000000000e-01,1.79999999999996e-01,2.41077626061070e-04
1.00700000000000e-08,6.00000000000000e-01,4.19999999999990e-01,2.18663511844491e-04
1.01000000000000e-08,6.00000000000000e-01,5.99999999999995e-01,1.00387543768940e-04
1.01080000000000e-08,6.00000000000000e-01,6.00000000000000e-01,5.41581474384489e-05
1.01240000000000e-08,6.00000000000000e-01,6.00000000000000e-01,-9.92118675177678e-06
1.01560000000000e-08,6.00000000000000e-01,6.00000000000000e-01,-6.57627500210978e-05
1.02200000000000e-08,6.00000000000000e-01,6.00000000000000e-01,-5.14957731208021e-05
1.03480000000000e-08,6.00000000000000e-01,6.00000000000000e-01,4.69671637857716e-05
1.06040000000000e-08,6.00000000000000e-01,6.00000000000000e-01,6.31713386794533e-05
1.10409026649918e-08,6.00000000000000e-01,6.00000000000000e-01,-6.86179150367200e-06
1.18997071256998e-08,6.00000000000000e-01,6.00000000000000e-01,1.51093955105576e-05
1.36173160471158e-08,6.00000000000000e-01,6.00000000000000e-01,8.41597228609658e-06
1.51000000000000e-08,6.00000000000000e-01,6.00000000000000e-01,1.09640607428366e-05
1.51100000000000e-08,5.39999999999992e-01,6.00000000000000e-01,-3.70807847604931e-04
1.51300000000000e-08,4.19999999999994e-01,6.00000000000000e-01,-1.22406753500409e-03
1.51700000000000e-08,1.80000000000000e-01,6.00000000000000e-01,-2.87431327549040e-03
1.52000000000000e-08,0.00000000000000e+00,6.00000000000000e-01,-2.94178152661648e-03
1.52080000000000e-08,0.00000000000000e+00,6.00000000000000e-01,-2.24219571528146e-03
1.52240000000000e-08,0.00000000000000e+00,6.00000000000000e-01,-9.43591257202031e-04
1.52560000000000e-08,0.00000000000000e+00,6.00000000000000e-01,8.63810669350665e-04
1.53200000000000e-08,0.00000000000000e+00,6.00000000000000e-01,2.31586012600946e-03
1.54480000000000e-08,0.00000000000000e+00,6.00000000000000e-01,2.18051119413418e-03
1.57040000000000e-08,0.00000000000000e+00,6.00000000000000e-01,2.19498023491679e-04
1.62160000000000e-08,0.00000000000000e+00,6.00000000000000e-01,-1.07654695252746e-03
1.63440000000000e-08,0.00000000000000e+00,6.00000000000000e-01,-5.08518035874740e-04
