Time,v(clk),v(data),v(out),v(reset)
1.00000000000000e-08,4.50000000000000e-01,0.00000000000000e+00,-2.07595666305625e-02,0.00000000000000e+00
1.00100000000000e-08,4.50000000000000e-01,4.49999999999989e-02,-1.73833741926622e-02,0.00000000000000e+00
1.00300000000000e-08,4.50000000000000e-01,1.34999999999997e-01,-1.25501365930351e-02,0.00000000000000e+00
1.00700000000000e-08,4.50000000000000e-01,3.14999999999992e-01,-8.00480494554714e-03,0.00000000000000e+00
1.01000000000000e-08,4.50000000000000e-01,4.49999999999997e-01,-5.85164611326711e-03,0.00000000000000e+00
1.01080000000000e-08,4.50000000000000e-01,4.50000000000000e-01,-5.40072821628565e-03,0.00000000000000e+00
1.01240000000000e-08,4.50000000000000e-01,4.50000000000000e-01,-4.56325744554032e-03,0.00000000000000e+00
1.01560000000000e-08,4.50000000000000e-01,4.50000000000000e-01,-3.22579796515142e-03,0.00000000000000e+00
1.02200000000000e-08,4.50000000000000e-01,4.50000000000000e-01,-1.62435359529201e-03,0.00000000000000e+00
1.03480000000000e-08,4.50000000000000e-01,4.50000000000000e-01,-3.36965108832282e-04,0.00000000000000e+00
1.06040000000000e-08,4.50000000000000e-01,4.50000000000000e-01,4.36760492251165e-05,0.00000000000000e+00
1.11160000000000e-08,4.50000000000000e-01,4.50000000000000e-01,-2.07075485933825e-05,0.00000000000000e+00
1.21400000000000e-08,4.50000000000000e-01,4.50000000000000e-01,1.60486424480525e-05,0.00000000000000e+00
1.41880000000000e-08,4.50000000000000e-01,4.50000000000000e-01,-1.14781182704833e-05,0.00000000000000e+00
1.51000000000000e-08,4.50000000000000e-01,4.50000000000000e-01,9.69153765665622e-06,0.00000000000000e+00
1.51100000000000e-08,4.04999999999994e-01,4.50000000000000e-01,1.70126697097039e-04,4.50000000000064e-02
1.51300000000000e-08,3.14999999999996e-01,4.50000000000000e-01,3.86169589226049e-04,1.35000000000004e-01
1.51700000000000e-08,1.35000000000000e-01,4.50000000000000e-01,3.79911734002050e-04,3.15000000000000e-01
1.52000000000000e-08,0.00000000000000e+00,4.50000000000000e-01,2.45537600656855e-04,4.50000000000000e-01
1.52080000000000e-08,0.00000000000000e+00,4.50000000000000e-01,1.94738983452215e-04,4.50000000000000e-01
1.52240000000000e-08,0.00000000000000e+00,4.50000000000000e-01,1.14169712486005e-04,4.50000000000000e-01
1.52560000000000e-08,0.00000000000000e+00,4.50000000000000e-01,3.30164281357528e-05,4.50000000000000e-01
1.53200000000000e-08,0.00000000000000e+00,4.50000000000000e-01,-3.74774896463870e-06,4.50000000000000e-01
1.54480000000000e-08,0.00000000000000e+00,4.50000000000000e-01,-7.73167604006843e-05,4.50000000000000e-01
1.57040000000000e-08,0.00000000000000e+00,4.50000000000000e-01,-6.80179143683870e-04,4.50000000000000e-01
1.62160000000000e-08,0.00000000000000e+00,4.50000000000000e-01,-3.07945800031833e-05,4.50000000000000e-01
1.71371322263333e-08,0.00000000000000e+00,4.50000000000000e-01,2.86262007784879e-05,4.50000000000000e-01
1.87511761005315e-08,0.00000000000000e+00,4.50000000000000e-01,-4.92603469920937e-05,4.50000000000000e-01
2.11146310751424e-08,0.00000000000000e+00,4.50000000000000e-01,1.07428918853276e-04,4.50000000000000e-01
2.49146310751424e-08,0.00000000000000e+00,4.50000000000000e-01,-1.29987698774071e-04,4.50000000000000e-01
2.50000000000000e-08,0.00000000000000e+00,4.50000000000000e-01,8.47523697076746e-05,4.50000000000000e-01
2.50100000000000e-08,4.49999999999915e-02,4.50000000000000e-01,1.65068313954277e-04,4.50000000000000e-01
2.50300000000000e-08,1.35000000000004e-01,4.50000000000000e-01,3.11296057358669e-04,4.50000000000000e-01
2.50700000000000e-08,3.15000000000000e-01,4.50000000000000e-01,4.73886515034529e-04,4.50000000000000e-01
2.51000000000000e-08,4.50000000000000e-01,4.50000000000000e-01,4.76495512983642e-04,4.50000000000000e-01
2.51080000000000e-08,4.50000000000000e-01,4.50000000000000e-01,4.23143692605037e-04,4.50000000000000e-01
2.51240000000000e-08,4.50000000000000e-01,4.50000000000000e-01,3.16396145629540e-04,4.50000000000000e-01
2.51560000000000e-08,4.50000000000000e-01,4.50000000000000e-01,4.38824447212896e-05,4.50000000000000e-01
2.52200000000000e-08,4.50000000000000e-01,4.50000000000000e-01,-9.67543465820710e-04,4.50000000000000e-01
2.53480000000000e-08,4.50000000000000e-01,4.50000000000000e-01,-3.11538445053263e-03,4.50000000000000e-01
2.56040000000000e-08,4.50000000000000e-01,4.50000000000000e-01,-2.58705147012200e-03,4.50000000000000e-01
2.61160000000000e-08,4.50000000000000e-01,4.50000000000000e-01,2.04833971519553e-01,4.50000000000000e-01
2.71400000000000e-08,4.50000000000000e-01,4.50000000000000e-01,4.60555899253299e-01,4.50000000000000e-01
2.88108059511339e-08,4.50000000000000e-01,4.50000000000000e-01,4.43152062407349e-01,4.50000000000000e-01
3.13823394482946e-08,4.50000000000000e-01,4.50000000000000e-01,4.57948886837340e-01,4.50000000000000e-01
3.51000000000000e-08,4.49999999999978e-01,4.50000000000000e-01,4.43229177965351e-01,4.50000000000000e-01
3.51100000000000e-08,4.04999999999986e-01,4.50000000000000e-01,4.44726461928386e-01,4.50000000000000e-01
3.51300000000000e-08,3.14999999999974e-01,4.50000000000000e-01,4.47088134456672e-01,4.50000000000000e-01
3.51700000000000e-08,1.34999999999978e-01,4.50000000000000e-01,4.49334263240675e-01,4.50000000000000e-01
3.52000000000000e-08,0.00000000000000e+00,4.50000000000000e-01,4.50491349713331e-01,4.50000000000000e-01
3.52080000000000e-08,0.00000000000000e+00,4.50000000000000e-01,4.50837172196750e-01,4.50000000000000e-01
3.52240000000000e-08,0.00000000000000e+00,4.50000000000000e-01,4.51382634403635e-01,4.50000000000000e-01
3.52560000000000e-08,0.00000000000000e+00,4.50000000000000e-01,4.51945963510513e-01,4.50000000000000e-01
3.53200000000000e-08,0.00000000000000e+00,4.50000000000000e-01,4.52190365281746e-01,4.50000000000000e-01
3.54480000000000e-08,0.00000000000000e+00,4.50000000000000e-01,4.49935716441076e-01,4.50000000000000e-01
3.57040000000000e-08,0.00000000000000e+00,4.50000000000000e-01,4.37506021990001e-01,4.50000000000000e-01
3.62160000000000e-08,0.00000000000000e+00,4.50000000000000e-01,4.40672263408131e-01,4.50000000000000e-01
3.72400000000000e-08,0.00000000000000e+00,4.50000000000000e-01,4.53474071322968e-01,4.50000000000000e-01
3.88746147141282e-08,0.00000000000000e+00,4.50000000000000e-01,4.46238516624462e-01,4.50000000000000e-01
4.19742548324709e-08,0.00000000000000e+00,4.50000000000000e-01,4.52761321593358e-01,4.50000000000000e-01
4.50000000000000e-08,0.00000000000000e+00,4.50000000000000e-01,4.47134307988794e-01,4.50000000000000e-01
4.50100000000000e-08,4.49999999999915e-02,4.50000000000000e-01,4.47373596156848e-01,4.05000000000009e-01
4.50300000000000e-08,1.35000000000004e-01,4.50000000000000e-01,4.47795610873753e-01,3.14999999999996e-01
4.50700000000000e-08,3.15000000000000e-01,4.50000000000000e-01,4.48615103724249e-01,1.35000000000000e-01
4.51000000000000e-08,4.50000000000000e-01,4.50000000000000e-01,4.50447674910133e-01,0.00000000000000e+00
4.51080000000000e-08,4.50000000000000e-01,4.50000000000000e-01,4.51243325410857e-01,0.00000000000000e+00
4.51240000000000e-08,4.50000000000000e-01,4.50000000000000e-01,4.52652642476543e-01,0.00000000000000e+00
4.51560000000000e-08,4.50000000000000e-01,4.50000000000000e-01,4.54778086586038e-01,0.00000000000000e+00
4.52200000000000e-08,4.50000000000000e-01,4.50000000000000e-01,4.58126500491197e-01,0.00000000000000e+00
4.53480000000000e-08,4.50000000000000e-01,4.50000000000000e-01,4.65456653333282e-01,0.00000000000000e+00
4.56040000000000e-08,4.50000000000000e-01,4.50000000000000e-01,4.20734705455572e-01,0.00000000000000e+00
4.61160000000000e-08,4.50000000000000e-01,4.50000000000000e-01,7.21027804859134e-02,0.00000000000000e+00
4.69921049126401e-08,4.50000000000000e-01,4.50000000000000e-01,-3.31651601823332e-02,0.00000000000000e+00
4.82944417318658e-08,4.50000000000000e-01,4.50000000000000e-01,2.99928334838122e-02,0.00000000000000e+00
5.01000000000000e-08,4.50000000000000e-01,4.49999999999974e-01,-2.14187569078556e-02,0.00000000000000e+00
5.03167185768877e-08,4.50000000000000e-01,4.50000000000000e-01,-5.67545736725937e-03,0.00000000000000e+00
5.07501557306630e-08,4.50000000000000e-01,4.50000000000000e-01,2.31254485295020e-03,0.00000000000000e+00
5.16170300382136e-08,4.50000000000000e-01,4.50000000000000e-01,-1.49978447060172e-03,0.00000000000000e+00
5.33507786533148e-08,4.50000000000000e-01,4.50000000000000e-01,1.23393451103374e-03,0.00000000000000e+00
5.51000000000000e-08,4.50000000000000e-01,4.50000000000000e-01,-1.00558311095674e-03,0.00000000000000e+00
5.51100000000000e-08,4.05000000000016e-01,4.50000000000000e-01,-7.13654508756947e-04,4.49999999999840e-02
5.51300000000000e-08,3.15000000000003e-01,4.50000000000000e-01,-2.67413445698986e-04,1.34999999999997e-01
5.51700000000000e-08,1.35000000000008e-01,4.50000000000000e-01,-3.16055966421633e-05,3.14999999999992e-01
5.52000000000000e-08,0.00000000000000e+00,4.50000000000000e-01,-5.57700132568367e-05,4.50000000000000e-01
5.52080000000000e-08,0.00000000000000e+00,4.50000000000000e-01,-8.37238133252621e-05,4.50000000000000e-01
5.52240000000000e-08,0.00000000000000e+00,4.50000000000000e-01,-1.21863135772761e-04,4.50000000000000e-01
5.52560000000000e-08,0.00000000000000e+00,4.50000000000000e-01,-1.35756475344972e-04,4.50000000000000e-01
5.53200000000000e-08,0.00000000000000e+00,4.50000000000000e-01,-8.71212721578682e-05,4.50000000000000e-01
5.54480000000000e-08,0.00000000000000e+00,4.50000000000000e-01,-8.53452781897912e-05,4.50000000000000e-01
5.57040000000000e-08,0.00000000000000e+00,4.50000000000000e-01,-5.84833789801800e-04,4.50000000000000e-01
5.62160000000000e-08,0.00000000000000e+00,4.50000000000000e-01,-2.10319055992531e-05,4.50000000000000e-01
5.70542424874231e-08,0.00000000000000e+00,4.50000000000000e-01,9.66164927359405e-05,4.50000000000000e-01
5.87136796476082e-08,0.00000000000000e+00,4.50000000000000e-01,-1.37828895094875e-04,4.50000000000000e-01
6.08818156190079e-08,0.00000000000000e+00,4.50000000000000e-01,1.62866080141742e-04,4.50000000000000e-01
6.46818156190079e-08,0.00000000000000e+00,4.50000000000000e-01,-1.65531902200116e-04,4.50000000000000e-01
6.50000000000000e-08,0.00000000000000e+00,4.50000000000000e-01,1.25622573935721e-04,4.50000000000000e-01
6.50100000000000e-08,4.49999999999915e-02,4.50000000000000e-01,1.95078057216393e-04,4.50000000000000e-01
6.50300000000000e-08,1.34999999999974e-01,4.50000000000000e-01,3.22573883310612e-04,4.50000000000000e-01
6.50700000000000e-08,3.14999999999940e-01,4.50000000000000e-01,4.74202026173952e-04,4.50000000000000e-01
6.51000000000000e-08,4.49999999999974e-01,4.50000000000000e-01,4.65122749010956e-04,4.50000000000000e-01
6.51080000000000e-08,4.50000000000000e-01,4.50000000000000e-01,4.02108875422399e-04,4.50000000000000e-01
