Time,v(clk),v(data),v(out),v(reset)
1.00000000000000e-08,5.00000000000000e-01,0.00000000000000e+00,1.92576630207849e-06,0.00000000000000e+00
1.00100000000000e-08,5.00000000000000e-01,4.99999999999988e-02,5.79404593840233e-06,0.00000000000000e+00
1.00300000000000e-08,5.00000000000000e-01,1.49999999999996e-01,9.13850977530412e-06,0.00000000000000e+00
1.00700000000000e-08,5.00000000000000e-01,3.49999999999992e-01,7.23037098832036e-06,0.00000000000000e+00
1.01000000000000e-08,5.00000000000000e-01,4.99999999999996e-01,5.10695812448725e-06,0.00000000000000e+00
1.01080000000000e-08,5.00000000000000e-01,5.00000000000000e-01,5.00018707306343e-06,0.00000000000000e+00
1.01240000000000e-08,5.00000000000000e-01,5.00000000000000e-01,5.06075705086761e-06,0.00000000000000e+00
1.01560000000000e-08,5.00000000000000e-01,5.00000000000000e-01,5.75476997451141e-06,0.00000000000000e+00
1.02200000000000e-08,5.00000000000000e-01,5.00000000000000e-01,4.74195755000018e-06,0.00000000000000e+00
1.03480000000000e-08,5.00000000000000e-01,5.00000000000000e-01,4.16604071808505e-06,0.00000000000000e+00
1.06040000000000e-08,5.00000000000000e-01,5.00000000000000e-01,3.33966220543956e-06,0.00000000000000e+00
1.11160000000000e-08,5.00000000000000e-01,5.00000000000000e-01,3.85003166777920e-06,0.00000000000000e+00
1.21400000000000e-08,5.00000000000000e-01,5.00000000000000e-01,2.96367129136010e-06,0.00000000000000e+00
1.41880000000000e-08,5.00000000000000e-01,5.00000000000000e-01,3.19955715834003e-06,0.00000000000000e+00
1.51000000000000e-08,5.00000000000000e-01,5.00000000000000e-01,2.49702406533540e-06,0.00000000000000e+00
1.51100000000000e-08,4.49999999999993e-01,5.00000000000000e-01,1.50201701627189e-04,5.00000000000071e-02
1.51300000000000e-08,3.49999999999995e-01,5.00000000000000e-01,3.02129230284422e-04,1.50000000000005e-01
1.51700000000000e-08,1.50000000000000e-01,5.00000000000000e-01,1.70942155708530e-04,3.50000000000000e-01
1.52000000000000e-08,0.00000000000000e+00,5.00000000000000e-01,8.23694664632557e-05,5.00000000000000e-01
1.52080000000000e-08,0.00000000000000e+00,5.00000000000000e-01,6.52390271600606e-05,5.00000000000000e-01
1.52240000000000e-08,0.00000000000000e+00,5.00000000000000e-01,4.34689346746550e-05,5.00000000000000e-01
1.52560000000000e-08,0.00000000000000e+00,5.00000000000000e-01,3.62817250290567e-05,5.00000000000000e-01
1.53200000000000e-08,0.00000000000000e+00,5.00000000000000e-01,-1.74588306966345e-06,5.00000000000000e-01
1.54480000000000e-08,0.00000000000000e+00,5.00000000000000e-01,-1.41177873712508e-04,5.00000000000000e-01
1.57040000000000e-08,0.00000000000000e+00,5.00000000000000e-01,-2.80420378949830e-05,5.00000000000000e-01
1.61667897856760e-08,0.00000000000000e+00,5.00000000000000e-01,-7.61102564017895e-05,5.00000000000000e-01
1.69413292623857e-08,0.00000000000000e+00,5.00000000000000e-01,7.62220331394286e-05,5.00000000000000e-01
1.81637692136152e-08,0.00000000000000e+00,5.00000000000000e-01,-1.15327710413882e-05,5.00000000000000e-01
1.99585666100702e-08,0.00000000000000e+00,5.00000000000000e-01,-1.54604597906354e-05,5.00000000000000e-01
2.33367016728694e-08,0.00000000000000e+00,5.00000000000000e-01,3.07827334974256e-05,5.00000000000000e-01
2.50000000000000e-08,0.00000000000000e+00,5.00000000000000e-01,-4.83231153833399e-05,5.00000000000000e-01
2.50100000000000e-08,4.99999999999905e-02,5.00000000000000e-01,5.97947587983941e-05,5.00000000000000e-01
2.50300000000000e-08,1.50000000000005e-01,5.00000000000000e-01,2.27127017646066e-04,5.00000000000000e-01
2.50700000000000e-08,3.50000000000000e-01,5.00000000000000e-01,3.52543770621293e-04,5.00000000000000e-01
2.51000000000000e-08,5.00000000000000e-01,5.00000000000000e-01,2.31958103914846e-04,5.00000000000000e-01
2.51080000000000e-08,5.00000000000000e-01,5.00000000000000e-01,6.98068462323190e-05,5.00000000000000e-01
2.51240000000000e-08,5.00000000000000e-01,5.00000000000000e-01,-4.06248142459965e-04,5.00000000000000e-01
2.51560000000000e-08,5.00000000000000e-01,5.00000000000000e-01,-1.77113951073813e-03,5.00000000000000e-01
2.52200000000000e-08,5.00000000000000e-01,5.00000000000000e-01,-3.97429126091352e-03,5.00000000000000e-01
2.53480000000000e-08,5.00000000000000e-01,5.00000000000000e-01,1.49213438901122e-03,5.00000000000000e-01
2.56040000000000e-08,5.00000000000000e-01,5.00000000000000e-01,2.60305874345889e-01,5.00000000000000e-01
2.61160000000000e-08,5.00000000000000e-01,5.00000000000000e-01,5.16343584555529e-01,5.00000000000000e-01
2.68611477802910e-08,5.00000000000000e-01,5.00000000000000e-01,4.88321571631834e-01,5.00000000000000e-01
2.81649774310680e-08,5.00000000000000e-01,5.00000000000000e-01,5.12344631136029e-01,5.00000000000000e-01
2.99841432672040e-08,5.00000000000000e-01,5.00000000000000e-01,4.88847167727149e-01,5.00000000000000e-01
3.28687535237088e-08,5.00000000000000e-01,5.00000000000000e-01,5.11434169433645e-01,5.00000000000000e-01
3.51000000000000e-08,4.99999999999975e-01,5.00000000000000e-01,4.89288249953913e-01,5.00000000000000e-01
3.51100000000000e-08,4.49999999999985e-01,5.00000000000000e-01,4.92901602088603e-01,5.00000000000000e-01
3.51300000000000e-08,3.49999999999971e-01,5.00000000000000e-01,4.97680103579368e-01,5.00000000000000e-01
3.51700000000000e-08,1.49999999999975e-01,5.00000000000000e-01,5.00257326724379e-01,5.00000000000000e-01
3.52000000000000e-08,0.00000000000000e+00,5.00000000000000e-01,5.01378816707278e-01,5.00000000000000e-01
3.52080000000000e-08,0.00000000000000e+00,5.00000000000000e-01,5.01727008772602e-01,5.00000000000000e-01
3.52240000000000e-08,0.00000000000000e+00,5.00000000000000e-01,5.02208819726939e-01,5.00000000000000e-01
3.52560000000000e-08,0.00000000000000e+00,5.00000000000000e-01,5.02414985221252e-01,5.00000000000000e-01
3.53200000000000e-08,0.00000000000000e+00,5.00000000000000e-01,4.99694964110206e-01,5.00000000000000e-01
3.54480000000000e-08,0.00000000000000e+00,5.00000000000000e-01,4.85772440625743e-01,5.00000000000000e-01
3.57040000000000e-08,0.00000000000000e+00,5.00000000000000e-01,4.89557912392003e-01,5.00000000000000e-01
3.62160000000000e-08,0.00000000000000e+00,5.00000000000000e-01,5.04054889536003e-01,5.00000000000000e-01
3.70014254951939e-08,0.00000000000000e+00,5.00000000000000e-01,4.95820662940613e-01,5.00000000000000e-01
3.84645549057468e-08,0.00000000000000e+00,5.00000000000000e-01,5.03097715405137e-01,5.00000000000000e-01
4.13908137268525e-08,0.00000000000000e+00,5.00000000000000e-01,4.96707534308827e-01,5.00000000000000e-01
4.50000000000000e-08,0.00000000000000e+00,5.00000000000000e-01,5.02876030411073e-01,5.00000000000000e-01
4.50100000000000e-08,4.99999999999905e-02,5.00000000000000e-01,5.02183758771964e-01,4.50000000000010e-01
4.50300000000000e-08,1.50000000000005e-01,5.00000000000000e-01,5.01073027660784e-01,3.49999999999995e-01
4.50700000000000e-08,3.50000000000000e-01,5.00000000000000e-01,5.00648888574724e-01,1.50000000000000e-01
4.51000000000000e-08,5.00000000000000e-01,5.00000000000000e-01,5.03438283140070e-01,0.00000000000000e+00
4.51080000000000e-08,5.00000000000000e-01,5.00000000000000e-01,5.04624356840339e-01,0.00000000000000e+00
4.51240000000000e-08,5.00000000000000e-01,5.00000000000000e-01,5.06670861480922e-01,0.00000000000000e+00
4.51560000000000e-08,5.00000000000000e-01,5.00000000000000e-01,5.10054432733637e-01,0.00000000000000e+00
4.52200000000000e-08,5.00000000000000e-01,5.00000000000000e-01,5.17877374849195e-01,0.00000000000000e+00
4.53480000000000e-08,5.00000000000000e-01,5.00000000000000e-01,4.52317308750260e-01,0.00000000000000e+00
4.56040000000000e-08,5.00000000000000e-01,5.00000000000000e-01,6.96245400305453e-02,0.00000000000000e+00
4.60239794638251e-08,5.00000000000000e-01,5.00000000000000e-01,-3.30262109930287e-02,0.00000000000000e+00
4.66733209416998e-08,5.00000000000000e-01,5.00000000000000e-01,2.80133462781807e-02,0.00000000000000e+00
4.76656013607540e-08,5.00000000000000e-01,5.00000000000000e-01,-2.10082852294035e-02,0.00000000000000e+00
4.93637974964008e-08,5.00000000000000e-01,5.00000000000000e-01,2.06658655879826e-02,0.00000000000000e+00
5.01000000000000e-08,5.00000000000000e-01,4.99999999999971e-01,-1.50975831730449e-02,0.00000000000000e+00
5.04396392271294e-08,5.00000000000000e-01,5.00000000000000e-01,-1.56247498813406e-03,0.00000000000000e+00
5.11189176813881e-08,5.00000000000000e-01,5.00000000000000e-01,1.17672224973007e-03,0.00000000000000e+00
5.24774745899056e-08,5.00000000000000e-01,5.00000000000000e-01,-1.01254156275459e-03,0.00000000000000e+00
5.51000000000000e-08,5.00000000000000e-01,5.00000000000000e-01,9.46631024945612e-04,0.00000000000000e+00
5.51100000000000e-08,4.50000000000018e-01,5.00000000000000e-01,9.12160507888379e-04,4.99999999999822e-02
5.51300000000000e-08,3.50000000000004e-01,5.00000000000000e-01,7.92898524277198e-04,1.49999999999996e-01
5.51700000000000e-08,1.50000000000008e-01,5.00000000000000e-01,3.87940241711252e-04,3.49999999999992e-01
5.52000000000000e-08,0.00000000000000e+00,5.00000000000000e-01,1.95609335252492e-04,5.00000000000000e-01
5.52080000000000e-08,0.00000000000000e+00,5.00000000000000e-01,1.62452627370170e-04,5.00000000000000e-01
5.52240000000000e-08,0.00000000000000e+00,5.00000000000000e-01,1.12742424899927e-04,5.00000000000000e-01
5.52560000000000e-08,0.00000000000000e+00,5.00000000000000e-01,6.37297485696284e-05,5.00000000000000e-01
5.53200000000000e-08,0.00000000000000e+00,5.00000000000000e-01,-8.09394322377338e-05,5.00000000000000e-01
5.54480000000000e-08,0.00000000000000e+00,5.00000000000000e-01,-6.76430858582631e-04,5.00000000000000e-01
5.57040000000000e-08,0.00000000000000e+00,5.00000000000000e-01,-2.05364560779998e-05,5.00000000000000e-01
5.61223892705359e-08,0.00000000000000e+00,5.00000000000000e-01,9.54833471041878e-05,5.00000000000000e-01
5.69193897955067e-08,0.00000000000000e+00,5.00000000000000e-01,-1.40424877505243e-04,5.00000000000000e-01
5.80251966355713e-08,0.00000000000000e+00,5.00000000000000e-01,1.69426255102159e-04,5.00000000000000e-01
5.98051357458875e-08,0.00000000000000e+00,5.00000000000000e-01,-1.74353980432580e-04,5.00000000000000e-01
6.33650139665198e-08,0.00000000000000e+00,5.00000000000000e-01,1.78751374461536e-04,5.00000000000000e-01
6.50000000000000e-08,0.00000000000000e+00,5.00000000000000e-01,-1.77693765204662e-04,5.00000000000000e-01
6.50100000000000e-08,4.99999999999905e-02,5.00000000000000e-01,-3.09622451112393e-05,5.00000000000000e-01
6.50300000000000e-08,1.49999999999972e-01,5.00000000000000e-01,1.82009058381609e-04,5.00000000000000e-01
6.50700000000000e-08,3.49999999999934e-01,5.00000000000000e-01,3.33306593894279e-04,5.00000000000000e-01
6.51000000000000e-08,4.99999999999971e-01,5.00000000000000e-01,1.37352518348101e-04,5.00000000000000e-01
6.51080000000000e-08,5.00000000000000e-01,5.00000000000000e-01,-8.73804640288064e-05,5.00000000000000e-01
6.51240000000000e-08,5.00000000000000e-01,5.00000000000000e-01,-6.71049015784388e-04,5.00000000000000e-01
6.51560000000000e-08,5.00000000000000e-01,5.00000000000000e-01,-2.08125563204573e-03,5.00000000000000e-01
6.52200000000000e-08,5.00000000000000e-01,5.00000000000000e-01,-4.12874443805953e-03,5.00000000000000e-01
6.53480000000000e-08,5.00000000000000e-01,5.00000000000000e-01,3.24265727374640e-03,5.00000000000000e-01
6.56040000000000e-08,5.00000000000000e-01,5.00000000000000e-01,2.69465612186628e-01,5.00000000000000e-01
6.61159999999999e-08,5.00000000000000e-01,5.00000000000000e-01,5.17321626025928e-01,5.00000000000000e-01
6.68517728819465e-08,5.00000000000000e-01,5.00000000000000e-01,4.87409162320569e-01,5.00000000000000e-01
6.81735846905084e-08,5.00000000000000e-01,5.00000000000000e-01,5.13159951363982e-01,5.00000000000000e-01
6.99887972402370e-08,5.00000000000000e-01,5.00000000000000e-01,4.88021868435603e-01,5.00000000000000e-01
7.29343467299519e-08,5.00000000000000e-01,5.00000000000000e-01,5.12188390238223e-01,5.00000000000000e-01
7.51000000000000e-08,5.00000000000000e-01,5.00000000000000e-01,4.88520285489668e-01,5.00000000000000e-01
7.51100000000000e-08,4.50000000000051e-01,5.00000000000000e-01,4.92370115888738e-01,5.00000000000000e-01
7.51300000000000e-08,3.50000000000070e-01,5.00000000000000e-01,4.97480577987001e-01,5.00000000000000e-01
7.51700000000000e-08,1.50000000000108e-01,5.00000000000000e-01,5.00241662737504e-01,5.00000000000000e-01
7.52000000000000e-08,6.99995617026161e-14,5.00000000000000e-01,5.01374425531794e-01,5.00000000000000e-01
7.52080000000000e-08,0.00000000000000e+00,5.00000000000000e-01,5.01722639092391e-01,5.00000000000000e-01
7.52240000000000e-08,0.00000000000000e+00,5.00000000000000e-01,5.02204468074590e-01,5.00000000000000e-01
7.52560000000000e-08,0.00000000000000e+00,5.00000000000000e-01,5.02410917589847e-01,5.00000000000000e-01
7.53200000000000e-08,0.00000000000000e+00,5.00000000000000e-01,4.99693329352615e-01,5.00000000000000e-01
7.54480000000000e-08,0.00000000000000e+00,5.00000000000000e-01,4.85770354316153e-01,5.00000000000000e-01
7.57040000000000e-08,0.00000000000000e+00,5.00000000000000e-01,4.89555219671697e-01,5.00000000000000e-01
7.62159999999999e-08,0.00000000000000e+00,5.00000000000000e-01,5.04055543840153e-01,5.00000000000000e-01
7.70014279281724e-08,0.00000000000000e+00,5.00000000000000e-01,4.95820205963646e-01,5.00000000000000e-01
7.84643086339467e-08,0.00000000000000e+00,5.00000000000000e-01,5.03098087108390e-01,5.00000000000000e-01
8.13900700454953e-08,0.00000000000000e+00,5.00000000000000e-01,4.96707194127618e-01,5.00000000000000e-01
8.50000000000000e-08,0.00000000000000e+00,5.00000000000000e-01,5.02876382496651e-01,5.00000000000000e-01
8.50100000000000e-08,4.99999999999905e-02,5.00000000000000e-01,5.02184028856716e-01,4.50000000000010e-01
8.50300000000000e-08,1.49999999999972e-01,5.00000000000000e-01,5.01073175895772e-01,3.50000000000028e-01
8.50700000000000e-08,3.49999999999934e-01,5.00000000000000e-01,5.00648915406265e-01,1.50000000000066e-01
8.51000000000000e-08,4.99999999999971e-01,5.00000000000000e-01,5.03438237437233e-01,2.86437540353290e-14
8.51080000000000e-08,5.00000000000000e-01,5.00000000000000e-01,5.04624298631661e-01,0.00000000000000e+00
8.51240000000000e-08,5.00000000000000e-01,5.00000000000000e-01,5.06670794549425e-01,0.00000000000000e+00
8.51560000000000e-08,5.00000000000000e-01,5.00000000000000e-01,5.10054399434790e-01,0.00000000000000e+00
8.52200000000000e-08,5.00000000000000e-01,5.00000000000000e-01,5.17877422406626e-01,0.00000000000000e+00
8.53480000000000e-08,5.00000000000000e-01,5.00000000000000e-01,4.52319581008869e-01,0.00000000000000e+00
8.56040000000000e-08,5.00000000000000e-01,5.00000000000000e-01,6.96265842305023e-02,0.00000000000000e+00
8.60244044380650e-08,5.00000000000000e-01,5.00000000000000e-01,-3.30443117045466e-02,0.00000000000000e+00
8.66736431262509e-08,5.00000000000000e-01,5.00000000000000e-01,2.80283818866384e-02,0.00000000000000e+00
8.76663461713359e-08,5.00000000000000e-01,5.00000000000000e-01,-2.10198088396758e-02,0.00000000000000e+00
8.93644995563433e-08,5.00000000000000e-01,5.00000000000000e-01,2.06777647409518e-02,0.00000000000000e+00
9.01000000000000e-08,5.00000000000000e-01,4.99999999999971e-01,-1.51020944280298e-02,0.00000000000000e+00
9.04396306770015e-08,5.00000000000000e-01,5.00000000000000e-01,-1.56307845536781e-03,0.00000000000000e+00
9.11188920310044e-08,5.00000000000000e-01,5.00000000000000e-01,1.17716301848837e-03,0.00000000000000e+00
9.24774147390103e-08,5.00000000000000e-01,5.00000000000000e-01,-1.01291378069272e-03,0.00000000000000e+00
9.51000000000000e-08,5.00000000000000e-01,5.00000000000000e-01,9.46979300887318e-04,0.00000000000000e+00
9.51100000000000e-08,4.50000000000051e-01,5.00000000000000e-01,9.12449212710609e-04,4.99999999999492e-02
9.51300000000000e-08,3.50000000000070e-01,5.00000000000000e-01,7.93091929523371e-04,1.49999999999930e-01
9.51700000000000e-08,1.50000000000108e-01,5.00000000000000e-01,3.88025938199733e-04,3.49999999999892e-01
9.52000000000000e-08,6.99995617026161e-14,5.00000000000000e-01,1.95657132383349e-04,4.99999999999930e-01
9.52080000000000e-08,0.00000000000000e+00,5.00000000000000e-01,1.62494226843758e-04,5.00000000000000e-01
9.52240000000000e-08,0.00000000000000e+00,5.00000000000000e-01,1.12773192925957e-04,5.00000000000000e-01
9.52560000000000e-08,0.00000000000000e+00,5.00000000000000e-01,6.37450151456664e-05,5.00000000000000e-01
9.53200000000000e-08,0.00000000000000e+00,5.00000000000000e-01,-8.09431651477704e-05,5.00000000000000e-01
9.54480000000000e-08,0.00000000000000e+00,5.00000000000000e-01,-6.76462607603599e-04,5.00000000000000e-01
9.57040000000000e-08,0.00000000000000e+00,5.00000000000000e-01,-2.05352428528146e-05,5.00000000000000e-01
9.61224685271395e-08,0.00000000000000e+00,5.00000000000000e-01,9.54668140590361e-05,5.00000000000000e-01
9.69194221428497e-08,0.00000000000000e+00,5.00000000000000e-01,-1.40407468154753e-04,5.00000000000000e-01
9.80254289365432e-08,0.00000000000000e+00,5.00000000000000e-01,1.69408776187711e-04,5.00000000000000e-01
9.98053861127111e-08,0.00000000000000e+00,5.00000000000000e-01,-1.74339405920544e-04,5.00000000000000e-01
1.03365300465047e-07,0.00000000000000e+00,5.00000000000000e-01,1.78738920333413e-04,5.00000000000000e-01
1.05000000000000e-07,0.00000000000000e+00,5.00000000000000e-01,-1.77684000236725e-04,5.00000000000000e-01
1.05010000000000e-07,4.99999999999905e-02,5.00000000000000e-01,-3.09487574421952e-05,5.00000000000000e-01
1.05030000000000e-07,1.49999999999972e-01,5.00000000000000e-01,1.82025040719493e-04,5.00000000000000e-01
1.05070000000000e-07,3.49999999999934e-01,5.00000000000000e-01,3.33318649528104e-04,5.00000000000000e-01
1.05100000000000e-07,4.99999999999971e-01,5.00000000000000e-01,1.37361008832090e-04,5.00000000000000e-01
1.05108000000000e-07,5.00000000000000e-01,5.00000000000000e-01,-8.73726871095243e-05,5.00000000000000e-01
1.05124000000000e-07,5.00000000000000e-01,5.00000000000000e-01,-6.71042730358506e-04,5.00000000000000e-01
1.05156000000000e-07,5.00000000000000e-01,5.00000000000000e-01,-2.08125140709342e-03,5.00000000000000e-01
1.05220000000000e-07,5.00000000000000e-01,5.00000000000000e-01,-4.12874221517021e-03,5.00000000000000e-01
1.05348000000000e-07,5.00000000000000e-01,5.00000000000000e-01,3.24260174903682e-03,5.00000000000000e-01
1.05604000000000e-07,5.00000000000000e-01,5.00000000000000e-01,2.69465344937907e-01,5.00000000000000e-01
1.06116000000000e-07,5.00000000000000e-01,5.00000000000000e-01,5.17321600019562e-01,5.00000000000000e-01
1.06851773140047e-07,5.00000000000000e-01,5.00000000000000e-01,4.87409187581745e-01,5.00000000000000e-01
1.08173584405580e-07,5.00000000000000e-01,5.00000000000000e-01,5.13159929268660e-01,5.00000000000000e-01
1.09988797036395e-07,5.00000000000000e-01,5.00000000000000e-01,4.88021891227850e-01,5.00000000000000e-01
1.12934344623990e-07,5.00000000000000e-01,5.00000000000000e-01,5.12188369700457e-01,5.00000000000000e-01
1.15100000000000e-07,5.00000000000000e-01,5.00000000000000e-01,4.88520306598930e-01,5.00000000000000e-01
1.15110000000000e-07,4.50000000000051e-01,5.00000000000000e-01,4.92370130404034e-01,5.00000000000000e-01
1.15130000000000e-07,3.50000000000070e-01,5.00000000000000e-01,4.97480583509153e-01,5.00000000000000e-01
1.15170000000000e-07,1.50000000000108e-01,5.00000000000000e-01,5.00241663204242e-01,5.00000000000000e-01
1.15200000000000e-07,6.99995617026161e-14,5.00000000000000e-01,5.01374425659471e-01,5.00000000000000e-01
1.15208000000000e-07,0.00000000000000e+00,5.00000000000000e-01,5.01722639222062e-01,5.00000000000000e-01
1.15224000000000e-07,0.00000000000000e+00,5.00000000000000e-01,5.02204468202156e-01,5.00000000000000e-01
1.15256000000000e-07,0.00000000000000e+00,5.00000000000000e-01,5.02410917699683e-01,5.00000000000000e-01
1.15320000000000e-07,0.00000000000000e+00,5.00000000000000e-01,4.99693329344886e-01,5.00000000000000e-01
1.15448000000000e-07,0.00000000000000e+00,5.00000000000000e-01,4.85770354302173e-01,5.00000000000000e-01
1.15704000000000e-07,0.00000000000000e+00,5.00000000000000e-01,4.89555219789294e-01,5.00000000000000e-01
1.16216000000000e-07,0.00000000000000e+00,5.00000000000000e-01,5.04055543813284e-01,5.00000000000000e-01
1.17001427928764e-07,0.00000000000000e+00,5.00000000000000e-01,4.95820205989634e-01,5.00000000000000e-01
1.18464308636498e-07,0.00000000000000e+00,5.00000000000000e-01,5.03098087085906e-01,5.00000000000000e-01
1.21390070051966e-07,0.00000000000000e+00,5.00000000000000e-01,4.96707194149792e-01,5.00000000000000e-01
1.25000000000000e-07,0.00000000000000e+00,5.00000000000000e-01,5.02876382474795e-01,5.00000000000000e-01
1.25010000000000e-07,4.99999999999243e-02,5.00000000000000e-01,5.02184028842343e-01,4.50000000000076e-01
1.25030000000000e-07,1.49999999999905e-01,5.00000000000000e-01,5.01073175885310e-01,3.50000000000095e-01
1.25070000000000e-07,3.49999999999867e-01,5.00000000000000e-01,5.00648915396788e-01,1.50000000000133e-01
