Time,v(clk),v(data),v(out)
1.00000000000000e-08,5.00000000000000e-01,0.00000000000000e+00,-2.69175509965639e-06
1.00100000000000e-08,5.00000000000000e-01,4.99999999999988e-02,7.80314621889877e-07
1.00300000000000e-08,5.00000000000000e-01,1.49999999999996e-01,5.35138242564737e-06
1.00700000000000e-08,5.00000000000000e-01,3.49999999999992e-01,8.03419424245944e-06
1.01000000000000e-08,5.00000000000000e-01,4.99999999999996e-01,6.89686984128857e-06
1.01080000000000e-08,5.00000000000000e-01,5.00000000000000e-01,7.37308547623522e-06
1.01240000000000e-08,5.00000000000000e-01,5.00000000000000e-01,8.36620964065476e-06
1.01560000000000e-08,5.00000000000000e-01,5.00000000000000e-01,6.28481772413370e-06
1.02200000000000e-08,5.00000000000000e-01,5.00000000000000e-01,1.00154200436686e-05
1.03480000000000e-08,5.00000000000000e-01,5.00000000000000e-01,1.29870586322127e-05
1.06040000000000e-08,5.00000000000000e-01,5.00000000000000e-01,1.03360186074278e-05
1.11160000000000e-08,5.00000000000000e-01,5.00000000000000e-01,9.99794974082362e-06
1.21400000000000e-08,5.00000000000000e-01,5.00000000000000e-01,1.00067325352953e-05
1.41880000000000e-08,5.00000000000000e-01,5.00000000000000e-01,9.49271108453224e-06
1.51000000000000e-08,5.00000000000000e-01,5.00000000000000e-01,9.23551678173786e-06
1.51100000000000e-08,4.49999999999993e-01,5.00000000000000e-01,-4.17232162183839e-05
1.51300000000000e-08,3.49999999999995e-01,5.00000000000000e-01,-1.23097264082175e-04
1.51700000000000e-08,1.50000000000000e-01,5.00000000000000e-01,-1.71548116958270e-04
1.52000000000000e-08,0.00000000000000e+00,5.00000000000000e-01,-1.94693599456230e-05
1.52080000000000e-08,0.00000000000000e+00,5.00000000000000e-01,9.38663797382944e-05
1.52240000000000e-08,0.00000000000000e+00,5.00000000000000e-01,2.54416331882161e-04
1.52560000000000e-08,0.00000000000000e+00,5.00000000000000e-01,3.31501076182801e-04
1.53200000000000e-08,0.00000000000000e+00,5.00000000000000e-01,1.64528776424581e-04
1.54480000000000e-08,0.00000000000000e+00,5.00000000000000e-01,-2.01181530743059e-04
1.57040000000000e-08,0.00000000000000e+00,5.00000000000000e-01,-9.21266159223735e-05
1.62160000000000e-08,0.00000000000000e+00,5.00000000000000e-01,-2.36933939277775e-05
1.69852274974544e-08,0.00000000000000e+00,5.00000000000000e-01,4.12171043365208e-05
1.81693273475169e-08,0.00000000000000e+00,5.00000000000000e-01,5.48202262246359e-05
2.02204315500728e-08,0.00000000000000e+00,5.00000000000000e-01,-6.91013122020630e-05
2.34180811067354e-08,0.00000000000000e+00,5.00000000000000e-01,9.74663333285462e-05
2.50000000000000e-08,0.00000000000000e+00,5.00000000000000e-01,-1.01394433071510e-04
2.50100000000000e-08,4.99999999999905e-02,5.00000000000000e-01,9.14601435647588e-06
2.50300000000000e-08,1.50000000000005e-01,5.00000000000000e-01,1.85591991692713e-04
2.50700000000000e-08,3.50000000000000e-01,5.00000000000000e-01,3.54119333961657e-04
2.51000000000000e-08,5.00000000000000e-01,5.00000000000000e-01,2.77873184158978e-04
2.51080000000000e-08,5.00000000000000e-01,5.00000000000000e-01,1.45602715547810e-04
2.51240000000000e-08,5.00000000000000e-01,5.00000000000000e-01,-2.10010266794139e-04
2.51560000000000e-08,5.00000000000000e-01,5.00000000000000e-01,-1.25195066916597e-03
2.52200000000000e-08,5.00000000000000e-01,5.00000000000000e-01,-3.21554382834442e-03
2.53480000000000e-08,5.00000000000000e-01,5.00000000000000e-01,-3.08675369201888e-03
2.56040000000000e-08,5.00000000000000e-01,5.00000000000000e-01,1.63739841501826e-01
2.61160000000000e-08,5.00000000000000e-01,5.00000000000000e-01,4.95122579658991e-01
2.70975649174832e-08,5.00000000000000e-01,5.00000000000000e-01,5.01098251058552e-01
2.83457805846262e-08,5.00000000000000e-01,5.00000000000000e-01,4.98957804976478e-01
3.01000000000000e-08,5.00000000000000e-01,5.00000000000000e-01,5.00582893264799e-01
3.01100000000000e-08,5.00000000000000e-01,4.50000000000026e-01,5.00572072630886e-01
3.01300000000000e-08,5.00000000000000e-01,3.50000000000012e-01,5.00480701934124e-01
3.01700000000000e-08,5.00000000000000e-01,1.50000000000017e-01,5.00255444040667e-01
3.02000000000000e-08,5.00000000000000e-01,1.21014309684142e-14,5.00191980195223e-01
3.02080000000000e-08,5.00000000000000e-01,0.00000000000000e+00,5.00181194726141e-01
3.02240000000000e-08,5.00000000000000e-01,0.00000000000000e+00,5.00157905256922e-01
3.02560000000000e-08,5.00000000000000e-01,0.00000000000000e+00,5.00112361827362e-01
3.03200000000000e-08,5.00000000000000e-01,0.00000000000000e+00,5.00025644291975e-01
3.04480000000000e-08,5.00000000000000e-01,0.00000000000000e+00,4.99962958668285e-01
3.07040000000000e-08,5.00000000000000e-01,0.00000000000000e+00,4.99964750383233e-01
3.11399815635552e-08,5.00000000000000e-01,0.00000000000000e+00,4.99944731995962e-01
3.19479117947711e-08,5.00000000000000e-01,0.00000000000000e+00,4.99956611002434e-01
3.29722193209262e-08,5.00000000000000e-01,0.00000000000000e+00,4.99958278944532e-01
3.50208343732365e-08,5.00000000000000e-01,0.00000000000000e+00,4.99961279940608e-01
3.51000000000000e-08,4.99999999999975e-01,0.00000000000000e+00,4.99966930501629e-01
3.51100000000000e-08,4.49999999999985e-01,0.00000000000000e+00,4.99908742512492e-01
3.51300000000000e-08,3.49999999999971e-01,0.00000000000000e+00,4.99836597624216e-01
3.51700000000000e-08,1.49999999999975e-01,0.00000000000000e+00,5.00098416304092e-01
3.52000000000000e-08,0.00000000000000e+00,0.00000000000000e+00,5.01196341103586e-01
3.52080000000000e-08,0.00000000000000e+00,0.00000000000000e+00,5.01554692132171e-01
3.52240000000000e-08,0.00000000000000e+00,0.00000000000000e+00,5.02059159476485e-01
3.52560000000000e-08,0.00000000000000e+00,0.00000000000000e+00,5.02332569516891e-01
3.53200000000000e-08,0.00000000000000e+00,0.00000000000000e+00,5.00540687518943e-01
3.54480000000000e-08,0.00000000000000e+00,0.00000000000000e+00,4.88184908668850e-01
3.57040000000000e-08,0.00000000000000e+00,0.00000000000000e+00,4.87788533698440e-01
3.61609204301824e-08,0.00000000000000e+00,0.00000000000000e+00,5.02743158158439e-01
3.67937334955577e-08,0.00000000000000e+00,0.00000000000000e+00,4.96549269596871e-01
3.80403241715941e-08,0.00000000000000e+00,0.00000000000000e+00,5.02078425525556e-01
3.91000000000000e-08,0.00000000000000e+00,0.00000000000000e+00,4.97674676054669e-01
3.92588998986482e-08,0.00000000000000e+00,0.00000000000000e+00,4.99271483509316e-01
3.95766996959445e-08,0.00000000000000e+00,0.00000000000000e+00,5.00008268780082e-01
4.02122992905371e-08,0.00000000000000e+00,0.00000000000000e+00,4.99578759614582e-01
4.14834984797224e-08,0.00000000000000e+00,0.00000000000000e+00,4.99962854692827e-01
4.40258968580929e-08,0.00000000000000e+00,0.00000000000000e+00,4.99672935522728e-01
4.50000000000000e-08,0.00000000000000e+00,0.00000000000000e+00,4.99957562880938e-01
4.50100000000000e-08,4.99999999999905e-02,0.00000000000000e+00,4.99988009557341e-01
4.50300000000000e-08,1.50000000000005e-01,0.00000000000000e+00,5.00016402156921e-01
4.50700000000000e-08,3.50000000000000e-01,0.00000000000000e+00,4.99958451877900e-01
4.51000000000000e-08,5.00000000000000e-01,0.00000000000000e+00,4.99849380477319e-01
4.51080000000000e-08,5.00000000000000e-01,0.00000000000000e+00,4.99793859286150e-01
4.51240000000000e-08,5.00000000000000e-01,0.00000000000000e+00,4.99710970841172e-01
4.51560000000000e-08,5.00000000000000e-01,0.00000000000000e+00,4.99653981175034e-01
4.52200000000000e-08,5.00000000000000e-01,0.00000000000000e+00,4.99658280015544e-01
4.53480000000000e-08,5.00000000000000e-01,0.00000000000000e+00,4.99897742556702e-01
4.56040000000000e-08,5.00000000000000e-01,0.00000000000000e+00,5.06648875930958e-01
4.61160000000000e-08,5.00000000000000e-01,0.00000000000000e+00,1.57116143757958e-01
4.69891851978333e-08,5.00000000000000e-01,0.00000000000000e+00,-5.87401845720348e-02
4.78911501206528e-08,5.00000000000000e-01,0.00000000000000e+00,5.62787961464359e-02
4.96950799662917e-08,5.00000000000000e-01,0.00000000000000e+00,-3.78627368582779e-02
5.00000000000000e-08,5.00000000000000e-01,0.00000000000000e+00,1.68946161472691e-02
5.00100000000000e-08,5.00000000000000e-01,4.99999999999905e-02,1.50804763138296e-02
5.00300000000000e-08,5.00000000000000e-01,1.49999999999972e-01,1.16108786184606e-02
5.00700000000000e-08,5.00000000000000e-01,3.50000000000000e-01,6.41161728502623e-03
5.01000000000000e-08,5.00000000000000e-01,5.00000000000000e-01,4.10170670642034e-03
5.01080000000000e-08,5.00000000000000e-01,5.00000000000000e-01,3.66593135759510e-03
5.01240000000000e-08,5.00000000000000e-01,5.00000000000000e-01,2.88223947436671e-03
5.01560000000000e-08,5.00000000000000e-01,5.00000000000000e-01,1.78052601457146e-03
5.02200000000000e-08,5.00000000000000e-01,5.00000000000000e-01,6.32385949420743e-04
5.03480000000000e-08,5.00000000000000e-01,5.00000000000000e-01,2.15233152950807e-05
5.06040000000000e-08,5.00000000000000e-01,5.00000000000000e-01,-4.14001138336617e-07
5.11160000000001e-08,5.00000000000000e-01,5.00000000000000e-01,7.01783141605038e-06
5.21400000000002e-08,5.00000000000000e-01,5.00000000000000e-01,2.73568925463191e-06
5.41880000000003e-08,5.00000000000000e-01,5.00000000000000e-01,6.15498797912860e-06
5.51000000000000e-08,5.00000000000000e-01,5.00000000000000e-01,2.92306755500255e-06
5.51100000000000e-08,4.50000000000018e-01,5.00000000000000e-01,-5.51762018248525e-05
5.51300000000000e-08,3.50000000000004e-01,5.00000000000000e-01,-1.50085127545031e-04
5.51700000000000e-08,1.50000000000008e-01,5.00000000000000e-01,-1.86943627804130e-04
5.52000000000000e-08,0.00000000000000e+00,5.00000000000000e-01,-3.31395024212033e-05
5.52080000000000e-08,0.00000000000000e+00,5.00000000000000e-01,8.05016891015850e-05
5.52240000000000e-08,0.00000000000000e+00,5.00000000000000e-01,2.37380544360316e-04
5.52560000000000e-08,0.00000000000000e+00,5.00000000000000e-01,3.02643075500160e-04
5.53200000000000e-08,0.00000000000000e+00,5.00000000000000e-01,7.46383214681803e-05
5.54480000000000e-08,0.00000000000000e+00,5.00000000000000e-01,-8.22132098472126e-04
5.57040000000000e-08,0.00000000000000e+00,5.00000000000000e-01,-2.90384321016669e-04
5.62135759789390e-08,0.00000000000000e+00,5.00000000000000e-01,1.72734858854060e-04
5.69826049388377e-08,0.00000000000000e+00,5.00000000000000e-01,-1.40327754159429e-04
5.81617638715358e-08,0.00000000000000e+00,5.00000000000000e-01,2.21774214242146e-04
6.02137037490444e-08,0.00000000000000e+00,5.00000000000000e-01,-2.31677638429531e-04
6.34010149909113e-08,0.00000000000000e+00,5.00000000000000e-01,2.54260187934002e-04
6.50000000000000e-08,0.00000000000000e+00,5.00000000000000e-01,-2.51358480900651e-04
6.50100000000000e-08,4.99999999999905e-02,5.00000000000000e-01,-9.30499866442849e-05
6.50300000000000e-08,1.49999999999972e-01,5.00000000000000e-01,1.41736635913804e-04
6.50700000000000e-08,3.49999999999934e-01,5.00000000000000e-01,3.42862561466414e-04
6.51000000000000e-08,4.99999999999971e-01,5.00000000000000e-01,2.77440046056364e-04
6.51080000000000e-08,5.00000000000000e-01,5.00000000000000e-01,1.45732406563119e-04
6.51240000000000e-08,5.00000000000000e-01,5.00000000000000e-01,-2.08783923834020e-04
6.51560000000000e-08,5.00000000000000e-01,5.00000000000000e-01,-1.24961608226548e-03
6.52200000000000e-08,5.00000000000000e-01,5.00000000000000e-01,-3.21363804774143e-03
6.53480000000000e-08,5.00000000000000e-01,5.00000000000000e-01,-3.08599749350773e-03
6.56040000000000e-08,5.00000000000000e-01,5.00000000000000e-01,1.63743559547726e-01
6.61159999999999e-08,5.00000000000000e-01,5.00000000000000e-01,4.95123677196704e-01
6.70975438517357e-08,5.00000000000000e-01,5.00000000000000e-01,5.01097726342155e-01
6.83457708789901e-08,5.00000000000000e-01,5.00000000000000e-01,4.98958396432829e-01
7.01000000000000e-08,5.00000000000000e-01,5.00000000000000e-01,5.00582417857753e-01
7.01100000000000e-08,5.00000000000000e-01,4.50000000000010e-01,5.00571748644766e-01
7.01300000000000e-08,5.00000000000000e-01,3.50000000000028e-01,5.00480583194978e-01
7.01700000000000e-08,5.00000000000000e-01,1.50000000000066e-01,5.00255437808567e-01
7.02000000000000e-08,5.00000000000000e-01,2.86437540353290e-14,5.00191977476374e-01
7.02080000000000e-08,5.00000000000000e-01,0.00000000000000e+00,5.00181192180257e-01
7.02240000000000e-08,5.00000000000000e-01,0.00000000000000e+00,5.00157903180316e-01
7.02560000000000e-08,5.00000000000000e-01,0.00000000000000e+00,5.00112360469559e-01
7.03200000000000e-08,5.00000000000000e-01,0.00000000000000e+00,5.00025643803589e-01
7.04480000000000e-08,5.00000000000000e-01,0.00000000000000e+00,4.99962958542582e-01
7.07040000000000e-08,5.00000000000000e-01,0.00000000000000e+00,4.99964750346573e-01
7.11399822456741e-08,5.00000000000000e-01,0.00000000000000e+00,4.99944731866008e-01
7.19479121144327e-08,5.00000000000000e-01,0.00000000000000e+00,4.99956611031421e-01
7.29722227586678e-08,5.00000000000000e-01,0.00000000000000e+00,4.99958278847480e-01
7.50208440471380e-08,5.00000000000000e-01,0.00000000000000e+00,4.99961280004302e-01
7.51000000000000e-08,5.00000000000000e-01,0.00000000000000e+00,4.99966930185491e-01
7.51100000000000e-08,4.50000000000051e-01,0.00000000000000e+00,4.99908742745214e-01
7.51300000000000e-08,3.50000000000070e-01,0.00000000000000e+00,4.99836597951080e-01
7.51700000000000e-08,1.50000000000108e-01,0.00000000000000e+00,5.00098416094101e-01
7.52000000000000e-08,6.99995617026161e-14,0.00000000000000e+00,5.01196341157186e-01
7.52080000000000e-08,0.00000000000000e+00,0.00000000000000e+00,5.01554692179763e-01
7.52240000000000e-08,0.00000000000000e+00,0.00000000000000e+00,5.02059159494152e-01
7.52560000000000e-08,0.00000000000000e+00,0.00000000000000e+00,5.02332569385261e-01
7.53200000000000e-08,0.00000000000000e+00,0.00000000000000e+00,5.00540686719692e-01
7.54480000000000e-08,0.00000000000000e+00,0.00000000000000e+00,4.88184906718958e-01
7.57040000000000e-08,0.00000000000000e+00,0.00000000000000e+00,4.87788533132300e-01
7.61609204210359e-08,0.00000000000000e+00,0.00000000000000e+00,5.02743158512375e-01
