Time,v(clk),v(data),v(out)
1.00000000000000e-08,5.00000000000000e-01,0.00000000000000e+00,-1.52047452194898e-05
1.00100000000000e-08,5.00000000000000e-01,4.99999999999988e-02,-1.23679867569185e-05
1.00300000000000e-08,5.00000000000000e-01,1.49999999999996e-01,-7.58184607107387e-06
1.00700000000000e-08,5.00000000000000e-01,3.49999999999992e-01,-4.01530102919767e-06
1.01000000000000e-08,5.00000000000000e-01,4.99999999999996e-01,-3.29445756321045e-06
1.01080000000000e-08,5.00000000000000e-01,5.00000000000000e-01,-3.82267978017714e-06
1.01240000000000e-08,5.00000000000000e-01,5.00000000000000e-01,-4.30221908526845e-06
1.01560000000000e-08,5.00000000000000e-01,5.00000000000000e-01,-2.43941536418046e-06
1.02200000000000e-08,5.00000000000000e-01,5.00000000000000e-01,2.72036616030813e-06
1.03480000000000e-08,5.00000000000000e-01,5.00000000000000e-01,4.10600125078445e-06
1.06040000000000e-08,5.00000000000000e-01,5.00000000000000e-01,7.78636089056317e-07
1.11160000000000e-08,5.00000000000000e-01,5.00000000000000e-01,2.03700629949032e-06
1.21400000000000e-08,5.00000000000000e-01,5.00000000000000e-01,1.44569300643011e-06
1.41880000000000e-08,5.00000000000000e-01,5.00000000000000e-01,1.56664641917268e-06
1.51000000000000e-08,5.00000000000000e-01,5.00000000000000e-01,1.40546473596445e-06
1.51100000000000e-08,4.49999999999993e-01,5.00000000000000e-01,-5.13647232763398e-05
1.51300000000000e-08,3.49999999999995e-01,5.00000000000000e-01,-1.37273081307447e-04
1.51700000000000e-08,1.50000000000000e-01,5.00000000000000e-01,-2.12238264816825e-04
1.52000000000000e-08,0.00000000000000e+00,5.00000000000000e-01,-8.70283647178907e-05
1.52080000000000e-08,0.00000000000000e+00,5.00000000000000e-01,3.29313499241451e-05
1.52240000000000e-08,0.00000000000000e+00,5.00000000000000e-01,2.08468976137306e-04
1.52560000000000e-08,0.00000000000000e+00,5.00000000000000e-01,3.19390482828891e-04
1.53200000000000e-08,0.00000000000000e+00,5.00000000000000e-01,2.30368951764037e-04
1.54480000000000e-08,0.00000000000000e+00,5.00000000000000e-01,-4.44549566442874e-05
1.57040000000000e-08,0.00000000000000e+00,5.00000000000000e-01,-1.27044865972880e-04
1.62160000000000e-08,0.00000000000000e+00,5.00000000000000e-01,-9.34213927756070e-06
1.71800689189745e-08,0.00000000000000e+00,5.00000000000000e-01,2.99049296060769e-06
1.83025935567556e-08,0.00000000000000e+00,5.00000000000000e-01,7.07552046185023e-05
2.05476428323176e-08,0.00000000000000e+00,5.00000000000000e-01,-9.41948009223082e-05
2.35413716619603e-08,0.00000000000000e+00,5.00000000000000e-01,1.03944728578240e-04
2.50000000000000e-08,0.00000000000000e+00,5.00000000000000e-01,-1.13962389344776e-04
2.50100000000000e-08,4.99999999999905e-02,5.00000000000000e-01,-3.04481167099496e-06
2.50300000000000e-08,1.50000000000005e-01,5.00000000000000e-01,1.77141861156152e-04
2.50700000000000e-08,3.50000000000000e-01,5.00000000000000e-01,3.49006560859441e-04
2.51000000000000e-08,5.00000000000000e-01,5.00000000000000e-01,2.94537246195992e-04
2.51080000000000e-08,5.00000000000000e-01,5.00000000000000e-01,1.86511939920544e-04
2.51240000000000e-08,5.00000000000000e-01,5.00000000000000e-01,-1.14232810435412e-04
2.51560000000000e-08,5.00000000000000e-01,5.00000000000000e-01,-1.08699781639844e-03
2.52200000000000e-08,5.00000000000000e-01,5.00000000000000e-01,-3.06070459441023e-03
2.53480000000000e-08,5.00000000000000e-01,5.00000000000000e-01,-5.23050985717729e-03
2.56040000000000e-08,5.00000000000000e-01,5.00000000000000e-01,9.73939258254028e-02
2.61160000000000e-08,5.00000000000000e-01,5.00000000000000e-01,4.65962155126574e-01
2.71400000000000e-08,5.00000000000000e-01,5.00000000000000e-01,5.10985622712771e-01
2.84407436678016e-08,5.00000000000000e-01,5.00000000000000e-01,4.87430084591013e-01
3.06512162450995e-08,5.00000000000000e-01,5.00000000000000e-01,5.09662079179469e-01
3.37249761357286e-08,5.00000000000000e-01,5.00000000000000e-01,4.89066184357751e-01
3.51000000000000e-08,4.99999999999975e-01,5.00000000000000e-01,5.08625670681174e-01
3.51100000000000e-08,4.49999999999985e-01,5.00000000000000e-01,5.06161541061040e-01
3.51300000000000e-08,3.49999999999971e-01,5.00000000000000e-01,5.02644453936350e-01
3.51700000000000e-08,1.49999999999975e-01,5.00000000000000e-01,5.00436598013148e-01
3.52000000000000e-08,0.00000000000000e+00,5.00000000000000e-01,5.01161287649322e-01
3.52080000000000e-08,0.00000000000000e+00,5.00000000000000e-01,5.01501181658614e-01
3.52240000000000e-08,0.00000000000000e+00,5.00000000000000e-01,5.02004703643246e-01
3.52560000000000e-08,0.00000000000000e+00,5.00000000000000e-01,5.02439352037629e-01
3.53200000000000e-08,0.00000000000000e+00,5.00000000000000e-01,5.02024324102504e-01
3.54480000000000e-08,0.00000000000000e+00,5.00000000000000e-01,4.92554903876537e-01
3.57040000000000e-08,0.00000000000000e+00,5.00000000000000e-01,4.84112202947604e-01
3.62160000000000e-08,0.00000000000000e+00,5.00000000000000e-01,5.00059104118795e-01
3.72400000000000e-08,0.00000000000000e+00,5.00000000000000e-01,4.99260128915983e-01
3.86273683931567e-08,0.00000000000000e+00,5.00000000000000e-01,5.00242912945636e-01
4.14021051794699e-08,0.00000000000000e+00,5.00000000000000e-01,4.99460218560263e-01
4.50000000000000e-08,0.00000000000000e+00,5.00000000000000e-01,5.00323079144727e-01
4.50100000000000e-08,4.99999999999905e-02,5.00000000000000e-01,5.00311319739344e-01
4.50300000000000e-08,1.50000000000005e-01,5.00000000000000e-01,5.00289465581618e-01
4.50700000000000e-08,3.50000000000000e-01,5.00000000000000e-01,5.00234002774050e-01
4.51000000000000e-08,5.00000000000000e-01,5.00000000000000e-01,5.00125473527307e-01
4.51080000000000e-08,5.00000000000000e-01,4.60000000000021e-01,5.00029830934531e-01
4.51240000000000e-08,5.00000000000000e-01,3.79999999999996e-01,4.99792445841330e-01
4.51560000000000e-08,5.00000000000000e-01,2.20000000000013e-01,4.99164138616990e-01
4.52000000000000e-08,5.00000000000000e-01,2.86437540353290e-14,4.98441138393229e-01
4.52064000000000e-08,5.00000000000000e-01,0.00000000000000e+00,4.98377225890563e-01
4.52192000000000e-08,5.00000000000000e-01,0.00000000000000e+00,4.98257828657829e-01
4.52448000000000e-08,5.00000000000000e-01,0.00000000000000e+00,4.98068255376757e-01
4.52960000000000e-08,5.00000000000000e-01,0.00000000000000e+00,4.97849812407401e-01
4.53984000000000e-08,5.00000000000000e-01,0.00000000000000e+00,4.97753805818820e-01
4.56032000000000e-08,5.00000000000000e-01,0.00000000000000e+00,4.98498273059628e-01
4.60128000000000e-08,5.00000000000000e-01,0.00000000000000e+00,4.99958490525858e-01
4.65374365390678e-08,5.00000000000000e-01,0.00000000000000e+00,4.99955071090114e-01
4.75867096172034e-08,5.00000000000000e-01,0.00000000000000e+00,5.00045486920874e-01
4.89282590539845e-08,5.00000000000000e-01,0.00000000000000e+00,4.99958144331836e-01
5.16113579275467e-08,5.00000000000000e-01,0.00000000000000e+00,5.00039192121495e-01
5.51000000000000e-08,5.00000000000000e-01,0.00000000000000e+00,4.99962663992865e-01
5.51100000000000e-08,4.50000000000018e-01,0.00000000000000e+00,4.99913496353482e-01
5.51300000000000e-08,3.50000000000004e-01,0.00000000000000e+00,4.99838664631599e-01
5.51700000000000e-08,1.50000000000008e-01,0.00000000000000e+00,4.99975844270055e-01
5.52000000000000e-08,0.00000000000000e+00,0.00000000000000e+00,5.00969439313635e-01
5.52080000000000e-08,0.00000000000000e+00,0.00000000000000e+00,5.01333147292664e-01
5.52240000000000e-08,0.00000000000000e+00,0.00000000000000e+00,5.01887089185502e-01
5.52560000000000e-08,0.00000000000000e+00,0.00000000000000e+00,5.02440864302493e-01
5.53200000000000e-08,0.00000000000000e+00,0.00000000000000e+00,5.02971799395964e-01
5.54480000000000e-08,0.00000000000000e+00,0.00000000000000e+00,5.03015119553039e-01
5.57040000000000e-08,0.00000000000000e+00,0.00000000000000e+00,5.00516501409335e-01
