Time,v(clk),v(data),v(out)
1.00000000000000e-08,6.50000000000000e-01,0.00000000000000e+00,-3.42906715048667e-06
1.00100000000000e-08,6.50000000000000e-01,6.49999999999984e-02,5.82614754267297e-07
1.00300000000000e-08,6.50000000000000e-01,1.94999999999995e-01,4.84031961420911e-06
1.00700000000000e-08,6.50000000000000e-01,4.54999999999989e-01,3.89092228024468e-06
1.01000000000000e-08,6.50000000000000e-01,6.49999999999995e-01,1.97226962601188e-06
1.01080000000000e-08,6.50000000000000e-01,6.50000000000000e-01,1.47995855499794e-06
1.01240000000000e-08,6.50000000000000e-01,6.50000000000000e-01,1.67263599409884e-06
1.01560000000000e-08,6.50000000000000e-01,6.50000000000000e-01,4.36195568024461e-06
1.02200000000000e-08,6.50000000000000e-01,6.50000000000000e-01,8.41163160322789e-06
1.03480000000000e-08,6.50000000000000e-01,6.50000000000000e-01,7.31376475993084e-06
1.06040000000000e-08,6.50000000000000e-01,6.50000000000000e-01,6.16806130411540e-06
1.11023465496662e-08,6.50000000000000e-01,6.50000000000000e-01,6.43780608607612e-06
1.20990396489987e-08,6.50000000000000e-01,6.50000000000000e-01,6.25917537133182e-06
1.40924258476638e-08,6.50000000000000e-01,6.50000000000000e-01,5.87810926278021e-06
1.51000000000000e-08,6.50000000000000e-01,6.50000000000000e-01,5.88469226948940e-06
1.51100000000000e-08,5.84999999999991e-01,6.50000000000000e-01,-5.34999511875855e-05
1.51300000000000e-08,4.54999999999994e-01,6.50000000000000e-01,-1.46618183065564e-04
1.51700000000000e-08,1.95000000000000e-01,6.50000000000000e-01,-1.07746872536139e-04
1.52000000000000e-08,0.00000000000000e+00,6.50000000000000e-01,1.88434423143299e-04
1.52080000000000e-08,0.00000000000000e+00,6.50000000000000e-01,3.24445863618933e-04
1.52240000000000e-08,0.00000000000000e+00,6.50000000000000e-01,4.87571261830459e-04
1.52560000000000e-08,0.00000000000000e+00,6.50000000000000e-01,4.51606870457415e-04
1.53200000000000e-08,0.00000000000000e+00,6.50000000000000e-01,-3.47516181974095e-06
1.54480000000000e-08,0.00000000000000e+00,6.50000000000000e-01,-3.06944853620546e-04
1.57040000000000e-08,0.00000000000000e+00,6.50000000000000e-01,4.37169552788379e-05
1.60671209846841e-08,0.00000000000000e+00,6.50000000000000e-01,-1.64175334410599e-04
1.67368735289486e-08,0.00000000000000e+00,6.50000000000000e-01,2.25992075113436e-04
1.80763786174778e-08,0.00000000000000e+00,6.50000000000000e-01,-1.83904032641859e-04
1.92883043005412e-08,0.00000000000000e+00,6.50000000000000e-01,1.51376428233832e-04
2.17121556666681e-08,0.00000000000000e+00,6.50000000000000e-01,-1.26170217753476e-04
2.50000000000000e-08,0.00000000000000e+00,6.50000000000000e-01,1.22875982199371e-04
2.50100000000000e-08,6.49999999999877e-02,6.50000000000000e-01,2.31192668269264e-04
2.50300000000000e-08,1.95000000000006e-01,6.50000000000000e-01,3.96649811201244e-04
2.50700000000000e-08,4.55000000000000e-01,6.50000000000000e-01,5.84736447546065e-04
2.51000000000000e-08,6.50000000000000e-01,6.50000000000000e-01,5.12716778310295e-04
2.51080000000000e-08,6.50000000000000e-01,6.50000000000000e-01,3.55487489594200e-04
2.51240000000000e-08,6.50000000000000e-01,6.50000000000000e-01,-6.34703816764712e-05
2.51560000000000e-08,6.50000000000000e-01,6.50000000000000e-01,-1.30457981911204e-03
2.52200000000000e-08,6.50000000000000e-01,6.50000000000000e-01,-3.77747104354682e-03
2.53480000000000e-08,6.50000000000000e-01,6.50000000000000e-01,-1.94273445274750e-03
2.56040000000000e-08,6.50000000000000e-01,6.50000000000000e-01,3.23433990295185e-01
2.61160000000000e-08,6.50000000000000e-01,6.50000000000000e-01,6.64111191648135e-01
2.67631437816972e-08,6.50000000000000e-01,6.50000000000000e-01,6.40500939672968e-01
2.80574313450917e-08,6.50000000000000e-01,6.50000000000000e-01,6.59594311539489e-01
2.95772244395676e-08,6.50000000000000e-01,6.50000000000000e-01,6.40800494087481e-01
3.20375560214785e-08,6.50000000000000e-01,6.50000000000000e-01,6.59094761713170e-01
3.51000000000000e-08,6.49999999999968e-01,6.50000000000000e-01,6.41049572147148e-01
3.51100000000000e-08,5.84999999999980e-01,6.50000000000000e-01,6.45098938022578e-01
3.51300000000000e-08,4.54999999999962e-01,6.50000000000000e-01,6.49504374271338e-01
3.51700000000000e-08,1.94999999999968e-01,6.50000000000000e-01,6.50826868930178e-01
3.52000000000000e-08,0.00000000000000e+00,6.50000000000000e-01,6.52577330033036e-01
3.52080000000000e-08,0.00000000000000e+00,6.50000000000000e-01,6.52999300384881e-01
3.52240000000000e-08,0.00000000000000e+00,6.50000000000000e-01,6.53220103162062e-01
