Time,v(clk),v(data),v(out),v(reset)
1.00000000000000e-08,7.00000000000000e-01,0.00000000000000e+00,2.21934164482142e-05,0.00000000000000e+00
1.00100000000000e-08,7.00000000000000e-01,6.99999999999983e-02,1.45228007912140e-05,0.00000000000000e+00
1.00300000000000e-08,7.00000000000000e-01,2.09999999999995e-01,4.68912945646854e-06,0.00000000000000e+00
1.00700000000000e-08,7.00000000000000e-01,4.89999999999988e-01,-8.05613354637469e-08,0.00000000000000e+00
1.01000000000000e-08,7.00000000000000e-01,6.99999999999995e-01,-3.56604840240360e-08,0.00000000000000e+00
1.01080000000000e-08,7.00000000000000e-01,7.00000000000000e-01,3.55346546979107e-07,0.00000000000000e+00
1.01240000000000e-08,7.00000000000000e-01,7.00000000000000e-01,1.41004209850554e-06,0.00000000000000e+00
1.01560000000000e-08,7.00000000000000e-01,7.00000000000000e-01,2.53563007199947e-06,0.00000000000000e+00
1.02200000000000e-08,7.00000000000000e-01,7.00000000000000e-01,2.79364540822780e-06,0.00000000000000e+00
1.03480000000000e-08,7.00000000000000e-01,7.00000000000000e-01,1.50529558709186e-06,0.00000000000000e+00
1.06040000000000e-08,7.00000000000000e-01,7.00000000000000e-01,2.78639947053419e-06,0.00000000000000e+00
1.11160000000000e-08,7.00000000000000e-01,7.00000000000000e-01,2.09150339065128e-06,0.00000000000000e+00
1.21400000000000e-08,7.00000000000000e-01,7.00000000000000e-01,2.11207659367831e-06,0.00000000000000e+00
1.41880000000000e-08,7.00000000000000e-01,7.00000000000000e-01,1.63982718618901e-06,0.00000000000000e+00
1.51000000000000e-08,7.00000000000000e-01,7.00000000000000e-01,1.58682699476827e-06,0.00000000000000e+00
1.51100000000000e-08,6.29999999999990e-01,7.00000000000000e-01,1.75770268568590e-04,7.00000000000099e-02
1.51300000000000e-08,4.89999999999994e-01,7.00000000000000e-01,3.30418500888358e-04,2.10000000000007e-01
1.51700000000000e-08,2.10000000000000e-01,7.00000000000000e-01,1.88427329583837e-04,4.90000000000000e-01
1.52000000000000e-08,0.00000000000000e+00,7.00000000000000e-01,7.12897730986636e-05,7.00000000000000e-01
1.52080000000000e-08,0.00000000000000e+00,7.00000000000000e-01,4.01391656339456e-05,7.00000000000000e-01
1.52240000000000e-08,0.00000000000000e+00,7.00000000000000e-01,2.45695543071855e-06,7.00000000000000e-01
1.52560000000000e-08,0.00000000000000e+00,7.00000000000000e-01,-1.29138699188416e-05,7.00000000000000e-01
1.53200000000000e-08,0.00000000000000e+00,7.00000000000000e-01,-9.41793214524062e-05,7.00000000000000e-01
1.54480000000000e-08,0.00000000000000e+00,7.00000000000000e-01,-1.33731768044595e-04,7.00000000000000e-01
1.57040000000000e-08,0.00000000000000e+00,7.00000000000000e-01,-1.32275115467099e-04,7.00000000000000e-01
1.61215864521827e-08,0.00000000000000e+00,7.00000000000000e-01,5.65698130659733e-05,7.00000000000000e-01
1.66677384084478e-08,0.00000000000000e+00,7.00000000000000e-01,9.87459141743230e-05,7.00000000000000e-01
1.76523262163756e-08,0.00000000000000e+00,7.00000000000000e-01,-1.38016792984325e-04,7.00000000000000e-01
1.87302992925968e-08,0.00000000000000e+00,7.00000000000000e-01,1.48447427227920e-04,7.00000000000000e-01
2.08862454450391e-08,0.00000000000000e+00,7.00000000000000e-01,-1.48450209406068e-04,7.00000000000000e-01
2.40633215752602e-08,0.00000000000000e+00,7.00000000000000e-01,1.48919968539665e-04,7.00000000000000e-01
2.50000000000000e-08,0.00000000000000e+00,7.00000000000000e-01,-1.42313577309347e-04,7.00000000000000e-01
2.50100000000000e-08,6.99999999999867e-02,7.00000000000000e-01,3.96069201631655e-06,7.00000000000000e-01
2.50300000000000e-08,2.10000000000007e-01,7.00000000000000e-01,2.09598114573599e-04,7.00000000000000e-01
2.50700000000000e-08,4.90000000000000e-01,7.00000000000000e-01,1.29643401376695e-04,7.00000000000000e-01
2.51000000000000e-08,7.00000000000000e-01,7.00000000000000e-01,-1.75394655267103e-03,7.00000000000000e-01
2.51080000000000e-08,7.00000000000000e-01,7.00000000000000e-01,-2.67409151820468e-03,7.00000000000000e-01
2.51240000000000e-08,7.00000000000000e-01,7.00000000000000e-01,-4.32003717897775e-03,7.00000000000000e-01
2.51560000000000e-08,7.00000000000000e-01,7.00000000000000e-01,-6.20867304702458e-03,7.00000000000000e-01
2.52200000000000e-08,7.00000000000000e-01,7.00000000000000e-01,1.39241305885380e-02,7.00000000000000e-01
2.53480000000000e-08,7.00000000000000e-01,7.00000000000000e-01,2.81717942465658e-01,7.00000000000000e-01
2.56040000000000e-08,7.00000000000000e-01,7.00000000000000e-01,6.96063415475315e-01,7.00000000000000e-01
2.60181273133362e-08,7.00000000000000e-01,7.00000000000000e-01,6.99102568577473e-01,7.00000000000000e-01
2.65745317105730e-08,7.00000000000000e-01,7.00000000000000e-01,7.01657712029517e-01,7.00000000000000e-01
2.74493778092936e-08,7.00000000000000e-01,7.00000000000000e-01,6.98059342547418e-01,7.00000000000000e-01
2.85541715442567e-08,7.00000000000000e-01,7.00000000000000e-01,7.02034037523366e-01,7.00000000000000e-01
3.07637590141829e-08,7.00000000000000e-01,7.00000000000000e-01,6.97931514909976e-01,7.00000000000000e-01
3.44160159552512e-08,7.00000000000000e-01,7.00000000000000e-01,7.02104475677089e-01,7.00000000000000e-01
3.51000000000000e-08,6.99999999999965e-01,7.00000000000000e-01,6.97906585142825e-01,7.00000000000000e-01
3.51100000000000e-08,6.29999999999979e-01,7.00000000000000e-01,6.98732767332656e-01,7.00000000000000e-01
