Time,v(clk),v(data),v(out)
1.00000000000000e-08,7.50000000000000e-01,0.00000000000000e+00,1.60275764196178e-05
1.00100000000000e-08,7.50000000000000e-01,7.49999999999982e-02,1.57568605581304e-05
1.00300000000000e-08,7.50000000000000e-01,2.24999999999995e-01,1.31168011904131e-05
1.00700000000000e-08,7.50000000000000e-01,5.24999999999987e-01,5.80140488572189e-06
1.01000000000000e-08,7.50000000000000e-01,7.49999999999994e-01,1.67658398274317e-06
1.01080000000000e-08,7.50000000000000e-01,7.50000000000000e-01,1.08960657027590e-06
1.01240000000000e-08,7.50000000000000e-01,7.50000000000000e-01,1.60226704305766e-06
1.01560000000000e-08,7.50000000000000e-01,7.50000000000000e-01,4.84340374764386e-06
1.02200000000000e-08,7.50000000000000e-01,7.50000000000000e-01,7.80412923394314e-06
1.03480000000000e-08,7.50000000000000e-01,7.50000000000000e-01,3.01378441509154e-06
1.06040000000000e-08,7.50000000000000e-01,7.50000000000000e-01,9.39989336260633e-07
1.10646996101646e-08,7.50000000000000e-01,7.50000000000000e-01,2.74942597825595e-06
1.19860988304939e-08,7.50000000000000e-01,7.50000000000000e-01,1.31755783208589e-06
1.38288972711524e-08,7.50000000000000e-01,7.50000000000000e-01,2.23095940886809e-06
1.51000000000000e-08,7.50000000000000e-01,7.50000000000000e-01,1.20977682825651e-06
1.51100000000000e-08,6.74999999999989e-01,7.50000000000000e-01,-7.20510529690008e-05
1.51300000000000e-08,5.24999999999993e-01,7.50000000000000e-01,-1.89450898928349e-04
1.51700000000000e-08,2.25000000000000e-01,7.50000000000000e-01,-1.84895533747662e-04
1.52000000000000e-08,0.00000000000000e+00,7.50000000000000e-01,1.08878823334733e-04
1.52080000000000e-08,0.00000000000000e+00,7.50000000000000e-01,2.65155548316673e-04
1.52240000000000e-08,0.00000000000000e+00,7.50000000000000e-01,4.61880243801865e-04
1.52560000000000e-08,0.00000000000000e+00,7.50000000000000e-01,4.77629595219381e-04
1.53200000000000e-08,0.00000000000000e+00,7.50000000000000e-01,1.46316319195108e-04
1.54480000000000e-08,0.00000000000000e+00,7.50000000000000e-01,-2.88582792450434e-04
1.57040000000000e-08,0.00000000000000e+00,7.50000000000000e-01,-1.29528079069366e-04
1.61828993327022e-08,0.00000000000000e+00,7.50000000000000e-01,4.14508058034745e-05
1.67225919172479e-08,0.00000000000000e+00,7.50000000000000e-01,1.53502070402352e-04
1.78019770863391e-08,0.00000000000000e+00,7.50000000000000e-01,-1.69708025228416e-04
1.89457967608501e-08,0.00000000000000e+00,7.50000000000000e-01,1.72863542517088e-04
2.12334361098720e-08,0.00000000000000e+00,7.50000000000000e-01,-1.69471307819804e-04
2.49204667991322e-08,0.00000000000000e+00,7.50000000000000e-01,1.67433206157578e-04
2.50000000000000e-08,0.00000000000000e+00,7.50000000000000e-01,1.64406595332817e-06
2.50100000000000e-08,7.49999999999858e-02,7.50000000000000e-01,1.24635814200802e-04
2.50300000000000e-08,2.25000000000007e-01,7.50000000000000e-01,3.18027670071760e-04
2.50700000000000e-08,5.25000000000000e-01,7.50000000000000e-01,4.98305721524955e-04
2.51000000000000e-08,7.50000000000000e-01,7.50000000000000e-01,-2.00966838473704e-04
2.51080000000000e-08,7.50000000000000e-01,7.50000000000000e-01,-7.33773748545288e-04
2.51240000000000e-08,7.50000000000000e-01,7.50000000000000e-01,-1.89437730494067e-03
2.51560000000000e-08,7.50000000000000e-01,7.50000000000000e-01,-4.11519535983498e-03
2.52200000000000e-08,7.50000000000000e-01,7.50000000000000e-01,-6.41896957783292e-03
2.53480000000000e-08,7.50000000000000e-01,7.50000000000000e-01,7.12900580268095e-02
2.56040000000000e-08,7.50000000000000e-01,7.50000000000000e-01,6.05939320146339e-01
2.61160000000000e-08,7.50000000000000e-01,7.50000000000000e-01,7.81702780299928e-01
2.66463984366255e-08,7.50000000000000e-01,7.50000000000000e-01,7.20662850885580e-01
2.77071953098765e-08,7.50000000000000e-01,7.50000000000000e-01,7.75829980564764e-01
2.91946950948992e-08,7.50000000000000e-01,7.50000000000000e-01,7.24025862805754e-01
3.21696946649448e-08,7.50000000000000e-01,7.50000000000000e-01,7.74005677153697e-01
3.51000000000000e-08,7.49999999999963e-01,7.50000000000000e-01,7.25330874891299e-01
3.51100000000000e-08,6.74999999999977e-01,7.50000000000000e-01,7.33753897707501e-01
3.51300000000000e-08,5.24999999999956e-01,7.50000000000000e-01,7.44800223283524e-01
3.51700000000000e-08,2.24999999999963e-01,7.50000000000000e-01,7.50796717393323e-01
3.52000000000000e-08,0.00000000000000e+00,7.50000000000000e-01,7.52561591826461e-01
3.52080000000000e-08,0.00000000000000e+00,7.50000000000000e-01,7.53014454180994e-01
3.52240000000000e-08,0.00000000000000e+00,7.50000000000000e-01,7.53408445158781e-01
3.52560000000000e-08,0.00000000000000e+00,7.50000000000000e-01,7.50740304323295e-01
3.53200000000000e-08,0.00000000000000e+00,7.50000000000000e-01,7.33811911133521e-01
3.54480000000000e-08,0.00000000000000e+00,7.50000000000000e-01,7.19021202286478e-01
3.57040000000000e-08,0.00000000000000e+00,7.50000000000000e-01,7.47694588671644e-01
3.62160000000000e-08,0.00000000000000e+00,7.50000000000000e-01,7.50355723011307e-01
3.67976124108831e-08,0.00000000000000e+00,7.50000000000000e-01,7.49221152640794e-01
3.79608372326494e-08,0.00000000000000e+00,7.50000000000000e-01,7.50180537982781e-01
4.02872868761820e-08,0.00000000000000e+00,7.50000000000000e-01,7.49576153563310e-01
4.40872868761820e-08,0.00000000000000e+00,7.50000000000000e-01,7.50219820537384e-01
4.50000000000000e-08,0.00000000000000e+00,7.50000000000000e-01,7.49721814867338e-01
4.50100000000000e-08,7.49999999999858e-02,7.50000000000000e-01,7.49838564697414e-01
4.50300000000000e-08,2.25000000000007e-01,7.50000000000000e-01,7.50010704376923e-01
4.50700000000000e-08,5.25000000000000e-01,7.50000000000000e-01,7.50155057384969e-01
4.51000000000000e-08,7.50000000000000e-01,7.50000000000000e-01,7.49731327514680e-01
4.51080000000000e-08,7.50000000000000e-01,6.90000000000031e-01,7.49417581322210e-01
4.51240000000000e-08,7.50000000000000e-01,5.69999999999994e-01,7.48774079820910e-01
4.51560000000000e-08,7.50000000000000e-01,3.30000000000020e-01,7.47726627783031e-01
4.52000000000000e-08,7.50000000000000e-01,4.29656310529936e-14,7.46957940389627e-01
4.52064000000000e-08,7.50000000000000e-01,0.00000000000000e+00,7.46895264759112e-01
4.52192000000000e-08,7.50000000000000e-01,0.00000000000000e+00,7.46748762939230e-01
4.52448000000000e-08,7.50000000000000e-01,0.00000000000000e+00,7.46508631601236e-01
