Time,v(clk),v(data),v(out)
1.00000000000000e-08,8.00000000000000e-01,0.00000000000000e+00,-1.20500060595910e-05
1.00100000000000e-08,8.00000000000000e-01,7.99999999999981e-02,-1.01071194201358e-05
1.00300000000000e-08,8.00000000000000e-01,2.39999999999994e-01,-6.81119133111308e-06
1.00700000000000e-08,8.00000000000000e-01,5.59999999999987e-01,-6.04674442275521e-06
1.01000000000000e-08,8.00000000000000e-01,7.99999999999994e-01,-2.80329325447193e-06
1.01080000000000e-08,8.00000000000000e-01,8.00000000000000e-01,-1.27948047443788e-06
1.01240000000000e-08,8.00000000000000e-01,8.00000000000000e-01,1.61781088681839e-06
1.01560000000000e-08,8.00000000000000e-01,8.00000000000000e-01,4.87662031424529e-06
1.02200000000000e-08,8.00000000000000e-01,8.00000000000000e-01,4.44563434535278e-06
1.03480000000000e-08,8.00000000000000e-01,8.00000000000000e-01,3.38125818692345e-06
1.06040000000000e-08,8.00000000000000e-01,8.00000000000000e-01,1.72987354078724e-06
1.11160000000000e-08,8.00000000000000e-01,8.00000000000000e-01,2.34382119890676e-06
1.21400000000000e-08,8.00000000000000e-01,8.00000000000000e-01,1.70881954936284e-06
1.41880000000000e-08,8.00000000000000e-01,8.00000000000000e-01,1.75714718255067e-06
1.51000000000000e-08,8.00000000000000e-01,8.00000000000000e-01,1.46417798732156e-06
1.51100000000000e-08,7.19999999999989e-01,8.00000000000000e-01,-6.82459243197472e-05
1.51300000000000e-08,5.59999999999993e-01,8.00000000000000e-01,-1.62275748210462e-04
1.51700000000000e-08,2.40000000000000e-01,8.00000000000000e-01,-9.73587648667590e-05
1.52000000000000e-08,0.00000000000000e+00,8.00000000000000e-01,1.61611824829960e-04
1.52080000000000e-08,0.00000000000000e+00,8.00000000000000e-01,2.82049847563699e-04
1.52240000000000e-08,0.00000000000000e+00,8.00000000000000e-01,3.91272349467134e-04
1.52560000000000e-08,0.00000000000000e+00,8.00000000000000e-01,2.05968726297981e-04
1.53200000000000e-08,0.00000000000000e+00,8.00000000000000e-01,-1.62214829743386e-04
1.54480000000000e-08,0.00000000000000e+00,8.00000000000000e-01,-1.18120528775092e-04
1.57040000000000e-08,0.00000000000000e+00,8.00000000000000e-01,-2.86690196680366e-04
1.60796668608235e-08,0.00000000000000e+00,8.00000000000000e-01,2.92725708064019e-04
1.66398839040966e-08,0.00000000000000e+00,8.00000000000000e-01,-6.44987107740712e-05
1.74133918872689e-08,0.00000000000000e+00,8.00000000000000e-01,-2.96748931844825e-05
1.86745301514639e-08,0.00000000000000e+00,8.00000000000000e-01,7.15095469301852e-05
2.11531302037126e-08,0.00000000000000e+00,8.00000000000000e-01,-8.69571800005706e-05
2.49531302037126e-08,0.00000000000000e+00,8.00000000000000e-01,9.72733152674295e-05
2.50000000000000e-08,0.00000000000000e+00,8.00000000000000e-01,-1.20571753365661e-04
2.50100000000000e-08,7.99999999999848e-02,8.00000000000000e-01,2.11984321041164e-05
2.50300000000000e-08,2.40000000000007e-01,8.00000000000000e-01,2.08614457481139e-04
2.50700000000000e-08,5.60000000000000e-01,8.00000000000000e-01,-8.69315462822401e-06
2.51000000000000e-08,8.00000000000000e-01,8.00000000000000e-01,-2.70897308156728e-03
2.51080000000000e-08,8.00000000000000e-01,8.00000000000000e-01,-3.88047690976848e-03
2.51240000000000e-08,8.00000000000000e-01,8.00000000000000e-01,-5.80609029448823e-03
2.51560000000000e-08,8.00000000000000e-01,8.00000000000000e-01,-5.33236341917914e-03
2.52200000000000e-08,8.00000000000000e-01,8.00000000000000e-01,7.43650050749123e-02
2.53480000000000e-08,8.00000000000000e-01,8.00000000000000e-01,5.32852391989218e-01
2.56040000000000e-08,8.00000000000000e-01,8.00000000000000e-01,8.32124292546433e-01
2.59121319777805e-08,8.00000000000000e-01,8.00000000000000e-01,7.73845806762904e-01
2.64705175122706e-08,8.00000000000000e-01,8.00000000000000e-01,8.22462194482109e-01
2.71953032315915e-08,8.00000000000000e-01,8.00000000000000e-01,7.79024578343562e-01
2.86448746702331e-08,8.00000000000000e-01,8.00000000000000e-01,8.19411625850616e-01
