Time,v(clk),v(data),v(out),v(reset)
1.00000000000000e-08,8.00000000000000e-01,0.00000000000000e+00,2.58656302581269e-05,0.00000000000000e+00
1.00100000000000e-08,8.00000000000000e-01,7.99999999999981e-02,2.06780240199211e-05,0.00000000000000e+00
1.00300000000000e-08,8.00000000000000e-01,2.39999999999994e-01,1.28325344867092e-05,0.00000000000000e+00
1.00700000000000e-08,8.00000000000000e-01,5.59999999999987e-01,5.27634214866901e-06,0.00000000000000e+00
1.01000000000000e-08,8.00000000000000e-01,7.99999999999994e-01,3.64160327262497e-06,0.00000000000000e+00
1.01080000000000e-08,8.00000000000000e-01,8.00000000000000e-01,3.76452189281007e-06,0.00000000000000e+00
1.01240000000000e-08,8.00000000000000e-01,8.00000000000000e-01,4.41761446352829e-06,0.00000000000000e+00
1.01560000000000e-08,8.00000000000000e-01,8.00000000000000e-01,5.98554122738931e-06,0.00000000000000e+00
1.02200000000000e-08,8.00000000000000e-01,8.00000000000000e-01,5.74367771834228e-06,0.00000000000000e+00
1.03480000000000e-08,8.00000000000000e-01,8.00000000000000e-01,2.86156835938717e-06,0.00000000000000e+00
1.06040000000000e-08,8.00000000000000e-01,8.00000000000000e-01,3.02575003576291e-06,0.00000000000000e+00
1.11160000000000e-08,8.00000000000000e-01,8.00000000000000e-01,2.92049820569025e-06,0.00000000000000e+00
1.21400000000000e-08,8.00000000000000e-01,8.00000000000000e-01,2.70983072764124e-06,0.00000000000000e+00
1.41880000000000e-08,8.00000000000000e-01,8.00000000000000e-01,2.12975514413778e-06,0.00000000000000e+00
1.51000000000000e-08,8.00000000000000e-01,8.00000000000000e-01,2.18614882070266e-06,0.00000000000000e+00
1.51100000000000e-08,7.19999999999989e-01,8.00000000000000e-01,2.07372728333460e-04,8.00000000000113e-02
1.51300000000000e-08,5.59999999999993e-01,8.00000000000000e-01,3.94435310918345e-04,2.40000000000007e-01
1.51700000000000e-08,2.40000000000000e-01,8.00000000000000e-01,3.15870851413824e-04,5.60000000000000e-01
1.52000000000000e-08,0.00000000000000e+00,8.00000000000000e-01,2.32057769414498e-04,8.00000000000000e-01
1.52080000000000e-08,0.00000000000000e+00,8.00000000000000e-01,1.95987300790526e-04,8.00000000000000e-01
1.52240000000000e-08,0.00000000000000e+00,8.00000000000000e-01,1.45959752549177e-04,8.00000000000000e-01
1.52560000000000e-08,0.00000000000000e+00,8.00000000000000e-01,1.03351455956614e-04,8.00000000000000e-01
1.53200000000000e-08,0.00000000000000e+00,8.00000000000000e-01,-2.51054008848367e-05,8.00000000000000e-01
1.54480000000000e-08,0.00000000000000e+00,8.00000000000000e-01,-2.78251699105378e-04,8.00000000000000e-01
1.56749414809260e-08,0.00000000000000e+00,8.00000000000000e-01,-1.22648085379273e-04,8.00000000000000e-01
1.60995620013213e-08,0.00000000000000e+00,8.00000000000000e-01,2.20620561873427e-05,8.00000000000000e-01
1.65648420068514e-08,0.00000000000000e+00,8.00000000000000e-01,2.00230926334239e-04,8.00000000000000e-01
1.74954020179114e-08,0.00000000000000e+00,8.00000000000000e-01,-2.19928997273173e-04,8.00000000000000e-01
1.84679102997774e-08,0.00000000000000e+00,8.00000000000000e-01,2.21378013208947e-04,8.00000000000000e-01
2.04129268635094e-08,0.00000000000000e+00,8.00000000000000e-01,-2.14848400438514e-04,8.00000000000000e-01
2.32982973278249e-08,0.00000000000000e+00,8.00000000000000e-01,2.10666140626557e-04,8.00000000000000e-01
2.50000000000000e-08,0.00000000000000e+00,8.00000000000000e-01,-2.00150515050817e-04,8.00000000000000e-01
2.50100000000000e-08,7.99999999999848e-02,8.00000000000000e-01,-3.79917215731218e-05,8.00000000000000e-01
2.50300000000000e-08,2.40000000000007e-01,8.00000000000000e-01,2.19040143717694e-04,8.00000000000000e-01
2.50700000000000e-08,5.60000000000000e-01,8.00000000000000e-01,4.28788161572768e-04,8.00000000000000e-01
2.51000000000000e-08,8.00000000000000e-01,8.00000000000000e-01,-5.65895211889593e-04,8.00000000000000e-01
2.51080000000000e-08,8.00000000000000e-01,8.00000000000000e-01,-1.23773128757150e-03,8.00000000000000e-01
2.51240000000000e-08,8.00000000000000e-01,8.00000000000000e-01,-2.62861883383020e-03,8.00000000000000e-01
2.51560000000000e-08,8.00000000000000e-01,8.00000000000000e-01,-5.06002197656481e-03,8.00000000000000e-01
2.52200000000000e-08,8.00000000000000e-01,8.00000000000000e-01,-5.35572504691639e-03,8.00000000000000e-01
2.53480000000000e-08,8.00000000000000e-01,8.00000000000000e-01,1.51231924815779e-01,8.00000000000000e-01
2.56040000000000e-08,8.00000000000000e-01,8.00000000000000e-01,7.24061262054544e-01,8.00000000000000e-01
2.61160000000000e-08,8.00000000000000e-01,8.00000000000000e-01,8.22095400244614e-01,8.00000000000000e-01
2.66651894315656e-08,8.00000000000000e-01,8.00000000000000e-01,7.78819547971027e-01,8.00000000000000e-01
2.76631347600643e-08,8.00000000000000e-01,8.00000000000000e-01,8.18305621424096e-01,8.00000000000000e-01
2.89236800932143e-08,8.00000000000000e-01,8.00000000000000e-01,7.81663656470122e-01,8.00000000000000e-01
3.14447707595143e-08,8.00000000000000e-01,8.00000000000000e-01,8.16882087334115e-01,8.00000000000000e-01
3.51000000000000e-08,7.99999999999960e-01,8.00000000000000e-01,7.82575138028714e-01,8.00000000000000e-01
3.51100000000000e-08,7.19999999999976e-01,8.00000000000000e-01,7.88760620399827e-01,8.00000000000000e-01
3.51300000000000e-08,5.59999999999953e-01,8.00000000000000e-01,7.96682360874198e-01,8.00000000000000e-01
3.51700000000000e-08,2.39999999999961e-01,8.00000000000000e-01,8.00938545564969e-01,8.00000000000000e-01
3.52000000000000e-08,0.00000000000000e+00,8.00000000000000e-01,8.02853982960603e-01,8.00000000000000e-01
3.52080000000000e-08,0.00000000000000e+00,8.00000000000000e-01,8.03278310911303e-01,8.00000000000000e-01
3.52240000000000e-08,0.00000000000000e+00,8.00000000000000e-01,8.03398659235547e-01,8.00000000000000e-01
3.52560000000000e-08,0.00000000000000e+00,8.00000000000000e-01,7.98600580165321e-01,8.00000000000000e-01
3.53200000000000e-08,0.00000000000000e+00,8.00000000000000e-01,7.77376938149555e-01,8.00000000000000e-01
3.54480000000000e-08,0.00000000000000e+00,8.00000000000000e-01,7.69898104780054e-01,8.00000000000000e-01
3.57040000000000e-08,0.00000000000000e+00,8.00000000000000e-01,8.01855459260811e-01,8.00000000000000e-01
3.61491837490410e-08,0.00000000000000e+00,8.00000000000000e-01,7.97506828348659e-01,8.00000000000000e-01
3.67324474895342e-08,0.00000000000000e+00,8.00000000000000e-01,8.01477331803651e-01,8.00000000000000e-01
3.78989749705205e-08,0.00000000000000e+00,8.00000000000000e-01,7.98202591542531e-01,8.00000000000000e-01
4.02320299324931e-08,0.00000000000000e+00,8.00000000000000e-01,8.01453045037146e-01,8.00000000000000e-01
