Time,v(clk),v(data),v(out)
1.00000000000000e-08,5.00000000000000e-01,0.00000000000000e+00,1.46391939370664e-05
1.00100000000000e-08,5.00000000000000e-01,4.99999999999988e-02,1.35580678651062e-05
1.00300000000000e-08,5.00000000000000e-01,1.49999999999996e-01,1.21904763554989e-05
1.00700000000000e-08,5.00000000000000e-01,3.49999999999992e-01,8.76836520434521e-06
1.01000000000000e-08,5.00000000000000e-01,4.99999999999996e-01,5.90963995649590e-06
1.01080000000000e-08,5.00000000000000e-01,5.00000000000000e-01,5.51220250525480e-06
1.01240000000000e-08,5.00000000000000e-01,5.00000000000000e-01,4.18225414550860e-06
1.01560000000000e-08,5.00000000000000e-01,5.00000000000000e-01,4.32536319654175e-06
1.02200000000000e-08,5.00000000000000e-01,5.00000000000000e-01,6.14423085742999e-06
1.03480000000000e-08,5.00000000000000e-01,5.00000000000000e-01,8.49092206420959e-06
1.06040000000000e-08,5.00000000000000e-01,5.00000000000000e-01,6.56615658943191e-06
1.11160000000000e-08,5.00000000000000e-01,5.00000000000000e-01,5.95735196838934e-06
1.20845233778281e-08,5.00000000000000e-01,5.00000000000000e-01,6.36385183924899e-06
1.40215701334842e-08,5.00000000000000e-01,5.00000000000000e-01,5.73676714224307e-06
1.51000000000000e-08,5.00000000000000e-01,5.00000000000000e-01,5.90756337998620e-06
1.51100000000000e-08,4.49999999999993e-01,5.00000000000000e-01,-4.56946550507070e-05
1.51300000000000e-08,3.49999999999995e-01,5.00000000000000e-01,-1.34985826498395e-04
1.51700000000000e-08,1.50000000000000e-01,5.00000000000000e-01,-2.13466560594032e-04
1.52000000000000e-08,0.00000000000000e+00,5.00000000000000e-01,-6.13422213444487e-05
1.52080000000000e-08,0.00000000000000e+00,5.00000000000000e-01,6.41286160523724e-05
1.52240000000000e-08,0.00000000000000e+00,5.00000000000000e-01,2.49581470921016e-04
1.52560000000000e-08,0.00000000000000e+00,5.00000000000000e-01,3.84754131488758e-04
1.53200000000000e-08,0.00000000000000e+00,5.00000000000000e-01,3.22419442946212e-04
1.54480000000000e-08,0.00000000000000e+00,5.00000000000000e-01,-3.42669824418551e-05
1.57040000000000e-08,0.00000000000000e+00,5.00000000000000e-01,-1.91893543821688e-04
1.62160000000000e-08,0.00000000000000e+00,5.00000000000000e-01,8.22201806014548e-05
1.69901543046583e-08,0.00000000000000e+00,5.00000000000000e-01,-1.36632245970412e-04
1.85384629139748e-08,0.00000000000000e+00,5.00000000000000e-01,1.61375362686103e-04
2.16350801326078e-08,0.00000000000000e+00,5.00000000000000e-01,-1.31208467527506e-04
