Time,v(clk),v(data),v(out)
1.00000000000000e-08,5.00000000000000e-01,0.00000000000000e+00,-2.68457018429581e-06
1.00100000000000e-08,5.00000000000000e-01,4.99999999999988e-02,7.90647653979570e-07
1.00300000000000e-08,5.00000000000000e-01,1.49999999999996e-01,5.36172931552698e-06
1.00700000000000e-08,5.00000000000000e-01,3.49999999999992e-01,8.03888009516529e-06
1.01000000000000e-08,5.00000000000000e-01,4.99999999999996e-01,6.90074924367817e-06
1.01080000000000e-08,5.00000000000000e-01,5.00000000000000e-01,7.37693920003363e-06
1.01240000000000e-08,5.00000000000000e-01,5.00000000000000e-01,8.37018460601857e-06
1.01560000000000e-08,5.00000000000000e-01,5.00000000000000e-01,6.28776824026372e-06
1.02200000000000e-08,5.00000000000000e-01,5.00000000000000e-01,1.00161159740028e-05
1.03480000000000e-08,5.00000000000000e-01,5.00000000000000e-01,1.29862257649965e-05
1.06040000000000e-08,5.00000000000000e-01,5.00000000000000e-01,1.03363932835582e-05
1.11160000000000e-08,5.00000000000000e-01,5.00000000000000e-01,9.99807713465521e-06
1.21400000000000e-08,5.00000000000000e-01,5.00000000000000e-01,1.00068477702142e-05
1.41880000000000e-08,5.00000000000000e-01,5.00000000000000e-01,9.49263290136180e-06
1.51000000000000e-08,5.00000000000000e-01,5.00000000000000e-01,9.23557374844352e-06
1.51100000000000e-08,4.49999999999993e-01,5.00000000000000e-01,-4.17225646029695e-05
1.51300000000000e-08,3.49999999999995e-01,5.00000000000000e-01,-1.23097137647570e-04
1.51700000000000e-08,1.50000000000000e-01,5.00000000000000e-01,-1.71548168628459e-04
1.52000000000000e-08,0.00000000000000e+00,5.00000000000000e-01,-1.94693915516950e-05
1.52080000000000e-08,0.00000000000000e+00,5.00000000000000e-01,9.38663529069517e-05
1.52240000000000e-08,0.00000000000000e+00,5.00000000000000e-01,2.54416315474633e-04
1.52560000000000e-08,0.00000000000000e+00,5.00000000000000e-01,3.31501069543834e-04
1.53200000000000e-08,0.00000000000000e+00,5.00000000000000e-01,1.64528753269159e-04
1.54480000000000e-08,0.00000000000000e+00,5.00000000000000e-01,-2.01181380822042e-04
1.57040000000000e-08,0.00000000000000e+00,5.00000000000000e-01,-9.21264905984973e-05
1.62160000000000e-08,0.00000000000000e+00,5.00000000000000e-01,-2.36935205670478e-05
1.69852275571182e-08,0.00000000000000e+00,5.00000000000000e-01,4.12172275642371e-05
1.81693275167707e-08,0.00000000000000e+00,5.00000000000000e-01,5.48201155230396e-05
