Time,i(vdd)
6.03572814892845e-06,-4.95910516200580e-07
6.07572814892844e-06,4.63525159075690e-07
6.11572814892844e-06,-4.90013491602879e-07
6.15572814892844e-06,4.57677265298252e-07
6.19572814892844e-06,-4.84212382191555e-07
6.23572814892844e-06,4.51923227816678e-07
6.27572814892844e-06,-4.78503321726763e-07
6.31572814892844e-06,4.46258931632829e-07
6.35572814892844e-06,-4.72887030920982e-07
6.39572814892844e-06,4.40686758931293e-07
6.43572814892844e-06,-4.67358907910188e-07
6.47572814892844e-06,4.35203654080424e-07
6.51572814892844e-06,-4.61918802213144e-07
6.55572814892844e-06,4.29807987833826e-07
6.59572814892844e-06,-4.56565337851777e-07
6.63572814892844e-06,4.24498266141266e-07
6.67572814892844e-06,-4.51297122237545e-07
6.71572814892844e-06,4.19273063897484e-07
6.75572814892844e-06,-4.46112734109943e-07
6.79572814892844e-06,4.14130974897066e-07
6.83572814892844e-06,-4.41010787797931e-07
6.87572814892844e-06,4.09070621507298e-07
6.91572814892844e-06,-4.35989914191038e-07
6.95572814892844e-06,4.04090648908997e-07
6.99572814892844e-06,-4.31048770427222e-07
7.03572814892844e-06,3.99189725110183e-07
7.07572814892844e-06,-4.26186035867884e-07
7.11572814892843e-06,3.94367851181348e-07
7.15572814892843e-06,-4.21401716399860e-07
7.19572814892843e-06,3.89622343265842e-07
7.23572814892843e-06,-4.16693145168923e-07
7.27572814892843e-06,3.84951940941797e-07
7.31572814892843e-06,-4.12059072724649e-07
7.35572814892843e-06,3.80355405747323e-07
7.39572814892843e-06,-4.07498268613581e-07
7.43572814892843e-06,3.75831088843976e-07
7.47572814892843e-06,-4.03009772147528e-07
7.51572814892843e-06,3.71378618036001e-07
7.55572814892843e-06,-3.98592242181031e-07
7.59572814892843e-06,3.66996604730504e-07
7.63572814892843e-06,-3.94243434825225e-07
7.67572814892843e-06,3.62683973446640e-07
7.71572814892843e-06,-3.89964302987441e-07
7.75572814892843e-06,3.58439370798563e-07
7.79572814892843e-06,-3.85752518998160e-07
7.83572814892843e-06,3.54261576702390e-07
7.87572814892843e-06,-3.81607039696492e-07
7.91572814892843e-06,3.50149513981373e-07
7.95572814892843e-06,-3.77526755591854e-07
7.99572814892843e-06,3.46102100377668e-07
8.00000000000000e-06,-3.57399877584887e-07
