Time,v(clk),v(data),v(out)
1.00000000000000e-08,6.00000000000000e-01,0.00000000000000e+00,1.94007461887732e-05
1.00100000000000e-08,6.00000000000000e-01,5.99999999999985e-02,1.78159743590561e-05
1.00300000000000e-08,6.00000000000000e-01,1.79999999999996e-01,1.55781743155087e-05
1.00700000000000e-08,6.00000000000000e-01,4.19999999999990e-01,1.15928188085743e-05
1.01000000000000e-08,6.00000000000000e-01,5.99999999999995e-01,7.57900128277311e-06
1.01080000000000e-08,6.00000000000000e-01,6.00000000000000e-01,6.06749162750803e-06
1.01240000000000e-08,6.00000000000000e-01,6.00000000000000e-01,4.14496030444467e-06
1.01560000000000e-08,6.00000000000000e-01,6.00000000000000e-01,4.17069955230970e-06
1.02200000000000e-08,6.00000000000000e-01,6.00000000000000e-01,9.39934569205852e-06
1.03480000000000e-08,6.00000000000000e-01,6.00000000000000e-01,1.34429031995176e-05
1.06040000000000e-08,6.00000000000000e-01,6.00000000000000e-01,1.29970016922928e-05
1.11160000000000e-08,6.00000000000000e-01,6.00000000000000e-01,1.01308935245847e-05
1.20145649300477e-08,6.00000000000000e-01,6.00000000000000e-01,1.20606927729652e-05
1.38116947901433e-08,6.00000000000000e-01,6.00000000000000e-01,9.85517260910628e-06
1.51000000000000e-08,6.00000000000000e-01,6.00000000000000e-01,1.06797953702831e-05
1.51100000000000e-08,5.39999999999991e-01,6.00000000000000e-01,-5.46655149338410e-05
1.51300000000000e-08,4.19999999999994e-01,6.00000000000000e-01,-1.75026456796852e-04
1.51700000000000e-08,1.80000000000000e-01,6.00000000000000e-01,-3.05607939944830e-04
1.52000000000000e-08,0.00000000000000e+00,6.00000000000000e-01,-1.91124967160922e-04
1.52080000000000e-08,0.00000000000000e+00,6.00000000000000e-01,-5.99800634806386e-05
1.52240000000000e-08,0.00000000000000e+00,6.00000000000000e-01,1.52133950065303e-04
1.52560000000000e-08,0.00000000000000e+00,6.00000000000000e-01,3.65553160114211e-04
1.53200000000000e-08,0.00000000000000e+00,6.00000000000000e-01,4.11602978729747e-04
1.54480000000000e-08,0.00000000000000e+00,6.00000000000000e-01,1.03475824176656e-04
1.57040000000000e-08,0.00000000000000e+00,6.00000000000000e-01,-2.70404325219884e-04
1.62160000000000e-08,0.00000000000000e+00,6.00000000000000e-01,-1.72777623696774e-05
1.71650426763332e-08,0.00000000000000e+00,6.00000000000000e-01,-5.39388691348248e-05
1.84526631633893e-08,0.00000000000000e+00,6.00000000000000e-01,1.47206429951079e-04
2.10279041375016e-08,0.00000000000000e+00,6.00000000000000e-01,-1.15931544391734e-04
2.37570630708859e-08,0.00000000000000e+00,6.00000000000000e-01,1.10504814831376e-04
2.50000000000000e-08,0.00000000000000e+00,6.00000000000000e-01,-5.94301346594928e-05
2.50100000000000e-08,5.99999999999886e-02,6.00000000000000e-01,5.16726764706113e-05
2.50300000000000e-08,1.80000000000006e-01,6.00000000000000e-01,2.49454134550346e-04
2.50700000000000e-08,4.20000000000000e-01,6.00000000000000e-01,5.14595304282203e-04
2.51000000000000e-08,6.00000000000000e-01,6.00000000000000e-01,5.45304636135009e-04
2.51080000000000e-08,6.00000000000000e-01,6.00000000000000e-01,4.63864434428113e-04
2.51240000000000e-08,6.00000000000000e-01,6.00000000000000e-01,2.76506729720009e-04
2.51560000000000e-08,6.00000000000000e-01,6.00000000000000e-01,-2.97756700322817e-04
2.52200000000000e-08,6.00000000000000e-01,6.00000000000000e-01,-1.88127748769618e-03
2.53480000000000e-08,6.00000000000000e-01,6.00000000000000e-01,-4.42158867785108e-03
2.56040000000000e-08,6.00000000000000e-01,6.00000000000000e-01,1.37562823542345e-02
2.61160000000000e-08,6.00000000000000e-01,6.00000000000000e-01,4.10803157636739e-01
2.71400000000000e-08,6.00000000000000e-01,6.00000000000000e-01,6.27620180738253e-01
2.82932674493654e-08,6.00000000000000e-01,6.00000000000000e-01,5.76269033675489e-01
3.01000000000000e-08,6.00000000000000e-01,6.00000000000000e-01,6.21579910999731e-01
3.01100000000000e-08,6.00000000000000e-01,5.40000000000031e-01,6.16492713322577e-01
3.01300000000000e-08,6.00000000000000e-01,4.20000000000014e-01,6.08753381297124e-01
3.01700000000000e-08,6.00000000000000e-01,1.80000000000020e-01,6.02056643525845e-01
3.02000000000000e-08,6.00000000000000e-01,1.44328993201270e-14,6.00671525942042e-01
3.02080000000000e-08,6.00000000000000e-01,0.00000000000000e+00,6.00495939457135e-01
3.02240000000000e-08,6.00000000000000e-01,0.00000000000000e+00,6.00230764468887e-01
3.02560000000000e-08,6.00000000000000e-01,0.00000000000000e+00,5.99963705685029e-01
3.03200000000000e-08,6.00000000000000e-01,0.00000000000000e+00,5.99837512056794e-01
3.04480000000000e-08,6.00000000000000e-01,0.00000000000000e+00,5.99850009651080e-01
3.07040000000000e-08,6.00000000000000e-01,0.00000000000000e+00,5.99925542219737e-01
3.12160000000000e-08,6.00000000000000e-01,0.00000000000000e+00,5.99943009685370e-01
3.20260691926467e-08,6.00000000000000e-01,0.00000000000000e+00,5.99933115015994e-01
3.33598588046225e-08,6.00000000000000e-01,0.00000000000000e+00,5.99951163521384e-01
3.51000000000000e-08,5.99999999999970e-01,0.00000000000000e+00,5.99948650126399e-01
3.51100000000000e-08,5.39999999999982e-01,0.00000000000000e+00,5.99878864566991e-01
