Time,v(clk),v(data),v(out)
1.00000000000000e-08,5.00000000000000e-01,0.00000000000000e+00,-2.98041216277543e-05
1.00100000000000e-08,5.00000000000000e-01,4.99999999999988e-02,-2.03627444238241e-05
1.00300000000000e-08,5.00000000000000e-01,1.49999999999996e-01,-8.12306917751665e-06
1.00700000000000e-08,5.00000000000000e-01,3.49999999999992e-01,9.65483256086530e-07
1.01000000000000e-08,5.00000000000000e-01,4.99999999999996e-01,5.62869176629066e-07
1.01080000000000e-08,5.00000000000000e-01,5.00000000000000e-01,3.72845290926016e-07
1.01240000000000e-08,5.00000000000000e-01,5.00000000000000e-01,1.07381814982294e-06
1.01560000000000e-08,5.00000000000000e-01,5.00000000000000e-01,3.67365867284808e-06
1.02200000000000e-08,5.00000000000000e-01,5.00000000000000e-01,5.53884090899459e-06
1.03480000000000e-08,5.00000000000000e-01,5.00000000000000e-01,4.67651728928292e-06
1.06040000000000e-08,5.00000000000000e-01,5.00000000000000e-01,1.24216910601244e-06
1.11160000000000e-08,5.00000000000000e-01,5.00000000000000e-01,2.66518680787364e-06
1.21400000000000e-08,5.00000000000000e-01,5.00000000000000e-01,1.19765012279987e-06
1.41880000000000e-08,5.00000000000000e-01,5.00000000000000e-01,2.42483937309100e-06
1.51000000000000e-08,5.00000000000000e-01,5.00000000000000e-01,1.08834845373180e-06
1.51100000000000e-08,4.49999999999993e-01,5.00000000000000e-01,-5.27835432738016e-05
1.51300000000000e-08,3.49999999999995e-01,5.00000000000000e-01,-1.42056340013387e-04
1.51700000000000e-08,1.50000000000000e-01,5.00000000000000e-01,-2.32969210955995e-04
1.52000000000000e-08,0.00000000000000e+00,5.00000000000000e-01,-1.62227845325207e-04
1.52080000000000e-08,0.00000000000000e+00,5.00000000000000e-01,-5.71263272593839e-05
1.52240000000000e-08,0.00000000000000e+00,5.00000000000000e-01,1.08150004025975e-04
1.52560000000000e-08,0.00000000000000e+00,5.00000000000000e-01,2.43855194765601e-04
1.53200000000000e-08,0.00000000000000e+00,5.00000000000000e-01,2.15766238817999e-04
1.54480000000000e-08,0.00000000000000e+00,5.00000000000000e-01,1.84378008724617e-05
1.57040000000000e-08,0.00000000000000e+00,5.00000000000000e-01,-1.06550680097937e-04
1.62160000000000e-08,0.00000000000000e+00,5.00000000000000e-01,-2.50205500458714e-05
1.72400000000000e-08,0.00000000000000e+00,5.00000000000000e-01,-1.98787095105632e-05
1.86663030744253e-08,0.00000000000000e+00,5.00000000000000e-01,6.82111486589704e-05
2.11050866999700e-08,0.00000000000000e+00,5.00000000000000e-01,-6.72356210155147e-05
2.43510898018284e-08,0.00000000000000e+00,5.00000000000000e-01,6.52698106262117e-05
2.50000000000000e-08,0.00000000000000e+00,5.00000000000000e-01,-4.46411218726298e-05
2.50100000000000e-08,4.99999999999905e-02,5.00000000000000e-01,5.22122102045788e-05
2.50300000000000e-08,1.50000000000005e-01,5.00000000000000e-01,2.09965470355455e-04
2.50700000000000e-08,3.50000000000000e-01,5.00000000000000e-01,3.34125718419356e-04
2.51000000000000e-08,5.00000000000000e-01,5.00000000000000e-01,1.50024793265216e-04
2.51080000000000e-08,5.00000000000000e-01,5.00000000000000e-01,-5.99051173097859e-05
2.51240000000000e-08,5.00000000000000e-01,5.00000000000000e-01,-6.24961880354637e-04
2.51560000000000e-08,5.00000000000000e-01,5.00000000000000e-01,-2.03872431761422e-03
2.52200000000000e-08,5.00000000000000e-01,5.00000000000000e-01,-4.15018784272349e-03
2.53480000000000e-08,5.00000000000000e-01,5.00000000000000e-01,-3.52535964727417e-03
2.56040000000000e-08,5.00000000000000e-01,5.00000000000000e-01,1.37274031126263e-01
2.61160000000000e-08,5.00000000000000e-01,5.00000000000000e-01,4.74433999902843e-01
2.71400000000000e-08,5.00000000000000e-01,5.00000000000000e-01,5.08034722967613e-01
2.83159617870310e-08,5.00000000000000e-01,5.00000000000000e-01,4.91557399425514e-01
3.01000000000000e-08,5.00000000000000e-01,5.00000000000000e-01,5.05527402587229e-01
3.01100000000000e-08,5.00000000000000e-01,4.50000000000026e-01,5.04759647610521e-01
3.01300000000000e-08,5.00000000000000e-01,3.50000000000012e-01,5.03399005449637e-01
3.01700000000000e-08,5.00000000000000e-01,1.50000000000017e-01,5.01699290847876e-01
3.02000000000000e-08,5.00000000000000e-01,1.21014309684142e-14,5.01087972196144e-01
3.02080000000000e-08,5.00000000000000e-01,0.00000000000000e+00,5.00975458256811e-01
3.02240000000000e-08,5.00000000000000e-01,0.00000000000000e+00,5.00780633506445e-01
3.02560000000000e-08,5.00000000000000e-01,0.00000000000000e+00,5.00480461111495e-01
3.03200000000000e-08,5.00000000000000e-01,0.00000000000000e+00,5.00220307237128e-01
3.04480000000000e-08,5.00000000000000e-01,0.00000000000000e+00,4.99980361940747e-01
3.07040000000000e-08,5.00000000000000e-01,0.00000000000000e+00,4.99920951493571e-01
3.12160000000000e-08,5.00000000000000e-01,0.00000000000000e+00,4.99948866870967e-01
3.18984790112033e-08,5.00000000000000e-01,0.00000000000000e+00,4.99924939996128e-01
3.32634370336098e-08,5.00000000000000e-01,0.00000000000000e+00,4.99950611998723e-01
3.51000000000000e-08,4.99999999999975e-01,0.00000000000000e+00,4.99943271424725e-01
3.51100000000000e-08,4.49999999999985e-01,0.00000000000000e+00,4.99876647732717e-01
3.51300000000000e-08,3.49999999999971e-01,0.00000000000000e+00,4.99767693092231e-01
3.51700000000000e-08,1.49999999999975e-01,0.00000000000000e+00,4.99812295807496e-01
3.52000000000000e-08,0.00000000000000e+00,0.00000000000000e+00,5.00486227963050e-01
3.52080000000000e-08,0.00000000000000e+00,0.00000000000000e+00,5.00779993670597e-01
3.52240000000000e-08,0.00000000000000e+00,0.00000000000000e+00,5.01255855888372e-01
3.52560000000000e-08,0.00000000000000e+00,0.00000000000000e+00,5.01791656983044e-01
3.53200000000000e-08,0.00000000000000e+00,0.00000000000000e+00,5.02056287266792e-01
3.54480000000000e-08,0.00000000000000e+00,0.00000000000000e+00,4.99388798873599e-01
3.57040000000000e-08,0.00000000000000e+00,0.00000000000000e+00,4.84081025749012e-01
3.62160000000000e-08,0.00000000000000e+00,0.00000000000000e+00,4.86891346084117e-01
3.69198603352216e-08,0.00000000000000e+00,0.00000000000000e+00,5.03187058849228e-01
3.83275810056647e-08,0.00000000000000e+00,0.00000000000000e+00,4.95979084516967e-01
3.91000000000000e-08,0.00000000000000e+00,0.00000000000000e+00,5.01641934850477e-01
3.92482358607004e-08,0.00000000000000e+00,0.00000000000000e+00,5.00324439681943e-01
3.95447075821011e-08,0.00000000000000e+00,0.00000000000000e+00,4.99379597533049e-01
4.01376510249026e-08,0.00000000000000e+00,0.00000000000000e+00,4.99720330089597e-01
4.13235379105056e-08,0.00000000000000e+00,0.00000000000000e+00,4.99606582666043e-01
4.36953116817116e-08,0.00000000000000e+00,0.00000000000000e+00,4.99809977408803e-01
4.50000000000000e-08,0.00000000000000e+00,0.00000000000000e+00,4.99719827644263e-01
4.50100000000000e-08,4.99999999999905e-02,0.00000000000000e+00,4.99790860091275e-01
4.50300000000000e-08,1.50000000000005e-01,0.00000000000000e+00,4.99899557344831e-01
4.50700000000000e-08,3.50000000000000e-01,0.00000000000000e+00,4.99952005892634e-01
4.51000000000000e-08,5.00000000000000e-01,0.00000000000000e+00,4.99844879351661e-01
4.51080000000000e-08,5.00000000000000e-01,0.00000000000000e+00,4.99773439848427e-01
4.51240000000000e-08,5.00000000000000e-01,0.00000000000000e+00,4.99650817192462e-01
4.51560000000000e-08,5.00000000000000e-01,0.00000000000000e+00,4.99500504302816e-01
4.52200000000000e-08,5.00000000000000e-01,0.00000000000000e+00,4.99371213377937e-01
4.53480000000000e-08,5.00000000000000e-01,0.00000000000000e+00,4.99801872020345e-01
4.56040000000000e-08,5.00000000000000e-01,0.00000000000000e+00,5.07011400838273e-01
4.61160000000000e-08,5.00000000000000e-01,0.00000000000000e+00,1.48369747993879e-01
4.69919221338841e-08,5.00000000000000e-01,0.00000000000000e+00,-4.89624883239816e-02
4.78914262218148e-08,5.00000000000000e-01,0.00000000000000e+00,5.07733894510205e-02
4.96904343976760e-08,5.00000000000000e-01,0.00000000000000e+00,-3.47599528150428e-02
5.00000000000000e-08,5.00000000000000e-01,0.00000000000000e+00,1.98591499839402e-02
5.00100000000000e-08,5.00000000000000e-01,4.99999999999905e-02,1.69625929157043e-02
5.00300000000000e-08,5.00000000000000e-01,1.49999999999972e-01,1.18317630263085e-02
5.00700000000000e-08,5.00000000000000e-01,3.50000000000000e-01,5.36928386607834e-03
5.01000000000000e-08,5.00000000000000e-01,5.00000000000000e-01,3.02976092890887e-03
5.01080000000000e-08,5.00000000000000e-01,5.00000000000000e-01,2.63554354220068e-03
5.01240000000000e-08,5.00000000000000e-01,5.00000000000000e-01,1.93550788903362e-03
5.01560000000000e-08,5.00000000000000e-01,5.00000000000000e-01,1.04605000660811e-03
5.02200000000000e-08,5.00000000000000e-01,5.00000000000000e-01,2.63366475386849e-04
5.03480000000000e-08,5.00000000000000e-01,5.00000000000000e-01,-1.90018369229834e-05
5.06040000000000e-08,5.00000000000000e-01,5.00000000000000e-01,7.23652272488322e-06
5.11160000000001e-08,5.00000000000000e-01,5.00000000000000e-01,-5.84967442408130e-06
5.21400000000002e-08,5.00000000000000e-01,5.00000000000000e-01,4.37001088228039e-06
5.41880000000003e-08,5.00000000000000e-01,5.00000000000000e-01,-4.13345157138784e-06
5.51000000000000e-08,5.00000000000000e-01,5.00000000000000e-01,3.40547649727019e-06
5.51100000000000e-08,4.50000000000018e-01,5.00000000000000e-01,-5.24599122734282e-05
5.51300000000000e-08,3.50000000000004e-01,5.00000000000000e-01,-1.43878830525176e-04
5.51700000000000e-08,1.50000000000008e-01,5.00000000000000e-01,-2.31614439227215e-04
