Time,v(clk),v(data),v(out)
1.00000000000000e-08,5.50000000000000e-01,0.00000000000000e+00,3.12631291767822e-05
1.00100000000000e-08,5.50000000000000e-01,5.49999999999987e-02,3.01509971608466e-05
1.00300000000000e-08,5.50000000000000e-01,1.64999999999996e-01,2.82410024667404e-05
1.00700000000000e-08,5.50000000000000e-01,3.84999999999991e-01,2.58393285413466e-05
1.01000000000000e-08,5.50000000000000e-01,5.49999999999996e-01,2.26457586297232e-05
1.01080000000000e-08,5.50000000000000e-01,5.50000000000000e-01,2.21908009446145e-05
1.01240000000000e-08,5.50000000000000e-01,5.50000000000000e-01,2.10233198318158e-05
1.01560000000000e-08,5.50000000000000e-01,5.50000000000000e-01,2.16164059147900e-05
1.02200000000000e-08,5.50000000000000e-01,5.50000000000000e-01,2.38318868549317e-05
1.03480000000000e-08,5.50000000000000e-01,5.50000000000000e-01,2.71965359205026e-05
1.06040000000000e-08,5.50000000000000e-01,5.50000000000000e-01,2.52279665112348e-05
1.11160000000000e-08,5.50000000000000e-01,5.50000000000000e-01,2.34567665601190e-05
1.20682671254682e-08,5.50000000000000e-01,5.50000000000000e-01,2.43057223727767e-05
1.39728013764048e-08,5.50000000000000e-01,5.50000000000000e-01,2.26231165048225e-05
1.51000000000000e-08,5.50000000000000e-01,5.50000000000000e-01,2.32233772636935e-05
1.51100000000000e-08,4.94999999999992e-01,5.50000000000000e-01,-3.18963213954762e-05
1.51300000000000e-08,3.84999999999995e-01,5.50000000000000e-01,-1.28642081354838e-04
1.51700000000000e-08,1.65000000000000e-01,5.50000000000000e-01,-1.81323831290221e-04
1.52000000000000e-08,0.00000000000000e+00,5.50000000000000e-01,1.36839936767663e-05
1.52080000000000e-08,0.00000000000000e+00,5.50000000000000e-01,1.44784108201061e-04
1.52240000000000e-08,0.00000000000000e+00,5.50000000000000e-01,3.35331266327128e-04
1.52560000000000e-08,0.00000000000000e+00,5.50000000000000e-01,4.57644515593998e-04
1.53200000000000e-08,0.00000000000000e+00,5.50000000000000e-01,3.25421920371910e-04
1.54480000000000e-08,0.00000000000000e+00,5.50000000000000e-01,-1.59265637785455e-04
1.57040000000000e-08,0.00000000000000e+00,5.50000000000000e-01,-1.79841776892550e-04
1.62160000000000e-08,0.00000000000000e+00,5.50000000000000e-01,3.89379966932897e-05
1.69143909068081e-08,0.00000000000000e+00,5.50000000000000e-01,-3.99911441109624e-05
1.80994915045141e-08,0.00000000000000e+00,5.50000000000000e-01,1.59406334907523e-04
2.04696926999261e-08,0.00000000000000e+00,5.50000000000000e-01,-1.27799594414905e-04
2.30944347581105e-08,0.00000000000000e+00,5.50000000000000e-01,1.68413555126891e-04
2.50000000000000e-08,0.00000000000000e+00,5.50000000000000e-01,-1.24827287609686e-04
2.50100000000000e-08,5.49999999999896e-02,5.50000000000000e-01,-1.41436008143231e-05
2.50300000000000e-08,1.65000000000005e-01,5.50000000000000e-01,1.80948135946275e-04
2.50700000000000e-08,3.85000000000000e-01,5.50000000000000e-01,4.55183927047617e-04
2.51000000000000e-08,5.50000000000000e-01,5.50000000000000e-01,5.26056453429236e-04
2.51080000000000e-08,5.50000000000000e-01,5.50000000000000e-01,4.69690240291837e-04
2.51240000000000e-08,5.50000000000000e-01,5.50000000000000e-01,3.44962912837060e-04
2.51560000000000e-08,5.50000000000000e-01,5.50000000000000e-01,-5.87585359376058e-06
2.52200000000000e-08,5.50000000000000e-01,5.50000000000000e-01,-1.08702985745113e-03
2.53480000000000e-08,5.50000000000000e-01,5.50000000000000e-01,-3.23444327344172e-03
2.56040000000000e-08,5.50000000000000e-01,5.50000000000000e-01,2.44890005097145e-03
2.61160000000000e-08,5.50000000000000e-01,5.50000000000000e-01,3.74266992139101e-01
2.71400000000000e-08,5.50000000000000e-01,5.50000000000000e-01,5.67249072010919e-01
2.82938740817489e-08,5.50000000000000e-01,5.50000000000000e-01,5.36266103786761e-01
3.01000000000000e-08,5.50000000000000e-01,5.50000000000000e-01,5.63326562653397e-01
3.01100000000000e-08,5.50000000000000e-01,4.95000000000029e-01,5.58485914701819e-01
3.01300000000000e-08,5.50000000000000e-01,3.85000000000013e-01,5.52320774281825e-01
3.01700000000000e-08,5.50000000000000e-01,1.65000000000018e-01,5.49774876191735e-01
3.02000000000000e-08,5.50000000000000e-01,1.33226762955019e-14,5.49905072858381e-01
3.02080000000000e-08,5.50000000000000e-01,0.00000000000000e+00,5.49903789552254e-01
3.02240000000000e-08,5.50000000000000e-01,0.00000000000000e+00,5.49901144511473e-01
3.02560000000000e-08,5.50000000000000e-01,0.00000000000000e+00,5.49906930845464e-01
3.03200000000000e-08,5.50000000000000e-01,0.00000000000000e+00,5.49931828328715e-01
3.04480000000000e-08,5.50000000000000e-01,0.00000000000000e+00,5.49940083792604e-01
