Time,v(clk),v(data),v(out),v(reset)
1.00000000000000e-08,6.00000000000000e-01,0.00000000000000e+00,2.53386866703930e-05,0.00000000000000e+00
1.00100000000000e-08,6.00000000000000e-01,5.99999999999985e-02,1.86204088391678e-05,0.00000000000000e+00
1.00300000000000e-08,6.00000000000000e-01,1.79999999999996e-01,1.00483571501553e-05,0.00000000000000e+00
1.00700000000000e-08,6.00000000000000e-01,4.19999999999990e-01,4.11389735296974e-06,0.00000000000000e+00
1.01000000000000e-08,6.00000000000000e-01,5.99999999999995e-01,3.07358120221063e-06,0.00000000000000e+00
1.01080000000000e-08,6.00000000000000e-01,6.00000000000000e-01,3.34812025525738e-06,0.00000000000000e+00
1.01240000000000e-08,6.00000000000000e-01,6.00000000000000e-01,4.07887539542739e-06,0.00000000000000e+00
1.01560000000000e-08,6.00000000000000e-01,6.00000000000000e-01,4.58132594290117e-06,0.00000000000000e+00
1.02200000000000e-08,6.00000000000000e-01,6.00000000000000e-01,4.03259976029802e-06,0.00000000000000e+00
1.03480000000000e-08,6.00000000000000e-01,6.00000000000000e-01,3.51109069214942e-06,0.00000000000000e+00
1.06040000000000e-08,6.00000000000000e-01,6.00000000000000e-01,3.37436710514359e-06,0.00000000000000e+00
1.11160000000000e-08,6.00000000000000e-01,6.00000000000000e-01,3.48587899010565e-06,0.00000000000000e+00
1.21400000000000e-08,6.00000000000000e-01,6.00000000000000e-01,2.94608040699636e-06,0.00000000000000e+00
1.41880000000000e-08,6.00000000000000e-01,6.00000000000000e-01,2.89872465100141e-06,0.00000000000000e+00
1.51000000000000e-08,6.00000000000000e-01,6.00000000000000e-01,2.50069299178625e-06,0.00000000000000e+00
1.51100000000000e-08,5.39999999999991e-01,6.00000000000000e-01,1.47177979301839e-04,6.00000000000085e-02
1.51300000000000e-08,4.19999999999994e-01,6.00000000000000e-01,2.58981198042262e-04,1.80000000000006e-01
1.51700000000000e-08,1.80000000000000e-01,6.00000000000000e-01,1.14521556842870e-04,4.20000000000000e-01
1.52000000000000e-08,0.00000000000000e+00,6.00000000000000e-01,9.69635678574610e-05,6.00000000000000e-01
1.52080000000000e-08,0.00000000000000e+00,6.00000000000000e-01,9.22779917430297e-05,6.00000000000000e-01
1.52240000000000e-08,0.00000000000000e+00,6.00000000000000e-01,8.29638535419716e-05,6.00000000000000e-01
1.52560000000000e-08,0.00000000000000e+00,6.00000000000000e-01,3.75628205243755e-05,6.00000000000000e-01
1.53200000000000e-08,0.00000000000000e+00,6.00000000000000e-01,-1.44495342594753e-04,6.00000000000000e-01
1.54480000000000e-08,0.00000000000000e+00,6.00000000000000e-01,-1.70914844114089e-04,6.00000000000000e-01
1.56904675040382e-08,0.00000000000000e+00,6.00000000000000e-01,-2.54137238972895e-05,6.00000000000000e-01
1.61140010162339e-08,0.00000000000000e+00,6.00000000000000e-01,6.06047666688002e-06,6.00000000000000e-01
1.66259021410485e-08,0.00000000000000e+00,6.00000000000000e-01,1.16715412842312e-04,6.00000000000000e-01
1.76497043906775e-08,0.00000000000000e+00,6.00000000000000e-01,-1.55265903130485e-04,6.00000000000000e-01
1.88890058843253e-08,0.00000000000000e+00,6.00000000000000e-01,1.69225824806763e-04,6.00000000000000e-01
2.12500774472040e-08,0.00000000000000e+00,6.00000000000000e-01,-1.70182956508029e-04,6.00000000000000e-01
2.48892384269379e-08,0.00000000000000e+00,6.00000000000000e-01,1.73597424375596e-04,6.00000000000000e-01
2.50000000000000e-08,0.00000000000000e+00,6.00000000000000e-01,-9.91834585218863e-05,6.00000000000000e-01
2.50100000000000e-08,5.99999999999886e-02,6.00000000000000e-01,1.16581554601286e-05,6.00000000000000e-01
2.50300000000000e-08,1.80000000000006e-01,6.00000000000000e-01,1.75590966205161e-04,6.00000000000000e-01
2.50700000000000e-08,4.20000000000000e-01,6.00000000000000e-01,2.80239663334785e-04,6.00000000000000e-01
2.51000000000000e-08,6.00000000000000e-01,6.00000000000000e-01,-5.57921420458858e-04,6.00000000000000e-01
2.51080000000000e-08,6.00000000000000e-01,6.00000000000000e-01,-1.13948534029907e-03,6.00000000000000e-01
2.51240000000000e-08,6.00000000000000e-01,6.00000000000000e-01,-2.34819179687417e-03,6.00000000000000e-01
2.51560000000000e-08,6.00000000000000e-01,6.00000000000000e-01,-4.31811139622902e-03,6.00000000000000e-01
2.52200000000000e-08,6.00000000000000e-01,6.00000000000000e-01,-3.48317273842532e-03,6.00000000000000e-01
2.53480000000000e-08,6.00000000000000e-01,6.00000000000000e-01,1.69945725104074e-01,6.00000000000000e-01
2.56040000000000e-08,6.00000000000000e-01,6.00000000000000e-01,5.81748232440710e-01,6.00000000000000e-01
2.61160000000000e-08,6.00000000000000e-01,6.00000000000000e-01,6.06040370745270e-01,6.00000000000000e-01
2.67063676444163e-08,6.00000000000000e-01,6.00000000000000e-01,5.93951925829641e-01,6.00000000000000e-01
2.77100581536508e-08,6.00000000000000e-01,6.00000000000000e-01,6.04829359226143e-01,6.00000000000000e-01
2.90166136026767e-08,6.00000000000000e-01,6.00000000000000e-01,5.94978640229787e-01,6.00000000000000e-01
3.16297245007284e-08,6.00000000000000e-01,6.00000000000000e-01,6.04440904173007e-01,6.00000000000000e-01
3.51000000000000e-08,5.99999999999970e-01,6.00000000000000e-01,5.95282784828569e-01,6.00000000000000e-01
3.51100000000000e-08,5.39999999999982e-01,6.00000000000000e-01,5.96977812026008e-01,6.00000000000000e-01
3.51300000000000e-08,4.19999999999965e-01,6.00000000000000e-01,5.99073991585491e-01,6.00000000000000e-01
3.51700000000000e-08,1.79999999999970e-01,6.00000000000000e-01,6.00360265181310e-01,6.00000000000000e-01
3.52000000000000e-08,0.00000000000000e+00,6.00000000000000e-01,6.01899687373217e-01,6.00000000000000e-01
3.52080000000000e-08,0.00000000000000e+00,6.00000000000000e-01,6.02301622076230e-01,6.00000000000000e-01
3.52240000000000e-08,0.00000000000000e+00,6.00000000000000e-01,6.02691809414773e-01,6.00000000000000e-01
3.52560000000000e-08,0.00000000000000e+00,6.00000000000000e-01,6.00796655650569e-01,6.00000000000000e-01
3.53200000000000e-08,0.00000000000000e+00,6.00000000000000e-01,5.86486772257474e-01,6.00000000000000e-01
3.54480000000000e-08,0.00000000000000e+00,6.00000000000000e-01,5.81646766936175e-01,6.00000000000000e-01
3.57040000000000e-08,0.00000000000000e+00,6.00000000000000e-01,6.02583758166190e-01,6.00000000000000e-01
3.61558467353958e-08,0.00000000000000e+00,6.00000000000000e-01,5.97008459931167e-01,6.00000000000000e-01
3.67984211122081e-08,0.00000000000000e+00,6.00000000000000e-01,6.01960089567506e-01,6.00000000000000e-01
3.80835698658326e-08,0.00000000000000e+00,6.00000000000000e-01,5.97777086918558e-01,6.00000000000000e-01
4.06538673730817e-08,0.00000000000000e+00,6.00000000000000e-01,6.01875087708800e-01,6.00000000000000e-01
4.44538673730817e-08,0.00000000000000e+00,6.00000000000000e-01,5.97987109201074e-01,6.00000000000000e-01
4.50000000000000e-08,0.00000000000000e+00,6.00000000000000e-01,6.01526135458472e-01,6.00000000000000e-01
4.50100000000000e-08,5.99999999999886e-02,6.00000000000000e-01,6.00979355020366e-01,5.40000000000011e-01
4.50300000000000e-08,1.80000000000006e-01,6.00000000000000e-01,6.00196851251541e-01,4.19999999999994e-01
4.50700000000000e-08,4.20000000000000e-01,6.00000000000000e-01,6.01254551379637e-01,1.80000000000000e-01
