Time,i(vdd)
6.02739063638073e-06,-3.66816914210321e-07
6.06739063638073e-06,3.62082226747073e-07
6.10739063638073e-06,-3.65405598511324e-07
6.14739063638073e-06,3.60665363667012e-07
6.18739063638073e-06,-3.64007019777355e-07
6.22739063638073e-06,3.59267317697202e-07
6.26739063638073e-06,-3.62608543931696e-07
6.30739063638073e-06,3.57871041125247e-07
6.34739063638073e-06,-3.61225032557548e-07
6.38739063638073e-06,3.56492755221368e-07
6.42739063638073e-06,-3.59842890182030e-07
6.46739063638073e-06,3.55113420746585e-07
6.50739063638073e-06,-3.58478382448342e-07
6.54739063638072e-06,3.53771258473529e-07
6.58739063638072e-06,-3.57157782219557e-07
6.62739063638072e-06,3.52430818527665e-07
6.66739063638072e-06,-3.55801927028181e-07
6.70739063638072e-06,3.51104221611798e-07
6.74739063638072e-06,-3.54512016614584e-07
6.78739063638072e-06,3.49787840014025e-07
6.82739063638072e-06,-3.53169208222718e-07
6.86739063638072e-06,3.48478263205105e-07
6.90739063638072e-06,-3.51898863092170e-07
6.94739063638072e-06,3.47177861468972e-07
6.98739063638072e-06,-3.50569661464674e-07
7.02739063638072e-06,3.45886358667934e-07
7.06739063638072e-06,-3.49317078451180e-07
7.10739063638072e-06,3.44604309966184e-07
7.14739063638072e-06,-3.48000849233439e-07
7.18739063638072e-06,3.43327299357085e-07
7.22739063638072e-06,-3.46770376532440e-07
7.26739063638072e-06,3.42060416744268e-07
7.30739063638072e-06,-3.45467068451164e-07
7.34739063638072e-06,3.40800345797688e-07
7.38739063638072e-06,-3.44255399464892e-07
7.42739063638072e-06,3.39550123891511e-07
7.46739063638072e-06,-3.42965159567293e-07
7.50739063638072e-06,3.38306394132357e-07
7.54739063638072e-06,-3.41726415743749e-07
7.58739063638071e-06,3.37070900386445e-07
7.62739063638071e-06,-3.40495772418300e-07
7.66739063638072e-06,3.35844507311511e-07
7.70739063638071e-06,-3.39272234657172e-07
7.74739063638071e-06,3.34625082477527e-07
7.78739063638071e-06,-3.38057520472461e-07
7.82739063638071e-06,3.33414685488933e-07
7.86739063638071e-06,-3.36850163451806e-07
7.90739063638071e-06,3.32211122192398e-07
7.94739063638071e-06,-3.35651570581026e-07
7.98739063638071e-06,3.31016617008111e-07
8.00000000000000e-06,-3.33157259113150e-07
