Time,v(clk),v(data),v(out)
1.00000000000000e-08,7.50000000000000e-01,0.00000000000000e+00,-6.40118047674776e-06
1.00100000000000e-08,7.50000000000000e-01,7.49999999999982e-02,-4.17502188831964e-06
1.00300000000000e-08,7.50000000000000e-01,2.24999999999995e-01,-9.84508084757307e-07
1.00700000000000e-08,7.50000000000000e-01,5.24999999999987e-01,1.97000401963576e-06
1.01000000000000e-08,7.50000000000000e-01,7.49999999999994e-01,2.18903614072202e-06
1.01080000000000e-08,7.50000000000000e-01,7.50000000000000e-01,2.40162872056082e-06
1.01240000000000e-08,7.50000000000000e-01,7.50000000000000e-01,2.61628460519053e-06
1.01560000000000e-08,7.50000000000000e-01,7.50000000000000e-01,4.22443345433204e-06
1.02200000000000e-08,7.50000000000000e-01,7.50000000000000e-01,8.05924804118258e-06
1.03480000000000e-08,7.50000000000000e-01,7.50000000000000e-01,9.55659934571626e-06
1.06040000000000e-08,7.50000000000000e-01,7.50000000000000e-01,1.01550250366234e-05
1.10888712199861e-08,7.50000000000000e-01,7.50000000000000e-01,8.30865029221965e-06
1.20414763757933e-08,7.50000000000000e-01,7.50000000000000e-01,9.53256816802871e-06
1.39466866874077e-08,7.50000000000000e-01,7.50000000000000e-01,7.37858747883961e-06
1.51000000000000e-08,7.50000000000000e-01,7.50000000000000e-01,8.30460946403631e-06
1.51100000000000e-08,6.74999999999989e-01,7.50000000000000e-01,-2.63818320955789e-05
1.51300000000000e-08,5.24999999999993e-01,7.50000000000000e-01,-9.35687171377611e-05
1.51700000000000e-08,2.25000000000000e-01,7.50000000000000e-01,-1.63594453329141e-04
1.52000000000000e-08,0.00000000000000e+00,7.50000000000000e-01,-9.57759082832813e-05
1.52080000000000e-08,0.00000000000000e+00,7.50000000000000e-01,-2.48504745481368e-05
1.52240000000000e-08,0.00000000000000e+00,7.50000000000000e-01,9.18611997317575e-05
1.52560000000000e-08,0.00000000000000e+00,7.50000000000000e-01,2.11260998259674e-04
1.53200000000000e-08,0.00000000000000e+00,7.50000000000000e-01,2.13642077329247e-04
1.54480000000000e-08,0.00000000000000e+00,7.50000000000000e-01,-2.74447262034391e-05
1.57040000000000e-08,0.00000000000000e+00,7.50000000000000e-01,-1.57589454815844e-04
1.62160000000000e-08,0.00000000000000e+00,7.50000000000000e-01,-2.26490946413841e-04
1.70741687633395e-08,0.00000000000000e+00,7.50000000000000e-01,1.98278659851738e-04
1.81109521283375e-08,0.00000000000000e+00,7.50000000000000e-01,5.02209698504830e-05
2.01845188583333e-08,0.00000000000000e+00,7.50000000000000e-01,-1.04886278115052e-04
2.23665270187194e-08,0.00000000000000e+00,7.50000000000000e-01,1.55298632760746e-04
2.50000000000000e-08,0.00000000000000e+00,7.50000000000000e-01,-1.55977447226713e-04
2.50100000000000e-08,7.49999999999858e-02,7.50000000000000e-01,-7.00554963315725e-05
2.50300000000000e-08,2.25000000000007e-01,7.50000000000000e-01,7.15676939116658e-05
2.50700000000000e-08,5.25000000000000e-01,7.50000000000000e-01,2.02917226769787e-04
2.51000000000000e-08,7.50000000000000e-01,7.50000000000000e-01,-2.49916491244714e-05
2.51080000000000e-08,7.50000000000000e-01,7.50000000000000e-01,-2.31096721339356e-04
2.51240000000000e-08,7.50000000000000e-01,7.50000000000000e-01,-7.52841586990037e-04
2.51560000000000e-08,7.50000000000000e-01,7.50000000000000e-01,-2.09439596306669e-03
2.52200000000000e-08,7.50000000000000e-01,7.50000000000000e-01,-4.34761119394868e-03
2.53480000000000e-08,7.50000000000000e-01,7.50000000000000e-01,4.99158009967928e-03
2.56040000000000e-08,7.50000000000000e-01,7.50000000000000e-01,2.41858239960242e-01
2.61160000000000e-08,7.50000000000000e-01,7.50000000000000e-01,7.28887752503400e-01
2.69884004571930e-08,7.50000000000000e-01,7.50000000000000e-01,7.57759270011751e-01
2.81184236898986e-08,7.50000000000000e-01,7.50000000000000e-01,7.42903061013656e-01
2.99168314621502e-08,7.50000000000000e-01,7.50000000000000e-01,7.55561454882000e-01
3.20881182038153e-08,7.50000000000000e-01,7.50000000000000e-01,7.44517165976827e-01
3.51000000000000e-08,7.49999999999963e-01,7.50000000000000e-01,7.54711190146658e-01
3.51100000000000e-08,6.74999999999977e-01,7.50000000000000e-01,7.53859559023835e-01
3.51300000000000e-08,5.24999999999956e-01,7.50000000000000e-01,7.52443415368344e-01
3.51700000000000e-08,2.24999999999963e-01,7.50000000000000e-01,7.51237951932497e-01
3.52000000000000e-08,0.00000000000000e+00,7.50000000000000e-01,7.51556550330245e-01
3.52080000000000e-08,0.00000000000000e+00,7.50000000000000e-01,7.51741998558643e-01
3.52240000000000e-08,0.00000000000000e+00,7.50000000000000e-01,7.52018798014000e-01
3.52560000000000e-08,0.00000000000000e+00,7.50000000000000e-01,7.52154339950959e-01
3.53200000000000e-08,0.00000000000000e+00,7.50000000000000e-01,7.50587010937557e-01
3.54480000000000e-08,0.00000000000000e+00,7.50000000000000e-01,7.35684608393163e-01
3.57040000000000e-08,0.00000000000000e+00,7.50000000000000e-01,7.10853121317632e-01
3.62160000000000e-08,0.00000000000000e+00,7.50000000000000e-01,7.38179402559650e-01
3.72400000000000e-08,0.00000000000000e+00,7.50000000000000e-01,7.55192964690714e-01
