Time,i(vdd)
6.01575794561791e-06,1.10670458832134e-06
6.05575794561791e-06,-1.13780076937468e-06
6.09575794561791e-06,1.10132279614860e-06
6.13575794561791e-06,-1.13243054031454e-06
6.17575794561791e-06,1.09596039638800e-06
6.21575794561791e-06,-1.12710238144018e-06
6.25575794561791e-06,1.09065954686796e-06
6.29575794561791e-06,-1.12181040894469e-06
6.33575794561791e-06,1.08539545585906e-06
6.37575794561790e-06,-1.11655561326455e-06
6.41575794561790e-06,1.08014639176090e-06
6.45575794561790e-06,-1.11134483068348e-06
6.49575794561790e-06,1.07495990520748e-06
6.53575794561790e-06,-1.10616910951619e-06
6.57575794561790e-06,1.06980911195044e-06
6.61575794561790e-06,-1.10102956705806e-06
6.65575794561790e-06,1.06467741279129e-06
6.69575794561790e-06,-1.09592979540564e-06
6.73575794561790e-06,1.05960419108626e-06
6.77575794561790e-06,-1.09086465879387e-06
6.81575794561790e-06,1.05456459507832e-06
6.85575794561790e-06,-1.08583451052584e-06
6.89575794561790e-06,1.04953984146389e-06
6.93575794561790e-06,-1.08084763465666e-06
6.97575794561790e-06,1.04457580873485e-06
7.01575794561790e-06,-1.07589429754890e-06
7.05575794561790e-06,1.03964586778971e-06
7.09575794561790e-06,-1.07097551113856e-06
7.13575794561790e-06,1.03475071785919e-06
7.17575794561790e-06,-1.06609170115383e-06
7.21575794561790e-06,1.02987064219794e-06
7.25575794561790e-06,-1.06124729552579e-06
7.29575794561790e-06,1.02504980974106e-06
7.33575794561790e-06,-1.05643552528931e-06
7.37575794561790e-06,1.02026216548366e-06
7.41575794561789e-06,-1.05165736337336e-06
7.45575794561789e-06,1.01549015404892e-06
7.49575794561789e-06,-1.04691753012983e-06
7.53575794561789e-06,1.01077372839670e-06
7.57575794561789e-06,-1.04219705039240e-06
7.61575794561789e-06,1.00608796199894e-06
7.65575794561789e-06,-1.03752444248719e-06
7.69575794561789e-06,1.00141812702476e-06
7.73575794561789e-06,-1.03288812880231e-06
7.77575794561789e-06,9.96803395348717e-07
7.81575794561789e-06,-1.02828250837924e-06
7.85575794561789e-06,9.92220479205511e-07
7.89575794561789e-06,-1.02370883864537e-06
7.93575794561789e-06,9.87652579927638e-07
7.97575794561789e-06,-1.01917170606928e-06
8.00000000000000e-06,9.81674394441803e-07
