Time,v(clk),v(data),v(out)
1.00000000000000e-08,7.50000000000000e-01,0.00000000000000e+00,2.91651224021807e-05
1.00100000000000e-08,7.50000000000000e-01,7.49999999999982e-02,2.49419725804612e-05
1.00300000000000e-08,7.50000000000000e-01,2.24999999999995e-01,1.97764777217224e-05
1.00700000000000e-08,7.50000000000000e-01,5.24999999999987e-01,1.55407814064895e-05
1.01000000000000e-08,7.50000000000000e-01,7.49999999999994e-01,1.60769706078617e-05
1.01080000000000e-08,7.50000000000000e-01,7.50000000000000e-01,1.55082353382463e-05
1.01240000000000e-08,7.50000000000000e-01,7.50000000000000e-01,1.76214130085256e-05
1.01560000000000e-08,7.50000000000000e-01,7.50000000000000e-01,2.30102255923681e-05
1.02200000000000e-08,7.50000000000000e-01,7.50000000000000e-01,2.37754869849977e-05
1.03480000000000e-08,7.50000000000000e-01,7.50000000000000e-01,1.68801499500701e-05
1.06040000000000e-08,7.50000000000000e-01,7.50000000000000e-01,2.10512800966137e-05
1.11160000000000e-08,7.50000000000000e-01,7.50000000000000e-01,1.80628195867727e-05
1.21400000000000e-08,7.50000000000000e-01,7.50000000000000e-01,2.09543330946405e-05
1.41880000000000e-08,7.50000000000000e-01,7.50000000000000e-01,1.74868939713576e-05
1.51000000000000e-08,7.50000000000000e-01,7.50000000000000e-01,1.96323252210241e-05
1.51100000000000e-08,6.74999999999989e-01,7.50000000000000e-01,-1.01376658920127e-04
1.51300000000000e-08,5.24999999999993e-01,7.50000000000000e-01,-2.33988866992343e-04
1.51700000000000e-08,2.25000000000000e-01,7.50000000000000e-01,1.39043179423509e-04
1.52000000000000e-08,0.00000000000000e+00,7.50000000000000e-01,7.38499911552129e-04
1.52080000000000e-08,0.00000000000000e+00,7.50000000000000e-01,8.63426444878052e-04
1.52240000000000e-08,0.00000000000000e+00,7.50000000000000e-01,7.47758009915320e-04
1.52560000000000e-08,0.00000000000000e+00,7.50000000000000e-01,-3.28961593830959e-04
1.53200000000000e-08,0.00000000000000e+00,7.50000000000000e-01,-6.86887348292003e-04
1.54480000000000e-08,0.00000000000000e+00,7.50000000000000e-01,2.07041307452527e-04
1.56294130146408e-08,0.00000000000000e+00,7.50000000000000e-01,-3.12022242347526e-04
1.59198602226367e-08,0.00000000000000e+00,7.50000000000000e-01,4.15312317548194e-04
1.63954337555166e-08,0.00000000000000e+00,7.50000000000000e-01,-3.09270989126257e-04
1.68907268076015e-08,0.00000000000000e+00,7.50000000000000e-01,2.82886587051338e-04
1.78813129117713e-08,0.00000000000000e+00,7.50000000000000e-01,-2.20364235009934e-04
