Time,v(clk),v(data),v(out)
1.00000000000000e-08,7.50000000000000e-01,0.00000000000000e+00,1.87051566742508e-05
1.00100000000000e-08,7.50000000000000e-01,7.49999999999982e-02,1.02012850497629e-05
1.00300000000000e-08,7.50000000000000e-01,2.24999999999995e-01,1.24601976710104e-06
1.00700000000000e-08,7.50000000000000e-01,5.24999999999987e-01,-3.31400022661466e-06
1.01000000000000e-08,7.50000000000000e-01,7.49999999999994e-01,-1.91389759642002e-06
1.01080000000000e-08,7.50000000000000e-01,7.50000000000000e-01,-1.91220955515770e-06
1.01240000000000e-08,7.50000000000000e-01,7.50000000000000e-01,1.76215499822496e-06
1.01560000000000e-08,7.50000000000000e-01,7.50000000000000e-01,6.81442039678071e-06
1.02200000000000e-08,7.50000000000000e-01,7.50000000000000e-01,5.30762578739019e-06
1.03480000000000e-08,7.50000000000000e-01,7.50000000000000e-01,-2.69846002078078e-07
1.06040000000000e-08,7.50000000000000e-01,7.50000000000000e-01,3.74898002511101e-06
1.11160000000000e-08,7.50000000000000e-01,7.50000000000000e-01,1.10004319170409e-06
1.21400000000000e-08,7.50000000000000e-01,7.50000000000000e-01,3.09594887815470e-06
1.41880000000000e-08,7.50000000000000e-01,7.50000000000000e-01,9.54025334979833e-07
1.51000000000000e-08,7.50000000000000e-01,7.50000000000000e-01,2.82461337212415e-06
1.51100000000000e-08,6.74999999999989e-01,7.50000000000000e-01,-1.19994196945028e-04
1.51300000000000e-08,5.24999999999993e-01,7.50000000000000e-01,-2.58008201549698e-04
1.51700000000000e-08,2.25000000000000e-01,7.50000000000000e-01,6.29804145029361e-05
1.52000000000000e-08,0.00000000000000e+00,7.50000000000000e-01,7.28641158316473e-04
1.52080000000000e-08,0.00000000000000e+00,7.50000000000000e-01,9.17789670649788e-04
1.52240000000000e-08,0.00000000000000e+00,7.50000000000000e-01,9.63337835167985e-04
1.52560000000000e-08,0.00000000000000e+00,7.50000000000000e-01,2.65263106710850e-05
1.53200000000000e-08,0.00000000000000e+00,7.50000000000000e-01,-7.32285778274999e-04
1.54480000000000e-08,0.00000000000000e+00,7.50000000000000e-01,2.36735203618034e-04
1.56385281607358e-08,0.00000000000000e+00,7.50000000000000e-01,-3.92364091430765e-04
1.59572278392987e-08,0.00000000000000e+00,7.50000000000000e-01,3.80671857428495e-04
1.65170926414661e-08,0.00000000000000e+00,7.50000000000000e-01,-2.52906140358174e-04
1.70477416597447e-08,0.00000000000000e+00,7.50000000000000e-01,1.63467064601550e-04
1.81090396963021e-08,0.00000000000000e+00,7.50000000000000e-01,-1.25468558192539e-04
2.02316357694168e-08,0.00000000000000e+00,7.50000000000000e-01,1.11704326969175e-04
2.40316357694168e-08,0.00000000000000e+00,7.50000000000000e-01,-1.01331173789872e-04
2.50000000000000e-08,0.00000000000000e+00,7.50000000000000e-01,7.44496166717474e-05
2.50100000000000e-08,7.49999999999858e-02,7.50000000000000e-01,3.15044480209095e-04
2.50300000000000e-08,2.25000000000007e-01,7.50000000000000e-01,5.95266345267020e-04
2.50700000000000e-08,5.25000000000000e-01,7.50000000000000e-01,7.83513889186169e-04
2.51000000000000e-08,7.50000000000000e-01,7.50000000000000e-01,-8.31276904952605e-04
2.51080000000000e-08,7.50000000000000e-01,7.50000000000000e-01,-1.88256195827011e-03
2.51240000000000e-08,7.50000000000000e-01,7.50000000000000e-01,-3.87912234104219e-03
2.51560000000000e-08,7.50000000000000e-01,7.50000000000000e-01,-6.71827081129389e-03
2.52200000000000e-08,7.50000000000000e-01,7.50000000000000e-01,1.04004957146878e-03
2.53480000000000e-08,7.50000000000000e-01,7.50000000000000e-01,3.70387610090149e-01
2.56040000000000e-08,7.50000000000000e-01,7.50000000000000e-01,7.64506123902216e-01
2.59162008635633e-08,7.50000000000000e-01,7.50000000000000e-01,7.38965003180707e-01
2.64951520440925e-08,7.50000000000000e-01,7.50000000000000e-01,7.61019115156734e-01
