VDD,Corner,Temperature,Power
0.6,TT,27,3.157104719134717e-09
0.6,FF,0,2.7942214588203104e-09
0.6,TT,0,3.896945509304506e-09
0.6,FF,70,4.061349848599316e-08
0.6,FF,27,1.5684999634592956e-08
0.6,TT,70,2.8547146967469258e-08
0.8,TT,27,4.960799031767373e-08
0.8,FF,0,4.349264228621823e-08
0.8,TT,0,4.105304584396752e-08
0.8,FF,70,1.035803611637867e-07
0.8,FF,27,4.172719894403605e-08
0.8,TT,70,4.1740338549105814e-08
0.45,TT,27,4.206896529872616e-09
0.45,FF,0,6.256736403821439e-09
0.45,TT,0,1.568114105060328e-09
0.45,FF,70,1.6548878772155528e-08
0.45,FF,27,8.740544851680889e-09
0.45,TT,70,1.1066069716979664e-08
0.55,TT,27,1.3584939027777015e-08
0.55,FF,0,1.0692310453939317e-08
0.55,TT,0,3.507610567611977e-10
0.55,FF,70,2.015696192572704e-08
0.55,FF,27,2.054417576154936e-08
0.55,TT,70,1.800934640391171e-08
0.7,TT,27,1.6871131507564633e-08
0.7,FF,0,3.3860519748904376e-08
0.7,TT,0,1.7549790739671051e-09
0.7,FF,70,6.896314624231632e-08
0.7,FF,27,4.990037847096807e-08
0.7,TT,70,2.4262111300951383e-08
0.65,TT,27,2.14536216324282e-08
0.65,FF,0,3.2152190826608386e-08
0.65,TT,0,9.787972785048883e-09
0.65,FF,70,3.9089366407288544e-08
0.65,FF,27,3.84871210401888e-08
0.65,TT,70,1.6517315431298522e-08
0.75,TT,27,1.0953118059690107e-08
0.75,FF,0,2.097338090890732e-08
0.75,TT,0,3.389127925597946e-08
0.75,FF,70,4.3072715581056015e-08
0.75,FF,27,5.423315175249025e-08
0.75,TT,70,4.309650738726224e-08
0.5,TT,27,6.29207731746321e-09
0.5,FF,0,1.593103224588971e-09
0.5,TT,0,4.442238864034177e-09
0.5,FF,70,2.556050869299007e-08
0.5,FF,27,6.782831252452061e-09
0.5,TT,70,1.1624479224326362e-08
0.575,TT,27,3.6238826019789793e-09
0.575,FF,0,6.739082584722714e-09
0.575,TT,0,1.2986141692024621e-09
0.575,FF,70,2.391223859471881e-08
0.575,FF,27,1.8703600110768482e-08
0.575,TT,70,2.2970922528205943e-08
0.6,TT,27,3.157104719134717e-09
0.6,FF,0,2.7942214588203104e-09
0.6,TT,0,3.896945509304506e-09
0.6,FF,70,4.061349848599316e-08
0.6,FF,27,1.5684999634592956e-08
0.6,TT,70,2.8547146967469258e-08
0.8,TT,27,4.960799031767373e-08
0.8,FF,0,4.349264228621823e-08
0.8,TT,0,4.105304584396752e-08
0.8,FF,70,1.035803611637867e-07
0.8,FF,27,4.172719894403605e-08
0.8,TT,70,4.1740338549105814e-08
0.45,TT,27,4.206896529872616e-09
0.45,FF,0,6.256736403821439e-09
0.45,TT,0,1.568114105060328e-09
0.45,FF,70,1.6548878772155528e-08
0.45,FF,27,8.740544851680889e-09
0.45,TT,70,1.1066069716979664e-08
0.55,TT,27,1.3584939027777015e-08
0.55,FF,0,1.0692310453939317e-08
0.55,TT,0,3.507610567611977e-10
0.55,FF,70,2.015696192572704e-08
0.55,FF,27,2.054417576154936e-08
0.55,TT,70,1.800934640391171e-08
0.725,TT,27,1.3829124651140449e-08
0.725,FF,0,1.1718081000791804e-08
0.725,TT,0,2.8195001880831285e-08
0.725,FF,70,7.93778468251057e-08
0.725,FF,27,5.2674882981609154e-08
0.725,TT,70,4.3191520381813984e-08
0.475,TT,27,4.331979790661876e-09
0.475,FF,0,9.875506226899945e-09
0.475,TT,0,2.308433684901212e-09
0.475,FF,70,2.0045677959700005e-08
0.475,FF,27,1.2981445701135858e-08
0.475,TT,70,1.081014664314253e-08
0.7,TT,27,1.6871131507564633e-08
0.7,FF,0,3.3860519748904376e-08
0.7,TT,0,1.7549790739671051e-09
0.7,FF,70,6.896314624231632e-08
0.7,FF,27,4.990037847096807e-08
0.7,TT,70,2.4262111300951383e-08
0.625,TT,27,4.845110824100365e-09
0.625,FF,0,2.7656954220302453e-08
0.625,TT,0,1.2869816644456453e-08
0.625,FF,70,4.023170602168568e-08
0.625,FF,27,1.2546911298924668e-08
0.625,TT,70,1.5757982940554198e-08
0.65,TT,27,2.14536216324282e-08
0.65,FF,0,3.2152190826608386e-08
0.65,TT,0,9.787972785048883e-09
0.65,FF,70,3.9089366407288544e-08
0.65,FF,27,3.84871210401888e-08
0.65,TT,70,1.6517315431298522e-08
0.775,TT,27,4.263278313142597e-08
0.775,FF,0,3.2047791614667424e-08
0.775,TT,0,3.980591497433181e-09
0.775,FF,70,4.913003684900697e-08
0.775,FF,27,3.015603513820584e-08
0.775,TT,70,4.1886665738413153e-08
0.825,TT,27,7.933747430777722e-09
0.825,FF,0,5.516453153048689e-08
0.825,TT,0,4.211863201671378e-08
0.825,FF,70,1.091093874826627e-07
0.825,FF,27,5.4285855573890376e-08
0.825,TT,70,4.0751320627609137e-08
0.75,TT,27,1.0953118059690107e-08
0.75,FF,0,2.097338090890732e-08
0.75,TT,0,3.389127925597946e-08
0.75,FF,70,4.3072715581056015e-08
0.75,FF,27,5.423315175249025e-08
0.75,TT,70,4.309650738726224e-08
0.525,TT,27,9.071726299591224e-09
0.525,FF,0,1.3004240768453953e-08
0.525,TT,0,8.023414479849826e-09
0.525,FF,70,1.9203757506032004e-08
0.525,FF,27,6.653748087981861e-09
0.525,TT,70,1.7491361706863338e-08
0.675,TT,27,1.9787583296005223e-08
0.675,FF,0,3.427954594561106e-08
0.675,TT,0,5.680882151406742e-09
0.675,FF,70,3.829114749626265e-08
0.675,FF,27,4.52138992833226e-08
0.675,TT,70,1.9712732227322894e-08
0.5,TT,27,6.29207731746321e-09
0.5,FF,0,1.593103224588971e-09
0.5,TT,0,4.442238864034177e-09
0.5,FF,70,2.556050869299007e-08
0.5,FF,27,6.782831252452061e-09
0.50,TT,70,1.1624479224326362e-08
