Time,v(clk),v(data),v(out),v(reset)
1.00000000000000e-08,6.00000000000000e-01,0.00000000000000e+00,-1.65617579362928e-02,0.00000000000000e+00
1.00100000000000e-08,6.00000000000000e-01,5.99999999999985e-02,-1.42437425550095e-02,0.00000000000000e+00
1.00300000000000e-08,6.00000000000000e-01,1.79999999999996e-01,-1.03524504742767e-02,0.00000000000000e+00
1.00700000000000e-08,6.00000000000000e-01,4.19999999999990e-01,-5.67920482156617e-03,0.00000000000000e+00
1.01000000000000e-08,6.00000000000000e-01,5.99999999999995e-01,-3.61331546444873e-03,0.00000000000000e+00
1.01080000000000e-08,6.00000000000000e-01,6.00000000000000e-01,-3.23410512913658e-03,0.00000000000000e+00
1.01240000000000e-08,6.00000000000000e-01,6.00000000000000e-01,-2.54304406744064e-03,0.00000000000000e+00
1.01560000000000e-08,6.00000000000000e-01,6.00000000000000e-01,-1.56894744272678e-03,0.00000000000000e+00
1.02200000000000e-08,6.00000000000000e-01,6.00000000000000e-01,-5.51989248835531e-04,0.00000000000000e+00
1.03480000000000e-08,6.00000000000000e-01,6.00000000000000e-01,-8.75492278231901e-06,0.00000000000000e+00
1.06040000000000e-08,6.00000000000000e-01,6.00000000000000e-01,7.26994421909773e-06,0.00000000000000e+00
1.11160000000000e-08,6.00000000000000e-01,6.00000000000000e-01,2.35142420544274e-06,0.00000000000000e+00
1.21400000000000e-08,6.00000000000000e-01,6.00000000000000e-01,6.41520586973886e-06,0.00000000000000e+00
1.41880000000000e-08,6.00000000000000e-01,6.00000000000000e-01,3.20044857557433e-06,0.00000000000000e+00
1.51000000000000e-08,6.00000000000000e-01,6.00000000000000e-01,6.49810812323320e-06,0.00000000000000e+00
1.51100000000000e-08,5.39999999999991e-01,6.00000000000000e-01,8.04741602788844e-05,6.00000000000085e-02
1.51300000000000e-08,4.19999999999994e-01,6.00000000000000e-01,1.66949226006519e-04,1.80000000000006e-01
1.51700000000000e-08,1.80000000000000e-01,6.00000000000000e-01,1.66466981388880e-04,4.20000000000000e-01
1.52000000000000e-08,0.00000000000000e+00,6.00000000000000e-01,1.07950898637667e-04,6.00000000000000e-01
1.52080000000000e-08,0.00000000000000e+00,6.00000000000000e-01,9.19255158238347e-05,6.00000000000000e-01
1.52240000000000e-08,0.00000000000000e+00,6.00000000000000e-01,6.56204883626513e-05,6.00000000000000e-01
1.52560000000000e-08,0.00000000000000e+00,6.00000000000000e-01,3.48518202376892e-05,6.00000000000000e-01
1.53200000000000e-08,0.00000000000000e+00,6.00000000000000e-01,-1.67730391332568e-05,6.00000000000000e-01
1.54480000000000e-08,0.00000000000000e+00,6.00000000000000e-01,-4.17503624974318e-04,6.00000000000000e-01
1.57040000000000e-08,0.00000000000000e+00,6.00000000000000e-01,-7.87656344200914e-04,6.00000000000000e-01
1.62160000000000e-08,0.00000000000000e+00,6.00000000000000e-01,1.58279950096829e-04,6.00000000000000e-01
1.71293695226488e-08,0.00000000000000e+00,6.00000000000000e-01,-4.33831631890353e-05,6.00000000000000e-01
1.82459770764819e-08,0.00000000000000e+00,6.00000000000000e-01,8.37184632419413e-05,6.00000000000000e-01
2.04686441551699e-08,0.00000000000000e+00,6.00000000000000e-01,-6.96893259052754e-05,6.00000000000000e-01
2.30441210308114e-08,0.00000000000000e+00,6.00000000000000e-01,7.04616988901673e-05,6.00000000000000e-01
2.50000000000000e-08,0.00000000000000e+00,6.00000000000000e-01,-4.86435251139650e-05,6.00000000000000e-01
2.50100000000000e-08,5.99999999999886e-02,6.00000000000000e-01,-1.91290379185881e-05,6.00000000000000e-01
2.50300000000000e-08,1.80000000000006e-01,6.00000000000000e-01,4.30901467084084e-05,6.00000000000000e-01
2.50700000000000e-08,4.20000000000000e-01,6.00000000000000e-01,1.13226391464515e-04,6.00000000000000e-01
2.51000000000000e-08,6.00000000000000e-01,6.00000000000000e-01,-3.48530370773807e-05,6.00000000000000e-01
2.51080000000000e-08,6.00000000000000e-01,6.00000000000000e-01,-1.84037930219812e-04,6.00000000000000e-01
2.51240000000000e-08,6.00000000000000e-01,6.00000000000000e-01,-5.89542358375012e-04,6.00000000000000e-01
2.51560000000000e-08,6.00000000000000e-01,6.00000000000000e-01,-1.71138561434142e-03,6.00000000000000e-01
2.52200000000000e-08,6.00000000000000e-01,6.00000000000000e-01,-3.64204160945206e-03,6.00000000000000e-01
2.53480000000000e-08,6.00000000000000e-01,6.00000000000000e-01,2.00063090846964e-03,6.00000000000000e-01
2.56040000000000e-08,6.00000000000000e-01,6.00000000000000e-01,1.99324208188511e-01,6.00000000000000e-01
2.61160000000000e-08,6.00000000000000e-01,6.00000000000000e-01,5.88833895316393e-01,6.00000000000000e-01
2.70519799462192e-08,6.00000000000000e-01,6.00000000000000e-01,6.03757009944196e-01,6.00000000000000e-01
2.82462767569053e-08,6.00000000000000e-01,6.00000000000000e-01,5.96484040551708e-01,6.00000000000000e-01
3.02542711584777e-08,6.00000000000000e-01,6.00000000000000e-01,6.02495559005312e-01,6.00000000000000e-01
3.27175028277716e-08,6.00000000000000e-01,6.00000000000000e-01,5.97391133104226e-01,6.00000000000000e-01
3.51000000000000e-08,5.99999999999970e-01,6.00000000000000e-01,6.02017683411902e-01,6.00000000000000e-01
3.51100000000000e-08,5.39999999999982e-01,6.00000000000000e-01,6.01674548373728e-01,6.00000000000000e-01
3.51300000000000e-08,4.19999999999965e-01,6.00000000000000e-01,6.01085184577442e-01,6.00000000000000e-01
3.51700000000000e-08,1.79999999999970e-01,6.00000000000000e-01,6.00634023351826e-01,6.00000000000000e-01
3.52000000000000e-08,0.00000000000000e+00,6.00000000000000e-01,6.01049718972470e-01,6.00000000000000e-01
3.52080000000000e-08,0.00000000000000e+00,6.00000000000000e-01,6.01227697489837e-01,6.00000000000000e-01
3.52240000000000e-08,0.00000000000000e+00,6.00000000000000e-01,6.01496860714585e-01,6.00000000000000e-01
3.52560000000000e-08,0.00000000000000e+00,6.00000000000000e-01,6.01681393931622e-01,6.00000000000000e-01
3.53200000000000e-08,0.00000000000000e+00,6.00000000000000e-01,6.00906894447394e-01,6.00000000000000e-01
3.54480000000000e-08,0.00000000000000e+00,6.00000000000000e-01,5.91416870712013e-01,6.00000000000000e-01
3.57040000000000e-08,0.00000000000000e+00,6.00000000000000e-01,5.72035116268932e-01,6.00000000000000e-01
3.62160000000000e-08,0.00000000000000e+00,6.00000000000000e-01,5.90346200226329e-01,6.00000000000000e-01
3.72400000000000e-08,0.00000000000000e+00,6.00000000000000e-01,6.04372817567198e-01,6.00000000000000e-01
3.85222244685425e-08,0.00000000000000e+00,6.00000000000000e-01,5.95443358593665e-01,6.00000000000000e-01
4.10866734056273e-08,0.00000000000000e+00,6.00000000000000e-01,6.03061709173169e-01,6.00000000000000e-01
4.48866734056273e-08,0.00000000000000e+00,6.00000000000000e-01,5.96529879184999e-01,6.00000000000000e-01
4.50000000000000e-08,0.00000000000000e+00,6.00000000000000e-01,5.99138555621675e-01,6.00000000000000e-01
4.50100000000000e-08,5.99999999999886e-02,6.00000000000000e-01,5.99160405645051e-01,5.40000000000011e-01
4.50300000000000e-08,1.80000000000006e-01,6.00000000000000e-01,5.99190819946667e-01,4.19999999999994e-01
4.50700000000000e-08,4.20000000000000e-01,6.00000000000000e-01,5.99776124154630e-01,1.80000000000000e-01
4.51000000000000e-08,6.00000000000000e-01,6.00000000000000e-01,6.01457796200002e-01,0.00000000000000e+00
4.51080000000000e-08,6.00000000000000e-01,6.00000000000000e-01,6.02082973019912e-01,0.00000000000000e+00
4.51240000000000e-08,6.00000000000000e-01,6.00000000000000e-01,6.03181007801706e-01,0.00000000000000e+00
4.51560000000000e-08,6.00000000000000e-01,6.00000000000000e-01,6.04810252190079e-01,0.00000000000000e+00
4.52200000000000e-08,6.00000000000000e-01,6.00000000000000e-01,6.07340652785937e-01,0.00000000000000e+00
4.53480000000000e-08,6.00000000000000e-01,6.00000000000000e-01,6.11861773498558e-01,0.00000000000000e+00
4.56040000000000e-08,6.00000000000000e-01,6.00000000000000e-01,3.50617831968377e-01,0.00000000000000e+00
4.61160000000000e-08,6.00000000000000e-01,6.00000000000000e-01,-3.69126912174829e-02,0.00000000000000e+00
4.67191428496483e-08,6.00000000000000e-01,6.00000000000000e-01,2.58056146257343e-02,0.00000000000000e+00
4.79254285489448e-08,6.00000000000000e-01,6.00000000000000e-01,-1.89015104953914e-02,0.00000000000000e+00
4.91546986825713e-08,6.00000000000000e-01,6.00000000000000e-01,1.60494941387599e-02,0.00000000000000e+00
5.01000000000000e-08,6.00000000000000e-01,5.99999999999966e-01,-1.13529784740177e-02,0.00000000000000e+00
5.03458540267253e-08,6.00000000000000e-01,6.00000000000000e-01,-2.44758201829572e-03,0.00000000000000e+00
5.08375620801759e-08,6.00000000000000e-01,6.00000000000000e-01,1.39893975497185e-03,0.00000000000000e+00
5.18209781870772e-08,6.00000000000000e-01,6.00000000000000e-01,-1.04337379183725e-03,0.00000000000000e+00
5.37878104008797e-08,6.00000000000000e-01,6.00000000000000e-01,9.18057251921162e-04,0.00000000000000e+00
5.51000000000000e-08,6.00000000000000e-01,6.00000000000000e-01,-7.33699452183440e-04,0.00000000000000e+00
5.51100000000000e-08,5.40000000000021e-01,6.00000000000000e-01,-5.74042773231281e-04,5.99999999999787e-02
5.51300000000000e-08,4.20000000000004e-01,6.00000000000000e-01,-3.18519258172521e-04,1.79999999999996e-01
5.51700000000000e-08,1.80000000000010e-01,6.00000000000000e-01,-9.42878253621798e-05,4.19999999999990e-01
5.52000000000000e-08,0.00000000000000e+00,6.00000000000000e-01,-6.14712764350281e-05,6.00000000000000e-01
5.52080000000000e-08,0.00000000000000e+00,6.00000000000000e-01,-6.01980296365753e-05,6.00000000000000e-01
5.52240000000000e-08,0.00000000000000e+00,6.00000000000000e-01,-5.51715120026275e-05,6.00000000000000e-01
5.52560000000000e-08,0.00000000000000e+00,6.00000000000000e-01,-3.84509284395256e-05,6.00000000000000e-01
5.53200000000000e-08,0.00000000000000e+00,6.00000000000000e-01,-3.10530804982535e-05,6.00000000000000e-01
5.54480000000000e-08,0.00000000000000e+00,6.00000000000000e-01,-3.59961114724427e-04,6.00000000000000e-01
5.57040000000000e-08,0.00000000000000e+00,6.00000000000000e-01,-6.00793433071838e-04,6.00000000000000e-01
5.61795899349300e-08,0.00000000000000e+00,6.00000000000000e-01,2.39951085749817e-04,6.00000000000000e-01
5.70356172038496e-08,0.00000000000000e+00,6.00000000000000e-01,-2.04477201713089e-04,6.00000000000000e-01
5.81207674074264e-08,0.00000000000000e+00,6.00000000000000e-01,1.68791984054370e-04,6.00000000000000e-01
6.02712373286287e-08,0.00000000000000e+00,6.00000000000000e-01,-1.11576153190047e-04,6.00000000000000e-01
6.27171543183158e-08,0.00000000000000e+00,6.00000000000000e-01,8.68075990303012e-05,6.00000000000000e-01
6.50000000000000e-08,0.00000000000000e+00,6.00000000000000e-01,-4.59614485412926e-05,6.00000000000000e-01
6.50100000000000e-08,5.99999999999886e-02,6.00000000000000e-01,-1.55754859669649e-05,6.00000000000000e-01
6.50300000000000e-08,1.79999999999966e-01,6.00000000000000e-01,4.48190885138158e-05,6.00000000000000e-01
6.50700000000000e-08,4.19999999999920e-01,6.00000000000000e-01,1.18462607801708e-04,6.00000000000000e-01
6.51000000000000e-08,5.99999999999966e-01,6.00000000000000e-01,-1.47124522190505e-05,6.00000000000000e-01
6.51080000000000e-08,6.00000000000000e-01,6.00000000000000e-01,-1.58115296134922e-04,6.00000000000000e-01
6.51240000000000e-08,6.00000000000000e-01,6.00000000000000e-01,-5.49948270293664e-04,6.00000000000000e-01
6.51560000000000e-08,6.00000000000000e-01,6.00000000000000e-01,-1.66299588123102e-03,6.00000000000000e-01
6.52200000000000e-08,6.00000000000000e-01,6.00000000000000e-01,-3.61420199233375e-03,6.00000000000000e-01
6.53480000000000e-08,6.00000000000000e-01,6.00000000000000e-01,1.37977154519671e-03,6.00000000000000e-01
6.56040000000000e-08,6.00000000000000e-01,6.00000000000000e-01,1.95707492979491e-01,6.00000000000000e-01
6.61159999999999e-08,6.00000000000000e-01,6.00000000000000e-01,5.87610647270711e-01,6.00000000000000e-01
6.62340165920917e-08,6.00000000000000e-01,6.00000000000000e-01,5.94427282661550e-01,6.00000000000000e-01
6.64700497762752e-08,6.00000000000000e-01,6.00000000000000e-01,5.99667552255578e-01,6.00000000000000e-01
6.69421161446421e-08,6.00000000000000e-01,6.00000000000000e-01,5.99566238299647e-01,6.00000000000000e-01
6.78862488813760e-08,6.00000000000000e-01,6.00000000000000e-01,6.00089848542707e-01,6.00000000000000e-01
6.93777717012550e-08,6.00000000000000e-01,6.00000000000000e-01,5.99634135156946e-01,6.00000000000000e-01
7.23608173410129e-08,6.00000000000000e-01,6.00000000000000e-01,6.00142599865303e-01,6.00000000000000e-01
7.51000000000000e-08,6.00000000000000e-01,6.00000000000000e-01,5.99701701219098e-01,6.00000000000000e-01
7.51100000000000e-08,5.40000000000061e-01,6.00000000000000e-01,5.99716810268421e-01,6.00000000000000e-01
7.51300000000000e-08,4.20000000000084e-01,6.00000000000000e-01,5.99751468148808e-01,6.00000000000000e-01
7.51700000000000e-08,1.80000000000129e-01,6.00000000000000e-01,6.00022199864213e-01,6.00000000000000e-01
7.52000000000000e-08,8.40438829641244e-14,6.00000000000000e-01,6.00676703695799e-01,6.00000000000000e-01
7.52080000000000e-08,0.00000000000000e+00,6.00000000000000e-01,6.00888072304756e-01,6.00000000000000e-01
7.52240000000000e-08,0.00000000000000e+00,6.00000000000000e-01,6.01211826745020e-01,6.00000000000000e-01
7.52560000000000e-08,0.00000000000000e+00,6.00000000000000e-01,6.01458368673500e-01,6.00000000000000e-01
7.53200000000000e-08,0.00000000000000e+00,6.00000000000000e-01,6.00705824764368e-01,6.00000000000000e-01
7.54480000000000e-08,0.00000000000000e+00,6.00000000000000e-01,5.91107480984420e-01,6.00000000000000e-01
7.57040000000000e-08,0.00000000000000e+00,6.00000000000000e-01,5.71796883978563e-01,6.00000000000000e-01
7.62159999999999e-08,0.00000000000000e+00,6.00000000000000e-01,5.90429539363418e-01,6.00000000000000e-01
7.72399999999999e-08,0.00000000000000e+00,6.00000000000000e-01,6.04308241658902e-01,6.00000000000000e-01
7.85211779469044e-08,0.00000000000000e+00,6.00000000000000e-01,5.95496774666024e-01,6.00000000000000e-01
8.10835338407136e-08,0.00000000000000e+00,6.00000000000000e-01,6.03015250488421e-01,6.00000000000000e-01
8.48835338407136e-08,0.00000000000000e+00,6.00000000000000e-01,5.96573847752785e-01,6.00000000000000e-01
8.50000000000000e-08,0.00000000000000e+00,6.00000000000000e-01,5.99186770592150e-01,6.00000000000000e-01
8.50100000000000e-08,5.99999999999886e-02,6.00000000000000e-01,5.99203215832193e-01,5.40000000000011e-01
8.50300000000000e-08,1.79999999999966e-01,6.00000000000000e-01,5.99224046122698e-01,4.20000000000034e-01
8.50700000000000e-08,4.19999999999920e-01,6.00000000000000e-01,5.99795978499983e-01,1.80000000000080e-01
8.51000000000000e-08,5.99999999999966e-01,6.00000000000000e-01,6.01472087169868e-01,3.44169137633799e-14
8.51080000000000e-08,6.00000000000000e-01,6.00000000000000e-01,6.02096154506559e-01,0.00000000000000e+00
8.51240000000000e-08,6.00000000000000e-01,6.00000000000000e-01,6.03192194548763e-01,0.00000000000000e+00
8.51560000000000e-08,6.00000000000000e-01,6.00000000000000e-01,6.04818510440782e-01,0.00000000000000e+00
8.52200000000000e-08,6.00000000000000e-01,6.00000000000000e-01,6.07345563357051e-01,0.00000000000000e+00
8.53480000000000e-08,6.00000000000000e-01,6.00000000000000e-01,6.11864596779125e-01,0.00000000000000e+00
8.56040000000000e-08,6.00000000000000e-01,6.00000000000000e-01,3.50631361633230e-01,0.00000000000000e+00
8.61159999999999e-08,6.00000000000000e-01,6.00000000000000e-01,-3.69089267276703e-02,0.00000000000000e+00
8.67191399367526e-08,6.00000000000000e-01,6.00000000000000e-01,2.58026677896348e-02,0.00000000000000e+00
