Time,v(clk),v(data),v(out),v(reset)
1.00000000000000e-08,7.00000000000000e-01,0.00000000000000e+00,1.72845823323376e-03,0.00000000000000e+00
1.00100000000000e-08,7.00000000000000e-01,6.99999999999983e-02,1.39545999682637e-03,0.00000000000000e+00
1.00300000000000e-08,7.00000000000000e-01,2.09999999999995e-01,9.79955902553828e-04,0.00000000000000e+00
1.00700000000000e-08,7.00000000000000e-01,4.89999999999988e-01,3.15954976625843e-04,0.00000000000000e+00
1.01000000000000e-08,7.00000000000000e-01,6.99999999999995e-01,1.62307188227781e-04,0.00000000000000e+00
1.01080000000000e-08,7.00000000000000e-01,7.00000000000000e-01,1.35117689279665e-04,0.00000000000000e+00
1.01240000000000e-08,7.00000000000000e-01,7.00000000000000e-01,8.70887536573092e-05,0.00000000000000e+00
1.01560000000000e-08,7.00000000000000e-01,7.00000000000000e-01,4.27509535780163e-05,0.00000000000000e+00
1.02200000000000e-08,7.00000000000000e-01,7.00000000000000e-01,1.36794881181457e-05,0.00000000000000e+00
1.03480000000000e-08,7.00000000000000e-01,7.00000000000000e-01,1.05304685221637e-05,0.00000000000000e+00
1.06040000000000e-08,7.00000000000000e-01,7.00000000000000e-01,1.01751531118195e-05,0.00000000000000e+00
1.11160000000000e-08,7.00000000000000e-01,7.00000000000000e-01,1.00962682442474e-05,0.00000000000000e+00
1.21400000000000e-08,7.00000000000000e-01,7.00000000000000e-01,9.80580078540402e-06,0.00000000000000e+00
1.41880000000000e-08,7.00000000000000e-01,7.00000000000000e-01,9.73190103964287e-06,0.00000000000000e+00
1.51000000000000e-08,7.00000000000000e-01,7.00000000000000e-01,9.43595908333913e-06,0.00000000000000e+00
1.51100000000000e-08,6.29999999999990e-01,7.00000000000000e-01,1.58472253622949e-04,7.00000000000099e-02
1.51300000000000e-08,4.89999999999994e-01,7.00000000000000e-01,2.61515605820876e-04,2.10000000000007e-01
1.51700000000000e-08,2.10000000000000e-01,7.00000000000000e-01,1.70383868557528e-04,4.90000000000000e-01
1.52000000000000e-08,0.00000000000000e+00,7.00000000000000e-01,1.85445584290234e-04,7.00000000000000e-01
1.52080000000000e-08,0.00000000000000e+00,7.00000000000000e-01,1.58549245238129e-04,7.00000000000000e-01
1.52240000000000e-08,0.00000000000000e+00,7.00000000000000e-01,9.51932483213083e-05,7.00000000000000e-01
1.52560000000000e-08,0.00000000000000e+00,7.00000000000000e-01,-1.25892984318254e-04,7.00000000000000e-01
1.53200000000000e-08,0.00000000000000e+00,7.00000000000000e-01,-4.18012460250555e-04,7.00000000000000e-01
1.54480000000000e-08,0.00000000000000e+00,7.00000000000000e-01,-1.05107076880412e-04,7.00000000000000e-01
1.56693387809870e-08,0.00000000000000e+00,7.00000000000000e-01,-1.79515049190070e-04,7.00000000000000e-01
1.60161257281686e-08,0.00000000000000e+00,7.00000000000000e-01,1.74012483252297e-04,7.00000000000000e-01
1.65244465894177e-08,0.00000000000000e+00,7.00000000000000e-01,4.17240347519859e-05,7.00000000000000e-01
1.73160471373295e-08,0.00000000000000e+00,7.00000000000000e-01,-9.61870686849130e-05,7.00000000000000e-01
1.85617503939177e-08,0.00000000000000e+00,7.00000000000000e-01,1.42793272699899e-04,7.00000000000000e-01
2.10531569070939e-08,0.00000000000000e+00,7.00000000000000e-01,-1.37370819625776e-04,7.00000000000000e-01
2.48531569070939e-08,0.00000000000000e+00,7.00000000000000e-01,1.60129635408136e-04,7.00000000000000e-01
2.50000000000000e-08,0.00000000000000e+00,7.00000000000000e-01,-1.63168397091445e-04,7.00000000000000e-01
2.50100000000000e-08,6.99999999999867e-02,7.00000000000000e-01,-2.13003520251956e-05,7.00000000000000e-01
2.50300000000000e-08,2.10000000000007e-01,7.00000000000000e-01,1.86423717209332e-04,7.00000000000000e-01
2.50700000000000e-08,4.90000000000000e-01,7.00000000000000e-01,2.58518735156393e-04,7.00000000000000e-01
2.51000000000000e-08,7.00000000000000e-01,7.00000000000000e-01,-1.00356266299588e-03,7.00000000000000e-01
2.51080000000000e-08,7.00000000000000e-01,7.00000000000000e-01,-1.75341608279072e-03,7.00000000000000e-01
2.51240000000000e-08,7.00000000000000e-01,7.00000000000000e-01,-3.20302315817467e-03,7.00000000000000e-01
2.51560000000000e-08,7.00000000000000e-01,7.00000000000000e-01,-5.16977239745346e-03,7.00000000000000e-01
2.52200000000000e-08,7.00000000000000e-01,7.00000000000000e-01,8.37812709415666e-03,7.00000000000000e-01
2.53480000000000e-08,7.00000000000000e-01,7.00000000000000e-01,3.17023320794443e-01,7.00000000000000e-01
2.56040000000000e-08,7.00000000000000e-01,7.00000000000000e-01,7.11635261808085e-01,7.00000000000000e-01
2.59542607602468e-08,7.00000000000000e-01,7.00000000000000e-01,6.90933749388007e-01,7.00000000000000e-01
