Time,v(clk),v(data),v(out)
1.00000000000000e-08,7.50000000000000e-01,0.00000000000000e+00,2.23896598385016e-05
1.00100000000000e-08,7.50000000000000e-01,7.49999999999982e-02,1.87815836749788e-05
1.00300000000000e-08,7.50000000000000e-01,2.24999999999995e-01,1.33461988070169e-05
1.00700000000000e-08,7.50000000000000e-01,5.24999999999987e-01,7.23847629067326e-06
1.01000000000000e-08,7.50000000000000e-01,7.49999999999994e-01,5.75146698699944e-06
1.01080000000000e-08,7.50000000000000e-01,7.50000000000000e-01,5.92246204277752e-06
1.01240000000000e-08,7.50000000000000e-01,7.50000000000000e-01,6.66329225326723e-06
1.01560000000000e-08,7.50000000000000e-01,7.50000000000000e-01,8.25742726034626e-06
1.02200000000000e-08,7.50000000000000e-01,7.50000000000000e-01,9.68169216408743e-06
1.03480000000000e-08,7.50000000000000e-01,7.50000000000000e-01,7.06337838187084e-06
1.06040000000000e-08,7.50000000000000e-01,7.50000000000000e-01,7.17719506591365e-06
1.11160000000000e-08,7.50000000000000e-01,7.50000000000000e-01,7.81953260586572e-06
1.21400000000000e-08,7.50000000000000e-01,7.50000000000000e-01,6.80219758969003e-06
1.41880000000000e-08,7.50000000000000e-01,7.50000000000000e-01,6.97037542541821e-06
1.51000000000000e-08,7.50000000000000e-01,7.50000000000000e-01,6.28239944973743e-06
1.51100000000000e-08,6.74999999999989e-01,7.50000000000000e-01,-2.43982789797093e-05
1.51300000000000e-08,5.24999999999993e-01,7.50000000000000e-01,-7.27228291020690e-05
1.51700000000000e-08,2.25000000000000e-01,7.50000000000000e-01,-4.53069459618802e-05
1.52000000000000e-08,0.00000000000000e+00,7.50000000000000e-01,7.77953697082417e-05
1.52080000000000e-08,0.00000000000000e+00,7.50000000000000e-01,1.37152359441561e-04
1.52240000000000e-08,0.00000000000000e+00,7.50000000000000e-01,1.99769665224593e-04
1.52560000000000e-08,0.00000000000000e+00,7.50000000000000e-01,1.20565261010896e-04
1.53200000000000e-08,0.00000000000000e+00,7.50000000000000e-01,-1.92846972207502e-04
1.54480000000000e-08,0.00000000000000e+00,7.50000000000000e-01,-1.41361133462775e-04
1.57040000000000e-08,0.00000000000000e+00,7.50000000000000e-01,-2.32823146681443e-04
1.61133007536664e-08,0.00000000000000e+00,7.50000000000000e-01,2.37375501147582e-04
1.66441144450714e-08,0.00000000000000e+00,7.50000000000000e-01,1.50985643713316e-05
1.75324423999251e-08,0.00000000000000e+00,7.50000000000000e-01,-8.08105265544764e-05
1.87255358689249e-08,0.00000000000000e+00,7.50000000000000e-01,1.28305121129522e-04
2.08677477650861e-08,0.00000000000000e+00,7.50000000000000e-01,-1.33045713711165e-04
2.42583654450746e-08,0.00000000000000e+00,7.50000000000000e-01,1.50753797841335e-04
2.50000000000000e-08,0.00000000000000e+00,7.50000000000000e-01,-1.63048531447853e-04
2.50100000000000e-08,7.49999999999858e-02,7.50000000000000e-01,-4.82399136004161e-05
2.50300000000000e-08,2.25000000000007e-01,7.50000000000000e-01,1.04326123126483e-04
2.50700000000000e-08,5.25000000000000e-01,7.50000000000000e-01,-3.15708621811649e-05
2.51000000000000e-08,7.50000000000000e-01,7.50000000000000e-01,-1.63516634162083e-03
2.51080000000000e-08,7.50000000000000e-01,7.50000000000000e-01,-2.40490937198345e-03
2.51240000000000e-08,7.50000000000000e-01,7.50000000000000e-01,-3.80256867949860e-03
2.51560000000000e-08,7.50000000000000e-01,7.50000000000000e-01,-4.61201660538935e-03
2.52200000000000e-08,7.50000000000000e-01,7.50000000000000e-01,3.32438523607705e-02
2.53480000000000e-08,7.50000000000000e-01,7.50000000000000e-01,3.73965035056518e-01
2.56040000000000e-08,7.50000000000000e-01,7.50000000000000e-01,7.64391100354767e-01
2.59668501821066e-08,7.50000000000000e-01,7.50000000000000e-01,7.38391081171392e-01
2.65659756365564e-08,7.50000000000000e-01,7.50000000000000e-01,7.60796644121492e-01
2.73748293530620e-08,7.50000000000000e-01,7.50000000000000e-01,7.40020533355814e-01
2.85228966108894e-08,7.50000000000000e-01,7.50000000000000e-01,7.59408730740763e-01
3.08190311265441e-08,7.50000000000000e-01,7.50000000000000e-01,7.40843783062516e-01
3.46190311265441e-08,7.50000000000000e-01,7.50000000000000e-01,7.59007100961681e-01
3.51000000000000e-08,7.49999999999963e-01,7.50000000000000e-01,7.42183016532101e-01
3.51100000000000e-08,6.74999999999977e-01,7.50000000000000e-01,7.44858360485555e-01
3.51300000000000e-08,5.24999999999956e-01,7.50000000000000e-01,7.48361405282079e-01
3.51700000000000e-08,2.24999999999963e-01,7.50000000000000e-01,7.50488587333185e-01
3.52000000000000e-08,0.00000000000000e+00,7.50000000000000e-01,7.51482937539676e-01
3.52080000000000e-08,0.00000000000000e+00,7.50000000000000e-01,7.51666275881924e-01
3.52240000000000e-08,0.00000000000000e+00,7.50000000000000e-01,7.51707750772499e-01
3.52560000000000e-08,0.00000000000000e+00,7.50000000000000e-01,7.49346208571159e-01
3.53200000000000e-08,0.00000000000000e+00,7.50000000000000e-01,7.33306872958758e-01
3.54480000000000e-08,0.00000000000000e+00,7.50000000000000e-01,7.14467677090339e-01
3.57040000000000e-08,0.00000000000000e+00,7.50000000000000e-01,7.42976108846787e-01
3.62160000000000e-08,0.00000000000000e+00,7.50000000000000e-01,7.52600845309996e-01
3.67938889671745e-08,0.00000000000000e+00,7.50000000000000e-01,7.47007544041149e-01
3.79496669015235e-08,0.00000000000000e+00,7.50000000000000e-01,7.51645767458112e-01
4.02612227702216e-08,0.00000000000000e+00,7.50000000000000e-01,7.47797062664142e-01
4.40612227702216e-08,0.00000000000000e+00,7.50000000000000e-01,7.51509570780239e-01
4.50000000000000e-08,0.00000000000000e+00,7.50000000000000e-01,7.48222290181987e-01
4.50100000000000e-08,7.49999999999858e-02,7.50000000000000e-01,7.48542546062430e-01
4.50300000000000e-08,2.25000000000007e-01,7.50000000000000e-01,7.49048428348087e-01
4.50700000000000e-08,5.25000000000000e-01,7.50000000000000e-01,7.49437980095494e-01
4.51000000000000e-08,7.50000000000000e-01,7.50000000000000e-01,7.48744626929168e-01
4.51080000000000e-08,7.50000000000000e-01,6.90000000000031e-01,7.48348883611490e-01
4.51240000000000e-08,7.50000000000000e-01,5.69999999999994e-01,7.47583715023587e-01
4.51560000000000e-08,7.50000000000000e-01,3.30000000000020e-01,7.46405665666592e-01
4.52000000000000e-08,7.50000000000000e-01,4.29656310529936e-14,7.45902027423469e-01
4.52064000000000e-08,7.50000000000000e-01,0.00000000000000e+00,7.45987969141477e-01
4.52192000000000e-08,7.50000000000000e-01,0.00000000000000e+00,7.46215320995550e-01
