Time,v(clk),v(data),v(out)
1.00000000000000e-08,7.50000000000000e-01,0.00000000000000e+00,1.74236165656858e-05
1.00100000000000e-08,7.50000000000000e-01,7.49999999999982e-02,1.56114436985350e-05
1.00300000000000e-08,7.50000000000000e-01,2.24999999999995e-01,1.15764935271420e-05
1.00700000000000e-08,7.50000000000000e-01,5.24999999999987e-01,4.80088064092749e-06
1.01000000000000e-08,7.50000000000000e-01,7.49999999999994e-01,2.20512755547825e-06
1.01080000000000e-08,7.50000000000000e-01,7.50000000000000e-01,2.23193085178985e-06
1.01240000000000e-08,7.50000000000000e-01,7.50000000000000e-01,2.88931069136050e-06
1.01560000000000e-08,7.50000000000000e-01,7.50000000000000e-01,4.71775950123404e-06
1.02200000000000e-08,7.50000000000000e-01,7.50000000000000e-01,6.16728574723974e-06
1.03480000000000e-08,7.50000000000000e-01,7.50000000000000e-01,2.58407430322669e-06
1.06040000000000e-08,7.50000000000000e-01,7.50000000000000e-01,2.71673912894017e-06
1.11160000000000e-08,7.50000000000000e-01,7.50000000000000e-01,3.43269893177643e-06
1.21400000000000e-08,7.50000000000000e-01,7.50000000000000e-01,2.32602132402325e-06
1.41880000000000e-08,7.50000000000000e-01,7.50000000000000e-01,2.86717090116403e-06
1.51000000000000e-08,7.50000000000000e-01,7.50000000000000e-01,1.92478396343664e-06
1.51100000000000e-08,6.74999999999989e-01,7.50000000000000e-01,-2.95480912244211e-05
1.51300000000000e-08,5.24999999999993e-01,7.50000000000000e-01,-8.09387075739187e-05
1.51700000000000e-08,2.25000000000000e-01,7.50000000000000e-01,-8.11269514184795e-05
1.52000000000000e-08,0.00000000000000e+00,7.50000000000000e-01,3.99418580827593e-05
1.52080000000000e-08,0.00000000000000e+00,7.50000000000000e-01,1.07357779869539e-04
1.52240000000000e-08,0.00000000000000e+00,7.50000000000000e-01,1.92962274962689e-04
1.52560000000000e-08,0.00000000000000e+00,7.50000000000000e-01,1.89118174885615e-04
1.53200000000000e-08,0.00000000000000e+00,7.50000000000000e-01,-2.22520665389934e-05
1.54480000000000e-08,0.00000000000000e+00,7.50000000000000e-01,-1.43657379590621e-04
