Time,i(vdd)
6.00834012872684e-06,-1.57407340992233e-07
6.04834012872684e-06,5.16789341776828e-08
6.08834012872684e-06,-1.56417877608026e-07
6.12834012872684e-06,5.07032151563725e-08
6.16834012872684e-06,-1.55449369459959e-07
6.20834012872684e-06,4.97351321407025e-08
6.24834012872684e-06,-1.54488386362654e-07
6.28834012872684e-06,4.87876520142223e-08
6.32834012872684e-06,-1.53547876472156e-07
6.36834012872684e-06,4.78473640640597e-08
6.40834012872684e-06,-1.52614468412302e-07
6.44834012872684e-06,4.69272503752265e-08
6.48834012872684e-06,-1.51701114996662e-07
6.52834012872684e-06,4.60144325408690e-08
6.56834012872684e-06,-1.50793569259395e-07
6.60834012872684e-06,4.51194802941674e-08
6.64834012872684e-06,-1.49906588008852e-07
6.68834012872684e-06,4.42323557059354e-08
6.72834012872684e-06,-1.49025946131639e-07
6.76834012872683e-06,4.33646089799990e-08
6.80834012872683e-06,-1.48164570174049e-07
6.84834012872683e-06,4.25029150936542e-08
6.88834012872683e-06,-1.47309171050537e-07
6.92834012872683e-06,4.16602216674911e-08
6.96834012872683e-06,-1.46472662464559e-07
7.00834012872683e-06,4.08232276021794e-08
7.04834012872683e-06,-1.45641781276005e-07
7.08834012872683e-06,4.00048681236741e-08
7.12834012872683e-06,-1.44829426821233e-07
7.16834012872683e-06,3.91918656893060e-08
7.20834012872683e-06,-1.44044977580236e-07
7.24834012872683e-06,3.83898553425309e-08
7.28834012872683e-06,-1.43249739847426e-07
7.32834012872683e-06,3.75964867922799e-08
7.36834012872683e-06,-1.42463191169299e-07
7.40834012872683e-06,3.68232328285113e-08
7.44834012872683e-06,-1.41695687485039e-07
7.48834012872683e-06,3.60556774278652e-08
7.52834012872683e-06,-1.40933396747034e-07
7.56834012872683e-06,3.53061678829347e-08
7.60834012872683e-06,-1.40188868734148e-07
7.64834012872683e-06,3.45612473103173e-08
7.68834012872683e-06,-1.39448796191844e-07
7.72834012872683e-06,3.38336827814265e-08
7.76834012872683e-06,-1.38725958587828e-07
7.80834012872682e-06,3.31102394782987e-08
7.84834012872682e-06,-1.38007183110236e-07
7.88834012872682e-06,3.24037608932573e-08
7.92834012872682e-06,-1.37305286285988e-07
7.96834012872682e-06,3.17005988731038e-08
8.00000000000000e-06,-1.36525981125192e-07
