Time,v(clk),v(data),v(out)
1.00000000000000e-08,7.50000000000000e-01,0.00000000000000e+00,-3.72334974388855e-05
1.00100000000000e-08,7.50000000000000e-01,7.49999999999982e-02,-2.62908176015680e-05
1.00300000000000e-08,7.50000000000000e-01,2.24999999999995e-01,-1.34789146833264e-05
1.00700000000000e-08,7.50000000000000e-01,5.24999999999987e-01,-7.40304401671693e-06
1.01000000000000e-08,7.50000000000000e-01,7.49999999999994e-01,-5.15612273988691e-06
1.01080000000000e-08,7.50000000000000e-01,7.50000000000000e-01,-3.10887955487504e-06
1.01240000000000e-08,7.50000000000000e-01,7.50000000000000e-01,9.85657713531429e-07
1.01560000000000e-08,7.50000000000000e-01,7.50000000000000e-01,4.42206902477593e-06
1.02200000000000e-08,7.50000000000000e-01,7.50000000000000e-01,2.07473776044770e-06
1.03480000000000e-08,7.50000000000000e-01,7.50000000000000e-01,8.98665580038177e-07
1.06040000000000e-08,7.50000000000000e-01,7.50000000000000e-01,7.23175004860646e-07
1.11160000000000e-08,7.50000000000000e-01,7.50000000000000e-01,1.83269118364700e-06
1.21400000000000e-08,7.50000000000000e-01,7.50000000000000e-01,5.68069774760892e-07
1.41880000000000e-08,7.50000000000000e-01,7.50000000000000e-01,1.50162197527738e-06
1.51000000000000e-08,7.50000000000000e-01,7.50000000000000e-01,3.60631038808477e-07
1.51100000000000e-08,6.74999999999989e-01,7.50000000000000e-01,-9.69625321019935e-05
1.51300000000000e-08,5.24999999999993e-01,7.50000000000000e-01,-2.12194682503011e-04
1.51700000000000e-08,2.25000000000000e-01,7.50000000000000e-01,-7.14815282840051e-05
1.52000000000000e-08,0.00000000000000e+00,7.50000000000000e-01,3.20045839488026e-04
1.52080000000000e-08,0.00000000000000e+00,7.50000000000000e-01,4.76524666900111e-04
1.52240000000000e-08,0.00000000000000e+00,7.50000000000000e-01,5.78700604039292e-04
1.52560000000000e-08,0.00000000000000e+00,7.50000000000000e-01,2.46579449304042e-04
1.53200000000000e-08,0.00000000000000e+00,7.50000000000000e-01,-2.51051890311611e-04
1.54480000000000e-08,0.00000000000000e+00,7.50000000000000e-01,-1.45119663784787e-04
1.57040000000000e-08,0.00000000000000e+00,7.50000000000000e-01,-1.20131303002445e-04
1.60392845623231e-08,0.00000000000000e+00,7.50000000000000e-01,1.93142974771564e-04
1.66998031395129e-08,0.00000000000000e+00,7.50000000000000e-01,-1.01134495420108e-04
1.73408107851202e-08,0.00000000000000e+00,7.50000000000000e-01,3.68098953525443e-05
1.86228260763348e-08,0.00000000000000e+00,7.50000000000000e-01,-1.19872994734410e-05
2.11868566587639e-08,0.00000000000000e+00,7.50000000000000e-01,2.09106492640504e-06
2.49868566587639e-08,0.00000000000000e+00,7.50000000000000e-01,4.85165637868312e-06
2.50000000000000e-08,0.00000000000000e+00,7.50000000000000e-01,-4.61223402218880e-05
2.50100000000000e-08,7.49999999999858e-02,7.50000000000000e-01,1.18751861609159e-04
2.50300000000000e-08,2.25000000000007e-01,7.50000000000000e-01,3.30744301778263e-04
2.50700000000000e-08,5.25000000000000e-01,7.50000000000000e-01,1.49791767448532e-04
2.51000000000000e-08,7.50000000000000e-01,7.50000000000000e-01,-2.68184511468637e-03
2.51080000000000e-08,7.50000000000000e-01,7.50000000000000e-01,-3.93165746501509e-03
2.51240000000000e-08,7.50000000000000e-01,7.50000000000000e-01,-5.99599018433282e-03
2.51560000000000e-08,7.50000000000000e-01,7.50000000000000e-01,-6.99977902100347e-03
2.52200000000000e-08,7.50000000000000e-01,7.50000000000000e-01,6.75075132863069e-02
2.53480000000000e-08,7.50000000000000e-01,7.50000000000000e-01,5.45865232647638e-01
2.56040000000000e-08,7.50000000000000e-01,7.50000000000000e-01,7.82014807751525e-01
2.58857891801868e-08,7.50000000000000e-01,7.50000000000000e-01,7.22449404370789e-01
2.64493675405603e-08,7.50000000000000e-01,7.50000000000000e-01,7.74150493838787e-01
2.71319863942451e-08,7.50000000000000e-01,7.50000000000000e-01,7.26784393311463e-01
2.84972241016148e-08,7.50000000000000e-01,7.50000000000000e-01,7.71498018845032e-01
3.10400563473836e-08,7.50000000000000e-01,7.50000000000000e-01,7.28172134176705e-01
3.48400563473836e-08,7.50000000000000e-01,7.50000000000000e-01,7.70774844702435e-01
3.51000000000000e-08,7.49999999999963e-01,7.50000000000000e-01,7.32546778315344e-01
3.51100000000000e-08,6.74999999999977e-01,7.50000000000000e-01,7.39635667317177e-01
3.51300000000000e-08,5.24999999999956e-01,7.50000000000000e-01,7.48015354077240e-01
3.51700000000000e-08,2.24999999999963e-01,7.50000000000000e-01,7.51271980731467e-01
3.52000000000000e-08,0.00000000000000e+00,7.50000000000000e-01,7.53421099864866e-01
3.52080000000000e-08,0.00000000000000e+00,7.50000000000000e-01,7.53926552208303e-01
3.52240000000000e-08,0.00000000000000e+00,7.50000000000000e-01,7.53691335599445e-01
3.52560000000000e-08,0.00000000000000e+00,7.50000000000000e-01,7.45748829917688e-01
