Time,v(clk),v(data),v(out)
1.00000000000000e-08,7.50000000000000e-01,0.00000000000000e+00,1.12705614303751e-05
1.00100000000000e-08,7.50000000000000e-01,7.49999999999982e-02,1.40292509133166e-05
1.00300000000000e-08,7.50000000000000e-01,2.24999999999995e-01,1.39344985265050e-05
1.00700000000000e-08,7.50000000000000e-01,5.24999999999987e-01,8.81763755376797e-06
1.01000000000000e-08,7.50000000000000e-01,7.49999999999994e-01,6.98234623004723e-06
1.01080000000000e-08,7.50000000000000e-01,7.50000000000000e-01,6.41847455452871e-06
1.01240000000000e-08,7.50000000000000e-01,7.50000000000000e-01,7.75356478804889e-06
1.01560000000000e-08,7.50000000000000e-01,7.50000000000000e-01,1.14716282714339e-05
1.02200000000000e-08,7.50000000000000e-01,7.50000000000000e-01,1.19082157666317e-05
1.03480000000000e-08,7.50000000000000e-01,7.50000000000000e-01,9.30761495137461e-06
1.06040000000000e-08,7.50000000000000e-01,7.50000000000000e-01,8.92193995374879e-06
1.10578611318460e-08,7.50000000000000e-01,7.50000000000000e-01,8.42193617318215e-06
1.19655833955379e-08,7.50000000000000e-01,7.50000000000000e-01,9.32793546629292e-06
1.37810279229218e-08,7.50000000000000e-01,7.50000000000000e-01,8.16130800275917e-06
1.51000000000000e-08,7.50000000000000e-01,7.50000000000000e-01,8.90823454769048e-06
1.51100000000000e-08,6.74999999999989e-01,7.50000000000000e-01,-8.45116939522800e-05
1.51300000000000e-08,5.24999999999993e-01,7.50000000000000e-01,-2.10580282813302e-04
1.51700000000000e-08,2.25000000000000e-01,7.50000000000000e-01,3.77903480497099e-05
1.52000000000000e-08,0.00000000000000e+00,7.50000000000000e-01,6.15543702855076e-04
1.52080000000000e-08,0.00000000000000e+00,7.50000000000000e-01,7.95142283547129e-04
1.52240000000000e-08,0.00000000000000e+00,7.50000000000000e-01,8.92261442658873e-04
1.52560000000000e-08,0.00000000000000e+00,7.50000000000000e-01,2.12097035505857e-04
1.53200000000000e-08,0.00000000000000e+00,7.50000000000000e-01,-5.54238182755754e-04
1.54480000000000e-08,0.00000000000000e+00,7.50000000000000e-01,-2.02126006033504e-05
1.56443466111638e-08,0.00000000000000e+00,7.50000000000000e-01,-2.16182135215549e-04
1.59929040103869e-08,0.00000000000000e+00,7.50000000000000e-01,8.53911994357220e-05
1.63940035340281e-08,0.00000000000000e+00,7.50000000000000e-01,2.05611508337360e-04
1.71747171765695e-08,0.00000000000000e+00,7.50000000000000e-01,-2.42558627351482e-04
1.81964031532402e-08,0.00000000000000e+00,7.50000000000000e-01,2.72470463393230e-04
