Time,i(vdd)
6.03162800000013e-06,-1.58514790033537e-08
6.07162800000013e-06,-3.47585357977135e-08
6.11162800000013e-06,-1.58141349255030e-08
6.15162800000013e-06,-3.46943484285655e-08
6.19162800000013e-06,-1.58732201332317e-08
6.23162800000013e-06,-3.47274081775157e-08
6.27162800000013e-06,-1.58339841508829e-08
6.31162800000013e-06,-3.46635827518283e-08
6.35162800000013e-06,-1.58933893691310e-08
6.39162800000013e-06,-3.46963274345098e-08
6.43162800000013e-06,-1.58532239293487e-08
6.47162800000013e-06,-3.46308854046491e-08
6.51162800000013e-06,-1.59726575318371e-08
6.55162800000013e-06,-3.46624475903095e-08
6.59162800000013e-06,-1.59324215892322e-08
6.63162800000013e-06,-3.45974651736853e-08
6.67162800000013e-06,-1.59883539554652e-08
6.71162800000013e-06,-3.46425151774994e-08
6.75162800000013e-06,-1.59614612528284e-08
6.79162800000013e-06,-3.45676897080824e-08
6.83162800000013e-06,-1.60071936872452e-08
6.87162800000013e-06,-3.46128046780101e-08
6.91162800000013e-06,-1.59805216240062e-08
6.95162800000013e-06,-3.45382177814760e-08
6.99162800000013e-06,-1.60260353582362e-08
7.03162800000013e-06,-3.45833391203310e-08
7.07162800000012e-06,-1.59993326244787e-08
7.11162800000012e-06,-3.45089545190565e-08
7.15162800000012e-06,-1.60446481841841e-08
7.19162800000012e-06,-3.45540823654649e-08
7.23162800000012e-06,-1.60715968084131e-08
7.27162800000012e-06,-3.44801305654113e-08
7.31162800000012e-06,-1.61166575949073e-08
7.35162800000012e-06,-3.45254940321028e-08
7.39162800000012e-06,-1.60854064193617e-08
7.43162800000012e-06,-3.44317608700953e-08
7.47162800000012e-06,-1.61340617470637e-08
7.51162800000012e-06,-3.44765595168603e-08
7.55162800000012e-06,-1.61021931390389e-08
7.59162800000012e-06,-3.44024149534457e-08
7.63162800000012e-06,-1.61506254490655e-08
7.67162800000012e-06,-3.44471804551133e-08
7.71162800000012e-06,-1.61187523298015e-08
7.75162800000012e-06,-3.43731679299000e-08
7.79162800000012e-06,-1.62074744621002e-08
7.83162800000012e-06,-3.44183180215662e-08
7.87162800000012e-06,-1.61757771223205e-08
7.91162800000012e-06,-3.43483687326313e-08
7.95162800000012e-06,-1.62239484799536e-08
7.99162800000012e-06,-3.43935025074231e-08
8.00000000000000e-06,-1.62051239135524e-08
