Time,v(clk),v(data),v(out)
1.00000000000000e-08,7.50000000000000e-01,0.00000000000000e+00,9.60350736355781e-06
1.00100000000000e-08,7.50000000000000e-01,7.49999999999982e-02,1.51347184189354e-05
1.00300000000000e-08,7.50000000000000e-01,2.24999999999995e-01,1.52670547476225e-05
1.00700000000000e-08,7.50000000000000e-01,5.24999999999987e-01,3.79238152896366e-06
1.01000000000000e-08,7.50000000000000e-01,7.49999999999994e-01,-2.07944576892383e-06
1.01080000000000e-08,7.50000000000000e-01,7.50000000000000e-01,-3.76079811202634e-06
1.01240000000000e-08,7.50000000000000e-01,7.50000000000000e-01,-1.97010573649292e-06
1.01560000000000e-08,7.50000000000000e-01,7.50000000000000e-01,6.33101256014568e-06
1.02200000000000e-08,7.50000000000000e-01,7.50000000000000e-01,1.05389358438235e-05
1.03480000000000e-08,7.50000000000000e-01,7.50000000000000e-01,2.56941279270367e-06
1.06040000000000e-08,7.50000000000000e-01,7.50000000000000e-01,1.57967501911160e-06
1.10649147910891e-08,7.50000000000000e-01,7.50000000000000e-01,2.86746587132777e-06
1.19867443732672e-08,7.50000000000000e-01,7.50000000000000e-01,1.73401655050726e-06
1.38304035376234e-08,7.50000000000000e-01,7.50000000000000e-01,2.46230519049609e-06
1.51000000000000e-08,7.50000000000000e-01,7.50000000000000e-01,1.58591812257115e-06
1.51100000000000e-08,6.74999999999989e-01,7.50000000000000e-01,-1.50118189904763e-04
1.51300000000000e-08,5.24999999999993e-01,7.50000000000000e-01,-3.59889676841099e-04
1.51700000000000e-08,2.25000000000000e-01,7.50000000000000e-01,-1.66911222053090e-04
1.52000000000000e-08,0.00000000000000e+00,7.50000000000000e-01,5.91825737894042e-04
1.52080000000000e-08,0.00000000000000e+00,7.50000000000000e-01,8.94688848502648e-04
1.52240000000000e-08,0.00000000000000e+00,7.50000000000000e-01,1.21732799577744e-03
1.52560000000000e-08,0.00000000000000e+00,7.50000000000000e-01,9.65505553690682e-04
1.53200000000000e-08,0.00000000000000e+00,7.50000000000000e-01,-3.63902977881581e-04
1.54480000000000e-08,0.00000000000000e+00,7.50000000000000e-01,-4.82586851028498e-04
1.57040000000000e-08,0.00000000000000e+00,7.50000000000000e-01,1.68759105469408e-04
1.60223764593793e-08,0.00000000000000e+00,7.50000000000000e-01,-2.79290326729145e-04
