VDD,Corner,Temperature,Power
0.6,TT,27,3.694080844183718e-09
0.6,FF,70,8.383406251814294e-09
0.6,TT,70,5.2837039367608646e-09
0.6,FF,27,2.2775550978528673e-09
0.6,FF,0,8.14429502355421e-10
0.6,TT,0,2.7144859279592103e-09
0.8,TT,27,1.2226271463716408e-09
0.8,FF,70,7.589269357736157e-09
0.8,TT,70,7.859918154599882e-09
0.8,FF,27,3.427630399852044e-09
0.8,FF,0,7.855908230222693e-09
0.8,TT,0,2.601549023140731e-09
0.45,TT,27,6.578604090425146e-10
0.45,FF,70,3.6581713142809155e-09
0.45,TT,70,3.008722664384436e-09
0.45,FF,27,1.235979658759275e-09
0.45,FF,0,1.0573655250552311e-09
0.45,TT,0,3.4630417117415207e-10
0.55,TT,27,2.2003475159457143e-09
0.55,FF,70,7.543893001336385e-09
0.55,TT,70,3.323200933179345e-09
0.55,FF,27,3.819480995801167e-09
0.55,FF,0,1.602983760983616e-09
0.55,TT,0,2.2602360000970275e-09
0.7,TT,27,2.402969364041032e-09
0.7,FF,70,6.529450756605014e-09
0.7,TT,70,8.054229745048067e-09
0.7,FF,27,3.3345672466559284e-10
0.7,FF,0,3.4765519493434633e-10
0.7,TT,0,1.022929535074574e-09
0.65,TT,27,3.7539661730308325e-09
0.65,FF,70,7.741710755666351e-09
0.65,TT,70,7.103110469010375e-09
0.65,FF,27,3.9360555965593797e-10
0.65,FF,0,1.650576932777106e-09
0.65,TT,0,1.317180788027875e-09
0.75,TT,27,3.84271574980291e-10
0.75,FF,70,6.3445669408994706e-09
0.75,TT,70,5.3284616713669195e-09
0.75,FF,27,6.412512588456896e-09
0.75,FF,0,4.255207710348174e-09
0.75,TT,0,2.6896586771617e-09
0.5,TT,27,4.873922223186374e-10
0.5,FF,70,5.380324134299199e-09
0.5,TT,70,2.717660686516779e-09
0.5,FF,27,3.48433869624397e-09
0.5,FF,0,2.7462097777914956e-09
0.50,TT,00,2.0773007218734664e-10
