Time,v(clk),v(data),v(out)
1.00000000000000e-08,4.50000000000000e-01,0.00000000000000e+00,-1.81417027518066e-05
1.00100000000000e-08,4.50000000000000e-01,4.49999999999989e-02,-1.75385856874474e-05
1.00300000000000e-08,4.50000000000000e-01,1.34999999999997e-01,-1.56808807652772e-05
1.00700000000000e-08,4.50000000000000e-01,3.14999999999992e-01,-1.25823915982058e-05
1.01000000000000e-08,4.50000000000000e-01,4.49999999999997e-01,-1.26971213548072e-05
1.01080000000000e-08,4.50000000000000e-01,4.50000000000000e-01,-1.26553523115761e-05
1.01240000000000e-08,4.50000000000000e-01,4.50000000000000e-01,-1.16403507282384e-05
1.01560000000000e-08,4.50000000000000e-01,4.50000000000000e-01,-7.45534293503103e-06
1.02200000000000e-08,4.50000000000000e-01,4.50000000000000e-01,-6.88067786022012e-07
1.03480000000000e-08,4.50000000000000e-01,4.50000000000000e-01,4.42376406655648e-06
1.06040000000000e-08,4.50000000000000e-01,4.50000000000000e-01,2.07800014988442e-06
1.11160000000000e-08,4.50000000000000e-01,4.50000000000000e-01,2.26248692554443e-06
1.21400000000000e-08,4.50000000000000e-01,4.50000000000000e-01,2.43945201833240e-06
1.41880000000000e-08,4.50000000000000e-01,4.50000000000000e-01,1.66204581046386e-06
1.51000000000000e-08,4.50000000000000e-01,4.50000000000000e-01,2.03927516122335e-06
1.51100000000000e-08,4.04999999999994e-01,4.50000000000000e-01,-4.88555195553089e-05
1.51300000000000e-08,3.14999999999996e-01,4.50000000000000e-01,-1.36807097463117e-04
1.51700000000000e-08,1.35000000000000e-01,4.50000000000000e-01,-2.56921397350833e-04
1.52000000000000e-08,0.00000000000000e+00,4.50000000000000e-01,-2.35809475124006e-04
1.52080000000000e-08,0.00000000000000e+00,4.50000000000000e-01,-1.47109285842668e-04
1.52240000000000e-08,0.00000000000000e+00,4.50000000000000e-01,1.45575916267460e-06
1.52560000000000e-08,0.00000000000000e+00,4.50000000000000e-01,1.61381458092184e-04
1.53200000000000e-08,0.00000000000000e+00,4.50000000000000e-01,2.16542624777216e-04
1.54480000000000e-08,0.00000000000000e+00,4.50000000000000e-01,9.54720941611156e-05
1.57040000000000e-08,0.00000000000000e+00,4.50000000000000e-01,-6.97935692827636e-05
1.62160000000000e-08,0.00000000000000e+00,4.50000000000000e-01,-2.75797313776683e-05
1.72400000000000e-08,0.00000000000000e+00,4.50000000000000e-01,-6.10245241382344e-05
1.87859307385074e-08,0.00000000000000e+00,4.50000000000000e-01,6.07653292935017e-05
2.12203311152569e-08,0.00000000000000e+00,4.50000000000000e-01,-9.13473406192458e-06
