Time,v(clk),v(data),v(out),v(reset)
1.00000000000000e-08,5.50000000000000e-01,0.00000000000000e+00,1.37194623894819e-03,0.00000000000000e+00
1.00100000000000e-08,5.50000000000000e-01,5.49999999999987e-02,9.94953077464653e-04,0.00000000000000e+00
1.00300000000000e-08,5.50000000000000e-01,1.64999999999996e-01,5.52220586839791e-04,0.00000000000000e+00
1.00700000000000e-08,5.50000000000000e-01,3.84999999999991e-01,2.58844726213119e-04,0.00000000000000e+00
1.01000000000000e-08,5.50000000000000e-01,5.49999999999996e-01,1.05105966472355e-04,0.00000000000000e+00
1.01080000000000e-08,5.50000000000000e-01,5.50000000000000e-01,9.43626535058889e-05,0.00000000000000e+00
1.01240000000000e-08,5.50000000000000e-01,5.50000000000000e-01,7.13128647124514e-05,0.00000000000000e+00
1.01560000000000e-08,5.50000000000000e-01,5.50000000000000e-01,3.52181250140374e-05,0.00000000000000e+00
1.02200000000000e-08,5.50000000000000e-01,5.50000000000000e-01,4.86338243831444e-06,0.00000000000000e+00
1.03480000000000e-08,5.50000000000000e-01,5.50000000000000e-01,2.13329573741164e-06,0.00000000000000e+00
1.06040000000000e-08,5.50000000000000e-01,5.50000000000000e-01,3.24733246823486e-06,0.00000000000000e+00
1.11160000000000e-08,5.50000000000000e-01,5.50000000000000e-01,2.36560162212782e-06,0.00000000000000e+00
1.21400000000000e-08,5.50000000000000e-01,5.50000000000000e-01,3.12185993343352e-06,0.00000000000000e+00
1.41880000000000e-08,5.50000000000000e-01,5.50000000000000e-01,2.12281423287450e-06,0.00000000000000e+00
1.51000000000000e-08,5.50000000000000e-01,5.50000000000000e-01,2.62328995148057e-06,0.00000000000000e+00
1.51100000000000e-08,4.94999999999992e-01,5.50000000000000e-01,1.47950945549744e-04,5.50000000000078e-02
1.51300000000000e-08,3.84999999999995e-01,5.50000000000000e-01,2.78703489660387e-04,1.65000000000005e-01
1.51700000000000e-08,1.65000000000000e-01,5.50000000000000e-01,1.34064770557066e-04,3.85000000000000e-01
1.52000000000000e-08,0.00000000000000e+00,5.50000000000000e-01,8.15235138278345e-05,5.50000000000000e-01
1.52080000000000e-08,0.00000000000000e+00,5.50000000000000e-01,7.42489687018746e-05,5.50000000000000e-01
1.52240000000000e-08,0.00000000000000e+00,5.50000000000000e-01,6.28133221715274e-05,5.50000000000000e-01
1.52560000000000e-08,0.00000000000000e+00,5.50000000000000e-01,4.47518866090596e-05,5.50000000000000e-01
1.53200000000000e-08,0.00000000000000e+00,5.50000000000000e-01,-1.01323209930886e-04,5.50000000000000e-01
1.54480000000000e-08,0.00000000000000e+00,5.50000000000000e-01,-2.10314118089788e-04,5.50000000000000e-01
1.57040000000000e-08,0.00000000000000e+00,5.50000000000000e-01,3.11703576777698e-05,5.50000000000000e-01
1.61974195459203e-08,0.00000000000000e+00,5.50000000000000e-01,-7.38355959014978e-05,5.50000000000000e-01
1.68160836977498e-08,0.00000000000000e+00,5.50000000000000e-01,1.33635087835792e-04,5.50000000000000e-01
1.80534120014089e-08,0.00000000000000e+00,5.50000000000000e-01,-1.24870288926188e-04,5.50000000000000e-01
1.94716783354726e-08,0.00000000000000e+00,5.50000000000000e-01,1.20390707440463e-04,5.50000000000000e-01
2.23082110036001e-08,0.00000000000000e+00,5.50000000000000e-01,-1.13398825682979e-04,5.50000000000000e-01
2.50000000000000e-08,0.00000000000000e+00,5.50000000000000e-01,1.11619549271940e-04,5.50000000000000e-01
2.50100000000000e-08,5.49999999999896e-02,5.50000000000000e-01,1.94463454580643e-04,5.50000000000000e-01
2.50300000000000e-08,1.65000000000005e-01,5.50000000000000e-01,3.16843128998372e-04,5.50000000000000e-01
2.50700000000000e-08,3.85000000000000e-01,5.50000000000000e-01,3.77927719442270e-04,5.50000000000000e-01
2.51000000000000e-08,5.50000000000000e-01,5.50000000000000e-01,-1.08745353097128e-04,5.50000000000000e-01
2.51080000000000e-08,5.50000000000000e-01,5.50000000000000e-01,-5.10945851277228e-04,5.50000000000000e-01
2.51240000000000e-08,5.50000000000000e-01,5.50000000000000e-01,-1.43394836658653e-03,5.50000000000000e-01
