Time,v(clk),v(data),v(out),v(reset)
1.00000000000000e-08,5.50000000000000e-01,0.00000000000000e+00,-1.20039920893482e-06,0.00000000000000e+00
1.00100000000000e-08,5.50000000000000e-01,5.49999999999987e-02,-1.01718286698443e-06,0.00000000000000e+00
1.00300000000000e-08,5.50000000000000e-01,1.64999999999996e-01,-8.51350959764352e-07,0.00000000000000e+00
1.00700000000000e-08,5.50000000000000e-01,3.84999999999991e-01,-7.83001420520679e-07,0.00000000000000e+00
1.01000000000000e-08,5.50000000000000e-01,5.49999999999996e-01,-8.56908290679248e-07,0.00000000000000e+00
1.01080000000000e-08,5.50000000000000e-01,5.50000000000000e-01,-6.47304347102529e-07,0.00000000000000e+00
1.01240000000000e-08,5.50000000000000e-01,5.50000000000000e-01,1.38562996146452e-07,0.00000000000000e+00
1.01560000000000e-08,5.50000000000000e-01,5.50000000000000e-01,1.70742450852218e-06,0.00000000000000e+00
1.02200000000000e-08,5.50000000000000e-01,5.50000000000000e-01,2.62049617787141e-06,0.00000000000000e+00
1.03480000000000e-08,5.50000000000000e-01,5.50000000000000e-01,3.16372687108463e-06,0.00000000000000e+00
1.06040000000000e-08,5.50000000000000e-01,5.50000000000000e-01,3.11652079035968e-06,0.00000000000000e+00
1.11160000000000e-08,5.50000000000000e-01,5.50000000000000e-01,3.26360640100568e-06,0.00000000000000e+00
1.21400000000000e-08,5.50000000000000e-01,5.50000000000000e-01,3.01862951494411e-06,0.00000000000000e+00
1.41880000000000e-08,5.50000000000000e-01,5.50000000000000e-01,2.82783484564439e-06,0.00000000000000e+00
1.51000000000000e-08,5.50000000000000e-01,5.50000000000000e-01,2.67675020572747e-06,0.00000000000000e+00
1.51100000000000e-08,4.94999999999992e-01,5.50000000000000e-01,1.67430065194200e-04,5.50000000000078e-02
1.51300000000000e-08,3.84999999999995e-01,5.50000000000000e-01,3.42006852853786e-04,1.65000000000005e-01
1.51700000000000e-08,1.65000000000000e-01,5.50000000000000e-01,2.33684314111096e-04,3.85000000000000e-01
1.52000000000000e-08,0.00000000000000e+00,5.50000000000000e-01,1.92090379721246e-04,5.50000000000000e-01
1.52080000000000e-08,0.00000000000000e+00,5.50000000000000e-01,1.89073788109881e-04,5.50000000000000e-01
1.52240000000000e-08,0.00000000000000e+00,5.50000000000000e-01,1.83672878236972e-04,5.50000000000000e-01
1.52560000000000e-08,0.00000000000000e+00,5.50000000000000e-01,1.79261055577959e-04,5.50000000000000e-01
1.53200000000000e-08,0.00000000000000e+00,5.50000000000000e-01,9.38572233417714e-05,5.50000000000000e-01
1.54480000000000e-08,0.00000000000000e+00,5.50000000000000e-01,-1.82699388750492e-04,5.50000000000000e-01
1.57040000000000e-08,0.00000000000000e+00,5.50000000000000e-01,-3.16150978317414e-05,5.50000000000000e-01
1.61459210488114e-08,0.00000000000000e+00,5.50000000000000e-01,-4.40528313311941e-05,5.50000000000000e-01
1.68530616342639e-08,0.00000000000000e+00,5.50000000000000e-01,1.18281408232387e-05,5.50000000000000e-01
1.78458373438988e-08,0.00000000000000e+00,5.50000000000000e-01,7.76702657416875e-05,5.50000000000000e-01
1.96649708037622e-08,0.00000000000000e+00,5.50000000000000e-01,-1.03031976308906e-04,5.50000000000000e-01
2.25255701899916e-08,0.00000000000000e+00,5.50000000000000e-01,1.16499975424392e-04,5.50000000000000e-01
2.50000000000000e-08,0.00000000000000e+00,5.50000000000000e-01,-1.23897164589320e-04,5.50000000000000e-01
2.50100000000000e-08,5.49999999999896e-02,5.50000000000000e-01,1.52601318902795e-06,5.50000000000000e-01
2.50300000000000e-08,1.65000000000005e-01,5.50000000000000e-01,2.11788006127180e-04,5.50000000000000e-01
2.50700000000000e-08,3.85000000000000e-01,5.50000000000000e-01,4.55229285825060e-04,5.50000000000000e-01
2.51000000000000e-08,5.50000000000000e-01,5.50000000000000e-01,4.54030814817492e-04,5.50000000000000e-01
2.51080000000000e-08,5.50000000000000e-01,5.50000000000000e-01,3.66715332343628e-04,5.50000000000000e-01
2.51240000000000e-08,5.50000000000000e-01,5.50000000000000e-01,1.46829154758193e-04,5.50000000000000e-01
2.51560000000000e-08,5.50000000000000e-01,5.50000000000000e-01,-5.77729056463624e-04,5.50000000000000e-01
2.52200000000000e-08,5.50000000000000e-01,5.50000000000000e-01,-2.38194205112686e-03,5.50000000000000e-01
2.53480000000000e-08,5.50000000000000e-01,5.50000000000000e-01,-4.76549815511369e-03,5.50000000000000e-01
2.56040000000000e-08,5.50000000000000e-01,5.50000000000000e-01,6.87849194581917e-02,5.50000000000000e-01
2.61160000000000e-08,5.50000000000000e-01,5.50000000000000e-01,5.10866434688710e-01,5.50000000000000e-01
2.71400000000000e-08,5.50000000000000e-01,5.50000000000000e-01,5.61715694840928e-01,5.50000000000000e-01
2.82695786781788e-08,5.50000000000000e-01,5.50000000000000e-01,5.37280953505241e-01,5.50000000000000e-01
3.04053585416930e-08,5.50000000000000e-01,5.50000000000000e-01,5.61049248780425e-01,5.50000000000000e-01
3.34588155706846e-08,5.50000000000000e-01,5.50000000000000e-01,5.38135955839693e-01,5.50000000000000e-01
3.51000000000000e-08,5.49999999999973e-01,5.50000000000000e-01,5.60505116265439e-01,5.50000000000000e-01
3.51100000000000e-08,4.94999999999983e-01,5.50000000000000e-01,5.56137097699770e-01,5.50000000000000e-01
3.51300000000000e-08,3.84999999999968e-01,5.50000000000000e-01,5.50996951926651e-01,5.50000000000000e-01
3.51700000000000e-08,1.64999999999973e-01,5.50000000000000e-01,5.50111131428132e-01,5.50000000000000e-01
3.52000000000000e-08,0.00000000000000e+00,5.50000000000000e-01,5.51770938090788e-01,5.50000000000000e-01
3.52080000000000e-08,0.00000000000000e+00,5.50000000000000e-01,5.52211348887341e-01,5.50000000000000e-01
3.52240000000000e-08,0.00000000000000e+00,5.50000000000000e-01,5.52794540325449e-01,5.50000000000000e-01
3.52560000000000e-08,0.00000000000000e+00,5.50000000000000e-01,5.52743872604175e-01,5.50000000000000e-01
3.53200000000000e-08,0.00000000000000e+00,5.50000000000000e-01,5.45691416145513e-01,5.50000000000000e-01
3.54480000000000e-08,0.00000000000000e+00,5.50000000000000e-01,5.33483776492389e-01,5.50000000000000e-01
3.57040000000000e-08,0.00000000000000e+00,5.50000000000000e-01,5.46901492822061e-01,5.50000000000000e-01
3.62160000000000e-08,0.00000000000000e+00,5.50000000000000e-01,5.51374894807203e-01,5.50000000000000e-01
3.69055117329779e-08,0.00000000000000e+00,5.50000000000000e-01,5.48319327120147e-01,5.50000000000000e-01
3.82845351989337e-08,0.00000000000000e+00,5.50000000000000e-01,5.51158521627567e-01,5.50000000000000e-01
4.10425821308454e-08,0.00000000000000e+00,5.50000000000000e-01,5.48690184401946e-01,5.50000000000000e-01
4.48425821308454e-08,0.00000000000000e+00,5.50000000000000e-01,5.51139811467262e-01,5.50000000000000e-01
4.50000000000000e-08,0.00000000000000e+00,5.50000000000000e-01,5.49431357113030e-01,5.50000000000000e-01
4.50100000000000e-08,5.49999999999896e-02,5.50000000000000e-01,5.49489723259141e-01,4.95000000000010e-01
4.50300000000000e-08,1.65000000000005e-01,5.50000000000000e-01,5.49565197910394e-01,3.84999999999995e-01
4.50700000000000e-08,3.85000000000000e-01,5.50000000000000e-01,5.50694530129553e-01,1.65000000000000e-01
4.51000000000000e-08,5.50000000000000e-01,5.50000000000000e-01,5.55154254554234e-01,0.00000000000000e+00
4.51080000000000e-08,5.50000000000000e-01,5.50000000000000e-01,5.56898372529588e-01,0.00000000000000e+00
4.51240000000000e-08,5.50000000000000e-01,5.50000000000000e-01,5.60048039069930e-01,0.00000000000000e+00
4.51560000000000e-08,5.50000000000000e-01,5.50000000000000e-01,5.66448961943475e-01,0.00000000000000e+00
4.52200000000000e-08,5.50000000000000e-01,5.50000000000000e-01,5.79617237649084e-01,0.00000000000000e+00
4.53480000000000e-08,5.50000000000000e-01,5.50000000000000e-01,4.92426060472322e-01,0.00000000000000e+00
4.56040000000000e-08,5.50000000000000e-01,5.50000000000000e-01,1.17959412770657e-01,0.00000000000000e+00
4.60192851835277e-08,5.50000000000000e-01,5.50000000000000e-01,-2.84344017962186e-02,0.00000000000000e+00
4.67229769525414e-08,5.50000000000000e-01,5.50000000000000e-01,1.94809362857248e-02,0.00000000000000e+00
4.79185115883608e-08,5.50000000000000e-01,5.50000000000000e-01,-1.40538577328065e-02,0.00000000000000e+00
4.98162789482679e-08,5.50000000000000e-01,5.50000000000000e-01,1.26793524703590e-02,0.00000000000000e+00
5.01000000000000e-08,5.50000000000000e-01,5.49999999999969e-01,-4.41035309087306e-03,0.00000000000000e+00
5.04162900718392e-08,5.50000000000000e-01,5.50000000000000e-01,-4.65827397495162e-04,0.00000000000000e+00
5.10488702155176e-08,5.50000000000000e-01,5.50000000000000e-01,2.92068889015758e-04,0.00000000000000e+00
5.23140305028745e-08,5.50000000000000e-01,5.50000000000000e-01,-2.53991619407471e-04,0.00000000000000e+00
5.48443510775883e-08,5.50000000000000e-01,5.50000000000000e-01,2.30412609132775e-04,0.00000000000000e+00
5.51000000000000e-08,5.50000000000000e-01,5.50000000000000e-01,-9.04230668599439e-05,0.00000000000000e+00
