Time,v(clk),v(data),v(out)
1.00000000000000e-08,5.50000000000000e-01,0.00000000000000e+00,2.92368170189648e-06
1.00100000000000e-08,5.50000000000000e-01,5.49999999999987e-02,1.24690740578581e-06
1.00300000000000e-08,5.50000000000000e-01,1.64999999999996e-01,-9.28864979460320e-07
1.00700000000000e-08,5.50000000000000e-01,3.84999999999991e-01,-4.64287903835514e-06
1.01000000000000e-08,5.50000000000000e-01,5.49999999999996e-01,-7.73822538387148e-06
1.01080000000000e-08,5.50000000000000e-01,5.50000000000000e-01,-8.25093941207722e-06
1.01240000000000e-08,5.50000000000000e-01,5.50000000000000e-01,-8.23733738085364e-06
1.01560000000000e-08,5.50000000000000e-01,5.50000000000000e-01,-7.50280524578623e-06
1.02200000000000e-08,5.50000000000000e-01,5.50000000000000e-01,-1.54658722856249e-06
1.03480000000000e-08,5.50000000000000e-01,5.50000000000000e-01,3.69729391898679e-06
1.06040000000000e-08,5.50000000000000e-01,5.50000000000000e-01,1.67450762423443e-06
1.11160000000000e-08,5.50000000000000e-01,5.50000000000000e-01,1.17184156329941e-06
1.20575405022107e-08,5.50000000000000e-01,5.50000000000000e-01,2.33801179593332e-06
1.39406215066320e-08,5.50000000000000e-01,5.50000000000000e-01,1.05124565848158e-06
1.51000000000000e-08,5.50000000000000e-01,5.50000000000000e-01,2.02621658394568e-06
1.51100000000000e-08,4.94999999999992e-01,5.50000000000000e-01,-5.87020715245370e-05
1.51300000000000e-08,3.84999999999995e-01,5.50000000000000e-01,-1.63974896902563e-04
1.51700000000000e-08,1.65000000000000e-01,5.50000000000000e-01,-2.83471034099390e-04
1.52000000000000e-08,0.00000000000000e+00,5.50000000000000e-01,-1.76785035683427e-04
1.52080000000000e-08,0.00000000000000e+00,5.50000000000000e-01,-4.71578607525378e-05
1.52240000000000e-08,0.00000000000000e+00,5.50000000000000e-01,1.56660284429344e-04
1.52560000000000e-08,0.00000000000000e+00,5.50000000000000e-01,3.39011580246011e-04
1.53200000000000e-08,0.00000000000000e+00,5.50000000000000e-01,3.41357072517860e-04
1.54480000000000e-08,0.00000000000000e+00,5.50000000000000e-01,8.49562634601606e-05
1.57040000000000e-08,0.00000000000000e+00,5.50000000000000e-01,-1.77668448408663e-04
1.62160000000000e-08,0.00000000000000e+00,5.50000000000000e-01,3.30068326906408e-08
1.72400000000000e-08,0.00000000000000e+00,5.50000000000000e-01,-5.29060875012737e-05
