Time,v(clk),v(data),v(out)
1.00000000000000e-08,6.00000000000000e-01,0.00000000000000e+00,2.47397532692063e-05
1.00100000000000e-08,6.00000000000000e-01,5.99999999999985e-02,1.78904549037046e-05
1.00300000000000e-08,6.00000000000000e-01,1.79999999999996e-01,9.42917593523690e-06
1.00700000000000e-08,6.00000000000000e-01,4.19999999999990e-01,2.89198800167839e-06
1.01000000000000e-08,6.00000000000000e-01,5.99999999999995e-01,-6.78828535945197e-07
1.01080000000000e-08,6.00000000000000e-01,6.00000000000000e-01,-3.08365924302223e-07
1.01240000000000e-08,6.00000000000000e-01,6.00000000000000e-01,8.53624879428028e-07
1.01560000000000e-08,6.00000000000000e-01,6.00000000000000e-01,4.38784672246451e-06
1.02200000000000e-08,6.00000000000000e-01,6.00000000000000e-01,6.09305598676946e-06
1.03480000000000e-08,6.00000000000000e-01,6.00000000000000e-01,1.57855600495249e-06
1.06040000000000e-08,6.00000000000000e-01,6.00000000000000e-01,3.67401543675643e-06
1.11160000000000e-08,6.00000000000000e-01,6.00000000000000e-01,2.71184378868722e-06
1.21400000000000e-08,6.00000000000000e-01,6.00000000000000e-01,3.04876566174957e-06
1.41880000000000e-08,6.00000000000000e-01,6.00000000000000e-01,2.31115914462810e-06
1.51000000000000e-08,6.00000000000000e-01,6.00000000000000e-01,2.49774475566400e-06
1.51100000000000e-08,5.39999999999991e-01,6.00000000000000e-01,-5.22164843179962e-05
1.51300000000000e-08,4.19999999999994e-01,6.00000000000000e-01,-1.24095679751281e-04
1.51700000000000e-08,1.80000000000000e-01,6.00000000000000e-01,-8.60906743464229e-05
1.52000000000000e-08,0.00000000000000e+00,6.00000000000000e-01,1.42005946618451e-04
1.52080000000000e-08,0.00000000000000e+00,6.00000000000000e-01,2.50406702653569e-04
1.52240000000000e-08,0.00000000000000e+00,6.00000000000000e-01,3.59282387741348e-04
1.52560000000000e-08,0.00000000000000e+00,6.00000000000000e-01,2.41442480710438e-04
1.53200000000000e-08,0.00000000000000e+00,6.00000000000000e-01,-1.38963519477127e-04
1.54480000000000e-08,0.00000000000000e+00,6.00000000000000e-01,-1.85108774529576e-04
1.57040000000000e-08,0.00000000000000e+00,6.00000000000000e-01,-4.90671322529151e-05
1.61185553986181e-08,0.00000000000000e+00,6.00000000000000e-01,4.22806712372780e-05
1.66551235894974e-08,0.00000000000000e+00,6.00000000000000e-01,9.87146816041531e-05
1.77249979627653e-08,0.00000000000000e+00,6.00000000000000e-01,-1.41207820160374e-04
1.90241331707846e-08,0.00000000000000e+00,6.00000000000000e-01,1.61594749350783e-04
2.15507118744156e-08,0.00000000000000e+00,6.00000000000000e-01,-1.65734792926069e-04
2.50000000000000e-08,0.00000000000000e+00,6.00000000000000e-01,1.71183025689667e-04
2.50100000000000e-08,5.99999999999886e-02,6.00000000000000e-01,2.22217928787391e-04
2.50300000000000e-08,1.80000000000006e-01,6.00000000000000e-01,2.97103431915538e-04
2.50700000000000e-08,4.20000000000000e-01,6.00000000000000e-01,3.27531142994338e-04
2.51000000000000e-08,6.00000000000000e-01,6.00000000000000e-01,-4.88006771209380e-04
2.51080000000000e-08,6.00000000000000e-01,6.00000000000000e-01,-1.05938117416524e-03
2.51240000000000e-08,6.00000000000000e-01,6.00000000000000e-01,-2.26639955698121e-03
2.51560000000000e-08,6.00000000000000e-01,6.00000000000000e-01,-4.26623750916690e-03
2.52200000000000e-08,6.00000000000000e-01,6.00000000000000e-01,-3.84592188437820e-03
2.53480000000000e-08,6.00000000000000e-01,6.00000000000000e-01,1.65141231000214e-01
2.56040000000000e-08,6.00000000000000e-01,6.00000000000000e-01,5.79958445248455e-01
2.61160000000000e-08,6.00000000000000e-01,6.00000000000000e-01,6.06709685279082e-01
2.67056314357926e-08,6.00000000000000e-01,6.00000000000000e-01,5.93222210380428e-01
2.77114029159173e-08,6.00000000000000e-01,6.00000000000000e-01,6.05434282753709e-01
2.90185264804038e-08,6.00000000000000e-01,6.00000000000000e-01,5.94332817907796e-01
3.16327736093767e-08,6.00000000000000e-01,6.00000000000000e-01,6.05016534844086e-01
3.51000000000000e-08,5.99999999999970e-01,6.00000000000000e-01,5.94664549820807e-01
