Time,v(clk),v(data),v(out)
1.00000000000000e-08,6.50000000000000e-01,0.00000000000000e+00,5.70559517225344e-06
1.00100000000000e-08,6.50000000000000e-01,6.49999999999984e-02,9.73361556785846e-06
1.00300000000000e-08,6.50000000000000e-01,1.94999999999995e-01,1.33946465751683e-05
1.00700000000000e-08,6.50000000000000e-01,4.54999999999989e-01,1.26421984561198e-05
1.01000000000000e-08,6.50000000000000e-01,6.49999999999995e-01,9.97603368418226e-06
1.01080000000000e-08,6.50000000000000e-01,6.50000000000000e-01,9.44566063319080e-06
1.01240000000000e-08,6.50000000000000e-01,6.50000000000000e-01,9.63441041074153e-06
1.01560000000000e-08,6.50000000000000e-01,6.50000000000000e-01,1.18181287245347e-05
1.02200000000000e-08,6.50000000000000e-01,6.50000000000000e-01,1.47967983664052e-05
1.03480000000000e-08,6.50000000000000e-01,6.50000000000000e-01,1.30818868658705e-05
1.06040000000000e-08,6.50000000000000e-01,6.50000000000000e-01,1.02931530236126e-05
1.10979228306795e-08,6.50000000000000e-01,6.50000000000000e-01,1.18072475138609e-05
1.20857684920384e-08,6.50000000000000e-01,6.50000000000000e-01,1.01669004271181e-05
1.40614598147564e-08,6.50000000000000e-01,6.50000000000000e-01,1.06289269999164e-05
1.51000000000000e-08,6.50000000000000e-01,6.50000000000000e-01,9.46994182960889e-06
1.51100000000000e-08,5.84999999999991e-01,6.50000000000000e-01,-5.39583842271915e-05
1.51300000000000e-08,4.54999999999994e-01,6.50000000000000e-01,-1.56437996639745e-04
1.51700000000000e-08,1.95000000000000e-01,6.50000000000000e-01,-1.66748514897792e-04
1.52000000000000e-08,0.00000000000000e+00,6.50000000000000e-01,7.04271479006618e-05
1.52080000000000e-08,0.00000000000000e+00,6.50000000000000e-01,2.06517411983083e-04
1.52240000000000e-08,0.00000000000000e+00,6.50000000000000e-01,3.86757437346431e-04
1.52560000000000e-08,0.00000000000000e+00,6.50000000000000e-01,4.19678738233113e-04
1.53200000000000e-08,0.00000000000000e+00,6.50000000000000e-01,8.71796194586716e-05
1.54480000000000e-08,0.00000000000000e+00,6.50000000000000e-01,-3.23798981719289e-04
1.57040000000000e-08,0.00000000000000e+00,6.50000000000000e-01,-4.25373202452145e-05
1.62160000000000e-08,0.00000000000000e+00,6.50000000000000e-01,-6.35726417879852e-05
1.68396869536822e-08,0.00000000000000e+00,6.50000000000000e-01,1.67740865911020e-04
1.80870608610465e-08,0.00000000000000e+00,6.50000000000000e-01,-1.18842925819186e-04
1.94409297156202e-08,0.00000000000000e+00,6.50000000000000e-01,1.02072986597378e-04
2.21486674247676e-08,0.00000000000000e+00,6.50000000000000e-01,-7.19709669100514e-05
2.50000000000000e-08,0.00000000000000e+00,6.50000000000000e-01,7.61713940423481e-05
2.50100000000000e-08,6.49999999999877e-02,6.50000000000000e-01,1.87276470550467e-04
2.50300000000000e-08,1.95000000000006e-01,6.50000000000000e-01,3.63179041432654e-04
2.50700000000000e-08,4.55000000000000e-01,6.50000000000000e-01,5.22581386804208e-04
2.51000000000000e-08,6.50000000000000e-01,6.50000000000000e-01,2.03290172226478e-04
2.51080000000000e-08,6.50000000000000e-01,6.50000000000000e-01,-1.10681528003607e-04
2.51240000000000e-08,6.50000000000000e-01,6.50000000000000e-01,-8.61147414061736e-04
2.51560000000000e-08,6.50000000000000e-01,6.50000000000000e-01,-2.57536881113636e-03
2.52200000000000e-08,6.50000000000000e-01,6.50000000000000e-01,-4.92310503678805e-03
2.53480000000000e-08,6.50000000000000e-01,6.50000000000000e-01,1.77637591159622e-02
2.56040000000000e-08,6.50000000000000e-01,6.50000000000000e-01,4.22222624626691e-01
2.61160000000000e-08,6.50000000000000e-01,6.50000000000000e-01,6.77828420056831e-01
2.67019649660843e-08,6.50000000000000e-01,6.50000000000000e-01,6.26846673540672e-01
2.78738948982528e-08,6.50000000000000e-01,6.50000000000000e-01,6.71581425024970e-01
2.93700162697941e-08,6.50000000000000e-01,6.50000000000000e-01,6.28924930888192e-01
3.19664503695218e-08,6.50000000000000e-01,6.50000000000000e-01,6.69892414849190e-01
3.51000000000000e-08,6.49999999999968e-01,6.50000000000000e-01,6.29952245598003e-01
3.51100000000000e-08,5.84999999999980e-01,6.50000000000000e-01,6.36669827711434e-01
3.51300000000000e-08,4.54999999999962e-01,6.50000000000000e-01,6.45567310127289e-01
3.51700000000000e-08,1.94999999999968e-01,6.50000000000000e-01,6.50523800847978e-01
