Time,v(clk),v(data),v(out),v(reset)
1.00000000000000e-08,7.00000000000000e-01,0.00000000000000e+00,2.63952287972331e-05,0.00000000000000e+00
1.00100000000000e-08,7.00000000000000e-01,6.99999999999983e-02,2.08787922493375e-05,0.00000000000000e+00
1.00300000000000e-08,7.00000000000000e-01,2.09999999999995e-01,1.29629515455837e-05,0.00000000000000e+00
1.00700000000000e-08,7.00000000000000e-01,4.89999999999988e-01,6.39972694067847e-06,0.00000000000000e+00
1.01000000000000e-08,7.00000000000000e-01,6.99999999999995e-01,5.20458468021567e-06,0.00000000000000e+00
1.01080000000000e-08,7.00000000000000e-01,7.00000000000000e-01,5.02379745944553e-06,0.00000000000000e+00
1.01240000000000e-08,7.00000000000000e-01,7.00000000000000e-01,5.12888557611946e-06,0.00000000000000e+00
1.01560000000000e-08,7.00000000000000e-01,7.00000000000000e-01,5.92457974824684e-06,0.00000000000000e+00
1.02200000000000e-08,7.00000000000000e-01,7.00000000000000e-01,5.57738927607632e-06,0.00000000000000e+00
1.03480000000000e-08,7.00000000000000e-01,7.00000000000000e-01,3.72718636747899e-06,0.00000000000000e+00
1.06040000000000e-08,7.00000000000000e-01,7.00000000000000e-01,4.54591383033248e-06,0.00000000000000e+00
1.11160000000000e-08,7.00000000000000e-01,7.00000000000000e-01,3.83820370899665e-06,0.00000000000000e+00
1.21400000000000e-08,7.00000000000000e-01,7.00000000000000e-01,3.91408121490702e-06,0.00000000000000e+00
1.41880000000000e-08,7.00000000000000e-01,7.00000000000000e-01,3.07661674410920e-06,0.00000000000000e+00
1.51000000000000e-08,7.00000000000000e-01,7.00000000000000e-01,3.33173491143431e-06,0.00000000000000e+00
1.51100000000000e-08,6.29999999999990e-01,7.00000000000000e-01,1.72770976016083e-04,7.00000000000099e-02
1.51300000000000e-08,4.89999999999994e-01,7.00000000000000e-01,3.14106692734309e-04,2.10000000000007e-01
1.51700000000000e-08,2.10000000000000e-01,7.00000000000000e-01,2.08421761052541e-04,4.90000000000000e-01
1.52000000000000e-08,0.00000000000000e+00,7.00000000000000e-01,1.69606476827851e-04,7.00000000000000e-01
1.52080000000000e-08,0.00000000000000e+00,7.00000000000000e-01,1.49659248537402e-04,7.00000000000000e-01
1.52240000000000e-08,0.00000000000000e+00,7.00000000000000e-01,1.17123743432604e-04,7.00000000000000e-01
1.52560000000000e-08,0.00000000000000e+00,7.00000000000000e-01,5.70602261826467e-05,7.00000000000000e-01
1.53200000000000e-08,0.00000000000000e+00,7.00000000000000e-01,-1.34178446801095e-04,7.00000000000000e-01
1.54480000000000e-08,0.00000000000000e+00,7.00000000000000e-01,-2.30726644637219e-04,7.00000000000000e-01
1.56759344252020e-08,0.00000000000000e+00,7.00000000000000e-01,-7.69065330557921e-05,7.00000000000000e-01
1.60796162045681e-08,0.00000000000000e+00,7.00000000000000e-01,2.80328102160339e-05,7.00000000000000e-01
1.65523733349780e-08,0.00000000000000e+00,7.00000000000000e-01,1.56920067368217e-04,7.00000000000000e-01
1.74978875957978e-08,0.00000000000000e+00,7.00000000000000e-01,-1.87776252119389e-04,7.00000000000000e-01
1.85462987022062e-08,0.00000000000000e+00,7.00000000000000e-01,2.03617631203606e-04,7.00000000000000e-01
2.06366234219748e-08,0.00000000000000e+00,7.00000000000000e-01,-2.02276089823242e-04,7.00000000000000e-01
2.37007948435264e-08,0.00000000000000e+00,7.00000000000000e-01,2.04654691152532e-04,7.00000000000000e-01
2.50000000000000e-08,0.00000000000000e+00,7.00000000000000e-01,-1.97759439079231e-04,7.00000000000000e-01
2.50100000000000e-08,6.99999999999867e-02,7.00000000000000e-01,-4.72789626100381e-05,7.00000000000000e-01
2.50300000000000e-08,2.10000000000007e-01,7.00000000000000e-01,1.84832404926852e-04,7.00000000000000e-01
2.50700000000000e-08,4.90000000000000e-01,7.00000000000000e-01,3.52641123911153e-04,7.00000000000000e-01
2.51000000000000e-08,7.00000000000000e-01,7.00000000000000e-01,-5.54934505744842e-04,7.00000000000000e-01
2.51080000000000e-08,7.00000000000000e-01,7.00000000000000e-01,-1.17731937728522e-03,7.00000000000000e-01
2.51240000000000e-08,7.00000000000000e-01,7.00000000000000e-01,-2.46911833547322e-03,7.00000000000000e-01
2.51560000000000e-08,7.00000000000000e-01,7.00000000000000e-01,-4.65418606843809e-03,7.00000000000000e-01
2.52200000000000e-08,7.00000000000000e-01,7.00000000000000e-01,-3.79029009911137e-03,7.00000000000000e-01
2.53480000000000e-08,7.00000000000000e-01,7.00000000000000e-01,1.71066911115631e-01,7.00000000000000e-01
2.56040000000000e-08,7.00000000000000e-01,7.00000000000000e-01,6.63397513560253e-01,7.00000000000000e-01
2.61160000000000e-08,7.00000000000000e-01,7.00000000000000e-01,7.12027870439236e-01,7.00000000000000e-01
2.66875859669570e-08,7.00000000000000e-01,7.00000000000000e-01,6.88119044034906e-01,7.00000000000000e-01
2.76585905147226e-08,7.00000000000000e-01,7.00000000000000e-01,7.10005655449651e-01,7.00000000000000e-01
2.89177604623638e-08,7.00000000000000e-01,7.00000000000000e-01,6.89819969082813e-01,7.00000000000000e-01
3.14361003576463e-08,7.00000000000000e-01,7.00000000000000e-01,7.09271246337123e-01,7.00000000000000e-01
3.51000000000000e-08,6.99999999999965e-01,7.00000000000000e-01,6.90332055130547e-01,7.00000000000000e-01
3.51100000000000e-08,6.29999999999979e-01,7.00000000000000e-01,6.93935628781068e-01,7.00000000000000e-01
3.51300000000000e-08,4.89999999999959e-01,7.00000000000000e-01,6.98387550531194e-01,7.00000000000000e-01
3.51700000000000e-08,2.09999999999966e-01,7.00000000000000e-01,7.00721335709604e-01,7.00000000000000e-01
3.52000000000000e-08,0.00000000000000e+00,7.00000000000000e-01,7.02432692737873e-01,7.00000000000000e-01
3.52080000000000e-08,0.00000000000000e+00,7.00000000000000e-01,7.02835477897829e-01,7.00000000000000e-01
3.52240000000000e-08,0.00000000000000e+00,7.00000000000000e-01,7.03074742655920e-01,7.00000000000000e-01
3.52560000000000e-08,0.00000000000000e+00,7.00000000000000e-01,6.99461856373577e-01,7.00000000000000e-01
3.53200000000000e-08,0.00000000000000e+00,7.00000000000000e-01,6.81005309264431e-01,7.00000000000000e-01
3.54480000000000e-08,0.00000000000000e+00,7.00000000000000e-01,6.77318916326111e-01,7.00000000000000e-01
3.57040000000000e-08,0.00000000000000e+00,7.00000000000000e-01,7.03401885621242e-01,7.00000000000000e-01
3.61235572096722e-08,0.00000000000000e+00,7.00000000000000e-01,6.96329824581220e-01,7.00000000000000e-01
3.67439498535000e-08,0.00000000000000e+00,7.00000000000000e-01,7.02413211148989e-01,7.00000000000000e-01
3.79847351411556e-08,0.00000000000000e+00,7.00000000000000e-01,6.97327461689471e-01,7.00000000000000e-01
4.04663057164668e-08,0.00000000000000e+00,7.00000000000000e-01,7.02275075213787e-01,7.00000000000000e-01
4.42663057164669e-08,0.00000000000000e+00,7.00000000000000e-01,6.97595537737425e-01,7.00000000000000e-01
4.50000000000000e-08,0.00000000000000e+00,7.00000000000000e-01,7.01926364427918e-01,7.00000000000000e-01
4.50100000000000e-08,6.99999999999867e-02,7.00000000000000e-01,7.01268355429909e-01,6.30000000000013e-01
4.50300000000000e-08,2.10000000000007e-01,7.00000000000000e-01,7.00335497219152e-01,4.89999999999994e-01
4.50700000000000e-08,4.90000000000000e-01,7.00000000000000e-01,7.01980256791925e-01,2.10000000000000e-01
4.51000000000000e-08,7.00000000000000e-01,7.00000000000000e-01,7.07749654352423e-01,0.00000000000000e+00
4.51080000000000e-08,7.00000000000000e-01,7.00000000000000e-01,7.09665522884128e-01,0.00000000000000e+00
4.51240000000000e-08,7.00000000000000e-01,7.00000000000000e-01,7.13037240164924e-01,0.00000000000000e+00
4.51560000000000e-08,7.00000000000000e-01,7.00000000000000e-01,7.19612111310574e-01,0.00000000000000e+00
4.52200000000000e-08,7.00000000000000e-01,7.00000000000000e-01,6.85738653149130e-01,0.00000000000000e+00
4.53480000000000e-08,7.00000000000000e-01,7.00000000000000e-01,2.79836844845799e-01,0.00000000000000e+00
